,ENB,KMI,TRP,WMB,OKE,LNG,TRGP,AM,ET,ETRN,EPD,PBA,PAGP,MMP,MPLX,ENLC,AROC,PAA,WES,DCP,PSXP,CQP,SHLX,HEP,ENBL,CASH,ENB.TO,TRP.TO,PPL.TO,Cash,n/a,HESM,CEQP,PSX,SUM
11/18/2021,8.43,8.12,8.39,8.53,7.76,7.0,5.14,4.67,4.02,5.04,4.16,4.26,4.02,3.95,3.45,3.65,2.4,1.75,1.67,0.99,0.82,0.62,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,99.98
11/19/2021,8.45,8.06,8.3,8.44,7.76,7.22,5.12,4.69,4.01,5.07,4.21,4.23,4.01,3.95,3.45,3.63,2.4,1.76,1.66,1.01,0.81,0.62,0.55,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,99.99
11/22/2021,8.5,8.06,8.31,8.52,7.88,7.2,5.16,4.7,3.94,5.17,4.12,4.27,3.98,3.91,3.4,3.58,2.37,1.75,1.66,0.99,0.79,0.61,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100.0
11/23/2021,8.5,8.06,8.31,8.52,7.88,7.2,5.16,4.7,3.94,5.17,4.12,4.27,3.98,3.91,3.4,3.58,2.37,1.75,1.66,0.99,0.79,0.61,0.56,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100.0
11/24/2021,8.61,8.09,8.38,8.49,7.81,7.33,5.19,4.68,3.91,5.13,4.09,4.36,3.91,3.85,3.44,3.56,2.31,1.73,1.66,0.96,0.76,0.62,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,99.98999999999998
11/25/2021,8.55,8.06,8.4,8.54,7.87,7.23,5.21,4.65,3.96,5.12,4.15,4.2,3.89,3.93,3.48,3.62,2.38,1.7,1.61,0.95,0.78,0.62,0.53,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.01
11/26/2021,8.46,8.02,8.38,8.53,7.98,7.23,5.28,4.71,3.95,5.15,4.07,4.06,3.92,3.85,3.48,3.72,2.41,1.7,1.64,0.96,0.78,0.62,0.53,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.02
11/29/2021,8.37,8.01,8.3,8.56,7.98,7.41,5.32,4.66,3.94,5.21,4.06,4.0,3.94,3.86,3.49,3.69,2.37,1.69,1.62,0.96,0.78,0.64,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,99.99
11/30/2021,8.37,8.01,8.3,8.56,7.98,7.41,5.32,4.66,3.94,5.21,4.06,4.0,3.94,3.86,3.49,3.69,2.37,1.69,1.62,0.96,0.78,0.64,0.54,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,99.99
12/01/2021,8.37,8.07,8.4,8.67,7.87,7.45,5.23,4.68,3.94,5.12,4.11,4.0,3.92,3.92,3.5,3.64,2.33,1.69,1.62,0.96,0.75,0.66,0.53,0.29,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.02
12/02/2021,8.32,8.05,8.46,8.71,7.98,7.53,5.25,4.66,3.89,5.07,4.11,4.02,3.91,3.91,3.49,3.58,2.36,1.68,1.58,0.94,0.76,0.66,0.53,0.28,0.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.03
12/21/2021,9.05,8.19,9.06,8.95,7.01,6.9,4.47,4.4,4.74,4.67,4.49,4.32,3.59,4.01,3.63,3.22,2.22,1.75,1.74,0.95,0.86,0.68,0.57,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,99.99
12/22/2021,9.01,8.12,9.07,8.9,7.01,6.92,4.45,4.48,4.7,4.69,4.53,4.35,3.58,4.02,3.65,3.18,2.24,1.73,1.75,0.96,0.88,0.69,0.57,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,100.0
12/23/2021,9.12,8.03,9.18,8.86,6.94,7.06,4.44,4.43,4.7,4.75,4.52,4.39,3.55,4.0,3.62,3.22,2.22,1.7,1.72,0.94,0.86,0.68,0.57,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,100.01
12/24/2021,9.06,8.09,9.1,8.79,6.96,7.22,4.49,4.43,4.57,4.74,4.48,4.35,3.58,3.91,3.62,3.29,2.24,1.72,1.76,0.97,0.88,0.68,0.56,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,100.0
12/27/2021,9.13,8.01,9.23,8.78,6.92,7.05,4.47,4.43,4.55,4.74,4.55,4.37,3.61,3.92,3.62,3.32,2.25,1.72,1.76,0.96,0.87,0.7,0.55,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.01
12/28/2021,9.13,8.01,9.23,8.78,6.92,7.05,4.47,4.43,4.55,4.74,4.55,4.37,3.61,3.92,3.62,3.32,2.25,1.72,1.76,0.96,0.87,0.7,0.55,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.01
12/29/2021,9.13,8.01,9.23,8.78,6.92,7.05,4.47,4.43,4.55,4.74,4.55,4.37,3.61,3.92,3.62,3.32,2.25,1.72,1.76,0.96,0.87,0.7,0.55,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.01
12/30/2021,9.1,7.98,9.19,8.78,6.98,6.91,4.56,4.47,4.53,4.76,4.5,4.37,3.61,3.93,3.62,3.39,2.22,1.73,1.77,0.99,0.86,0.69,0.57,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,100.01
12/31/2021,9.09,8.02,9.18,8.77,6.99,6.95,4.55,4.45,4.52,4.69,4.52,4.37,3.63,3.91,3.6,3.38,2.22,1.72,1.78,1.01,0.88,0.7,0.57,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,99.99
01/03/2022,9.24,8.05,9.02,8.76,6.94,6.84,4.51,4.41,4.5,4.68,4.57,4.34,3.65,3.96,3.64,3.45,2.18,1.74,1.8,0.99,0.87,0.7,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,99.99
01/03/2022,9.24,8.05,9.02,8.76,6.94,6.84,4.51,4.41,4.5,4.68,4.57,4.34,3.65,3.96,3.64,3.45,2.18,1.74,1.8,0.99,0.87,0.7,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,99.99
01/03/2022,9.24,8.05,9.02,8.76,6.94,6.84,4.51,4.41,4.5,4.68,4.57,4.34,3.65,3.96,3.64,3.45,2.18,1.74,1.8,0.99,0.87,0.7,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,99.99
01/04/2022,9.24,8.05,9.02,8.76,6.94,6.84,4.51,4.41,4.5,4.68,4.57,4.34,3.65,3.96,3.64,3.45,2.18,1.74,1.8,0.99,0.87,0.7,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,99.99
01/05/2022,9.25,8.0,8.99,8.71,6.9,6.78,4.53,4.4,4.49,4.75,4.58,4.34,3.64,4.04,3.65,3.46,2.2,1.74,1.86,1.01,0.86,0.7,0.58,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,100.02
01/06/2022,9.13,8.09,8.93,8.71,6.91,6.71,4.53,4.4,4.68,4.66,4.63,4.32,3.73,3.98,3.62,3.49,2.24,1.79,1.85,1.02,0.88,0.68,0.58,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,100.02
01/07/2022,8.97,8.11,8.83,8.69,6.99,6.78,4.57,4.4,4.74,4.56,4.64,4.21,3.73,4.01,3.68,3.52,2.26,1.79,1.85,1.02,0.91,0.69,0.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,100.0
01/10/2022,9.05,8.18,8.79,8.77,6.9,6.97,4.59,4.41,4.74,4.53,4.62,4.2,3.72,3.94,3.64,3.39,2.28,1.78,1.84,1.01,0.91,0.69,0.58,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,99.99
01/11/2022,9.05,8.18,8.79,8.77,6.9,6.97,4.59,4.41,4.74,4.53,4.62,4.2,3.72,3.94,3.64,3.39,2.28,1.78,1.84,1.01,0.91,0.69,0.58,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,99.99
01/12/2022,9.07,8.21,8.9,8.85,6.91,6.83,4.57,4.37,4.77,4.47,4.6,4.21,3.69,3.89,3.62,3.5,2.26,1.77,1.83,1.01,0.92,0.69,0.59,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,99.99
01/13/2022,9.13,8.3,9.0,8.85,6.74,6.81,4.47,4.35,4.72,4.53,4.64,4.18,3.7,3.92,3.6,3.54,2.26,1.78,1.82,0.99,0.94,0.7,0.61,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.03
01/14/2022,9.07,8.21,8.94,8.95,6.78,6.86,4.52,4.33,4.73,4.49,4.61,4.18,3.73,3.89,3.59,3.54,2.31,1.79,1.79,0.99,0.95,0.72,0.6,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.02
01/17/2022,9.09,8.13,9.04,8.9,6.64,6.91,4.54,4.38,4.75,4.52,4.56,4.21,3.78,3.89,3.56,3.54,2.28,1.83,1.79,0.97,0.95,0.7,0.59,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,99.98
01/18/2022,0.0,8.15,0.0,8.92,6.66,6.92,4.55,4.39,4.76,4.53,4.57,0.0,3.78,3.9,3.56,3.55,2.28,1.83,1.8,0.97,0.95,0.7,0.59,0.3,0.0,0.0,9.11,9.06,4.22,0.0,-0.05,0.0,0.0,0.0,100.0
01/19/2022,8.98,8.2,8.8,8.93,6.68,6.86,4.55,4.41,4.78,4.64,4.55,4.18,3.82,3.92,3.53,3.55,2.3,1.85,1.82,0.97,0.96,0.7,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
01/20/2022,8.98,8.2,8.8,8.93,6.68,6.86,4.55,4.41,4.78,4.64,4.55,4.18,3.82,3.92,3.53,3.55,2.3,1.85,1.82,0.97,0.96,0.7,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
01/21/2022,9.1,8.12,8.89,9.02,6.56,6.82,4.53,4.33,4.84,4.53,4.58,4.22,3.89,3.88,3.51,3.58,2.28,1.87,1.81,0.94,0.96,0.69,0.61,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.98
01/24/2022,9.21,8.17,9.17,8.96,6.48,6.6,4.47,4.24,4.85,4.5,4.66,4.22,3.8,3.87,3.63,3.61,2.25,1.82,1.84,0.99,0.95,0.68,0.61,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
01/25/2022,9.21,8.17,9.17,8.96,6.48,6.6,4.47,4.24,4.85,4.5,4.66,4.22,3.8,3.87,3.63,3.61,2.25,1.82,1.84,0.99,0.95,0.68,0.61,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
01/26/2022,9.14,8.27,9.16,9.11,6.49,6.6,4.54,4.26,4.75,4.48,4.69,4.16,3.76,3.9,3.64,3.6,2.22,1.79,1.82,0.97,0.94,0.69,0.6,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,100.03
01/27/2022,0.0,8.28,0.0,9.12,6.5,6.61,4.55,4.26,4.75,4.49,4.69,0.0,3.76,3.9,3.64,3.61,2.22,1.79,1.83,0.97,0.94,0.69,0.6,0.31,0.0,0.0,9.16,9.17,4.19,0.0,-0.03,0.0,0.0,0.0,100.0
01/28/2022,9.12,8.27,9.11,9.1,6.55,6.88,4.62,4.07,4.77,3.69,4.73,4.13,3.81,3.98,3.66,3.73,2.37,1.83,1.85,0.95,0.96,0.72,0.61,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,100.05
01/31/2022,9.11,8.09,9.16,9.18,6.48,6.86,4.64,4.06,4.9,3.45,4.63,4.13,3.84,3.9,3.7,3.63,2.3,1.83,1.85,0.93,0.93,0.73,0.6,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,100.0
02/01/2022,9.12,8.04,9.22,9.21,6.45,6.99,4.66,4.03,4.83,3.47,4.57,4.13,3.83,3.92,3.7,3.62,2.29,1.84,1.81,0.97,0.91,0.73,0.59,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,100.01
02/02/2022,9.12,8.04,9.22,9.21,6.45,6.99,4.66,4.03,4.83,3.47,4.57,4.13,3.83,3.92,3.7,3.62,2.29,1.84,1.81,0.97,0.91,0.73,0.59,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,100.01
02/03/2022,9.2,8.03,9.17,9.21,6.53,6.86,4.7,4.14,4.81,3.41,4.52,4.16,3.79,3.89,3.72,3.66,2.27,1.84,1.82,0.96,0.91,0.74,0.58,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,99.99
02/04/2022,9.12,7.93,8.87,9.24,6.56,6.94,4.75,4.12,4.85,3.27,4.48,4.15,3.93,3.91,3.77,3.68,2.28,1.9,1.87,0.99,0.93,0.75,0.58,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,100.0
02/07/2022,9.18,7.85,8.86,9.16,6.57,6.9,4.71,4.18,5.06,2.96,4.49,4.19,4.04,3.83,3.7,3.67,2.2,1.97,1.91,0.99,0.92,0.75,0.58,0.31,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,99.99
02/08/2022,0.0,7.92,0.0,9.24,6.63,6.98,4.75,4.22,5.1,2.98,4.53,0.0,4.07,3.95,3.73,3.7,2.22,1.98,1.93,1.0,0.93,0.76,0.58,0.31,0.0,0.0,9.26,8.93,4.22,0.0,0.07,0.0,0.0,0.0,99.98999999999998
02/09/2022,0.0,7.91,0.0,9.28,6.68,6.89,4.79,4.26,5.08,3.04,4.53,0.0,4.13,3.79,3.72,3.79,2.23,2.02,1.98,1.03,0.94,0.76,0.58,0.31,0.0,0.0,9.2,8.85,4.16,0.0,0.03,0.0,0.0,0.0,99.98
02/10/2022,0.0,7.91,0.0,9.28,6.68,6.89,4.79,4.26,5.08,3.04,4.53,0.0,4.13,3.79,3.72,3.79,2.23,2.02,1.98,1.03,0.94,0.76,0.58,0.31,0.0,0.0,9.2,8.85,4.16,0.0,0.03,0.0,0.0,0.0,99.98
02/11/2022,0.0,7.94,0.0,9.29,6.7,7.02,4.81,4.2,4.91,2.98,4.55,0.0,4.1,3.81,3.66,3.85,2.17,2.01,1.97,1.02,0.95,0.73,0.58,0.31,0.0,0.0,9.28,8.96,4.17,0.0,0.03,0.0,0.0,0.0,100.0
02/14/2022,0.0,7.88,0.0,9.19,6.72,6.96,4.86,4.14,4.92,3.01,4.56,0.0,3.99,3.8,3.67,3.87,2.14,1.94,1.98,1.02,0.94,0.71,0.58,0.31,0.0,0.0,9.16,9.05,4.2,0.0,0.39,0.0,0.0,0.0,99.99
02/15/2022,0.0,7.9,0.0,9.21,6.74,7.05,4.91,4.12,4.99,3.0,4.57,0.0,3.7,3.74,3.69,3.86,2.16,1.79,1.98,1.01,0.95,0.72,0.59,0.31,0.0,0.0,9.26,9.08,4.27,0.0,0.4,0.0,0.0,0.0,100.0
02/16/2022,0.0,7.9,0.0,9.21,6.74,7.05,4.91,4.12,4.99,3.0,4.57,0.0,3.7,3.74,3.69,3.86,2.16,1.79,1.98,1.01,0.95,0.72,0.59,0.31,0.0,0.0,9.26,9.08,4.27,0.0,0.4,0.0,0.0,0.0,100.0
02/17/2022,0.0,7.83,0.0,9.11,6.7,7.11,4.91,4.1,5.0,3.13,4.55,0.0,3.72,3.7,3.68,3.99,2.21,1.78,2.01,1.03,0.97,0.72,0.61,0.31,0.0,0.0,9.15,8.99,4.17,0.0,0.54,0.0,0.0,0.0,100.02
02/18/2022,0.0,7.84,0.0,9.15,6.7,6.96,4.95,4.16,5.09,3.18,4.58,0.0,3.77,3.86,3.74,3.82,2.23,1.81,1.98,1.05,0.94,0.71,0.62,0.31,0.0,0.0,8.95,9.32,4.34,0.0,-0.05,0.0,0.0,0.0,100.01
02/21/2022,0.0,7.75,0.0,9.13,6.74,7.1,4.97,3.96,5.14,3.18,4.55,0.0,3.64,3.82,3.69,3.97,2.33,1.74,2.0,1.04,0.94,0.72,0.62,0.3,0.0,0.0,9.04,9.31,4.36,0.0,-0.05,0.0,0.0,0.0,99.99
03/24/2022,9.05,7.98,9.31,9.23,7.2,7.11,4.87,4.42,4.19,4.56,4.33,4.89,2.91,3.49,3.37,3.23,1.83,1.68,1.73,1.0,0.0,0.67,0.6,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.43,0.58,0.0,100.02000000000001
