,TSLA,JD,TRMB,KTOS,GOOG,BIDU,IRDM,U,DDD,PATH,LMT,DE,TER,NIU,KMTUY,NXPI,NNDM,CAT,MG.TO,ISRG,BYDDY,TSP,RAVN,TWOU,VUZI,MTLS,NVDA,TDY,AVAV,SNPS,ESLT,ANSS,BABA,BLDE,ACIC,TCEHY,SPFR,SSYS,PCAR,AONE,PRLB,XONE,BZ,DREYFUS GOVT CASH MAN INS,ONVO,GLEO,MKFG,n/a,PLTR,ESLT.TA,MGA,ACHR,VLD,XPEV,SUM
10/11/2021,10.87,3.8,7.01,7.04,2.58,1.45,4.44,6.33,3.36,6.8,3.72,3.16,2.11,2.47,3.7,0.02,1.99,1.68,2.28,1.0,0.66,2.74,0.0,1.11,0.95,1.1,0.0,1.23,2.45,1.05,0.0,1.01,0.0,1.88,0.0,0.0,0.0,1.03,0.0,0.0,1.05,0.0,0.0,0.0,0.04,0.0,2.11,0.73,1.0,1.35,0.0,1.67,1.02,0.0,99.99
10/13/2021,10.81,3.93,6.96,7.08,2.61,1.51,4.3,6.36,3.35,6.71,3.75,3.17,2.09,2.51,3.64,0.0,1.99,1.69,2.32,0.98,0.62,2.8,0.0,1.1,0.94,1.08,0.0,1.22,2.45,1.03,0.0,1.01,0.0,1.87,0.0,0.0,0.0,1.09,0.0,0.0,1.03,0.0,0.0,0.0,0.03,0.0,2.15,0.62,0.99,1.35,0.0,1.76,1.09,0.0,99.99
10/14/2021,10.98,3.93,6.88,7.19,2.6,1.52,4.33,6.39,3.33,6.33,3.82,3.09,2.07,2.65,3.67,0.0,1.99,1.68,2.34,0.97,0.6,2.59,0.0,1.09,0.93,1.08,0.0,1.23,2.49,1.02,0.0,1.01,0.0,1.95,0.0,0.0,0.0,1.12,0.0,0.0,1.03,0.0,0.0,0.0,0.04,0.0,2.22,0.62,1.0,1.34,0.0,1.77,1.1,0.0,99.99
10/15/2021,11.07,3.92,6.84,7.11,2.54,1.48,4.41,6.5,3.35,6.27,3.8,3.05,2.04,2.65,3.64,0.0,1.98,1.64,2.35,0.96,0.56,2.76,0.0,1.08,0.93,1.09,0.0,1.22,2.48,1.03,0.0,1.0,0.0,1.96,0.0,0.0,0.0,1.11,0.0,0.0,1.02,0.0,0.0,0.0,0.04,0.0,2.28,0.64,1.0,1.35,0.0,1.76,1.09,0.0,100.0
10/18/2021,11.03,3.97,6.96,7.1,2.58,1.48,4.43,6.47,3.37,6.56,3.76,2.98,2.1,2.61,3.62,0.0,1.96,1.64,2.33,0.96,0.57,2.75,0.0,1.09,0.94,1.13,0.0,1.21,2.48,1.05,0.0,1.02,0.0,1.97,0.0,0.0,0.0,1.12,0.0,0.0,1.05,0.0,0.0,0.0,0.04,0.0,2.4,0.16,1.01,1.34,0.0,1.58,1.15,0.0,99.96999999999998
10/21/2021,11.52,4.0,7.02,6.88,2.58,1.55,4.47,6.62,3.29,6.34,3.76,2.98,2.14,2.56,3.69,0.0,1.89,1.66,2.27,0.96,0.6,2.59,0.0,1.13,0.9,1.11,0.0,1.21,2.49,1.05,0.0,1.02,0.0,2.04,0.0,0.0,0.0,1.1,0.0,0.0,1.06,0.0,0.0,0.0,0.03,0.0,2.43,0.0,0.99,1.32,0.0,1.48,1.28,0.0,100.01
10/22/2021,11.23,4.04,7.04,6.92,2.55,1.59,4.54,6.57,3.42,6.44,3.75,3.02,2.12,2.56,3.61,0.0,1.98,1.65,2.21,0.95,0.6,2.61,0.0,1.11,0.92,1.17,0.0,1.2,2.49,1.04,0.0,1.01,0.0,2.08,0.0,0.0,0.0,1.18,0.0,0.0,1.07,0.0,0.0,0.0,0.03,0.0,2.37,0.0,0.99,1.31,0.0,1.4,1.21,0.0,99.98
10/25/2021,11.46,4.0,7.09,6.89,2.33,1.6,4.56,6.55,3.36,6.34,3.77,3.02,2.13,2.55,3.67,0.0,1.92,1.66,2.22,0.96,0.6,2.52,0.0,1.07,0.98,1.2,0.0,1.22,2.49,1.08,0.0,1.03,0.0,2.1,0.0,0.0,0.0,1.16,0.0,0.0,1.05,0.0,0.0,0.0,0.03,0.0,2.32,0.07,1.0,1.29,0.0,1.42,1.26,0.0,99.97
10/26/2021,11.46,4.0,7.09,6.89,2.33,1.6,4.56,6.55,3.36,6.34,3.77,3.02,2.13,2.55,3.67,0.0,1.92,1.66,2.22,0.96,0.6,2.52,0.0,1.07,0.98,1.2,0.0,1.22,2.49,1.08,0.0,1.03,0.0,2.1,0.0,0.0,0.0,1.16,0.0,0.0,1.05,0.0,0.0,0.0,0.03,0.0,2.32,0.07,1.0,1.29,0.0,1.42,1.26,0.0,99.97
10/27/2021,11.82,4.01,7.14,6.91,2.29,1.6,4.55,6.48,3.26,6.4,3.84,3.04,2.14,2.49,3.78,0.0,1.89,1.67,2.17,0.98,0.63,2.49,0.0,1.04,0.94,1.19,0.0,1.24,2.47,1.09,0.0,1.04,0.0,1.95,0.0,0.0,0.0,1.11,0.0,0.0,1.05,0.0,0.0,0.0,0.03,0.0,2.26,0.05,1.0,1.31,0.0,1.42,1.25,0.0,100.02
10/28/2021,12.88,3.93,6.9,6.65,2.22,1.53,4.43,6.37,3.38,6.63,3.73,3.04,2.09,2.49,3.63,0.0,1.95,1.63,2.1,0.95,0.64,2.45,0.0,1.0,0.94,1.21,0.0,1.2,2.42,1.06,0.0,1.02,0.0,1.88,0.0,0.0,0.0,1.31,0.0,0.0,1.1,0.0,0.0,0.0,0.03,0.0,2.09,0.2,1.0,1.29,0.0,1.28,1.36,0.0,100.01
10/29/2021,12.11,3.84,6.91,6.72,2.25,1.48,4.49,6.49,3.87,6.58,3.32,2.97,2.07,2.64,3.71,0.0,2.1,1.62,2.1,0.97,0.64,2.47,0.0,1.0,0.91,1.18,0.0,1.19,2.4,1.09,0.0,1.03,0.0,1.94,0.0,0.0,0.0,1.24,0.0,0.0,1.07,0.0,0.0,0.0,0.03,0.0,2.24,0.18,1.01,1.38,0.0,1.31,1.46,0.0,100.01
11/01/2021,11.82,3.87,6.97,6.55,2.4,1.49,4.44,6.44,3.76,6.4,3.26,2.99,2.24,2.67,3.83,0.0,2.17,1.62,2.13,0.99,0.66,2.49,0.0,0.99,0.88,1.18,0.0,1.25,2.43,1.07,0.0,1.03,0.0,1.92,0.0,0.0,0.0,1.2,0.0,0.0,1.08,0.0,0.0,0.0,0.03,0.0,2.33,0.13,1.01,1.42,0.0,1.29,1.57,0.0,99.99999999999996
11/02/2021,11.82,3.87,6.97,6.55,2.4,1.49,4.44,6.44,3.76,6.4,3.26,2.99,2.24,2.67,3.83,0.0,2.17,1.62,2.13,0.99,0.66,2.49,0.0,0.99,0.88,1.18,0.0,1.25,2.43,1.07,0.0,1.03,0.0,1.92,0.0,0.0,0.0,1.2,0.0,0.0,1.08,0.0,0.0,0.0,0.03,0.0,2.33,0.13,1.01,1.42,0.0,1.29,1.57,0.0,99.99999999999996
11/03/2021,11.82,3.87,6.97,6.55,2.4,1.49,4.44,6.44,3.76,6.4,3.26,2.99,2.24,2.67,3.83,0.0,2.17,1.62,2.13,0.99,0.66,2.49,0.0,0.99,0.88,1.18,0.0,1.25,2.43,1.07,0.0,1.03,0.0,1.92,0.0,0.0,0.0,1.2,0.0,0.0,1.08,0.0,0.0,0.0,0.03,0.0,2.33,0.13,1.01,1.42,0.0,1.29,1.57,0.0,99.99999999999996
11/04/2021,11.82,3.87,6.97,6.55,2.4,1.49,4.44,6.44,3.76,6.4,3.26,2.99,2.24,2.67,3.83,0.0,2.17,1.62,2.13,0.99,0.66,2.49,0.0,0.99,0.88,1.18,0.0,1.25,2.43,1.07,0.0,1.03,0.0,1.92,0.0,0.0,0.0,1.2,0.0,0.0,1.08,0.0,0.0,0.0,0.03,0.0,2.33,0.13,1.01,1.42,0.0,1.29,1.57,0.0,99.99999999999996
11/15/2021,11.45,3.81,6.57,6.73,2.27,1.41,4.48,6.5,3.54,7.34,2.62,2.98,2.47,2.75,3.75,0.0,2.02,1.63,2.14,0.94,0.62,2.64,0.0,0.8,1.1,1.24,0.0,1.16,2.35,1.08,0.0,1.02,0.0,1.92,0.0,0.0,0.0,1.25,0.0,0.0,0.81,0.0,0.0,0.0,0.03,0.0,2.55,0.27,1.08,1.27,0.0,1.74,1.71,0.0,100.04
11/16/2021,11.45,3.81,6.57,6.73,2.27,1.41,4.48,6.5,3.54,7.34,2.62,2.98,2.47,2.75,3.75,0.0,2.02,1.63,2.14,0.94,0.62,2.64,0.0,0.8,1.1,1.24,0.0,1.16,2.35,1.08,0.0,1.02,0.0,1.92,0.0,0.0,0.0,1.25,0.0,0.0,0.81,0.0,0.0,0.0,0.03,0.0,2.55,0.27,1.08,1.27,0.0,1.74,1.71,0.0,100.04
11/17/2021,11.09,3.88,6.64,6.72,2.31,1.43,4.4,6.99,3.59,6.84,2.53,2.99,2.51,2.77,3.74,0.0,2.03,1.63,2.18,0.95,0.6,2.66,0.0,0.83,1.27,1.27,0.0,1.15,2.33,1.1,0.0,1.03,0.0,2.05,0.0,0.0,0.0,1.24,0.0,0.0,0.82,0.0,0.0,0.0,0.03,0.0,2.55,0.18,1.07,1.27,0.0,1.64,1.69,0.0,100.0
11/18/2021,10.89,3.82,6.7,6.76,2.01,1.42,4.41,7.03,3.65,6.83,2.29,3.01,2.55,2.69,3.72,0.0,1.98,1.62,2.24,0.95,0.58,2.77,0.0,0.83,1.25,1.24,0.0,1.16,2.34,1.1,0.0,1.04,0.0,2.23,0.0,0.0,0.0,1.23,0.0,0.0,1.16,0.0,0.0,0.0,0.03,0.0,2.52,0.17,1.1,1.28,0.0,1.72,1.69,0.0,100.01
11/19/2021,11.22,3.83,6.78,6.58,1.98,1.43,4.31,6.83,3.59,7.06,2.2,2.99,2.58,2.73,3.61,0.0,1.93,1.59,2.21,0.96,0.6,2.82,0.0,0.82,1.33,1.25,0.0,1.16,2.29,1.11,0.0,1.04,0.0,2.2,0.0,0.0,0.0,1.21,0.0,0.0,1.15,0.0,0.0,0.0,0.03,0.0,2.56,0.15,1.08,1.28,0.0,1.83,1.72,0.0,100.04
11/22/2021,11.69,3.75,6.8,6.58,2.0,1.36,4.34,6.57,3.58,7.05,2.24,2.95,2.61,2.65,3.59,0.0,1.86,1.58,2.22,0.97,0.59,2.84,0.0,0.81,1.25,1.22,0.0,1.17,2.33,1.12,0.0,1.05,0.0,2.12,0.0,0.0,0.0,1.14,0.0,0.0,1.11,0.0,0.0,0.0,0.03,0.0,2.57,0.13,1.06,1.29,0.0,1.9,1.87,0.0,99.99
11/23/2021,11.69,3.75,6.8,6.58,2.0,1.36,4.34,6.57,3.58,7.05,2.24,2.95,2.61,2.65,3.59,0.0,1.86,1.58,2.22,0.97,0.59,2.84,0.0,0.81,1.25,1.22,0.0,1.17,2.33,1.12,0.0,1.05,0.0,2.12,0.0,0.0,0.0,1.14,0.0,0.0,1.11,0.0,0.0,0.0,0.03,0.0,2.57,0.13,1.06,1.29,0.0,1.9,1.87,0.0,99.99
11/24/2021,12.38,4.19,6.89,6.34,2.04,1.29,4.25,6.24,3.45,6.8,2.13,2.93,2.64,2.57,3.58,0.0,1.76,1.58,2.2,0.95,0.61,2.96,0.0,0.8,1.13,1.24,0.0,1.17,2.29,1.15,0.0,1.07,0.0,2.08,0.0,0.0,0.0,1.12,0.0,0.0,1.07,0.0,0.0,0.0,0.02,0.0,2.58,0.16,1.02,1.3,0.0,1.97,2.01,0.0,99.96
11/25/2021,12.01,4.14,6.97,6.55,2.07,1.3,4.24,6.02,3.38,6.52,2.13,3.05,2.69,2.49,3.72,0.0,1.73,1.65,2.23,0.96,0.65,2.83,0.0,0.79,1.08,1.22,0.0,1.19,2.35,1.16,0.0,1.09,0.0,1.97,0.0,0.0,0.0,1.09,0.0,0.0,1.1,0.0,0.0,0.0,0.02,0.0,2.7,0.2,1.31,1.33,0.0,2.18,1.87,0.0,99.98
11/26/2021,11.59,4.25,6.93,6.64,2.08,1.33,4.33,6.02,3.39,6.43,1.88,3.07,2.7,2.56,3.73,0.0,1.75,1.69,2.23,0.95,0.66,2.75,0.0,0.78,1.08,1.23,0.0,1.19,2.3,1.15,0.0,1.09,0.0,1.92,0.0,0.0,0.0,1.08,0.0,0.0,1.07,0.0,0.0,0.0,0.02,0.0,2.65,0.27,1.32,1.35,0.0,2.26,2.26,0.0,99.98
11/29/2021,11.42,4.16,6.82,6.61,2.04,1.31,4.25,6.09,3.4,6.47,1.83,3.17,2.68,2.59,3.61,0.0,1.89,1.67,2.15,0.94,0.65,2.89,0.0,0.78,1.07,1.26,0.0,1.18,2.27,1.15,0.0,1.06,0.0,1.9,0.0,0.0,0.0,1.08,0.0,0.0,1.09,0.0,0.0,0.0,0.02,0.0,2.64,0.64,1.33,1.32,0.0,2.26,2.32,0.0,100.01
11/30/2021,11.42,4.16,6.82,6.61,2.04,1.31,4.25,6.09,3.4,6.47,1.83,3.17,2.68,2.59,3.61,0.0,1.89,1.67,2.15,0.94,0.65,2.89,0.0,0.78,1.07,1.26,0.0,1.18,2.27,1.15,0.0,1.06,0.0,1.9,0.0,0.0,0.0,1.08,0.0,0.0,1.09,0.0,0.0,0.0,0.02,0.0,2.64,0.64,1.33,1.32,0.0,2.26,2.32,0.0,100.01
12/01/2021,11.36,4.24,6.77,6.58,2.03,1.36,4.23,6.18,3.36,6.71,1.88,3.17,2.67,2.5,3.46,0.0,1.89,1.64,2.15,0.93,0.63,2.98,0.0,0.83,1.03,1.25,0.0,1.17,2.24,1.15,0.0,1.06,0.0,1.93,0.0,0.0,0.0,1.06,0.0,0.0,1.07,0.0,0.0,0.0,0.02,0.0,2.67,0.31,1.35,1.31,0.0,2.41,2.39,0.0,99.97
12/02/2021,11.94,4.2,7.02,6.54,2.08,1.34,4.32,4.57,3.38,6.68,1.87,3.07,2.81,2.64,3.43,0.0,1.82,1.62,2.1,0.95,0.73,3.12,0.0,0.78,1.01,1.26,0.0,1.19,2.22,1.2,0.0,1.11,0.0,1.97,0.0,0.0,0.0,1.06,0.0,0.0,1.04,0.0,0.0,0.0,0.03,0.0,2.7,0.3,1.76,1.32,0.0,2.38,2.43,0.0,99.99
12/06/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/07/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/08/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/09/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/10/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/13/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/14/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/15/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/16/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/17/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/20/2021,11.68,4.14,7.18,6.95,2.1,1.36,4.48,4.2,3.36,5.99,1.36,3.18,2.82,2.62,3.52,0.0,1.73,1.26,2.15,1.1,1.07,2.97,0.0,0.76,1.05,1.23,0.0,1.19,2.19,1.21,0.0,1.13,0.0,2.16,0.0,0.0,0.0,1.05,0.0,0.0,1.11,0.0,0.0,0.0,0.02,0.0,2.72,0.4,1.69,1.36,0.0,2.74,2.21,0.56,100.0
12/21/2021,10.11,3.14,7.59,6.91,2.28,1.38,4.77,3.96,3.39,6.21,1.37,3.39,3.18,2.22,3.8,0.0,1.65,1.42,2.29,1.21,1.03,2.68,0.0,0.76,1.02,1.36,0.0,1.31,2.08,1.31,0.0,1.22,0.0,2.6,0.0,0.0,0.0,1.08,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.26,0.11,1.69,1.69,0.0,3.23,1.91,1.21,100.01
12/22/2021,10.06,3.03,7.56,7.02,2.22,1.38,5.02,4.05,3.53,6.37,1.35,3.34,3.1,2.12,3.71,0.0,1.72,1.37,2.25,1.21,0.99,2.71,0.0,0.8,1.03,1.49,0.0,1.25,2.11,1.28,0.0,1.2,0.0,2.5,0.0,0.0,0.0,1.13,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.25,0.27,1.74,1.67,0.0,2.95,1.85,1.18,100.0
12/23/2021,9.96,2.99,7.6,6.99,2.27,1.37,4.88,4.13,3.54,6.56,1.36,3.35,2.97,2.11,3.8,0.0,1.68,1.37,2.26,1.22,0.94,2.76,0.0,0.78,0.99,1.49,0.0,1.27,2.12,1.3,0.0,1.2,0.0,2.69,0.0,0.0,0.0,1.1,0.0,0.0,1.19,0.0,0.0,0.0,0.02,0.0,2.18,0.16,1.68,1.67,0.0,2.99,1.83,1.2,99.96999999999996
12/24/2021,10.01,3.1,7.56,6.96,2.22,1.39,5.05,3.91,3.57,6.63,1.32,3.33,2.95,2.33,3.64,0.0,1.69,1.34,2.23,1.23,0.97,2.83,0.0,0.81,1.02,1.5,0.0,1.26,2.05,1.3,0.0,1.19,0.0,2.73,0.0,0.0,0.0,1.1,0.0,0.0,1.19,0.0,0.0,0.0,0.02,0.0,2.27,0.15,1.7,1.59,0.0,2.8,1.79,1.29,100.02
12/27/2021,10.66,3.08,7.45,6.87,1.93,1.36,5.06,3.85,3.48,6.72,1.32,3.27,2.94,2.31,3.66,0.0,1.65,1.35,2.24,1.27,0.98,2.95,0.0,0.78,1.01,1.48,0.0,1.25,2.02,1.31,0.0,1.19,0.0,2.59,0.0,0.0,0.0,1.07,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.26,0.4,1.69,1.6,0.0,2.61,1.79,1.37,100.01000000000002
12/28/2021,10.66,3.08,7.45,6.87,1.93,1.36,5.06,3.85,3.48,6.72,1.32,3.27,2.94,2.31,3.66,0.0,1.65,1.35,2.24,1.27,0.98,2.95,0.0,0.78,1.01,1.48,0.0,1.25,2.02,1.31,0.0,1.19,0.0,2.59,0.0,0.0,0.0,1.07,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.26,0.4,1.69,1.6,0.0,2.61,1.79,1.37,100.01000000000002
12/29/2021,11.11,2.83,7.36,6.84,1.91,1.35,4.94,3.81,3.43,6.69,1.32,3.24,2.92,2.28,3.67,0.0,1.64,1.36,2.24,1.25,0.98,2.96,0.0,0.76,0.99,1.42,0.0,1.24,2.02,1.3,0.0,1.18,0.0,2.62,0.0,0.0,0.0,1.07,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.33,0.4,1.67,1.57,0.0,2.94,1.81,1.36,100.0
12/30/2021,11.1,2.78,7.54,6.75,1.91,1.34,4.87,3.86,3.42,6.63,1.32,3.25,3.02,2.26,3.61,0.0,1.56,1.35,2.25,1.25,0.95,3.01,0.0,0.73,0.99,1.42,0.0,1.25,2.0,1.32,0.0,1.2,0.0,2.45,0.0,0.0,0.0,1.08,0.0,0.0,1.16,0.0,0.0,0.0,0.02,0.0,2.33,0.64,1.66,1.59,0.0,2.84,1.93,1.36,100.0
12/31/2021,11.07,2.73,7.55,6.8,1.91,1.33,4.91,3.78,3.35,6.66,1.35,3.27,2.98,2.29,3.66,0.0,1.54,1.37,2.26,1.27,0.94,2.87,0.0,0.72,0.93,1.43,0.0,1.27,2.01,1.33,0.0,1.21,0.0,2.38,0.0,0.0,0.0,1.13,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.37,0.62,1.65,1.65,0.0,2.87,1.99,1.35,99.99
01/03/2022,10.58,2.91,7.49,6.67,1.9,1.41,4.94,3.83,3.4,6.77,1.34,3.19,2.95,2.35,3.62,0.0,1.55,1.36,2.27,1.26,0.99,2.82,0.0,0.74,0.94,1.5,0.0,1.27,1.98,1.32,0.0,1.19,0.0,2.58,0.0,0.0,0.0,1.16,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.42,0.84,1.65,1.63,0.0,2.58,1.87,1.54,100.0
01/03/2022,10.58,2.91,7.49,6.67,1.9,1.41,4.94,3.83,3.4,6.77,1.34,3.19,2.95,2.35,3.62,0.0,1.55,1.36,2.27,1.26,0.99,2.82,0.0,0.74,0.94,1.5,0.0,1.27,1.98,1.32,0.0,1.19,0.0,2.58,0.0,0.0,0.0,1.16,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.42,0.84,1.65,1.63,0.0,2.58,1.87,1.54,100.0
01/03/2022,10.58,2.91,7.49,6.67,1.9,1.41,4.94,3.83,3.4,6.77,1.34,3.19,2.95,2.35,3.62,0.0,1.55,1.36,2.27,1.26,0.99,2.82,0.0,0.74,0.94,1.5,0.0,1.27,1.98,1.32,0.0,1.19,0.0,2.58,0.0,0.0,0.0,1.16,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.42,0.84,1.65,1.63,0.0,2.58,1.87,1.54,100.0
01/04/2022,10.58,2.91,7.49,6.67,1.9,1.41,4.94,3.83,3.4,6.77,1.34,3.19,2.95,2.35,3.62,0.0,1.55,1.36,2.27,1.26,0.99,2.82,0.0,0.74,0.94,1.5,0.0,1.27,1.98,1.32,0.0,1.19,0.0,2.58,0.0,0.0,0.0,1.16,0.0,0.0,1.17,0.0,0.0,0.0,0.02,0.0,2.42,0.84,1.65,1.63,0.0,2.58,1.87,1.54,100.0
01/05/2022,10.62,2.94,7.59,6.81,1.91,1.42,4.92,3.81,3.42,6.68,1.37,3.24,2.99,2.4,3.69,0.0,1.55,1.39,2.32,1.26,0.97,2.94,0.0,0.74,0.95,1.46,0.0,1.29,2.01,1.33,0.0,1.2,0.0,2.55,0.0,0.0,0.0,1.17,0.0,0.0,1.16,0.0,0.0,0.0,0.02,0.0,2.34,0.13,1.63,1.66,0.0,2.64,1.89,1.61,100.01999999999998
01/06/2022,11.19,2.24,7.38,6.76,1.87,1.39,4.8,3.62,3.44,7.18,1.34,3.24,2.98,2.42,3.62,0.0,1.62,1.36,2.29,1.24,0.98,2.92,0.0,0.75,0.97,1.47,0.0,1.28,1.99,1.27,0.0,1.15,0.0,2.52,0.0,0.0,0.0,1.17,0.0,0.0,1.2,0.0,0.0,0.0,0.02,0.0,2.42,0.12,1.93,1.64,0.0,2.64,1.99,1.58,99.99
01/07/2022,10.87,2.13,7.35,6.96,1.89,1.39,4.83,3.43,3.44,7.19,1.39,3.49,2.85,2.33,3.74,0.0,1.61,1.45,2.44,1.24,0.99,2.79,0.0,0.71,1.09,1.43,0.0,1.31,2.03,1.12,0.0,1.16,0.0,2.38,0.0,0.0,0.0,1.16,0.0,0.0,1.19,0.0,0.0,0.0,0.02,0.0,2.46,0.12,2.08,1.69,0.0,2.59,2.16,1.51,100.01
01/10/2022,10.58,2.08,7.44,6.82,1.89,1.5,4.96,3.33,3.28,7.04,1.44,3.71,2.94,2.53,4.14,0.0,1.61,1.55,2.55,1.22,0.96,2.45,0.0,0.72,1.1,1.43,0.0,1.31,2.24,1.11,0.0,1.15,0.0,2.29,0.0,0.0,0.0,1.16,0.0,0.0,1.22,0.0,0.0,0.0,0.02,0.0,2.59,0.21,2.01,1.75,0.0,2.29,1.82,1.56,100.0
01/11/2022,10.58,2.08,7.44,6.82,1.89,1.5,4.96,3.33,3.28,7.04,1.44,3.71,2.94,2.53,4.14,0.0,1.61,1.55,2.55,1.22,0.96,2.45,0.0,0.72,1.1,1.43,0.0,1.31,2.24,1.11,0.0,1.15,0.0,2.29,0.0,0.0,0.0,1.16,0.0,0.0,1.22,0.0,0.0,0.0,0.02,0.0,2.59,0.21,2.01,1.75,0.0,2.29,1.82,1.56,100.0
01/12/2022,10.33,2.15,7.27,6.86,1.91,1.54,5.13,3.39,3.32,7.05,1.47,3.78,2.88,2.58,4.16,0.0,1.64,1.59,2.59,1.2,0.96,2.41,0.0,0.73,1.07,1.44,0.0,1.31,2.38,1.08,0.0,1.14,0.0,2.29,0.0,0.0,0.0,1.2,0.0,0.0,1.24,0.0,0.0,0.0,0.02,0.0,2.5,0.18,2.02,1.78,0.0,2.14,1.75,1.53,100.01
