,WSM,SHOP,EBAY,4755.T,AMZN,EXPE,W,GDDY,TCOM,NTES,BKNG,ETSY,CSGP,BABA,MELI,JD,OCDO.L,PDD,ASC.L,VIPS,QRTEA,LPSN,OSTK,TRIP,STMP,YELP,BZUN,TREE,SSTK,JMIA,UXIN,BIGC,LX,EHTH,GRPN,ANGI,LE,PETS,042000.KQ,TPW.AX,CASH,OSTKO,GOED,n/a,FRGXX,OSTK 1.0204 PERP A-1,SUM
10/22/2021,4.97,4.38,4.73,3.81,4.03,4.45,3.83,3.54,4.22,3.83,4.88,5.34,4.84,3.61,4.55,4.85,4.18,3.86,1.4,2.76,2.05,2.2,1.98,1.99,0.0,0.0,0.69,1.01,1.64,1.07,0.44,1.22,0.45,0.66,0.32,0.53,0.19,0.31,0.29,0.4,0.0,0.01,0.36,0.15,0.0,0.0,100.02
10/25/2021,5.05,4.4,4.82,3.82,4.01,4.35,3.74,3.53,4.2,3.88,4.77,5.55,4.94,3.61,4.53,4.79,4.27,3.84,1.5,2.83,2.03,1.97,1.98,1.9,0.0,0.0,0.68,0.99,1.66,1.06,0.43,1.2,0.45,0.65,0.32,0.53,0.2,0.3,0.28,0.41,0.0,0.01,0.33,0.17,0.0,0.0,99.98
10/26/2021,5.05,4.4,4.82,3.82,4.01,4.35,3.74,3.53,4.2,3.88,4.77,5.55,4.94,3.61,4.53,4.79,4.27,3.84,1.5,2.83,2.03,1.97,1.98,1.9,0.0,0.0,0.68,0.99,1.66,1.06,0.43,1.2,0.45,0.65,0.32,0.53,0.2,0.3,0.28,0.41,0.0,0.01,0.33,0.17,0.0,0.0,99.98
10/27/2021,5.11,4.22,5.13,3.91,3.92,4.35,3.65,3.55,4.12,3.92,4.77,5.71,5.01,3.64,4.32,4.77,4.23,3.94,1.53,2.78,2.07,2.03,1.99,1.88,0.0,0.0,0.68,0.97,1.64,0.98,0.42,1.13,0.45,0.64,0.31,0.51,0.2,0.31,0.29,0.41,0.0,0.01,0.32,0.17,0.0,0.0,99.99
10/28/2021,4.97,4.21,5.11,3.91,3.89,4.33,3.62,3.56,3.93,3.92,4.79,5.96,4.98,3.59,4.4,4.82,4.24,3.99,1.44,2.77,2.11,2.02,2.05,1.9,0.0,0.0,0.67,1.01,1.61,1.01,0.42,1.13,0.46,0.62,0.32,0.54,0.21,0.31,0.29,0.4,0.0,0.01,0.32,0.16,0.0,0.0,100.0
10/29/2021,4.96,4.08,5.05,3.97,4.01,4.43,3.68,3.63,3.95,3.84,4.92,5.93,5.09,3.52,4.49,4.73,4.23,3.74,1.49,2.68,2.07,2.05,2.04,1.9,0.0,0.0,0.64,1.02,1.68,0.99,0.41,1.09,0.46,0.65,0.3,0.54,0.21,0.32,0.31,0.41,0.0,0.01,0.32,0.16,0.0,0.0,100.0
11/01/2021,5.05,4.4,4.7,3.98,4.12,4.5,3.94,3.65,3.98,3.91,4.93,5.86,4.5,3.54,4.44,4.73,4.31,3.74,1.42,2.6,2.1,2.0,2.33,1.87,0.0,0.0,0.64,0.95,1.62,0.97,0.41,1.06,0.45,0.67,0.3,0.55,0.22,0.32,0.3,0.42,0.0,0.01,0.33,0.16,0.0,0.0,99.98
11/02/2021,5.05,4.4,4.7,3.98,4.12,4.5,3.94,3.65,3.98,3.91,4.93,5.86,4.5,3.54,4.44,4.73,4.31,3.74,1.42,2.6,2.1,2.0,2.33,1.87,0.0,0.0,0.64,0.95,1.62,0.97,0.41,1.06,0.45,0.67,0.3,0.55,0.22,0.32,0.3,0.42,0.0,0.01,0.33,0.16,0.0,0.0,99.98
11/03/2021,5.12,4.45,5.0,4.0,4.05,4.52,3.94,3.62,3.96,3.83,4.94,6.07,4.44,3.45,4.36,4.6,4.27,3.62,1.4,2.55,2.14,1.95,2.4,1.86,0.0,0.0,0.62,1.09,1.66,0.95,0.42,1.05,0.42,0.65,0.29,0.54,0.22,0.33,0.3,0.41,0.0,0.02,0.33,0.16,0.0,0.0,100.0
11/04/2021,5.1,4.56,4.9,3.98,3.93,4.54,3.93,3.58,4.02,3.97,5.0,5.82,4.33,3.51,4.32,4.77,4.09,3.75,1.38,2.68,2.21,1.96,2.35,1.83,0.0,0.0,0.66,1.03,1.63,1.03,0.43,1.04,0.43,0.66,0.31,0.54,0.22,0.33,0.29,0.42,0.0,0.01,0.32,0.15,0.0,0.0,100.01
11/05/2021,5.33,4.46,4.86,4.04,3.96,4.38,4.05,3.51,3.99,3.92,4.99,5.81,4.38,3.4,4.42,4.72,4.14,3.74,1.45,2.61,2.2,1.94,2.54,1.81,0.0,0.0,0.63,1.0,1.61,1.01,0.41,1.02,0.43,0.66,0.31,0.51,0.21,0.34,0.3,0.39,0.0,0.01,0.32,0.15,0.0,0.0,99.96
11/08/2021,5.63,4.6,4.89,3.94,4.11,4.27,3.98,3.85,3.9,3.92,4.9,6.47,4.28,3.4,4.51,4.64,4.07,3.47,1.42,2.53,1.66,1.88,2.6,1.81,0.0,0.0,0.61,1.02,1.64,0.99,0.39,1.03,0.43,0.65,0.31,0.5,0.22,0.35,0.27,0.39,0.0,0.02,0.29,0.15,0.0,0.0,99.99
11/09/2021,5.63,4.6,4.89,3.94,4.11,4.27,3.98,3.85,3.9,3.92,4.9,6.47,4.28,3.4,4.51,4.64,4.07,3.47,1.42,2.53,1.66,1.88,2.6,1.81,0.0,0.0,0.61,1.02,1.64,0.99,0.39,1.03,0.43,0.65,0.31,0.5,0.22,0.35,0.27,0.39,0.0,0.02,0.29,0.15,0.0,0.0,99.99
