,NVDA,ISRG,6954.T,ABBN.SW,6861.T,TSP,6506.T,6645.T,6273.T,6383.T,UPST,BRKS,TECN.SW,AI,RSW.L,CRNC,JBT,CGCBV.HE,MAXR CN,ATA.TO,IRBT,AVAV,MTRN.TA,FARO,HLX,6104.T,3993.T,6258.T,7779.T,6232.T,6572.T,4056.T,277810.KQ,UAVS,REKR,4488.T,CASH,n/a,SUM
11/09/2021,10.74,8.23,5.71,6.97,8.63,2.97,3.69,5.07,4.2,4.12,10.3,4.47,3.78,2.33,2.44,2.05,2.52,1.5,1.13,1.74,1.29,1.15,1.36,0.7,0.28,0.35,0.24,0.32,0.24,0.19,0.15,0.17,0.21,0.14,0.3,0.12,0.0,0.22,100.02
11/10/2021,10.73,8.27,5.69,6.94,8.69,2.84,3.69,5.07,4.21,4.16,10.62,4.49,3.43,2.31,2.48,2.0,2.58,1.5,1.14,1.75,1.27,1.16,1.36,0.73,0.29,0.34,0.24,0.32,0.23,0.18,0.15,0.17,0.21,0.14,0.29,0.11,0.0,0.21,99.99000000000002
11/11/2021,11.09,8.26,5.66,7.01,8.47,2.97,3.63,4.96,4.14,3.85,10.7,4.53,3.49,2.35,2.51,1.96,2.62,1.48,1.1,1.86,1.25,1.14,1.34,0.73,0.29,0.35,0.24,0.32,0.24,0.19,0.14,0.16,0.21,0.14,0.29,0.11,0.0,0.21,99.99
11/12/2021,11.16,8.33,5.62,7.09,8.52,3.04,3.63,4.92,4.19,3.81,10.14,4.54,3.54,2.45,2.53,1.98,2.68,1.47,1.13,1.89,1.25,1.15,1.35,0.73,0.3,0.34,0.24,0.32,0.24,0.18,0.14,0.16,0.21,0.14,0.28,0.11,0.0,0.21,100.01
11/15/2021,11.5,8.33,6.01,7.35,8.6,3.15,3.79,5.05,4.33,3.83,8.26,4.36,3.63,2.3,2.61,2.0,2.73,1.57,1.14,1.89,1.29,1.17,1.43,0.74,0.29,0.41,0.24,0.33,0.24,0.19,0.15,0.16,0.22,0.14,0.27,0.12,0.0,0.21,100.03000000000002
11/16/2021,11.5,8.33,6.01,7.35,8.6,3.15,3.79,5.05,4.33,3.83,8.26,4.36,3.63,2.3,2.61,2.0,2.73,1.57,1.14,1.89,1.29,1.17,1.43,0.74,0.29,0.41,0.24,0.33,0.24,0.19,0.15,0.16,0.22,0.14,0.27,0.12,0.0,0.21,100.03000000000002
11/17/2021,11.35,8.33,5.98,7.3,8.55,3.16,3.82,4.99,4.23,3.88,8.76,4.35,3.61,2.34,2.58,2.03,2.67,1.55,1.13,1.87,1.28,1.15,1.42,0.72,0.29,0.41,0.24,0.33,0.24,0.19,0.15,0.17,0.22,0.14,0.25,0.13,0.0,0.21,100.02
11/18/2021,11.29,8.35,6.13,7.33,8.67,3.14,3.85,5.06,4.33,4.04,7.8,4.36,3.65,2.41,2.6,2.06,2.72,1.55,1.16,1.86,1.31,1.17,1.45,0.72,0.29,0.4,0.3,0.32,0.24,0.19,0.15,0.14,0.22,0.13,0.25,0.13,0.0,0.2,99.96999999999998
11/19/2021,11.32,8.5,6.03,7.35,8.7,3.18,3.8,5.06,4.21,3.98,7.85,4.56,3.65,2.41,2.54,2.11,2.72,1.54,1.13,1.82,1.33,1.15,1.45,0.71,0.29,0.39,0.33,0.31,0.25,0.19,0.15,0.14,0.22,0.13,0.16,0.13,0.0,0.2,99.99
11/22/2021,11.0,8.53,6.04,7.45,8.78,3.08,3.8,4.98,4.39,3.97,7.74,4.55,3.72,2.3,2.63,2.06,2.75,1.55,1.23,1.85,1.29,1.16,1.48,0.71,0.27,0.44,0.34,0.31,0.24,0.2,0.15,0.16,0.22,0.13,0.17,0.13,0.0,0.2,100.0
11/23/2021,11.0,8.53,6.04,7.45,8.78,3.08,3.8,4.98,4.39,3.97,7.74,4.55,3.72,2.3,2.63,2.06,2.75,1.55,1.23,1.85,1.29,1.16,1.48,0.71,0.27,0.44,0.34,0.31,0.24,0.2,0.15,0.16,0.22,0.13,0.17,0.13,0.0,0.2,99.99999999999999
