,RIG,SLCA,HP,NBR,HAL,WHD,OII,SLB,PTEN,CHX,LBRT,BKR,FTI,NOV,PUMP,AROC,CLB,HLX,NEX,OIS,BOOM,ASPN,DRQ,TTI,FI,VTOL,Tidewater Inc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,TDW,SSIXX,State Street Instl Liquid Reserves Prem,n/a,XPRO,GVMXX,VAL,NE,SUM
11/30/2021,4.53,3.26,4.26,4.73,4.61,4.43,4.47,4.61,4.82,4.2,5.14,4.32,4.77,4.17,3.88,3.17,4.16,4.56,3.61,2.77,2.77,3.72,2.65,2.68,0.0,1.88,0.0,0.0,0.0,0.64,0.06,0.0,0.0,1.14,2.77,0.0,0.0,102.78
12/01/2021,4.53,3.26,4.26,4.73,4.61,4.43,4.47,4.61,4.82,4.2,5.14,4.32,4.77,4.17,3.88,3.17,4.16,4.56,3.61,2.77,2.77,3.72,2.65,2.68,0.0,1.88,0.0,0.0,0.0,0.64,0.06,0.0,0.0,1.14,2.77,0.0,0.0,102.78
12/02/2021,3.99,4.4,4.01,4.55,5.11,4.72,4.1,5.11,4.24,4.2,4.36,4.45,4.15,4.39,4.08,3.28,4.0,4.2,3.16,2.51,3.07,5.17,2.25,2.65,0.0,2.05,0.0,0.0,0.0,0.63,0.12,0.0,0.0,1.05,0.0,0.0,0.0,100.0
12/06/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/07/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/08/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/09/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/10/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/13/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/14/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/15/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
12/16/2021,3.93,4.4,3.79,4.32,5.29,4.84,4.31,5.14,4.4,4.43,4.27,4.72,4.2,4.37,4.22,3.21,3.88,4.17,3.1,2.45,3.12,4.84,2.27,2.54,0.0,1.98,0.0,0.0,0.0,0.64,0.17,0.0,0.0,1.0,0.0,0.0,0.0,100.0
