,FB,700.HK,SNAP,TWTR,035720.KS,GOOGL,035420.KS,PINS,NTES,MTCH,BILI,SPOT,YNDX,BIDU,IAC,ZNGA,3659.T,1024.HK,VMEO,TME,MAIL.L,WB,UTDI.DE,2371.T,BMBL,YELP,YALA,2432.T,MOMO,HUYA,2121.T,GRPN,CASH,078340.KQ,ANGI,067160.KQ,YY,3632.T,1357.HK,8044 TT,360.AX,BLCT,HP CN,B 08/12/21,HP.CN,n/a,B 0 08/12/21,FRGXX,MOMOUSD,8044,SUM
10/12/2021,12.09,8.35,10.94,6.46,4.99,6.5,5.17,3.64,4.8,5.24,3.41,4.3,5.28,3.91,2.4,1.63,1.49,1.05,0.79,0.58,0.92,0.8,0.77,0.92,0.62,0.57,0.19,0.33,0.21,0.16,0.19,0.12,0.0,0.14,0.17,0.19,0.12,0.16,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,100.02
10/13/2021,12.14,8.55,10.77,6.44,4.89,6.54,5.1,3.64,4.82,5.17,3.44,4.26,5.29,4.06,2.38,1.62,1.53,1.02,0.74,0.6,0.91,0.82,0.77,0.93,0.6,0.58,0.19,0.33,0.22,0.16,0.19,0.12,0.0,0.13,0.17,0.19,0.12,0.16,0.1,0.1,0.12,0.01,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,100.0
10/14/2021,12.04,8.86,10.62,6.31,4.92,6.53,5.12,3.61,4.83,5.13,3.44,4.27,5.21,4.08,2.37,1.62,1.63,1.08,0.74,0.6,0.91,0.82,0.76,0.93,0.6,0.57,0.19,0.33,0.23,0.16,0.2,0.11,0.0,0.13,0.17,0.19,0.12,0.16,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,100.0
10/15/2021,12.06,8.69,10.95,6.29,4.77,6.47,4.93,3.67,4.81,5.28,3.39,4.36,5.2,4.04,2.42,1.62,1.6,1.02,0.74,0.61,0.92,0.83,0.77,0.93,0.62,0.57,0.19,0.33,0.24,0.16,0.2,0.11,0.0,0.13,0.17,0.19,0.12,0.17,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,99.98
10/18/2021,11.95,8.49,10.88,6.32,5.04,6.53,5.16,3.66,4.73,5.09,3.33,4.48,5.07,4.03,2.52,1.62,1.65,1.0,0.88,0.58,0.91,0.81,0.75,0.91,0.64,0.58,0.18,0.33,0.24,0.15,0.19,0.12,0.0,0.14,0.18,0.2,0.12,0.17,0.1,0.1,0.13,0.01,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,100.04
10/19/2021,11.95,8.49,10.88,6.32,5.04,6.53,5.16,3.66,4.73,5.09,3.33,4.48,5.07,4.03,2.52,1.62,1.65,1.0,0.88,0.58,0.91,0.81,0.75,0.91,0.64,0.58,0.18,0.33,0.24,0.15,0.19,0.12,0.0,0.14,0.18,0.2,0.12,0.17,0.1,0.1,0.13,0.01,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,100.04
10/21/2021,12.03,8.61,10.62,6.4,4.97,6.52,5.1,3.68,4.78,5.06,3.55,4.44,4.98,4.18,2.43,1.59,1.63,0.98,0.9,0.59,0.95,0.81,0.74,0.87,0.6,0.58,0.16,0.33,0.24,0.15,0.19,0.11,0.0,0.15,0.17,0.2,0.12,0.17,0.12,0.1,0.12,0.01,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,99.99
10/22/2021,11.94,8.46,10.48,6.38,5.14,6.4,5.17,3.74,4.8,5.03,3.73,4.47,4.89,4.28,2.4,1.58,1.61,1.05,0.92,0.63,0.95,0.79,0.73,0.87,0.6,0.57,0.17,0.32,0.24,0.16,0.19,0.11,0.0,0.15,0.17,0.21,0.12,0.17,0.11,0.11,0.12,0.01,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,100.03000000000002
10/25/2021,11.87,8.48,10.19,6.24,5.11,6.27,5.16,4.08,4.81,5.44,3.78,4.41,4.77,4.27,2.45,1.61,1.58,1.11,0.87,0.61,0.95,0.81,0.72,0.84,0.65,0.55,0.17,0.31,0.25,0.16,0.19,0.11,0.0,0.16,0.16,0.2,0.12,0.17,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,100.02
10/26/2021,11.87,8.48,10.19,6.24,5.11,6.27,5.16,4.08,4.81,5.44,3.78,4.41,4.77,4.27,2.45,1.61,1.58,1.11,0.87,0.61,0.95,0.81,0.72,0.84,0.65,0.55,0.17,0.31,0.25,0.16,0.19,0.11,0.0,0.16,0.16,0.2,0.12,0.17,0.11,0.1,0.12,0.01,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,100.02
10/27/2021,11.79,8.94,7.82,6.22,5.32,6.36,5.36,4.04,5.06,5.49,3.93,4.57,4.97,4.39,2.54,1.59,1.68,1.23,0.9,0.65,0.97,0.84,0.75,0.87,0.67,0.56,0.17,0.33,0.25,0.16,0.2,0.11,0.0,0.17,0.17,0.21,0.12,0.18,0.11,0.11,0.13,0.01,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,99.99
10/28/2021,11.99,8.89,7.76,6.23,5.32,6.37,5.35,3.54,5.09,5.45,3.89,4.68,5.08,4.36,2.63,1.61,1.66,1.31,0.95,0.64,0.97,0.84,0.74,0.86,0.68,0.58,0.17,0.33,0.26,0.16,0.19,0.12,0.0,0.16,0.18,0.21,0.11,0.18,0.11,0.12,0.13,0.01,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,99.97
