,LMT,RTX,BA,HON,GD,NOC,LHX,TDG,TXT,AXON,HWM,BAH,LDOS,CAE.TO,HII,HEI,J,ESLT,WWD,S9Q.,BWXT,HXL,TDY,CACI,OSK,BLL,AJRD,MRCY,KTOS,CW,MAXR,KBR,SAIC,MANT,TLS,AVAV,PSN,MOG.A,VSAT,AIR,TGI,ATI,FEYE,IRDM,OSIS,KAMN,PAE,PLTR,CMTL,DCO,RADA,VEC,AGPXX,Cash/Receivables/Payables,ESLT.TA,SPR,Vectrus Inc,Interest/Overdraft,Securities Lending - Bnym,n/a,603087.SS,CAE,MOG/A,KEYS,MNDT,SUM
09/24/2021,6.78,7.34,6.6,5.18,5.3,4.85,4.82,4.39,4.46,4.0,3.24,2.78,2.71,2.64,2.49,2.1,2.02,0.0,1.63,0.0,1.45,1.44,1.5,1.44,1.25,1.62,1.14,0.88,0.98,1.11,0.74,0.89,0.8,0.69,0.7,0.62,0.6,0.53,0.64,0.4,0.39,0.34,0.34,0.46,0.37,0.28,0.18,0.27,0.23,0.19,0.18,0.2,0.2,0.0,2.2,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,6.74,7.44,6.79,5.14,5.3,4.79,4.7,4.43,4.55,3.93,3.26,2.71,2.7,2.64,2.49,2.14,2.08,0.0,1.59,0.0,1.43,1.48,1.51,1.41,1.24,1.59,1.09,0.88,0.98,1.12,0.74,0.89,0.79,0.69,0.67,0.59,0.6,0.54,0.65,0.4,0.4,0.34,0.35,0.44,0.37,0.28,0.17,0.29,0.23,0.19,0.18,0.2,0.19,0.0,2.17,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/28/2021,6.81,7.43,6.76,5.1,5.29,4.83,4.73,4.45,4.52,3.98,3.23,2.72,2.73,2.64,2.48,2.17,2.09,0.0,1.58,0.0,1.42,1.46,1.5,1.42,1.23,1.56,1.12,0.88,0.96,1.12,0.73,0.89,0.8,0.69,0.65,0.59,0.58,0.53,0.64,0.4,0.39,0.33,0.34,0.43,0.37,0.28,0.17,0.28,0.23,0.19,0.18,0.2,0.24,0.0,2.16,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
09/29/2021,6.81,7.43,6.76,5.1,5.29,4.83,4.73,4.45,4.52,3.98,3.22,2.72,2.73,2.64,2.48,2.17,2.09,0.0,1.58,0.0,1.42,1.46,1.5,1.42,1.23,1.56,1.12,0.88,0.96,1.12,0.73,0.89,0.8,0.69,0.65,0.59,0.58,0.53,0.64,0.4,0.39,0.33,0.34,0.43,0.37,0.28,0.16,0.28,0.23,0.19,0.18,0.2,0.24,0.0,2.16,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/30/2021,6.81,7.37,6.78,5.02,5.24,4.8,4.67,4.43,4.57,3.92,3.34,2.7,2.76,2.69,2.48,2.17,2.1,0.0,1.57,0.0,1.41,1.49,1.48,1.42,1.23,1.52,1.12,0.89,0.97,1.13,0.74,0.91,0.8,0.7,0.64,0.6,0.59,0.54,0.63,0.39,0.41,0.34,0.34,0.43,0.37,0.28,0.17,0.27,0.23,0.2,0.18,0.2,0.24,0.0,2.14,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
10/07/2021,6.25,6.35,6.37,5.26,4.98,6.48,4.77,4.52,3.88,3.7,2.69,2.76,3.04,3.04,2.48,2.14,1.54,0.0,1.58,0.0,1.42,1.5,1.48,1.48,1.16,1.54,1.11,0.9,0.93,1.15,0.7,1.14,0.79,0.72,0.61,0.65,0.58,0.54,0.87,0.41,0.44,0.49,0.35,0.37,0.4,0.27,0.18,0.26,0.22,0.2,0.18,0.2,0.12,0.0,2.05,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,100.02000000000002
10/08/2021,6.26,6.4,6.37,5.28,4.98,6.53,4.84,4.52,3.9,3.67,2.7,2.71,2.99,3.01,2.47,2.14,1.55,0.0,1.57,0.0,1.44,1.51,1.47,1.46,1.16,1.57,1.08,0.9,0.93,1.15,0.68,1.14,0.78,0.7,0.6,0.64,0.58,0.54,0.85,0.41,0.44,0.5,0.0,0.37,0.39,0.28,0.17,0.26,0.2,0.19,0.18,0.2,0.12,0.0,2.08,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.36,100.0
10/11/2021,6.24,6.41,6.32,5.26,4.99,6.65,4.94,4.47,3.99,3.69,2.66,2.7,2.98,2.99,2.53,2.12,1.55,0.0,1.54,0.0,1.45,1.48,1.45,1.47,1.14,1.55,1.1,0.89,0.92,1.15,0.68,1.16,0.79,0.71,0.61,0.64,0.58,0.53,0.87,0.4,0.42,0.49,0.0,0.36,0.39,0.28,0.17,0.26,0.2,0.19,0.18,0.2,0.12,0.0,2.05,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.36,100.05
10/12/2021,6.27,6.44,6.32,5.24,5.0,6.78,5.0,4.44,3.92,3.59,2.62,2.7,3.02,3.06,2.58,2.11,1.56,0.0,1.54,0.0,1.44,1.47,1.43,1.49,1.09,1.54,1.12,0.9,0.92,1.16,0.69,1.15,0.79,0.71,0.58,0.64,0.58,0.53,0.86,0.4,0.42,0.49,0.0,0.34,0.39,0.28,0.17,0.26,0.2,0.19,0.18,0.2,0.12,0.0,2.04,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.35,100.06000000000002
10/13/2021,6.27,6.44,6.32,5.24,5.0,6.78,5.0,4.44,3.92,3.59,2.62,2.7,3.02,3.06,2.58,2.11,1.56,0.0,1.54,0.0,1.44,1.47,1.43,1.49,1.09,1.54,1.12,0.9,0.92,1.16,0.69,1.15,0.79,0.71,0.58,0.64,0.58,0.53,0.86,0.4,0.42,0.49,0.0,0.34,0.39,0.28,0.17,0.26,0.2,0.19,0.18,0.2,0.12,0.0,2.04,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.35,100.06000000000002
10/14/2021,6.34,6.39,6.33,5.19,5.02,6.84,5.05,4.4,3.88,3.66,2.6,2.68,2.99,3.06,2.64,2.11,1.55,0.0,1.53,0.0,1.45,1.48,1.43,1.49,1.06,1.53,1.11,0.89,0.93,1.13,0.69,1.16,0.79,0.71,0.58,0.65,0.57,0.53,0.86,0.39,0.41,0.48,0.0,0.35,0.39,0.27,0.17,0.26,0.2,0.19,0.17,0.2,0.12,0.0,2.02,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.35,100.03000000000002
10/15/2021,6.35,6.38,6.24,5.16,5.03,6.78,5.08,4.35,3.88,3.75,2.6,2.68,3.0,3.06,2.65,2.11,1.53,0.0,1.53,0.0,1.45,1.49,1.44,1.5,1.06,1.52,1.12,0.91,0.92,1.12,0.69,1.15,0.79,0.72,0.59,0.65,0.58,0.54,0.87,0.4,0.41,0.47,0.0,0.35,0.39,0.27,0.17,0.26,0.2,0.19,0.17,0.2,0.12,0.0,2.04,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.36,100.04
10/18/2021,6.38,6.3,6.04,5.24,5.04,6.74,5.04,4.36,3.96,3.89,2.54,2.68,3.02,3.09,2.59,2.16,1.54,0.0,1.54,0.0,1.41,1.44,1.44,1.51,1.08,1.54,1.12,0.93,0.93,1.13,0.73,1.16,0.8,0.72,0.61,0.66,0.58,0.54,0.84,0.39,0.41,0.49,0.0,0.36,0.38,0.27,0.17,0.27,0.21,0.19,0.17,0.19,0.12,0.0,2.06,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.36,100.03
10/21/2021,6.41,6.4,6.01,5.27,5.07,6.79,5.07,4.37,3.95,3.93,2.53,2.68,3.02,3.07,2.57,2.19,1.53,0.0,1.52,0.0,1.4,1.41,1.45,1.52,1.08,1.51,1.12,0.91,0.91,1.14,0.69,1.17,0.79,0.73,0.59,0.66,0.59,0.53,0.82,0.39,0.42,0.47,0.0,0.37,0.38,0.27,0.16,0.27,0.2,0.18,0.17,0.19,0.12,0.0,2.04,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.36,100.03
10/22/2021,6.48,6.39,5.94,5.26,5.08,6.84,5.11,4.39,3.93,3.99,2.52,2.66,3.0,3.01,2.58,2.16,1.52,0.0,1.51,0.0,1.39,1.37,1.46,1.51,1.09,1.51,1.11,0.96,0.93,1.12,0.71,1.17,0.8,0.72,0.58,0.67,0.59,0.53,0.82,0.39,0.41,0.46,0.0,0.38,0.38,0.26,0.16,0.27,0.19,0.18,0.17,0.19,0.12,0.0,2.05,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.36,100.03000000000002
10/25/2021,6.48,6.37,5.86,5.3,5.04,6.86,5.07,4.39,3.99,3.95,2.49,2.72,3.03,3.01,2.58,2.15,1.54,0.0,1.5,0.0,1.42,1.33,1.47,1.51,1.11,1.54,1.11,0.96,0.92,1.13,0.71,1.17,0.8,0.73,0.58,0.67,0.59,0.53,0.84,0.39,0.42,0.46,0.0,0.38,0.38,0.27,0.16,0.27,0.19,0.18,0.17,0.19,0.12,0.0,2.01,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.35,100.03000000000002
10/26/2021,6.52,6.4,5.83,5.14,5.08,6.93,5.15,4.38,3.98,3.91,2.47,2.72,3.06,3.0,2.61,2.16,1.55,0.0,1.5,0.0,1.42,1.35,1.48,1.52,1.12,1.52,1.12,0.95,0.91,1.13,0.7,1.17,0.81,0.73,0.57,0.66,0.59,0.52,0.83,0.41,0.42,0.45,0.0,0.37,0.38,0.27,0.16,0.27,0.19,0.18,0.17,0.19,0.08,0.0,2.02,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.35,100.06
10/27/2021,6.51,6.4,5.83,5.14,5.08,6.93,5.15,4.38,3.98,3.91,2.47,2.72,3.06,3.0,2.61,2.16,1.55,0.0,1.5,0.0,1.42,1.35,1.48,1.52,1.11,1.52,1.11,0.95,0.91,1.13,0.7,1.17,0.81,0.73,0.57,0.65,0.59,0.52,0.83,0.4,0.41,0.45,0.0,0.37,0.38,0.27,0.16,0.27,0.19,0.18,0.17,0.19,0.08,0.0,2.02,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.35,99.99
10/28/2021,6.55,6.37,5.84,5.15,5.05,6.94,5.14,4.31,3.97,3.86,2.47,2.74,3.05,3.05,2.61,2.15,1.57,0.0,1.49,0.0,1.43,1.33,1.48,1.52,1.13,1.45,1.1,0.97,0.91,1.14,0.7,1.18,0.81,0.75,0.57,0.66,0.59,0.53,0.84,0.4,0.41,0.43,0.0,0.37,0.38,0.27,0.27,0.28,0.18,0.17,0.17,0.19,0.08,0.0,2.06,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.35,100.05
10/29/2021,5.89,6.34,5.86,5.26,5.06,6.9,5.01,4.43,3.95,3.94,2.48,2.76,3.09,3.07,2.55,2.21,1.59,0.0,1.51,0.0,1.43,1.35,1.48,1.53,1.13,1.5,1.08,0.98,0.92,1.16,0.68,1.19,0.81,0.77,0.56,0.67,0.6,0.53,0.85,0.41,0.41,0.43,0.0,0.38,0.38,0.27,0.28,0.28,0.18,0.18,0.17,0.19,0.08,0.0,2.22,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.35,100.01
11/01/2021,5.97,6.43,5.89,5.34,5.09,6.33,4.88,4.4,4.02,3.87,2.5,2.73,3.05,3.11,2.59,2.23,1.63,0.0,1.52,0.0,1.44,1.36,1.53,1.53,1.18,1.57,1.14,0.94,0.91,1.14,0.68,1.21,0.79,0.76,0.57,0.66,0.59,0.53,0.88,0.43,0.43,0.49,0.0,0.38,0.39,0.27,0.28,0.29,0.19,0.18,0.17,0.19,0.07,0.0,2.22,1.48,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.23,0.35,100.01999999999998
11/02/2021,5.94,6.37,5.83,5.31,5.06,6.27,4.99,4.34,4.05,3.97,2.48,2.93,3.08,3.09,2.55,2.2,1.63,0.0,1.52,0.0,1.43,1.36,1.53,1.58,1.16,1.56,1.14,0.96,0.89,1.12,0.65,1.18,0.82,0.78,0.57,0.66,0.58,0.51,0.91,0.42,0.43,0.47,0.0,0.38,0.38,0.26,0.28,0.29,0.19,0.18,0.17,0.19,0.08,0.0,2.26,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.35,100.01
11/03/2021,5.94,6.37,5.83,5.31,5.06,6.27,4.99,4.34,4.05,3.97,2.48,2.93,3.08,3.09,2.55,2.2,1.63,0.0,1.52,0.0,1.43,1.36,1.53,1.58,1.16,1.56,1.14,0.96,0.89,1.12,0.65,1.18,0.82,0.78,0.57,0.66,0.58,0.51,0.91,0.42,0.43,0.47,0.0,0.38,0.38,0.26,0.28,0.29,0.19,0.18,0.17,0.19,0.08,0.0,2.26,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.35,100.01
11/04/2021,5.94,6.37,5.83,5.31,5.06,6.27,4.99,4.34,4.05,3.97,2.48,2.93,3.08,3.09,2.55,2.2,1.63,0.0,1.52,0.0,1.43,1.36,1.53,1.58,1.16,1.56,1.14,0.96,0.89,1.12,0.65,1.18,0.82,0.78,0.57,0.66,0.58,0.51,0.91,0.42,0.43,0.47,0.0,0.38,0.38,0.26,0.28,0.29,0.19,0.18,0.17,0.19,0.08,0.0,2.26,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.35,100.01
