,CCI,AMT,EQIX,DLR,SBAC,COR,CONE,QTS,788.HK,NXT.AX,GDS,NVDA,WDC,2344.TW,AJBU.SI,UNIT,AMD,MU,TOWR.JK,VNET,MCHP,SWCH,TBIG.JK,RADI,1686.HK,CASH,VTWR.DE,1686 HK,n/a,KDCREIT.SI,HTWS.L,SUM
12/13/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/14/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/15/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/16/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/17/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/20/2021,11.42,11.75,11.9,9.81,4.88,5.42,5.56,0.0,4.15,3.28,3.42,3.35,0.0,1.88,2.08,2.76,3.49,2.18,1.72,0.88,2.43,2.63,1.53,1.08,0.47,0.0,1.7,0.0,0.21,0.0,0.0,99.98
12/21/2021,12.16,12.15,12.09,10.04,5.12,5.35,5.51,0.0,3.87,3.4,2.85,2.92,0.0,1.79,2.11,2.6,3.16,2.14,1.62,0.76,2.4,2.64,1.58,1.03,0.5,0.0,1.83,0.0,0.38,0.0,0.0,100.0
12/22/2021,12.18,12.11,12.05,9.99,5.18,5.33,5.5,0.0,3.86,3.4,2.96,2.85,0.0,1.78,2.11,2.6,3.14,2.15,1.61,0.8,2.39,2.72,1.55,1.03,0.49,0.0,1.84,0.0,0.38,0.0,0.0,100.0
12/23/2021,12.31,12.16,12.13,10.03,5.19,5.36,5.53,0.0,3.84,3.39,2.79,2.86,0.0,1.78,2.07,2.58,3.11,2.13,1.65,0.74,2.36,2.67,1.56,1.02,0.49,0.0,1.85,0.0,0.38,0.0,0.0,99.98
12/24/2021,12.02,12.06,11.79,9.89,5.14,5.33,5.49,0.0,3.78,3.42,3.08,2.98,0.0,1.79,2.08,2.64,3.28,2.35,1.65,0.84,2.42,2.74,1.53,1.02,0.49,0.0,1.81,0.0,0.37,0.0,0.0,99.99
12/27/2021,11.99,12.02,11.92,9.83,5.13,5.29,5.47,0.0,3.62,3.52,2.94,3.02,0.0,1.81,2.05,2.67,3.3,2.43,1.62,0.81,2.45,2.79,1.56,1.02,0.51,0.0,1.8,0.0,0.43,0.0,0.0,100.0
12/28/2021,11.99,12.02,11.92,9.83,5.13,5.29,5.47,0.0,3.62,3.52,2.94,3.02,0.0,1.81,2.05,2.67,3.3,2.43,1.62,0.81,2.45,2.79,1.56,1.02,0.51,0.0,1.8,0.0,0.43,0.0,0.0,100.0
12/29/2021,11.99,12.02,11.92,9.83,5.13,5.29,5.47,0.0,3.62,3.52,2.94,3.02,0.0,1.81,2.05,2.67,3.3,2.43,1.62,0.81,2.45,2.79,1.56,1.02,0.51,0.0,1.8,0.0,0.43,0.0,0.0,100.0
12/30/2021,12.12,12.13,11.98,9.89,5.17,5.2,5.4,0.0,3.57,3.49,2.79,3.11,0.0,1.79,2.03,2.65,3.44,2.39,1.65,0.77,2.48,2.75,1.49,1.01,0.49,0.0,1.79,0.0,0.42,0.0,0.0,100.0
12/31/2021,12.18,12.22,11.98,9.94,5.17,0.0,5.4,0.0,3.56,3.48,2.76,3.03,0.0,1.8,2.04,2.7,3.4,2.35,1.62,0.76,2.44,2.74,1.49,1.03,0.49,0.0,1.8,0.0,5.62,0.0,0.0,100.0
01/03/2022,12.32,12.38,12.14,10.05,5.25,0.0,5.39,0.0,3.57,3.56,2.89,2.97,0.0,1.94,2.07,2.79,3.24,2.38,1.6,0.79,2.42,2.74,1.46,1.01,0.5,0.0,1.79,0.0,4.76,0.0,0.0,100.01000000000002
01/03/2022,12.32,12.38,12.14,10.05,5.25,0.0,5.39,0.0,3.57,3.56,2.89,2.97,0.0,1.94,2.07,2.79,3.24,2.38,1.6,0.79,2.42,2.74,1.46,1.01,0.5,0.0,1.79,0.0,4.76,0.0,0.0,100.01000000000002
01/03/2022,12.32,12.38,12.14,10.05,5.25,0.0,5.39,0.0,3.57,3.56,2.89,2.97,0.0,1.94,2.07,2.79,3.24,2.38,1.6,0.79,2.42,2.74,1.46,1.01,0.5,0.0,1.79,0.0,4.76,0.0,0.0,100.01000000000002
01/04/2022,12.32,12.38,12.14,10.05,5.25,0.0,5.39,0.0,3.57,3.56,2.89,2.97,0.0,1.94,2.07,2.79,3.24,2.38,1.6,0.79,2.42,2.74,1.46,1.01,0.5,0.0,1.79,0.0,4.76,0.0,0.0,100.01000000000002
01/05/2022,12.93,13.0,12.72,10.54,5.51,0.0,5.66,0.0,3.8,3.71,3.05,3.09,0.0,2.04,2.2,2.91,3.37,2.48,1.68,0.83,2.53,2.88,1.54,1.05,0.53,0.0,1.89,0.0,0.06,0.0,0.0,100.0
01/06/2022,12.96,12.82,12.66,10.51,5.42,0.0,5.7,0.0,3.78,3.7,2.95,3.19,0.0,1.95,2.21,2.91,3.55,2.56,1.7,0.83,2.58,2.85,1.6,1.07,0.52,0.0,1.92,0.0,0.06,0.0,0.0,100.0
01/07/2022,12.87,12.92,12.59,10.36,5.38,0.0,5.82,0.0,3.99,3.82,2.72,3.16,0.0,1.96,2.23,2.87,3.48,2.63,1.73,0.79,2.61,2.86,1.61,1.09,0.53,0.0,1.91,0.0,0.05,0.0,0.0,99.98
01/10/2022,12.78,12.62,12.49,10.27,5.3,0.0,6.05,0.0,4.26,3.56,2.9,3.17,0.0,1.98,2.26,2.89,3.42,2.72,1.77,0.82,2.66,2.88,1.57,1.09,0.56,0.0,1.91,0.0,0.05,0.0,0.0,99.98
01/11/2022,12.78,12.62,12.49,10.27,5.3,0.0,6.05,0.0,4.26,3.56,2.9,3.17,0.0,1.98,2.26,2.89,3.42,2.72,1.77,0.82,2.66,2.88,1.57,1.09,0.56,0.0,1.91,0.0,0.05,0.0,0.0,99.98
01/13/2022,12.75,12.69,12.41,10.25,5.24,0.0,6.09,0.0,4.39,3.54,3.12,3.11,0.0,1.99,2.22,2.89,3.34,2.69,1.7,0.91,2.6,2.94,1.58,1.06,0.55,0.0,1.89,0.0,0.05,0.0,0.0,100.0
01/14/2022,12.6,12.54,12.5,10.27,5.24,0.0,6.11,0.0,4.26,3.53,3.23,3.16,0.0,1.95,2.21,2.89,3.49,2.71,1.69,0.91,2.67,2.89,1.56,1.08,0.55,0.0,1.9,0.0,0.04,0.0,0.0,99.98
01/17/2022,12.71,12.43,12.32,10.28,5.18,0.0,6.18,0.0,4.4,3.67,3.01,3.05,0.0,1.98,2.27,2.87,3.4,2.78,1.73,0.9,2.66,2.87,1.67,1.05,0.57,0.0,1.98,0.0,0.03,0.0,0.0,99.99
01/19/2022,12.58,12.28,12.39,10.24,5.09,0.0,6.22,0.0,4.44,3.57,3.1,3.12,0.0,1.97,2.25,2.87,3.54,2.85,1.71,0.94,2.7,2.86,1.67,1.04,0.57,0.0,1.95,0.0,0.03,0.0,0.0,99.98
01/20/2022,12.58,12.28,12.39,10.24,5.09,0.0,6.22,0.0,4.44,3.57,3.1,3.12,0.0,1.97,2.25,2.87,3.54,2.85,1.71,0.94,2.7,2.86,1.67,1.04,0.57,0.0,1.95,0.0,0.03,0.0,0.0,99.98
01/21/2022,12.67,12.36,12.42,10.32,5.13,0.0,6.27,0.0,4.52,3.53,3.06,3.02,0.0,2.04,2.26,2.93,3.44,2.74,1.72,0.94,2.56,2.83,1.7,1.03,0.58,0.0,1.9,0.0,0.02,0.0,0.0,99.99
01/24/2022,12.71,12.34,12.41,10.45,5.06,0.0,6.35,0.0,4.74,3.51,3.21,2.86,0.0,2.09,2.29,2.84,3.22,2.55,1.73,0.99,2.43,2.86,1.76,1.02,0.58,0.0,1.98,0.0,0.02,0.0,0.0,100.0
01/25/2022,12.71,12.34,12.41,10.45,5.06,0.0,6.35,0.0,4.74,3.51,3.21,2.86,0.0,2.09,2.29,2.84,3.22,2.55,1.73,0.99,2.43,2.86,1.76,1.02,0.58,0.0,1.98,0.0,0.02,0.0,0.0,100.0
01/26/2022,12.89,12.42,12.39,10.54,5.05,0.0,6.41,0.0,4.74,3.35,3.09,2.8,0.0,2.06,2.31,2.87,3.18,2.48,1.82,0.91,2.43,2.85,1.8,1.05,0.58,0.0,1.96,0.0,0.02,0.0,0.0,100.0
01/28/2022,13.01,12.82,12.48,10.48,5.31,0.0,6.5,0.0,4.74,3.28,2.85,2.7,0.0,2.05,2.25,2.88,3.0,2.47,1.78,0.87,2.43,2.83,1.75,1.04,0.56,0.0,1.9,0.0,0.01,0.0,0.0,99.99
01/31/2022,12.76,12.61,12.34,10.39,5.2,0.0,6.78,0.0,4.93,3.32,2.83,2.76,0.0,2.01,2.31,2.86,2.88,2.51,1.82,0.9,2.48,2.86,1.79,1.0,0.58,0.0,1.96,0.0,0.13,0.0,0.0,100.01
02/01/2022,13.07,12.79,12.43,10.35,5.24,0.0,6.61,0.0,4.79,3.39,2.79,2.79,0.0,1.9,2.2,2.84,2.87,2.46,1.78,0.91,2.45,2.92,1.74,1.01,0.29,0.0,1.91,0.0,0.02,0.0,0.46,100.01
02/02/2022,13.07,12.79,12.43,10.35,5.24,0.0,6.61,0.0,4.79,3.39,2.79,2.79,0.0,1.9,2.2,2.84,2.87,2.46,1.78,0.91,2.45,2.92,1.74,1.01,0.29,0.0,1.91,0.0,0.02,0.0,0.46,100.00999999999998
