,MC.PA,SAN.PA,TTE.PA,OR.PA,SU.PA,AI.PA,AIR.PA,BNP.PA,KER.PA,DG.PA,EL.PA,CS.PA,SAF.PA,BN.PA,RMS.PA,RI.PA,SGO.PA,DSY.PA,CAP.PA,LR.PA,ML.PA,STM.PA,ENGI.PA,TEP.PA,VIV.PA,GLE.PA,WLN.PA,ORA.PA,MT.AS,VIE.PA,ACA.PA,ERF.PA,EDEN.PA,PUB.PA,DIM.PA,ALO.PA,CA.PA,URW.AS,HO.PA,BVI.PA,FGR.PA,EN.PA,SW.PA,SEV.PA,RNO.PA,AKE.PA,GET.PA,GFC.PA,FR.PA,UBI.PA,ORP.PA,AC.PA,ATO.PA,EDF.PA,FDJ.PA,EO.PA,AMUN.PA,LI.PA,SK.PA,BOL.PA,RCO.PA,SCR.PA,COV.PA,BIM.PA,IPN.PA,ADP.PA,RF.PA,MF.PA,EUR,AM.PA,CNP.PA,ILD.PA,XTSLA,WFFUT,CFN1,EUR.1,DSYA.,CFQ1,-,CFU1,CFV1,UMG.AS,VIEDS.PA,CFX1,USD,CF10,SUM
10/26/2021,11.0,5.74,6.5,5.81,4.54,4.03,3.84,3.86,2.88,2.87,2.91,2.75,2.24,2.18,2.55,2.48,1.81,1.84,1.8,1.48,1.34,1.54,1.32,1.26,0.49,1.37,0.96,1.15,1.16,1.11,0.9,0.82,0.72,0.76,0.79,0.58,0.57,0.49,0.51,0.48,0.45,0.47,0.39,0.42,0.35,0.42,0.35,0.33,0.33,0.26,0.27,0.3,0.27,0.35,0.25,0.3,0.29,0.25,0.2,0.27,0.24,0.23,0.23,0.26,0.19,0.2,0.19,0.18,0.03,0.14,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,100.01
10/27/2021,11.0,5.74,6.5,5.81,4.54,4.03,3.84,3.86,2.88,2.87,2.91,2.75,2.24,2.18,2.55,2.48,1.81,1.84,1.8,1.48,1.34,1.54,1.32,1.26,0.49,1.37,0.96,1.15,1.16,1.11,0.9,0.82,0.72,0.76,0.79,0.58,0.57,0.49,0.51,0.48,0.45,0.47,0.39,0.42,0.35,0.42,0.35,0.33,0.33,0.26,0.27,0.3,0.27,0.35,0.25,0.3,0.29,0.25,0.2,0.27,0.24,0.23,0.23,0.26,0.19,0.2,0.19,0.18,0.03,0.14,0.15,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,100.01
10/28/2021,10.92,5.79,6.54,5.77,4.52,4.04,3.8,3.9,2.86,2.85,2.91,2.76,2.2,2.19,2.54,2.49,1.81,1.85,1.79,1.49,1.35,1.56,1.32,1.25,0.48,1.39,0.94,1.14,1.21,1.1,0.91,0.82,0.72,0.75,0.8,0.58,0.58,0.49,0.51,0.48,0.45,0.47,0.4,0.42,0.35,0.43,0.34,0.33,0.33,0.26,0.28,0.3,0.27,0.36,0.25,0.29,0.28,0.25,0.21,0.27,0.24,0.23,0.23,0.27,0.2,0.19,0.19,0.18,0.03,0.14,0.16,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,100.01
10/29/2021,10.92,5.75,6.46,5.83,4.55,4.02,3.83,3.87,2.88,2.89,2.91,2.8,2.27,2.17,2.53,2.49,1.8,1.85,1.8,1.49,1.33,1.57,1.32,1.25,0.47,1.38,0.92,1.11,1.24,1.1,0.9,0.81,0.72,0.74,0.78,0.58,0.58,0.5,0.51,0.47,0.45,0.47,0.41,0.41,0.36,0.43,0.35,0.33,0.33,0.25,0.28,0.31,0.27,0.36,0.25,0.3,0.28,0.26,0.2,0.26,0.24,0.23,0.23,0.27,0.2,0.2,0.19,0.18,0.03,0.14,0.16,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,100.03
11/01/2021,10.95,5.73,6.35,5.83,4.71,4.0,3.88,3.8,2.87,2.87,2.9,2.78,2.29,2.15,2.54,2.48,1.81,1.95,1.88,1.5,1.35,1.66,1.33,1.24,0.47,1.35,0.73,1.11,1.22,1.11,0.89,0.81,0.68,0.75,0.78,0.57,0.58,0.46,0.5,0.47,0.45,0.46,0.43,0.41,0.35,0.43,0.34,0.33,0.34,0.24,0.28,0.31,0.26,0.36,0.25,0.3,0.28,0.25,0.22,0.26,0.23,0.26,0.23,0.27,0.19,0.2,0.19,0.18,0.03,0.14,0.22,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,100.03
11/05/2021,10.98,5.87,6.3,5.83,4.67,3.99,3.76,3.86,2.78,2.89,3.05,2.86,2.27,2.16,2.56,2.44,1.79,1.99,1.92,1.5,1.31,1.65,1.32,1.26,0.45,1.37,0.68,1.1,1.19,1.09,0.89,0.81,0.66,0.75,0.79,0.57,0.57,0.46,0.49,0.48,0.45,0.47,0.44,0.4,0.35,0.42,0.34,0.32,0.34,0.25,0.28,0.3,0.25,0.34,0.25,0.31,0.28,0.24,0.21,0.26,0.23,0.26,0.22,0.27,0.2,0.2,0.19,0.18,0.04,0.14,0.21,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,100.0
11/11/2021,11.15,5.68,6.17,5.91,4.73,4.05,3.87,3.8,2.83,2.87,3.05,2.81,2.33,2.1,2.63,2.43,1.77,2.07,1.93,1.44,1.31,1.73,1.32,1.17,0.44,1.37,0.7,1.09,1.17,1.1,0.88,0.78,0.64,0.73,0.74,0.57,0.55,0.49,0.5,0.49,0.45,0.44,0.42,0.39,0.35,0.41,0.35,0.32,0.35,0.25,0.27,0.32,0.25,0.34,0.25,0.31,0.27,0.26,0.21,0.25,0.23,0.26,0.22,0.25,0.18,0.21,0.18,0.18,0.07,0.13,0.21,0.0,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,99.99000000000002
11/12/2021,11.16,5.71,6.18,5.94,4.72,4.06,3.9,3.76,2.91,2.86,2.99,2.79,2.34,2.13,2.59,2.44,1.75,2.07,1.94,1.44,1.3,1.72,1.32,1.19,0.44,1.36,0.68,1.1,1.13,1.1,0.87,0.78,0.62,0.73,0.74,0.57,0.57,0.49,0.5,0.48,0.45,0.43,0.42,0.39,0.37,0.41,0.34,0.32,0.36,0.25,0.27,0.32,0.24,0.34,0.25,0.31,0.27,0.26,0.21,0.26,0.23,0.25,0.22,0.25,0.18,0.21,0.17,0.18,0.09,0.13,0.21,0.0,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,99.98
11/15/2021,11.12,5.79,6.22,5.94,4.73,4.1,3.84,3.8,2.8,2.84,2.94,2.83,2.36,2.15,2.59,2.46,1.74,2.06,1.94,1.44,1.29,1.72,1.36,1.19,0.46,1.36,0.66,1.12,1.16,1.1,0.85,0.8,0.61,0.75,0.73,0.59,0.59,0.47,0.49,0.48,0.44,0.43,0.42,0.39,0.36,0.42,0.34,0.32,0.35,0.25,0.26,0.31,0.24,0.33,0.24,0.3,0.27,0.25,0.21,0.26,0.23,0.25,0.22,0.25,0.19,0.2,0.18,0.17,0.1,0.13,0.21,0.0,0.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,0.0,100.0
11/16/2021,11.12,5.79,6.22,5.94,4.73,4.1,3.84,3.8,2.8,2.84,2.94,2.83,2.36,2.15,2.59,2.46,1.74,2.06,1.94,1.44,1.29,1.72,1.36,1.19,0.46,1.36,0.66,1.12,1.16,1.1,0.85,0.8,0.61,0.75,0.73,0.59,0.59,0.47,0.49,0.48,0.44,0.43,0.42,0.39,0.36,0.42,0.34,0.32,0.35,0.25,0.26,0.31,0.24,0.33,0.24,0.3,0.27,0.25,0.21,0.26,0.23,0.25,0.22,0.25,0.19,0.2,0.18,0.17,0.1,0.13,0.21,0.0,0.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,0.0,100.0
11/17/2021,11.12,5.79,6.22,5.94,4.73,4.1,3.84,3.8,2.8,2.84,2.94,2.83,2.36,2.15,2.59,2.46,1.74,2.06,1.94,1.44,1.29,1.72,1.36,1.19,0.46,1.36,0.66,1.12,1.16,1.1,0.85,0.8,0.61,0.75,0.73,0.59,0.59,0.47,0.49,0.48,0.44,0.43,0.42,0.39,0.36,0.42,0.34,0.32,0.35,0.25,0.26,0.31,0.24,0.33,0.24,0.3,0.27,0.25,0.21,0.26,0.23,0.25,0.22,0.25,0.19,0.2,0.18,0.17,0.1,0.13,0.21,0.0,0.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,0.0,100.0
11/24/2021,11.49,5.69,5.9,6.05,4.9,4.1,3.64,3.66,3.03,2.66,3.11,2.75,2.18,2.07,2.99,2.51,1.74,2.11,1.95,1.48,1.31,1.77,1.35,1.21,0.44,1.32,0.67,1.09,1.07,1.07,0.82,0.83,0.61,0.76,0.78,0.59,0.57,0.44,0.47,0.49,0.41,0.4,0.39,0.39,0.35,0.42,0.33,0.31,0.37,0.24,0.25,0.28,0.22,0.33,0.23,0.3,0.26,0.23,0.22,0.25,0.25,0.24,0.21,0.29,0.19,0.18,0.17,0.17,0.09,0.12,0.21,0.0,0.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,99.99
11/25/2021,11.42,5.72,5.98,5.95,4.93,4.1,3.62,3.72,3.0,2.69,3.11,2.77,2.16,2.08,2.94,2.5,1.73,2.07,1.92,1.5,1.35,1.76,1.35,1.19,0.45,1.34,0.65,1.11,1.09,1.07,0.84,0.82,0.6,0.77,0.77,0.6,0.57,0.44,0.47,0.49,0.41,0.4,0.39,0.39,0.36,0.43,0.33,0.31,0.37,0.23,0.25,0.28,0.21,0.33,0.23,0.31,0.26,0.23,0.22,0.25,0.25,0.24,0.21,0.29,0.19,0.18,0.17,0.16,0.11,0.12,0.21,0.0,0.63,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.62,0.0,99.98
11/26/2021,11.35,5.71,6.1,5.91,4.9,4.08,3.7,3.77,3.01,2.75,3.04,2.81,2.19,2.11,2.91,2.48,1.74,2.01,1.88,1.48,1.35,1.71,1.36,1.16,0.45,1.35,0.66,1.13,1.1,1.08,0.84,0.79,0.6,0.77,0.74,0.62,0.58,0.45,0.47,0.47,0.42,0.4,0.4,0.39,0.35,0.44,0.33,0.31,0.37,0.23,0.26,0.28,0.22,0.33,0.23,0.3,0.26,0.23,0.22,0.25,0.24,0.25,0.21,0.28,0.19,0.19,0.17,0.16,0.11,0.12,0.21,0.0,0.64,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,99.98
