,SPY,SPDW,SPEM,SPIB,SPLB,SPIP,SPSM,JNK,SPEU,SPTL,PDBC,GWX,SPAB,XLK,MDY,DGL,XLB,GVMXX,SPDR S&P Emerging Markets Small Cap ETF,RWR,XLI,RWX,EBND,XLE,U.S. Dollar,EWX,SPDR® Dow Jones International RelEst ETF,State Street Instl US Govt MMkt Premier,n/a,XLP,XLC,WIP,IBND,XLF,SUM
12/13/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/14/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/15/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/16/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/17/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/20/2021,16.64,15.15,3.99,5.13,5.13,5.16,5.27,6.15,5.87,4.22,2.85,2.88,3.58,2.07,1.95,0.0,1.01,1.95,0.0,1.02,0.0,1.96,1.0,0.98,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,1.01,2.0,99.98
12/21/2021,15.44,18.36,3.95,5.1,5.1,5.04,5.37,3.04,5.95,5.16,3.0,2.97,1.53,1.97,1.96,1.02,1.01,3.08,0.0,1.01,0.0,2.02,1.0,1.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.99,1.01,1.01,100.02
12/22/2021,15.44,18.36,3.95,5.1,5.1,5.04,5.37,3.04,5.95,5.16,3.0,2.97,1.53,1.97,1.96,1.02,1.01,3.08,0.0,1.01,0.0,2.02,1.0,1.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.99,1.01,1.01,100.02
12/23/2021,15.52,18.27,3.88,5.18,5.14,5.12,5.35,3.09,6.01,5.21,2.67,2.94,1.56,1.98,1.96,1.03,1.0,3.13,0.0,1.01,0.0,1.98,1.02,1.91,0.0,0.99,0.0,0.0,0.0,0.0,0.0,2.04,1.03,1.0,100.02
12/24/2021,15.62,18.31,3.9,5.12,5.1,5.07,5.44,3.07,6.01,5.13,2.7,2.93,1.54,2.0,1.99,1.02,1.0,3.09,0.0,1.01,0.0,1.97,1.01,1.94,0.0,0.98,0.0,0.0,0.0,0.0,0.0,2.02,1.02,1.01,100.0
12/27/2021,14.3,18.29,4.06,4.94,4.95,4.95,4.65,2.99,5.09,4.9,3.08,3.03,3.45,2.06,2.06,1.0,1.02,4.09,0.0,1.01,0.0,2.0,1.0,2.04,0.0,1.02,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.02,99.99
12/28/2021,14.3,18.29,4.06,4.94,4.95,4.95,4.65,2.99,5.09,4.9,3.08,3.03,3.45,2.06,2.06,1.0,1.02,4.09,0.0,1.01,0.0,2.0,1.0,2.04,0.0,1.02,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.02,99.99
12/29/2021,14.3,18.29,4.06,4.94,4.95,4.95,4.65,2.99,5.09,4.9,3.08,3.03,3.45,2.06,2.06,1.0,1.02,4.09,0.0,1.01,0.0,2.0,1.0,2.04,0.0,1.02,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.02,99.99
12/30/2021,14.39,18.29,4.04,4.91,4.93,4.93,4.69,2.97,5.1,4.87,3.09,3.03,3.43,2.09,2.07,0.99,1.03,4.06,0.0,1.02,0.0,2.01,0.99,2.07,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.99,0.98,1.02,100.01
12/31/2021,14.32,18.22,4.02,4.89,4.9,4.91,4.65,2.96,5.09,4.84,3.08,3.02,3.41,2.07,2.07,0.98,1.03,4.5,0.0,1.02,0.0,2.0,0.98,2.06,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.98,0.97,1.02,100.0
01/03/2022,14.35,18.22,4.0,4.88,4.86,4.91,4.68,2.96,5.1,4.79,3.09,3.04,3.4,2.08,2.08,0.98,1.03,4.5,0.0,1.03,0.0,2.01,0.98,2.05,0.0,1.02,0.0,0.0,0.0,0.0,0.0,1.96,0.98,1.02,100.0
01/03/2022,14.04,18.51,4.13,4.95,4.98,5.03,4.39,3.01,5.0,4.91,2.96,3.1,3.47,1.92,2.11,1.01,1.05,4.58,0.0,0.87,0.0,2.05,1.0,1.9,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.03,100.03
01/03/2022,14.04,18.51,4.13,4.95,4.98,5.03,4.39,3.01,5.0,4.91,2.96,3.1,3.47,1.92,2.11,1.01,1.05,4.58,0.0,0.87,0.0,2.05,1.0,1.9,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.03,100.03
01/04/2022,14.04,18.51,4.13,4.95,4.98,5.03,4.39,3.01,5.0,4.91,2.96,3.1,3.47,1.92,2.11,1.01,1.05,4.58,0.0,0.87,0.0,2.05,1.0,1.9,0.0,1.04,0.0,0.0,0.0,0.0,0.0,2.0,0.99,1.03,100.03
01/05/2022,14.1,18.63,4.15,5.01,5.0,5.06,4.42,3.03,5.02,4.95,2.96,3.12,3.49,1.93,2.13,1.02,1.06,5.56,0.0,0.88,0.0,2.07,1.01,1.92,0.0,1.05,0.0,0.0,-1.64,0.0,0.0,2.01,1.0,1.04,99.97999999999998
01/06/2022,14.17,18.71,4.17,4.98,4.92,5.02,4.46,3.02,5.07,4.83,2.97,3.13,3.47,1.94,2.13,1.0,1.05,3.91,0.0,0.87,0.0,2.07,1.0,1.98,0.0,1.05,0.0,0.0,0.02,0.0,0.0,2.0,0.99,1.05,99.98
01/07/2022,14.14,18.74,4.14,4.98,4.91,4.99,4.48,3.01,5.06,4.81,3.01,3.12,3.46,1.92,2.14,1.01,1.06,3.9,0.0,0.87,0.0,2.06,1.0,2.04,0.0,1.05,0.0,0.0,0.02,0.0,0.0,2.0,0.99,1.08,99.98999999999998
01/10/2022,14.02,18.69,4.16,5.01,4.93,4.99,4.45,3.03,5.06,4.85,3.05,3.08,3.49,1.87,2.13,1.01,1.05,3.97,0.0,0.87,0.0,2.04,1.0,2.11,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.01,1.0,1.09,100.01000000000002
01/11/2022,13.97,18.76,4.19,5.0,4.9,4.98,4.4,3.02,5.09,4.81,3.06,3.09,3.48,1.86,2.11,1.01,1.05,3.97,0.0,0.86,0.0,2.04,1.01,2.14,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.01,1.01,1.11,99.98000000000002
01/12/2022,13.97,18.76,4.19,5.0,4.9,4.98,4.4,3.02,5.09,4.81,3.06,3.09,3.48,1.86,2.11,1.01,1.05,3.97,0.0,0.86,0.0,2.04,1.01,2.14,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.01,1.01,1.11,99.98000000000002
01/13/2022,14.0,18.66,4.21,5.02,4.91,5.0,4.4,3.03,5.04,4.84,3.06,3.07,3.49,1.86,2.11,1.02,1.05,3.98,0.0,0.86,0.0,2.04,1.01,2.14,0.0,1.06,0.0,0.0,0.0,0.0,0.0,2.02,1.0,1.11,99.99
01/14/2022,14.0,18.73,4.26,4.97,4.89,4.99,4.39,3.02,5.05,4.82,3.09,3.09,3.46,1.87,2.11,1.02,1.05,3.95,0.0,0.85,0.0,2.02,1.01,2.19,0.0,1.05,0.0,0.0,0.0,0.0,0.0,2.01,1.0,1.11,99.99999999999999
