,2382.HK,1810.HK,968.HK,268.HK,992.HK,GDS,2018.HK,3888.HK,285.HK,601012 C1,148.HK,002475 C2,1347.HK,DQ,2013.HK,763 HK,1888.HK,696.HK,603501 C1,8083.HK,000725 C2,600703 C1,002241 C2,002230 C2,300433 C2,VNET,KC,909.HK,600570 C1,000063 C2,API,600588 C1,300450 C2,002371 C2,300782 C2,600745 C1,603986 C1,002236 C2,300408 C2,6865 HK,OCFT,002129 C2,300454 C2,CD,002049 C2,002179 C2,601138 C1,002841 C2,603806 C1,600460 C1,000050 C2,300496 C2,000938 C2,002180 C2,300628 C2,600584 C1,600845 C1,002384 C2,002414 C2,300316 C2,002153 C2,601360 C1,002600 C2,300661 C2,002065 C2,600183 C1,603160 C1,002916 C2,002456 C2,002465 C2,002185 C2,002459 C2,000066 C2,300223 C2,000977 C2,300724 C2,002152 C2,300136 C2,002506 C2,002156 C2,000021 C2,000547 C2,002938 C2,600536 C1,601231 C1,300308 C2,603712 C1,002463 C2,002373 C2,688008 C1,688002 C1,600498 C1,601865 C1,300296 C2,000988 C2,002151 C2,300773 C2,300383 C2,002138 C2,688009 C1,300088 C2,603267 C1,300212 C2,CASH,n/a,354.HK,688111,688126 C1,603290 C1,688012 C1,688111 C1,SUM
08/23/2021,10.99,8.67,5.59,4.89,4.43,2.82,2.84,2.65,2.19,2.79,2.16,1.96,2.16,1.41,1.25,2.24,1.41,1.37,1.37,0.9,1.51,1.69,1.3,1.11,0.98,0.8,0.84,0.83,0.92,1.14,0.6,1.0,1.15,1.06,0.67,0.76,0.67,0.72,0.71,0.74,0.23,0.83,0.63,0.39,0.68,0.0,0.45,0.46,0.53,0.4,0.42,0.29,0.4,0.41,0.37,0.31,0.41,0.33,0.39,0.44,0.27,0.32,0.26,0.46,0.27,0.33,0.29,0.26,0.24,0.29,0.18,0.3,0.25,0.34,0.24,0.34,0.13,0.13,0.2,0.13,0.14,0.19,0.15,0.14,0.12,0.14,0.18,0.12,0.13,0.11,0.14,0.13,0.13,0.12,0.14,0.12,0.1,0.12,0.1,0.09,0.09,0.12,0.08,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,10.99,8.67,5.59,4.89,4.43,2.82,2.84,2.65,2.19,2.79,2.16,1.96,2.16,1.41,1.25,2.24,1.41,1.37,1.37,0.9,1.51,1.69,1.3,1.11,0.98,0.8,0.84,0.83,0.92,1.14,0.6,1.0,1.15,1.06,0.67,0.76,0.67,0.72,0.71,0.74,0.23,0.83,0.63,0.39,0.68,0.0,0.45,0.46,0.53,0.4,0.42,0.29,0.4,0.41,0.37,0.31,0.41,0.33,0.39,0.44,0.27,0.32,0.26,0.46,0.27,0.33,0.29,0.26,0.24,0.29,0.18,0.3,0.25,0.34,0.24,0.34,0.13,0.13,0.2,0.13,0.14,0.19,0.15,0.14,0.12,0.14,0.18,0.12,0.13,0.11,0.14,0.13,0.13,0.12,0.14,0.12,0.1,0.12,0.1,0.09,0.09,0.12,0.08,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,11.03,8.51,5.62,5.04,4.53,2.82,2.83,2.63,2.11,2.76,2.12,1.98,2.15,1.46,1.26,2.18,1.33,1.31,1.34,0.83,1.49,1.7,1.3,1.1,1.02,0.8,0.89,0.82,0.89,1.12,0.63,1.0,1.17,1.08,0.66,0.75,0.68,0.74,0.67,0.7,0.23,0.82,0.67,0.39,0.75,0.0,0.45,0.45,0.55,0.42,0.42,0.3,0.42,0.42,0.37,0.32,0.42,0.33,0.38,0.44,0.26,0.32,0.26,0.48,0.27,0.33,0.3,0.26,0.24,0.29,0.19,0.31,0.25,0.35,0.24,0.37,0.13,0.13,0.21,0.14,0.15,0.19,0.14,0.14,0.12,0.14,0.18,0.12,0.13,0.11,0.14,0.13,0.12,0.14,0.14,0.12,0.1,0.11,0.1,0.09,0.09,0.13,0.09,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/26/2021,10.94,8.58,5.65,5.25,4.46,2.91,2.73,2.69,2.03,2.74,2.12,1.99,2.13,1.47,1.25,2.2,1.33,1.3,1.37,0.79,1.45,1.73,1.33,1.1,1.0,0.79,0.89,0.81,0.89,1.09,0.62,1.0,1.12,1.14,0.63,0.78,0.65,0.76,0.66,0.69,0.23,0.85,0.67,0.4,0.76,0.0,0.45,0.43,0.56,0.41,0.41,0.29,0.41,0.42,0.38,0.31,0.43,0.33,0.39,0.44,0.26,0.31,0.25,0.47,0.27,0.32,0.29,0.26,0.24,0.31,0.19,0.32,0.25,0.34,0.24,0.36,0.13,0.12,0.2,0.13,0.14,0.2,0.14,0.14,0.12,0.14,0.18,0.12,0.13,0.11,0.14,0.13,0.12,0.15,0.13,0.12,0.1,0.11,0.1,0.09,0.09,0.13,0.08,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,10.83,8.67,5.61,5.47,4.32,3.0,2.79,2.77,2.09,2.79,2.12,1.93,2.13,1.47,1.31,2.15,1.39,1.31,1.33,0.8,1.4,1.7,1.3,1.06,0.97,0.86,0.95,0.85,0.88,1.05,0.66,0.99,1.11,1.09,0.65,0.8,0.68,0.74,0.64,0.71,0.24,0.84,0.64,0.41,0.75,0.0,0.44,0.42,0.57,0.41,0.4,0.28,0.4,0.42,0.36,0.3,0.43,0.32,0.37,0.43,0.26,0.31,0.25,0.48,0.26,0.31,0.28,0.26,0.23,0.31,0.18,0.33,0.24,0.34,0.23,0.34,0.13,0.12,0.22,0.13,0.14,0.19,0.14,0.13,0.12,0.14,0.16,0.11,0.12,0.11,0.14,0.13,0.12,0.14,0.13,0.12,0.1,0.11,0.1,0.09,0.09,0.11,0.09,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.04000000000002
08/30/2021,10.76,8.57,6.05,5.47,4.31,3.09,2.63,2.07,2.12,2.9,2.17,1.88,2.26,1.55,1.31,2.14,1.42,1.34,1.3,0.8,1.42,1.65,1.37,1.1,0.95,0.96,1.03,0.76,0.87,1.04,0.68,0.94,1.06,1.09,0.62,0.8,0.65,0.76,0.65,0.83,0.22,0.87,0.63,0.42,0.8,0.0,0.43,0.41,0.63,0.4,0.39,0.28,0.38,0.42,0.34,0.3,0.43,0.31,0.36,0.48,0.25,0.31,0.25,0.42,0.26,0.31,0.27,0.26,0.23,0.31,0.18,0.37,0.24,0.33,0.22,0.33,0.13,0.11,0.22,0.13,0.14,0.2,0.13,0.13,0.12,0.13,0.16,0.11,0.12,0.11,0.14,0.12,0.14,0.13,0.13,0.12,0.1,0.11,0.09,0.09,0.09,0.11,0.09,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/31/2021,10.76,8.57,6.05,5.47,4.31,3.09,2.63,2.07,2.12,2.9,2.17,1.88,2.26,1.55,1.31,2.14,1.42,1.34,1.3,0.8,1.42,1.65,1.37,1.1,0.95,0.96,1.03,0.76,0.87,1.04,0.68,0.94,1.06,1.09,0.62,0.8,0.65,0.76,0.65,0.83,0.22,0.87,0.63,0.42,0.8,0.0,0.43,0.41,0.63,0.4,0.39,0.28,0.38,0.42,0.34,0.3,0.43,0.31,0.36,0.48,0.25,0.31,0.25,0.42,0.26,0.31,0.27,0.26,0.23,0.31,0.18,0.37,0.24,0.33,0.22,0.33,0.13,0.11,0.22,0.13,0.14,0.2,0.13,0.13,0.12,0.13,0.16,0.11,0.12,0.11,0.14,0.12,0.14,0.13,0.13,0.12,0.1,0.11,0.09,0.09,0.09,0.11,0.09,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,10.81,8.66,6.06,5.43,4.37,2.77,2.59,2.07,2.06,3.06,2.17,1.92,2.22,1.62,1.34,2.17,1.38,1.38,1.33,0.81,1.44,1.63,1.5,1.08,0.94,0.86,0.97,0.72,0.83,1.05,0.67,0.95,1.12,1.11,0.61,0.8,0.68,0.74,0.64,0.85,0.23,0.9,0.63,0.39,0.77,0.0,0.43,0.4,0.62,0.4,0.39,0.28,0.38,0.41,0.34,0.29,0.43,0.31,0.35,0.5,0.25,0.3,0.24,0.43,0.28,0.31,0.28,0.25,0.23,0.31,0.18,0.38,0.23,0.33,0.23,0.34,0.13,0.11,0.22,0.13,0.13,0.19,0.13,0.13,0.12,0.13,0.16,0.11,0.12,0.11,0.14,0.12,0.15,0.13,0.13,0.11,0.1,0.11,0.09,0.09,0.08,0.1,0.1,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/02/2021,10.88,8.49,6.5,5.3,4.42,2.97,2.6,1.98,1.97,3.21,2.19,1.77,2.19,1.86,1.32,2.06,1.42,1.32,1.31,0.89,1.44,1.57,1.53,1.04,0.92,0.88,1.0,0.7,0.79,0.98,0.67,0.91,1.12,0.98,0.57,0.87,0.65,0.74,0.62,0.94,0.23,0.92,0.63,0.41,0.73,0.0,0.42,0.35,0.66,0.38,0.38,0.27,0.37,0.41,0.34,0.29,0.41,0.3,0.35,0.53,0.25,0.3,0.23,0.43,0.27,0.29,0.27,0.24,0.22,0.31,0.18,0.4,0.23,0.32,0.23,0.35,0.13,0.11,0.21,0.13,0.13,0.17,0.13,0.13,0.11,0.13,0.16,0.1,0.11,0.11,0.14,0.12,0.16,0.13,0.13,0.11,0.1,0.1,0.09,0.09,0.08,0.11,0.1,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/03/2021,9.21,8.78,6.34,5.23,4.47,3.06,2.48,2.15,2.03,2.78,2.13,1.55,2.04,1.76,1.36,1.83,1.42,1.39,1.18,1.17,1.57,1.25,1.34,1.04,0.89,0.92,1.05,0.73,0.77,0.98,0.74,0.87,0.79,0.98,0.55,0.82,0.58,0.78,0.6,1.01,0.24,0.9,0.61,0.43,0.73,0.0,0.41,0.32,0.61,0.36,0.38,0.26,0.36,0.39,0.34,0.29,0.42,0.31,0.34,0.53,0.24,0.3,0.23,0.41,0.28,0.28,0.27,0.23,0.22,0.3,0.18,0.41,0.22,0.3,0.22,0.35,0.13,0.11,0.21,0.13,0.13,0.15,0.13,0.12,0.11,0.12,0.16,0.1,0.11,0.11,0.14,0.12,0.24,0.13,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.11,0.1,0.0,0.62,2.06,0.36,0.18,0.15,0.0,0.0,100.01
09/06/2021,9.46,8.91,6.24,5.31,4.34,3.25,2.49,2.2,2.0,2.75,2.13,1.57,2.02,1.85,1.46,1.77,1.36,1.39,1.17,1.19,1.59,1.15,1.38,0.99,0.9,0.96,1.1,0.77,0.77,0.98,0.71,0.85,0.77,0.88,0.5,0.81,0.53,0.74,0.58,0.95,0.25,0.87,0.56,0.45,0.74,0.0,0.42,0.3,0.61,0.36,0.38,0.28,0.36,0.42,0.33,0.27,0.44,0.31,0.33,0.54,0.24,0.3,0.23,0.44,0.28,0.28,0.24,0.21,0.23,0.3,0.17,0.41,0.22,0.28,0.21,0.29,0.13,0.11,0.2,0.13,0.12,0.14,0.13,0.11,0.12,0.12,0.15,0.1,0.11,0.11,0.13,0.12,0.24,0.13,0.12,0.12,0.1,0.1,0.1,0.09,0.08,0.11,0.08,0.0,0.17,2.14,0.0,0.18,0.16,0.36,0.35,99.98
