,LYB,PFG,ABBV,HRB,HPQ,PFE,ENB.TO,NYCB,GEF/B,VLO,BEN,OMC,IP,CSCO,T,STX,PBCT,TotalEnergies SE ADR,WBA,HBI,IBM,DOW,OKE,LMT,FHN,JNJ,MSM,NWE,XRX,ETR,CMP,FGXXX,TTE,n/a,PLLDA.AX,SLVM WI,GEF.B,SLVM,NWL,KD WI,SUM
10/29/2021,4.8,5.41,4.53,4.87,3.0,4.85,4.61,5.24,0.0,4.2,3.73,3.14,3.07,3.66,3.09,3.28,3.09,0.0,2.66,3.68,2.15,2.28,2.76,2.33,2.23,2.21,1.7,1.52,1.29,1.52,1.19,0.6,3.02,0.0,0.0,0.0,4.29,0.0,0.0,0.0,100.0
11/01/2021,4.79,5.32,4.66,4.68,2.99,4.97,4.69,4.96,0.0,4.11,3.75,3.18,2.99,3.84,3.11,3.34,2.98,0.0,2.63,3.81,2.17,2.24,2.82,2.11,2.26,2.27,1.73,1.57,1.15,1.55,1.17,0.65,3.08,0.0,0.0,0.0,4.42,0.0,0.0,0.0,99.99
11/02/2021,4.84,5.32,4.68,4.71,3.04,4.96,4.67,4.85,0.0,4.07,3.82,3.16,2.94,3.81,3.15,3.37,2.94,0.0,2.6,3.83,2.16,2.25,2.81,0.58,2.31,2.24,1.76,1.56,2.35,1.53,0.0,0.64,3.08,0.0,0.0,0.0,4.47,0.0,1.49,0.0,99.99
11/03/2021,4.69,5.36,4.92,4.68,3.05,5.05,4.65,4.79,0.0,4.04,3.88,3.13,2.96,3.81,3.13,3.37,2.92,0.0,2.61,3.81,2.16,2.24,2.74,0.58,2.29,2.26,1.78,1.56,2.34,1.55,0.0,0.52,3.06,0.0,0.0,0.0,4.49,0.0,1.57,0.0,99.99
11/04/2021,4.69,5.36,4.92,4.68,3.05,5.05,4.65,4.79,0.0,4.04,3.88,3.13,2.96,3.81,3.13,3.37,2.92,0.0,2.61,3.81,2.16,2.24,2.74,0.58,2.29,2.26,1.78,1.56,2.34,1.55,0.0,0.52,3.06,0.0,0.0,0.0,4.49,0.0,1.57,0.0,99.99
11/05/2021,4.69,5.33,4.85,4.6,3.09,4.96,4.63,4.77,0.0,4.01,4.26,3.12,2.88,3.76,3.09,3.42,2.97,0.0,2.59,3.87,2.15,2.26,2.72,0.57,2.31,2.22,1.77,1.57,2.4,1.53,0.0,0.59,3.02,0.0,0.0,0.0,4.42,0.0,1.59,0.0,100.01
11/08/2021,4.51,5.35,4.92,4.88,3.08,4.96,4.56,4.67,0.0,3.9,4.37,3.05,2.84,3.81,3.01,3.53,2.98,0.0,2.69,3.89,2.05,2.24,2.68,0.0,2.27,2.23,1.76,1.55,2.42,1.51,0.0,0.55,2.97,0.0,0.0,0.0,4.52,0.0,2.17,0.09,100.01
11/09/2021,4.51,5.35,4.92,4.88,3.08,4.96,4.56,4.67,0.0,3.9,4.37,3.05,2.84,3.81,3.01,3.53,2.98,0.0,2.69,3.89,2.05,2.24,2.68,0.0,2.27,2.23,1.76,1.55,2.42,1.51,0.0,0.55,2.97,0.0,0.0,0.0,4.52,0.0,2.17,0.09,100.01
11/10/2021,4.51,5.35,4.92,4.88,3.08,4.96,4.56,4.67,0.0,3.9,4.37,3.05,2.84,3.81,3.01,3.53,2.98,0.0,2.69,3.89,2.05,2.24,2.68,0.0,2.27,2.23,1.76,1.55,2.42,1.51,0.0,0.55,2.97,0.0,0.0,0.0,4.52,0.0,2.17,0.09,100.01
11/11/2021,4.52,5.3,4.84,4.93,3.09,5.4,4.63,4.6,0.0,3.91,4.25,3.05,2.8,3.74,2.99,3.52,2.94,0.0,2.69,3.87,2.06,2.24,2.68,0.0,2.25,2.18,1.73,1.55,2.47,1.51,0.0,0.54,2.94,0.0,0.0,0.0,4.56,0.0,2.16,0.08,100.02
11/12/2021,4.55,5.3,4.8,4.81,3.07,5.38,4.54,4.68,0.0,3.92,4.25,3.06,2.84,3.75,2.98,3.57,2.98,0.0,2.68,3.84,2.16,2.26,2.7,0.0,2.25,2.18,1.75,1.5,2.48,1.46,0.0,0.54,2.96,0.0,0.0,0.0,4.59,0.0,2.2,0.0,100.03000000000002
11/15/2021,4.58,5.29,4.79,4.78,3.05,5.55,4.44,4.65,0.0,3.86,4.18,3.07,2.86,3.7,2.96,3.81,3.0,0.0,2.66,3.82,2.07,2.28,2.61,0.0,2.24,2.16,1.73,1.52,2.52,1.48,0.0,0.54,2.92,0.0,0.0,0.0,4.69,0.0,2.17,0.0,99.98
11/16/2021,4.58,5.29,4.79,4.78,3.05,5.55,4.44,4.65,0.0,3.86,4.18,3.07,2.86,3.7,2.96,3.81,3.0,0.0,2.66,3.82,2.07,2.28,2.61,0.0,2.24,2.16,1.73,1.52,2.52,1.48,0.0,0.54,2.92,0.0,0.0,0.0,4.69,0.0,2.17,0.0,99.98
11/17/2021,4.58,5.29,4.79,4.78,3.05,5.55,4.44,4.65,0.0,3.86,4.18,3.07,2.86,3.7,2.96,3.81,3.0,0.0,2.66,3.82,2.07,2.28,2.61,0.0,2.24,2.16,1.73,1.52,2.52,1.48,0.0,0.54,2.92,0.0,0.0,0.0,4.69,0.0,2.17,0.0,99.98
11/18/2021,4.58,5.29,4.79,4.78,3.05,5.55,4.44,4.65,0.0,3.86,4.18,3.07,2.86,3.7,2.96,3.81,3.0,0.0,2.66,3.82,2.07,2.28,2.61,0.0,2.24,2.16,1.73,1.52,2.52,1.48,0.0,0.54,2.92,0.0,0.0,0.0,4.69,0.0,2.17,0.0,99.98
11/19/2021,4.61,5.49,4.8,4.77,3.02,5.49,4.3,4.62,0.0,3.87,4.22,3.04,2.82,3.74,2.94,3.83,3.03,0.0,2.62,3.8,2.05,2.29,2.62,0.0,2.23,2.17,1.73,1.54,2.5,1.51,0.0,0.66,2.91,0.0,0.0,0.0,4.64,0.0,2.14,0.0,100.0
11/22/2021,4.61,5.49,4.8,4.77,3.02,5.49,4.3,4.62,0.0,3.87,4.22,3.04,2.82,3.74,2.94,3.83,3.03,0.0,2.62,3.8,2.05,2.29,2.62,0.0,2.23,2.17,1.73,1.54,2.5,1.51,0.0,0.66,2.91,0.0,0.0,0.0,4.64,0.0,2.14,0.0,100.0
11/23/2021,4.61,5.49,4.8,4.77,3.02,5.49,4.3,4.62,0.0,3.87,4.22,3.04,2.82,3.74,2.94,3.83,3.03,0.0,2.62,3.8,2.05,2.29,2.62,0.0,2.23,2.17,1.73,1.54,2.5,1.51,0.0,0.66,2.91,0.0,0.0,0.0,4.64,0.0,2.14,0.0,100.0
11/24/2021,4.46,5.59,4.92,4.9,3.12,5.79,4.35,4.71,0.0,3.56,4.21,3.05,2.79,3.58,2.95,3.76,3.05,0.0,2.58,3.76,2.06,2.26,2.61,0.0,2.24,2.23,1.75,1.48,2.49,1.57,0.0,0.62,2.84,0.0,0.0,0.0,4.66,0.0,2.09,0.0,100.03000000000002
11/25/2021,4.46,5.59,4.92,4.9,3.12,5.79,4.35,4.71,0.0,3.56,4.21,3.05,2.79,3.58,2.95,3.76,3.05,0.0,2.58,3.76,2.06,2.26,2.61,0.0,2.24,2.23,1.75,1.48,2.49,1.57,0.0,0.62,2.84,0.0,0.0,0.0,4.66,0.0,2.09,0.0,100.03000000000002
11/26/2021,4.56,5.62,4.83,4.98,3.12,5.75,4.26,4.71,0.0,3.59,4.13,3.05,2.81,3.62,2.98,3.74,3.1,0.0,2.56,3.73,2.04,2.29,2.6,0.0,2.24,2.15,1.72,1.5,2.54,1.57,0.0,0.62,2.83,0.0,0.0,0.0,4.67,0.0,2.09,0.0,100.0
11/29/2021,4.46,5.69,4.9,4.98,3.43,5.66,4.27,4.74,0.0,3.67,4.08,3.05,2.73,3.65,2.92,3.68,3.07,0.0,2.5,3.69,2.02,2.26,2.69,0.0,2.25,2.14,1.72,1.5,2.56,1.54,0.0,0.61,2.86,0.0,0.0,0.0,4.64,0.0,2.06,0.0,100.02
11/30/2021,4.46,5.69,4.9,4.98,3.43,5.66,4.27,4.74,0.0,3.67,4.08,3.05,2.73,3.65,2.92,3.68,3.07,0.0,2.5,3.69,2.02,2.26,2.69,0.0,2.25,2.14,1.72,1.5,2.56,1.54,0.0,0.61,2.86,0.0,0.0,0.0,4.64,0.0,2.06,0.0,100.02
12/01/2021,4.46,5.58,4.93,5.0,3.43,6.14,4.27,4.71,0.0,3.5,4.02,3.07,2.79,3.67,2.96,3.68,2.99,0.0,2.52,3.7,2.05,2.27,2.65,0.0,2.2,2.17,1.7,1.5,2.49,1.53,0.0,0.62,2.8,0.0,0.0,0.0,4.51,0.0,2.06,0.0,99.97
12/02/2021,4.46,5.58,4.93,5.0,3.43,6.14,4.27,4.71,0.0,3.5,4.02,3.07,2.79,3.67,2.96,3.68,2.99,0.0,2.52,3.7,2.05,2.27,2.65,0.0,2.2,2.17,1.7,1.5,2.49,1.53,0.0,0.62,2.8,0.0,0.0,0.0,4.51,0.0,2.06,0.0,99.97
12/06/2021,4.35,5.51,5.06,4.77,3.73,6.42,4.19,4.62,0.0,3.57,3.99,3.12,2.73,3.82,2.8,4.0,2.88,0.0,2.47,3.66,2.14,2.15,2.57,0.0,2.17,2.23,1.68,1.55,2.56,1.53,0.0,0.71,2.88,0.06,0.0,0.0,4.13,0.0,1.98,0.0,100.03
