,NTLA,ALNY,1548.HK,CDNA,A,CRSP,BMRN,SRPT,NTRA,QGEN,PACB,NVTA,BPMC,ARWR,EDIT,RARE,NSTG,VCYT,RCKT,DRNA,SRNE,MYGN,ILMN,BLUE,GILD,VRTX,ALLO,LMNX,RGNX,SGMO,4974.T,QURE,CLLS,DTIL,ZIOP,PRQR,WVE,ADVM,FIXX,VYGR,CASH,n/a,FRGXX,TSVTV,BNTX,MRNA,CRBU,TSVT,SUM
10/18/2021,6.71,6.34,4.69,3.84,4.92,3.16,4.19,5.15,4.35,4.62,3.17,3.29,4.53,3.82,2.91,3.06,2.24,3.36,1.87,1.61,2.02,2.67,2.2,1.53,2.3,1.85,1.36,0.0,1.48,1.18,1.34,1.31,0.49,0.5,0.38,0.44,0.24,0.21,0.28,0.28,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/19/2021,6.71,6.34,4.69,3.84,4.92,3.16,4.19,5.15,4.35,4.62,3.17,3.29,4.53,3.82,2.91,3.06,2.24,3.36,1.87,1.61,2.02,2.67,2.2,1.53,2.3,1.85,1.36,0.0,1.48,1.18,1.34,1.31,0.49,0.5,0.38,0.44,0.24,0.21,0.28,0.28,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/21/2021,6.78,6.29,4.5,3.9,5.08,3.14,4.06,5.13,4.35,4.73,3.2,3.27,4.51,3.85,2.91,3.01,2.31,3.42,1.84,1.6,2.0,2.7,2.25,1.59,2.26,1.87,1.27,0.0,1.47,1.16,1.37,1.23,0.49,0.5,0.36,0.45,0.24,0.2,0.28,0.29,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,99.97
10/22/2021,6.75,6.26,4.67,3.97,5.02,3.21,4.0,4.98,4.36,4.68,3.28,3.38,4.58,3.83,2.93,2.95,2.28,3.49,1.84,1.58,1.98,2.69,2.23,1.6,2.25,1.88,1.25,0.0,1.42,1.13,1.37,1.22,0.5,0.5,0.37,0.44,0.24,0.2,0.28,0.29,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/25/2021,6.83,6.19,4.98,3.83,5.06,3.11,4.05,5.02,4.31,4.77,3.31,3.34,4.51,3.83,2.88,2.97,2.35,3.46,1.89,1.6,1.93,2.69,2.22,1.52,2.26,1.9,1.27,0.0,1.43,1.11,1.35,1.21,0.52,0.49,0.35,0.43,0.23,0.2,0.28,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/26/2021,6.83,6.19,4.98,3.83,5.06,3.11,4.05,5.02,4.31,4.77,3.31,3.34,4.51,3.83,2.88,2.97,2.35,3.46,1.89,1.6,1.93,2.69,2.22,1.52,2.26,1.9,1.27,0.0,1.43,1.11,1.35,1.21,0.52,0.49,0.35,0.43,0.23,0.2,0.28,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/27/2021,6.71,6.03,5.12,3.9,5.1,3.07,3.99,4.98,4.42,4.82,3.3,3.32,4.58,3.78,2.83,2.96,2.37,3.46,1.93,1.65,1.9,2.69,2.21,1.55,2.27,1.87,1.26,0.0,1.48,1.11,1.35,1.22,0.49,0.49,0.34,0.42,0.22,0.19,0.28,0.24,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/28/2021,6.77,6.03,5.23,3.79,5.08,3.08,3.95,4.92,4.43,4.82,3.33,3.36,4.56,3.75,2.85,3.0,2.33,3.4,1.94,1.61,2.0,2.67,2.26,1.57,2.27,1.87,1.24,0.0,1.49,1.08,1.32,1.25,0.5,0.48,0.34,0.42,0.23,0.19,0.27,0.24,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/29/2021,6.72,5.99,5.37,3.77,5.1,3.04,3.96,4.83,4.45,4.89,3.33,3.3,4.63,3.78,2.83,3.04,2.41,3.45,1.92,1.63,1.98,2.53,2.25,1.56,2.28,1.87,1.27,0.0,1.47,1.08,1.33,1.21,0.49,0.49,0.32,0.43,0.23,0.19,0.26,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/01/2021,7.35,5.49,5.16,3.56,5.08,3.6,4.09,4.35,4.09,4.47,3.64,3.16,3.75,3.45,4.27,3.27,2.63,3.22,2.01,1.4,2.38,2.66,2.21,1.22,2.2,1.83,1.7,0.0,1.19,1.18,1.34,1.11,0.59,0.57,0.32,0.34,0.29,0.22,0.3,0.18,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,101.5
11/02/2021,7.35,5.49,5.16,3.56,5.08,3.6,4.09,4.35,4.09,4.47,3.64,3.16,3.75,3.45,4.27,3.27,2.63,3.22,2.01,1.4,2.38,2.66,2.21,1.22,2.2,1.83,1.7,0.0,1.19,1.18,1.34,1.11,0.59,0.57,0.32,0.34,0.29,0.22,0.3,0.18,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,101.5
11/03/2021,6.85,4.89,5.42,2.79,5.14,2.96,4.33,4.96,4.45,5.03,3.46,3.18,5.08,3.69,2.78,3.21,2.46,3.61,1.97,1.59,2.04,2.57,2.26,1.76,2.21,1.9,1.39,0.0,1.47,1.09,1.36,1.32,0.5,0.48,0.33,0.44,0.24,0.23,0.27,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.03
11/04/2021,6.85,4.97,5.07,2.7,4.99,3.01,4.37,4.89,4.5,4.89,3.52,3.26,4.97,4.0,2.85,3.21,2.39,3.8,2.0,1.57,2.04,2.54,2.21,1.78,2.18,1.86,1.47,0.0,1.46,1.14,1.33,1.33,0.53,0.49,0.35,0.45,0.24,0.22,0.27,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/05/2021,6.83,5.03,4.44,2.63,5.03,3.04,4.44,5.0,4.33,4.86,3.57,3.19,4.9,4.29,2.83,3.17,2.35,3.87,2.11,1.57,2.02,2.52,2.22,1.83,2.2,1.82,1.54,0.0,1.48,1.15,1.34,1.44,0.57,0.49,0.35,0.45,0.25,0.23,0.27,0.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.97
11/09/2021,6.58,5.43,4.56,2.51,4.91,2.88,4.35,5.21,4.1,4.79,3.75,3.04,4.86,4.5,2.73,3.13,2.42,3.77,2.27,1.63,1.96,2.43,2.19,1.81,2.16,1.91,1.49,0.0,1.52,1.4,1.36,1.49,0.54,0.48,0.34,0.45,0.24,0.22,0.28,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/10/2021,6.72,5.48,4.52,2.45,4.87,2.81,4.38,5.37,4.35,4.69,3.65,3.03,4.95,4.47,2.72,3.07,2.43,3.62,2.28,1.6,1.88,2.46,2.08,0.94,2.15,1.96,1.55,0.0,1.54,1.42,1.43,1.46,0.55,0.48,0.34,0.47,0.24,0.22,0.29,0.24,0.0,0.01,0.0,0.81,0.0,0.0,0.0,0.0,99.98
11/11/2021,6.7,5.51,4.32,2.5,5.02,2.91,4.35,5.34,4.33,4.68,3.68,3.01,4.9,4.56,2.93,3.02,2.46,3.66,2.23,1.63,1.87,2.54,2.09,0.77,2.15,1.89,1.51,0.0,1.52,1.36,1.32,1.47,0.52,0.47,0.34,0.46,0.23,0.22,0.28,0.22,0.0,0.07,0.0,0.96,0.0,0.0,0.0,0.0,100.0
11/12/2021,6.93,5.48,4.46,2.49,5.07,2.87,4.39,5.36,4.27,4.65,3.68,2.39,5.05,4.56,2.98,3.01,2.31,3.67,2.27,1.66,1.87,2.57,2.09,0.8,2.19,1.91,1.48,0.0,1.53,1.37,1.32,1.45,0.51,0.47,0.34,0.46,0.24,0.23,0.28,0.22,0.0,0.07,0.0,1.04,0.0,0.0,0.0,0.0,99.99
11/15/2021,6.64,5.24,4.96,2.55,5.12,2.81,4.4,5.34,4.34,4.77,3.48,2.56,5.18,4.33,2.86,3.1,2.46,3.5,2.28,1.67,1.87,2.6,2.07,0.87,2.27,1.89,1.53,0.0,1.54,1.34,1.24,1.4,0.47,0.52,0.34,0.44,0.24,0.22,0.27,0.22,0.0,0.07,0.0,0.99,0.0,0.0,0.0,0.0,99.99
11/16/2021,6.64,5.24,4.96,2.55,5.12,2.81,4.4,5.34,4.34,4.77,3.48,2.56,5.18,4.33,2.86,3.1,2.46,3.5,2.28,1.67,1.87,2.6,2.07,0.87,2.27,1.89,1.53,0.0,1.54,1.34,1.24,1.4,0.47,0.52,0.34,0.44,0.24,0.22,0.27,0.22,0.0,0.07,0.0,0.99,0.0,0.0,0.0,0.0,99.99
11/17/2021,4.07,3.56,3.9,2.82,4.13,3.82,4.55,4.38,4.03,4.02,4.27,3.26,0.0,4.57,3.43,3.93,2.91,4.23,2.79,2.01,2.39,3.03,1.85,1.02,2.01,2.06,1.7,0.0,1.83,1.63,1.5,1.62,0.63,0.64,0.39,0.51,0.31,0.34,0.31,0.0,0.0,0.3,0.0,1.12,1.7,1.35,1.05,0.0,99.97
11/18/2021,4.22,3.72,4.1,2.86,4.17,3.76,4.69,4.45,4.17,4.1,4.29,3.28,0.0,4.19,3.35,4.04,2.87,4.2,2.19,1.98,2.34,3.05,1.88,1.03,2.06,2.12,1.71,0.0,1.58,1.62,1.54,1.62,0.61,0.63,0.37,0.52,0.31,0.35,0.3,0.0,0.0,-0.03,0.0,1.12,1.84,1.41,1.41,0.0,100.02
11/19/2021,4.3,3.67,4.25,2.86,4.21,3.78,4.6,4.35,4.09,4.22,4.46,3.31,0.0,4.02,3.42,3.93,2.89,4.19,2.28,1.97,2.34,3.04,1.86,1.03,2.03,2.11,1.74,0.0,1.56,1.6,1.51,1.6,0.59,0.64,0.37,0.52,0.3,0.34,0.31,0.0,0.0,-0.03,0.0,1.1,1.87,1.39,1.38,0.0,100.0
11/22/2021,4.27,3.72,4.52,2.66,4.28,3.82,4.63,4.24,4.06,4.21,4.36,3.24,0.0,4.07,3.44,3.91,2.78,4.13,2.28,1.99,2.38,2.95,1.88,1.02,2.08,2.14,1.73,0.0,1.57,1.57,1.5,1.56,0.58,0.65,0.36,0.51,0.29,0.34,0.3,0.0,0.0,-0.03,0.0,1.07,2.01,1.46,1.44,0.0,99.97
11/23/2021,4.27,3.72,4.52,2.66,4.28,3.82,4.63,4.24,4.06,4.21,4.36,3.24,0.0,4.07,3.44,3.91,2.78,4.13,2.28,1.99,2.38,2.95,1.88,1.02,2.08,2.14,1.73,0.0,1.57,1.57,1.5,1.56,0.58,0.65,0.36,0.51,0.29,0.34,0.3,0.0,0.0,-0.03,0.0,1.07,2.01,1.46,1.44,0.0,99.97
11/24/2021,4.02,3.81,4.56,2.57,4.26,3.57,5.13,4.16,3.64,4.17,4.17,2.83,0.0,4.44,3.23,3.91,2.67,4.37,2.31,3.47,2.28,2.83,1.85,0.94,2.07,2.03,1.68,0.0,1.63,1.46,1.48,1.51,0.54,0.61,0.37,0.51,0.29,0.31,0.28,0.0,0.0,-0.03,0.0,1.06,2.09,1.55,1.35,0.0,99.98
11/25/2021,3.96,4.03,4.64,2.52,4.32,3.58,5.18,4.17,3.58,4.24,3.66,2.81,0.0,4.42,3.17,3.91,2.65,4.1,2.23,3.55,2.37,2.84,1.88,0.95,2.15,2.06,1.68,0.0,1.68,1.47,1.52,1.5,0.52,0.61,0.37,0.51,0.28,0.32,0.28,0.0,0.0,-0.04,0.0,1.0,2.37,1.7,1.22,0.0,99.96
11/26/2021,3.74,4.09,4.58,2.59,4.16,3.6,5.23,4.28,3.5,4.28,3.74,2.74,0.0,4.59,3.22,3.94,2.63,3.91,2.16,3.61,2.31,2.91,1.85,0.98,2.21,2.15,1.71,0.0,1.71,1.5,1.54,1.49,0.52,0.64,0.38,0.5,0.28,0.33,0.29,0.0,0.0,-0.04,0.0,0.99,2.31,1.69,1.16,0.0,100.0
11/29/2021,3.7,4.1,4.66,2.71,4.09,3.62,5.18,4.35,3.5,4.24,3.8,2.81,0.0,4.76,3.14,3.94,2.62,3.86,2.15,3.59,2.31,2.86,1.84,0.98,2.18,2.13,1.72,0.0,1.67,1.49,1.51,1.53,0.54,0.64,0.38,0.5,0.3,0.33,0.3,0.0,0.0,-0.04,0.0,0.93,2.27,1.66,1.16,0.0,100.01
11/30/2021,3.7,4.1,4.66,2.71,4.09,3.62,5.18,4.35,3.5,4.24,3.8,2.81,0.0,4.76,3.14,3.94,2.62,3.86,2.15,3.59,2.31,2.86,1.84,0.98,2.18,2.13,1.72,0.0,1.67,1.49,1.51,1.53,0.54,0.64,0.38,0.5,0.3,0.33,0.3,0.0,0.0,-0.04,0.0,0.93,2.27,1.66,1.16,0.0,100.01
12/01/2021,3.64,4.11,5.07,2.62,4.08,3.54,5.09,4.3,3.46,4.41,3.81,2.79,0.0,4.66,3.07,3.91,2.58,3.82,2.04,3.61,2.31,2.79,1.87,0.96,2.19,2.11,1.66,0.0,1.56,1.41,1.5,1.52,0.54,0.6,0.36,0.49,0.28,0.32,0.29,0.0,0.0,-0.04,0.0,0.87,2.6,2.01,1.16,0.0,99.96999999999998
12/02/2021,3.62,3.97,5.16,2.6,4.15,3.53,5.12,4.34,3.36,4.37,3.8,2.68,0.0,4.64,2.98,3.79,2.55,3.84,2.04,3.64,2.31,2.85,1.89,0.95,2.22,2.21,1.66,0.0,1.54,1.39,1.53,1.52,0.53,0.6,0.35,0.48,0.28,0.31,0.29,0.0,0.0,-0.05,0.0,0.82,2.73,2.27,1.13,0.0,99.99
12/06/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/07/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/08/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/09/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/10/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/13/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/14/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/15/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/16/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/17/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/20/2021,3.58,4.08,5.18,2.7,4.14,3.52,5.11,4.62,3.39,4.4,3.6,2.52,0.0,4.51,3.0,4.05,2.47,3.63,2.12,3.77,2.24,2.71,1.88,0.96,2.24,2.46,1.75,0.0,1.59,1.4,1.56,1.45,0.57,0.61,0.35,0.48,0.27,0.3,0.28,0.0,0.0,-0.05,0.0,0.84,2.6,1.97,1.16,0.0,100.01
12/21/2021,3.9,4.26,4.55,2.76,4.28,3.63,5.14,4.95,3.46,4.56,3.33,2.54,0.0,4.45,2.79,4.31,2.4,3.76,1.96,3.82,2.44,2.68,2.03,0.91,2.39,2.59,1.45,0.0,1.63,1.35,1.6,1.13,0.55,0.59,0.33,0.51,0.24,0.31,0.23,0.0,0.0,0.06,0.0,0.0,2.24,1.82,1.1,0.96,99.99
12/22/2021,4.15,4.27,4.31,2.82,4.09,3.74,5.06,4.77,3.53,4.32,3.46,2.87,0.0,4.53,2.85,4.36,2.45,4.16,1.95,3.62,2.39,2.62,1.96,0.98,2.27,2.49,1.47,0.0,1.66,1.38,1.5,1.13,0.57,0.58,0.36,0.51,0.22,0.29,0.24,0.0,0.0,0.06,0.0,0.0,2.16,1.81,1.05,1.0,100.01
12/23/2021,4.01,4.4,4.33,2.74,4.11,3.7,5.13,4.88,3.43,4.41,3.4,2.65,0.0,4.63,2.91,4.54,2.48,3.84,1.98,3.67,2.33,2.74,1.93,1.0,2.3,2.53,1.46,0.0,1.7,1.41,1.51,1.18,0.56,0.56,0.35,0.53,0.25,0.31,0.23,0.0,0.0,0.05,0.0,0.0,2.09,1.72,1.02,1.0,100.0
12/24/2021,4.03,4.36,4.34,2.82,4.14,3.6,5.22,4.93,3.49,4.32,3.53,2.69,0.0,4.54,2.83,4.49,2.56,3.99,2.01,3.62,2.27,2.8,1.92,1.06,2.25,2.53,1.45,0.0,1.73,1.39,1.48,1.15,0.53,0.55,0.36,0.55,0.25,0.31,0.23,0.0,0.0,0.05,0.0,0.0,2.03,1.64,1.04,0.92,100.0
12/27/2021,4.09,4.25,4.36,2.79,4.25,3.7,5.32,4.96,3.45,4.33,3.51,2.59,0.0,4.56,2.85,4.34,2.6,3.73,2.07,3.63,2.24,2.87,1.94,1.05,2.27,2.59,1.45,0.0,1.77,1.44,1.49,1.18,0.54,0.58,0.34,0.56,0.26,0.31,0.23,0.0,0.0,0.05,0.0,0.0,1.92,1.53,1.07,0.95,100.01
12/28/2021,4.09,4.25,4.36,2.79,4.25,3.7,5.32,4.96,3.45,4.33,3.51,2.59,0.0,4.56,2.85,4.34,2.6,3.73,2.07,3.63,2.24,2.87,1.94,1.05,2.27,2.59,1.45,0.0,1.77,1.44,1.49,1.18,0.54,0.58,0.34,0.56,0.26,0.31,0.23,0.0,0.0,0.05,0.0,0.0,1.92,1.53,1.07,0.95,100.00999999999999
