,PBH,MRK,ABBV,UTHR,JNJ,LLY,Alkermes Plc,ZTS,CTLT,HZNP,GILD,JAZZ,CAH,BMY,PFE,ELAN,ENDP,PRGO,BMRN,IONS,HTD.,ZGNX,ESPR,VRTX,PCRX,BPMC,TXMD,OCUL,TNXP,US Dollar,ALKS,CORT,Us Dollars,n/a,SUM
11/17/2021,8.59,8.56,7.35,3.72,7.49,3.95,0.0,4.17,3.86,3.99,3.64,1.63,3.85,3.49,8.49,1.52,4.53,1.63,3.81,1.27,0.0,1.61,1.04,1.44,1.48,1.89,1.22,1.02,0.0,0.0,3.02,1.66,0.0,0.08,100.0
11/18/2021,8.45,8.59,7.39,3.78,7.48,3.96,0.0,4.18,3.89,4.01,3.65,1.64,3.81,3.53,8.53,1.49,4.54,1.62,3.86,1.28,0.0,1.55,1.04,1.45,1.46,1.91,1.19,1.04,0.0,0.0,2.93,1.67,0.0,0.08,100.0
11/19/2021,8.46,8.63,7.37,3.74,7.44,3.95,0.0,4.26,3.99,3.94,3.64,1.62,3.77,3.5,8.52,1.5,4.53,1.63,3.82,1.27,0.0,1.51,1.01,1.46,1.49,1.92,1.15,1.03,0.0,0.0,2.99,1.7,0.0,0.16,100.0
11/22/2021,8.44,8.5,7.45,3.68,7.49,4.01,0.0,4.31,3.96,3.97,3.68,1.57,3.76,3.53,8.77,1.49,4.57,1.62,3.81,1.27,0.0,1.47,0.94,1.46,1.49,1.87,1.12,0.99,0.0,0.0,2.94,1.69,0.0,0.16,100.01
11/23/2021,8.44,8.5,7.45,3.68,7.49,4.01,0.0,4.31,3.96,3.97,3.68,1.57,3.76,3.53,8.77,1.49,4.57,1.62,3.81,1.27,0.0,1.47,0.94,1.46,1.49,1.87,1.12,0.99,0.0,0.0,2.94,1.69,0.0,0.16,100.01
11/24/2021,8.15,8.39,7.46,3.76,7.55,4.05,0.0,4.44,3.91,3.98,3.79,1.53,3.7,3.47,8.85,1.51,4.26,1.58,4.36,1.26,0.0,1.41,0.89,1.44,1.48,1.83,1.12,1.0,0.0,0.0,2.98,1.69,0.0,0.16,100.0
11/25/2021,8.31,8.52,7.45,3.73,7.43,4.06,0.0,4.42,3.97,3.94,3.87,1.55,3.7,3.44,8.95,1.51,4.2,1.51,4.32,1.22,0.0,1.39,0.86,1.43,1.45,1.82,1.17,0.97,0.0,0.0,2.91,1.73,0.0,0.16,99.99
11/26/2021,8.18,8.59,7.61,3.76,7.43,4.06,0.0,4.38,3.93,3.88,3.89,1.54,3.75,3.44,8.88,1.51,4.18,1.5,4.27,1.2,0.0,1.31,1.21,1.46,1.44,1.75,1.14,0.98,0.0,0.0,2.91,1.66,0.0,0.16,100.0
11/29/2021,8.33,8.58,7.63,3.75,7.44,4.08,0.0,4.39,4.0,3.9,3.87,1.55,3.74,3.42,8.88,1.45,4.16,1.49,4.28,1.18,0.0,1.31,0.93,1.47,1.44,1.76,1.2,1.03,0.0,0.0,2.94,1.66,0.0,0.16,100.02000000000002
11/30/2021,8.33,8.58,7.63,3.75,7.44,4.08,0.0,4.39,4.0,3.9,3.87,1.55,3.74,3.42,8.88,1.45,4.16,1.49,4.28,1.18,0.0,1.31,0.93,1.47,1.44,1.76,1.2,1.03,0.0,0.0,2.94,1.66,0.0,0.16,100.02000000000002
12/01/2021,8.02,8.37,7.6,3.68,7.51,4.11,0.0,4.38,4.14,3.95,3.94,1.51,3.7,3.45,9.57,1.45,4.07,1.47,4.24,1.17,0.0,1.26,0.96,1.47,1.39,1.73,1.16,0.99,0.0,0.0,2.93,1.61,0.0,0.17,100.0
12/02/2021,8.03,8.0,7.7,3.72,7.61,4.07,0.0,4.5,4.23,3.89,4.0,1.5,3.73,3.37,9.38,1.46,4.12,1.48,4.28,1.11,0.0,1.24,1.08,1.53,1.39,1.7,1.16,1.0,0.0,0.0,2.95,1.6,0.0,0.17,100.0
12/06/2021,8.34,7.96,7.76,3.66,7.54,3.99,0.0,4.53,4.07,3.99,3.98,1.52,3.71,3.44,9.57,1.4,3.75,1.42,4.18,1.07,0.0,1.37,1.12,1.66,1.48,1.72,1.02,1.0,0.0,0.0,2.94,1.64,0.0,0.17,100.0
12/07/2021,8.34,7.96,7.76,3.66,7.54,3.99,0.0,4.53,4.07,3.99,3.98,1.52,3.71,3.44,9.57,1.4,3.75,1.42,4.18,1.07,0.0,1.37,1.12,1.66,1.48,1.72,1.02,1.0,0.0,0.0,2.94,1.64,0.0,0.17,100.0
12/08/2021,8.34,7.96,7.76,3.66,7.54,3.99,0.0,4.53,4.07,3.99,3.98,1.52,3.71,3.44,9.57,1.4,3.75,1.42,4.18,1.07,0.0,1.37,1.12,1.66,1.48,1.72,1.02,1.0,0.0,0.0,2.94,1.64,0.0,0.17,100.0
12/09/2021,8.34,7.96,7.76,3.66,7.54,3.99,0.0,4.53,4.07,3.99,3.98,1.52,3.71,3.44,9.57,1.4,3.75,1.42,4.18,1.07,0.0,1.37,1.12,1.66,1.48,1.72,1.02,1.0,0.0,0.0,2.94,1.64,0.0,0.17,100.0
12/10/2021,8.34,7.96,7.76,3.66,7.54,3.99,0.0,4.53,4.07,3.99,3.98,1.52,3.71,3.44,9.57,1.4,3.75,1.42,4.18,1.07,0.0,1.37,1.12,1.66,1.48,1.72,1.02,1.0,0.0,0.0,2.94,1.64,0.0,0.17,100.0
