,WIX,NICE.TA,CHKP,LUMI.TA,TEVA,POLI.TA,FVRR,KRNT,DSCT.TA,CYBR,ICL.TA,MZTF.TA,ESLT.TA,TSEM,AZRG.TA,NVMI,INMD,BEZQ.TA,SAE.TA,ALHE.TA,NNDM,ENLT.TA,MVNE.TA,FIBI.TA,CGNT,PHOE.TA,MLSR.TA,SKBN.TA,STRS.TA,AMOT.TA,GVYM.TA,RDWR,BIG.TA,CLIS.TA,ILCO.TA,HARL.TA,PZOL.TA,ARPT.TA,ELTR.TA,DANE.TA,NNOX,SPEN.TA,CAMT,MTRN.TA,RIT1.TA,MTRX.TA,AUDC,ASHG.TA,FOX.TA,FORTY.TA,OPCE.TA,ENRG.TA,KEN,SPNS,ISCD.TA,HLAN.TA,MGOR.TA,TARO,DLEA.TA,CGEN,FIBIH.TA,PTNR.TA,ONE.TA,ECP.TA,RMLI.TA,DLEKG.TA,SMT.TA,FTAL.TA,ELCO.TA,EQTL.TA,MGDL.TA,MMHD.TA,GZT.TA,ITRN,ISCN.TA,AFPR.TA,DIMRI.TA,MGIC,ORL.TA,BLSR.TA,NGMS,CEL.TA,DELT.TA,ISRS.TA,ARAD.TA,TDRN.TA,CSTE,ASPF.TA,AZRM.TA,YHNF.TA,GILT,URGN,BCNV.TA,IDIN.TA,MLTM.TA,DORL.TA,ELWS.TA,ILS,PTBL.TA,PRSK.TA,NFTA.TA,XTSLA,SGAFT,EUR,MEDN.TA,VGU1,ARKO,USD,CEL,1916565D,VGZ1,1916510D.TA,TRLT.TA,SUM
08/30/2021,6.26,9.27,7.18,6.16,5.17,4.98,2.43,2.92,3.12,3.25,2.48,2.34,1.97,1.5,1.92,1.41,1.58,1.25,1.11,1.09,0.74,1.02,1.03,0.98,0.89,0.86,0.87,0.71,0.76,0.74,0.76,0.72,0.74,0.66,0.59,0.62,0.5,0.63,0.59,0.53,0.4,0.57,0.58,0.51,0.51,0.47,0.44,0.43,0.5,0.45,0.4,0.43,0.48,0.43,0.43,0.41,0.43,0.33,0.34,0.27,0.37,0.33,0.32,0.31,0.32,0.25,0.29,0.27,0.29,0.28,0.26,0.29,0.25,0.25,0.23,0.29,0.25,0.29,0.2,0.21,0.13,0.18,0.23,0.18,0.18,0.2,0.16,0.15,0.17,0.17,0.16,0.15,0.16,0.15,0.12,0.11,0.11,0.24,0.13,0.11,0.08,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/31/2021,6.29,9.25,7.18,6.14,5.18,4.97,2.42,2.86,3.11,3.3,2.48,2.34,1.96,1.5,1.92,1.41,1.63,1.25,1.11,1.09,0.76,1.02,1.03,0.98,0.89,0.86,0.87,0.71,0.76,0.73,0.76,0.72,0.74,0.66,0.59,0.62,0.5,0.63,0.59,0.53,0.41,0.57,0.58,0.51,0.51,0.46,0.44,0.43,0.5,0.45,0.4,0.43,0.48,0.43,0.43,0.41,0.43,0.33,0.34,0.28,0.37,0.33,0.32,0.31,0.32,0.25,0.28,0.27,0.29,0.28,0.26,0.29,0.25,0.26,0.23,0.29,0.25,0.29,0.2,0.21,0.13,0.18,0.23,0.18,0.18,0.2,0.16,0.15,0.17,0.17,0.16,0.17,0.15,0.15,0.12,0.11,0.11,0.24,0.13,0.1,0.08,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/01/2021,6.29,9.25,7.18,6.14,5.18,4.97,2.42,2.86,3.11,3.3,2.48,2.34,1.96,1.5,1.92,1.41,1.63,1.25,1.11,1.09,0.76,1.02,1.03,0.98,0.89,0.86,0.87,0.71,0.76,0.73,0.76,0.72,0.74,0.66,0.59,0.62,0.5,0.63,0.59,0.53,0.41,0.57,0.58,0.51,0.51,0.46,0.44,0.43,0.5,0.45,0.4,0.43,0.48,0.43,0.43,0.41,0.43,0.33,0.34,0.28,0.37,0.33,0.32,0.31,0.32,0.25,0.28,0.27,0.29,0.28,0.26,0.29,0.25,0.26,0.23,0.29,0.25,0.29,0.2,0.21,0.13,0.18,0.23,0.18,0.18,0.2,0.16,0.15,0.17,0.17,0.16,0.17,0.15,0.15,0.12,0.11,0.11,0.24,0.13,0.1,0.08,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/02/2021,6.27,9.29,7.13,6.09,5.17,4.92,2.47,2.88,3.05,3.29,2.52,2.34,1.95,1.51,1.93,1.44,1.66,1.25,1.11,1.1,0.77,0.99,1.04,1.0,0.9,0.84,0.86,0.7,0.76,0.74,0.79,0.71,0.73,0.65,0.59,0.59,0.48,0.63,0.63,0.52,0.4,0.57,0.58,0.5,0.52,0.47,0.44,0.43,0.51,0.46,0.4,0.44,0.48,0.43,0.43,0.41,0.44,0.32,0.34,0.28,0.37,0.33,0.32,0.31,0.32,0.25,0.29,0.29,0.3,0.28,0.26,0.3,0.25,0.25,0.23,0.28,0.25,0.28,0.19,0.21,0.13,0.18,0.23,0.18,0.18,0.2,0.16,0.15,0.17,0.18,0.16,0.17,0.16,0.15,0.13,0.11,0.09,0.26,0.13,0.1,0.08,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.09
09/06/2021,6.38,9.23,6.87,6.03,5.25,4.91,2.46,3.08,3.06,3.34,2.51,2.31,1.92,1.47,2.01,1.42,1.65,1.23,1.09,1.11,0.81,0.98,1.08,0.99,0.91,0.81,0.89,0.69,0.76,0.75,0.78,0.73,0.73,0.64,0.57,0.6,0.49,0.63,0.63,0.53,0.42,0.56,0.58,0.53,0.53,0.46,0.42,0.44,0.47,0.44,0.4,0.45,0.48,0.42,0.42,0.41,0.44,0.34,0.34,0.29,0.36,0.31,0.31,0.29,0.32,0.25,0.29,0.27,0.29,0.28,0.26,0.29,0.25,0.25,0.23,0.28,0.25,0.28,0.19,0.2,0.13,0.15,0.23,0.18,0.17,0.19,0.16,0.16,0.17,0.19,0.15,0.18,0.15,0.14,0.12,0.11,0.09,0.22,0.2,0.1,0.07,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,6.33,9.34,6.67,6.14,5.07,5.01,2.46,3.13,3.15,3.27,2.46,2.34,1.94,1.47,2.01,1.42,1.69,1.21,1.09,1.11,0.78,0.99,1.11,0.99,0.87,0.82,0.89,0.71,0.74,0.75,0.77,0.72,0.74,0.63,0.57,0.62,0.51,0.63,0.62,0.53,0.39,0.57,0.58,0.52,0.54,0.47,0.42,0.44,0.49,0.44,0.4,0.45,0.49,0.42,0.41,0.42,0.44,0.33,0.35,0.28,0.36,0.29,0.32,0.29,0.33,0.25,0.31,0.28,0.29,0.28,0.27,0.27,0.24,0.25,0.24,0.28,0.26,0.28,0.19,0.2,0.11,0.14,0.24,0.18,0.18,0.19,0.16,0.16,0.18,0.2,0.15,0.16,0.16,0.14,0.13,0.12,0.1,0.15,0.2,0.1,0.08,0.02,0.02,0.01,0.0,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,100.0
09/14/2021,6.04,9.39,6.63,6.17,5.05,5.04,2.42,3.25,3.16,3.22,2.47,2.35,1.96,1.48,2.02,1.42,1.68,1.22,1.09,1.12,0.76,0.99,1.12,0.99,0.88,0.83,0.9,0.71,0.75,0.76,0.77,0.71,0.75,0.63,0.57,0.62,0.52,0.63,0.63,0.54,0.39,0.57,0.59,0.53,0.54,0.47,0.42,0.45,0.5,0.45,0.4,0.45,0.49,0.42,0.42,0.42,0.44,0.33,0.35,0.26,0.36,0.29,0.32,0.29,0.33,0.26,0.31,0.28,0.29,0.28,0.27,0.27,0.24,0.25,0.24,0.29,0.26,0.28,0.19,0.2,0.12,0.14,0.24,0.18,0.18,0.19,0.16,0.17,0.18,0.2,0.15,0.16,0.16,0.14,0.13,0.12,0.1,0.16,0.2,0.1,0.08,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100.07
09/15/2021,6.04,9.39,6.63,6.17,5.05,5.04,2.42,3.25,3.16,3.22,2.47,2.35,1.96,1.48,2.02,1.42,1.68,1.22,1.09,1.12,0.76,0.99,1.12,0.99,0.88,0.83,0.9,0.71,0.75,0.76,0.77,0.71,0.75,0.63,0.57,0.62,0.52,0.63,0.63,0.54,0.39,0.57,0.59,0.53,0.54,0.47,0.42,0.45,0.5,0.45,0.4,0.45,0.49,0.42,0.42,0.42,0.44,0.33,0.35,0.26,0.36,0.29,0.32,0.29,0.33,0.26,0.31,0.28,0.29,0.28,0.27,0.27,0.24,0.25,0.24,0.29,0.26,0.28,0.19,0.2,0.12,0.14,0.24,0.18,0.18,0.19,0.16,0.17,0.18,0.2,0.15,0.16,0.16,0.14,0.13,0.12,0.1,0.16,0.2,0.1,0.08,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100.07
09/16/2021,6.02,9.4,6.49,6.23,5.12,5.07,2.55,3.18,3.13,3.18,2.52,2.35,1.98,1.48,1.98,1.44,1.53,1.22,1.09,1.16,0.75,0.99,1.1,0.99,0.89,0.85,0.89,0.71,0.75,0.79,0.72,0.75,0.77,0.64,0.59,0.64,0.51,0.64,0.64,0.54,0.38,0.57,0.57,0.53,0.55,0.47,0.41,0.45,0.49,0.46,0.41,0.46,0.5,0.43,0.43,0.42,0.45,0.32,0.34,0.26,0.36,0.28,0.32,0.29,0.33,0.27,0.32,0.27,0.29,0.28,0.27,0.28,0.24,0.25,0.24,0.29,0.26,0.28,0.19,0.21,0.12,0.14,0.24,0.18,0.18,0.19,0.17,0.17,0.18,0.19,0.14,0.16,0.15,0.14,0.13,0.11,0.1,0.17,0.19,0.11,0.08,0.1,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,100.11
09/17/2021,6.03,9.35,6.39,6.29,5.0,5.09,2.56,3.25,3.17,3.19,2.53,2.37,1.96,1.49,2.0,1.49,1.58,1.21,1.09,1.16,0.73,0.98,1.1,0.99,0.9,0.84,0.89,0.71,0.76,0.76,0.72,0.74,0.77,0.64,0.58,0.63,0.5,0.64,0.64,0.53,0.37,0.57,0.59,0.53,0.54,0.46,0.41,0.47,0.48,0.46,0.4,0.45,0.5,0.44,0.43,0.42,0.44,0.32,0.32,0.26,0.36,0.29,0.32,0.29,0.33,0.27,0.32,0.27,0.29,0.29,0.27,0.28,0.24,0.24,0.24,0.29,0.27,0.28,0.19,0.21,0.12,0.14,0.24,0.19,0.18,0.19,0.16,0.17,0.17,0.18,0.15,0.15,0.15,0.14,0.13,0.11,0.1,0.19,0.19,0.11,0.08,0.0,0.02,0.01,0.0,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,100.01
09/23/2021,5.86,9.02,6.33,6.29,4.81,5.06,2.65,3.3,3.15,3.28,2.54,2.38,1.96,1.58,1.98,1.5,1.76,1.25,1.09,1.17,0.71,1.02,1.11,1.0,0.8,0.87,0.9,0.71,0.77,0.75,0.73,0.72,0.77,0.66,0.59,0.65,0.49,0.64,0.64,0.54,0.38,0.57,0.6,0.53,0.54,0.46,0.42,0.48,0.49,0.45,0.4,0.47,0.52,0.44,0.44,0.42,0.45,0.3,0.32,0.26,0.36,0.3,0.33,0.28,0.34,0.27,0.33,0.29,0.29,0.29,0.28,0.27,0.25,0.24,0.24,0.29,0.28,0.28,0.2,0.21,0.18,0.14,0.24,0.19,0.18,0.2,0.16,0.17,0.18,0.19,0.14,0.16,0.15,0.15,0.13,0.11,0.1,0.12,0.2,0.11,0.08,0.06,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.01
09/24/2021,5.83,9.01,6.22,6.29,4.79,5.06,2.76,3.42,3.15,3.27,2.53,2.37,1.96,1.58,1.98,1.5,1.86,1.25,1.09,1.17,0.71,1.02,1.11,1.0,0.78,0.87,0.9,0.71,0.77,0.75,0.72,0.72,0.77,0.66,0.59,0.65,0.49,0.64,0.64,0.54,0.39,0.57,0.6,0.53,0.54,0.46,0.42,0.48,0.48,0.45,0.4,0.47,0.51,0.44,0.44,0.42,0.45,0.3,0.32,0.26,0.36,0.3,0.33,0.28,0.34,0.27,0.33,0.29,0.29,0.28,0.28,0.27,0.25,0.24,0.24,0.29,0.28,0.28,0.2,0.21,0.18,0.14,0.23,0.19,0.18,0.2,0.15,0.17,0.18,0.19,0.14,0.16,0.15,0.15,0.13,0.11,0.1,0.12,0.2,0.11,0.08,0.05,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.05
09/30/2021,5.69,9.02,6.33,6.19,5.04,5.0,2.64,3.62,3.11,3.25,2.52,2.37,1.94,1.61,1.96,1.52,2.1,1.24,1.06,1.16,0.76,1.02,1.1,0.99,0.68,0.87,0.88,0.69,0.76,0.73,0.71,0.71,0.76,0.67,0.59,0.62,0.49,0.62,0.64,0.53,0.42,0.56,0.62,0.54,0.54,0.46,0.43,0.46,0.47,0.44,0.4,0.48,0.51,0.44,0.44,0.4,0.44,0.3,0.32,0.26,0.37,0.31,0.33,0.28,0.32,0.28,0.33,0.28,0.29,0.28,0.28,0.26,0.24,0.24,0.25,0.29,0.27,0.28,0.19,0.2,0.19,0.14,0.23,0.18,0.18,0.19,0.16,0.17,0.19,0.19,0.14,0.18,0.14,0.14,0.13,0.11,0.11,0.12,0.21,0.11,0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,100.03999999999999
