,IYR,Vanguard Mid-Cap Value ETF,XLI,QQQ,XLV,XLY,PFF,HYG,LQD,TLT,Invesco Govt Agency Instl 1901,GTES,Cash,BLV,BIV,VGT,PFFD,VOO,VTI,VOX,VCR,Vanguard Extended Market ETF,688098.SS,VXF,Global X US Preferred ETF,n/a,688065.SS,VDE,VIS,VV,QQQM,VO,VHT,SUM
12/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,10.01,0.0,9.92,0.0,0.0,9.64,0.0,0.29,0.0,10.04,9.94,10.05,10.07,9.93,9.99,100.01
12/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,10.14,0.0,9.57,0.0,0.0,9.5,0.0,0.24,0.0,9.77,9.92,10.18,9.99,9.99,10.56,99.99
12/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,10.14,0.0,9.57,0.0,0.0,9.5,0.0,0.24,0.0,9.77,9.92,10.18,9.99,9.99,10.56,99.99
12/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.15,0.0,0.0,10.13,0.0,9.51,0.0,0.0,9.49,0.0,0.25,0.0,9.77,9.88,10.2,10.02,9.98,10.63,100.01
12/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,10.07,0.0,9.54,0.0,0.0,9.54,0.0,0.46,0.0,9.83,9.85,10.14,9.99,9.97,10.45,100.00999999999998
12/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.08,0.0,9.65,0.0,0.0,9.53,0.0,0.45,0.0,9.73,9.86,10.13,10.03,9.94,10.43,100.01
12/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.08,0.0,9.65,0.0,0.0,9.53,0.0,0.45,0.0,9.73,9.86,10.13,10.03,9.94,10.43,100.01
12/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.08,0.0,9.65,0.0,0.0,9.53,0.0,0.45,0.0,9.73,9.86,10.13,10.03,9.94,10.43,100.01
12/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.27,0.0,0.0,10.05,0.0,9.62,0.0,0.0,9.45,0.0,0.45,0.0,9.84,9.84,10.11,10.07,9.9,10.38,99.98000000000002
12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22,0.0,0.0,10.06,0.0,9.65,0.0,0.0,9.41,0.0,0.45,0.0,9.85,9.9,10.13,10.05,9.91,10.37,100.0
01/03/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.05,0.0,9.66,0.0,0.0,9.42,0.0,0.6,0.0,9.7,9.88,10.11,10.02,9.94,10.45,100.01
01/03/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.05,0.0,9.66,0.0,0.0,9.42,0.0,0.6,0.0,9.7,9.88,10.11,10.02,9.94,10.45,100.01
01/03/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,10.05,0.0,9.66,0.0,0.0,9.42,0.0,0.6,0.0,9.7,9.88,10.11,10.02,9.94,10.45,100.00999999999999
