,FERG.L,GEBN.SW,AWK,ECL,XYL,IEX,PNR,VIE.PA,WTRG,AOS,SEV.PA,UU.L,SVT.L,TTEK,PNN.L,RXN,FI-N.SW,AALB.AS,6005.T,6370.T,270.HK,WTS,AQUA,FELE,RWC.AX,AWR,BMI,CWT,PRMW.TO,SAJA.,SUN.SW,2128.HK,MWA,371.HK,LNN,SJW,UPONOR.HE,MSEX,MEG,855.HK,YORW,9551.T,6368.T,FGXXX,Japanese Yen,688101.SS,n/a,688001.SS,688226.SS,MEDX.SW,RBC,ZWS,RRX,SUM
11/04/2021,8.13,7.42,7.23,7.58,6.55,4.24,4.0,5.14,3.78,3.53,3.4,3.48,3.26,3.42,1.61,0.0,2.23,1.91,1.55,1.89,1.3,1.88,1.8,1.2,1.21,1.21,1.05,1.11,0.9,0.0,0.61,0.54,0.92,0.69,0.56,0.64,0.47,0.68,0.35,0.31,0.22,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.01
11/05/2021,8.19,7.49,7.16,7.55,6.45,4.24,3.98,5.21,3.76,3.59,3.39,3.48,3.25,3.4,1.61,0.0,2.27,1.91,1.57,1.85,1.32,1.9,1.82,1.21,1.22,1.18,1.05,1.12,0.91,0.0,0.61,0.53,0.92,0.68,0.57,0.66,0.47,0.62,0.35,0.3,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,100.0
11/08/2021,8.19,7.41,6.91,7.71,6.24,4.35,3.94,5.25,3.76,3.75,3.39,3.5,3.27,3.44,1.62,0.0,2.27,1.88,1.54,1.87,1.32,1.88,1.79,1.23,1.26,1.19,1.05,1.14,0.94,0.0,0.61,0.52,0.91,0.67,0.59,0.67,0.45,0.62,0.37,0.31,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,99.98
11/09/2021,8.11,7.41,6.86,7.62,6.37,4.36,3.95,5.38,3.7,3.68,3.33,3.47,3.25,3.42,1.6,0.0,2.28,1.92,1.58,1.94,1.3,1.95,1.8,1.23,1.27,1.2,1.06,1.12,1.03,0.0,0.61,0.5,0.92,0.65,0.58,0.67,0.44,0.61,0.38,0.31,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,100.01
11/10/2021,8.07,7.3,6.89,7.7,6.43,4.37,3.93,5.27,3.74,3.67,3.33,3.44,3.18,3.37,1.58,0.0,2.29,1.92,1.57,1.95,1.26,2.0,1.82,1.26,1.26,1.22,1.1,1.14,1.06,0.0,0.61,0.49,0.92,0.65,0.6,0.69,0.47,0.62,0.37,0.3,0.22,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,100.01
11/11/2021,8.07,7.3,6.89,7.7,6.43,4.37,3.93,5.27,3.74,3.67,3.33,3.44,3.18,3.37,1.58,0.0,2.29,1.92,1.57,1.95,1.26,2.0,1.82,1.26,1.26,1.22,1.1,1.14,1.06,0.0,0.61,0.49,0.92,0.65,0.6,0.69,0.47,0.62,0.37,0.3,0.22,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,100.01
11/12/2021,8.16,7.32,6.82,7.66,6.49,4.37,3.94,5.25,3.71,3.65,3.32,3.43,3.18,3.37,1.59,0.0,2.31,1.94,1.54,1.93,1.29,2.0,1.85,1.26,1.28,1.2,1.1,1.12,1.04,0.0,0.61,0.5,0.95,0.64,0.59,0.68,0.47,0.62,0.38,0.3,0.21,0.17,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,99.99
11/15/2021,8.21,7.39,6.9,7.72,6.37,4.34,3.91,5.18,3.67,3.75,3.28,3.4,3.19,3.38,1.59,0.0,2.21,2.07,1.48,1.93,1.33,1.98,1.88,1.27,1.26,1.2,1.1,1.11,1.07,0.0,0.62,0.5,0.81,0.65,0.59,0.68,0.46,0.63,0.39,0.29,0.22,0.17,0.15,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,99.99
11/16/2021,8.21,7.39,6.9,7.72,6.37,4.34,3.91,5.18,3.67,3.75,3.28,3.4,3.19,3.38,1.59,0.0,2.21,2.07,1.48,1.93,1.33,1.98,1.88,1.27,1.26,1.2,1.1,1.11,1.07,0.0,0.62,0.5,0.81,0.65,0.59,0.68,0.46,0.63,0.39,0.29,0.22,0.17,0.15,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,99.99
11/17/2021,8.21,7.39,6.9,7.72,6.37,4.34,3.91,5.18,3.67,3.75,3.28,3.4,3.19,3.38,1.59,0.0,2.21,2.07,1.48,1.93,1.33,1.98,1.88,1.27,1.26,1.2,1.1,1.11,1.07,0.0,0.62,0.5,0.81,0.65,0.59,0.68,0.46,0.63,0.39,0.29,0.22,0.17,0.15,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,99.99
11/18/2021,8.21,7.39,6.9,7.72,6.37,4.34,3.91,5.18,3.67,3.75,3.28,3.4,3.19,3.38,1.59,0.0,2.21,2.07,1.48,1.93,1.33,1.98,1.88,1.27,1.26,1.2,1.1,1.11,1.07,0.0,0.62,0.5,0.81,0.65,0.59,0.68,0.46,0.63,0.39,0.29,0.22,0.17,0.15,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,99.99
11/19/2021,8.3,7.31,6.94,7.78,6.29,4.33,3.99,5.19,3.7,3.83,3.23,3.41,3.19,3.39,1.6,0.0,2.18,2.12,1.5,1.96,1.28,1.94,1.79,1.25,1.29,1.2,1.08,1.12,1.07,0.0,0.61,0.51,0.78,0.65,0.59,0.66,0.47,0.63,0.38,0.28,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,100.03
11/22/2021,8.3,7.31,6.94,7.78,6.29,4.33,3.99,5.19,3.7,3.83,3.23,3.41,3.19,3.39,1.6,0.0,2.18,2.12,1.5,1.96,1.28,1.94,1.79,1.25,1.29,1.2,1.08,1.12,1.07,0.0,0.61,0.51,0.78,0.65,0.59,0.66,0.47,0.63,0.38,0.28,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,100.03
11/23/2021,8.3,7.31,6.94,7.78,6.29,4.33,3.99,5.19,3.7,3.83,3.23,3.41,3.19,3.39,1.6,0.0,2.18,2.12,1.5,1.96,1.28,1.94,1.79,1.25,1.29,1.2,1.08,1.12,1.07,0.0,0.61,0.51,0.78,0.65,0.59,0.66,0.47,0.63,0.38,0.28,0.21,0.17,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,100.03
11/24/2021,8.5,7.22,6.85,7.58,6.28,4.32,4.04,5.15,3.68,3.83,3.22,3.37,3.17,3.52,1.59,0.0,2.2,2.15,1.48,1.88,1.32,1.96,2.02,1.27,1.25,1.2,1.06,1.15,1.02,0.0,0.61,0.47,0.77,0.65,0.58,0.65,0.46,0.64,0.38,0.27,0.21,0.17,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,99.99
11/25/2021,8.4,7.29,6.92,7.71,6.23,4.3,4.13,4.96,3.75,3.83,3.19,3.35,3.16,3.55,1.58,0.0,2.18,2.13,1.47,1.87,1.32,1.93,2.02,1.27,1.25,1.23,1.07,1.18,1.02,0.0,0.58,0.48,0.79,0.65,0.59,0.66,0.46,0.66,0.38,0.27,0.21,0.17,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,100.05
11/26/2021,8.48,7.09,7.01,7.74,6.19,4.34,4.07,4.96,3.79,3.87,3.19,3.37,3.15,3.55,1.58,0.0,2.16,2.13,1.45,1.85,1.3,1.95,1.96,1.28,1.26,1.23,1.09,1.19,1.01,0.0,0.57,0.5,0.79,0.64,0.59,0.66,0.46,0.66,0.38,0.27,0.21,0.17,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,99.98000000000002
11/29/2021,8.35,6.95,7.04,7.72,6.13,4.4,4.1,5.03,3.77,3.89,3.23,3.46,3.23,3.62,1.62,0.0,2.13,2.06,1.42,1.8,1.4,1.92,1.96,1.29,1.25,1.23,1.08,1.16,1.0,0.0,0.58,0.52,0.79,0.65,0.6,0.65,0.44,0.64,0.38,0.29,0.21,0.17,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.02
11/30/2021,8.35,6.95,7.04,7.72,6.13,4.4,4.1,5.03,3.77,3.89,3.23,3.46,3.23,3.62,1.62,0.0,2.13,2.06,1.42,1.8,1.4,1.92,1.96,1.29,1.25,1.23,1.08,1.16,1.0,0.0,0.58,0.52,0.79,0.65,0.6,0.65,0.44,0.64,0.38,0.29,0.21,0.17,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.02
12/01/2021,8.35,6.95,7.04,7.72,6.13,4.4,4.1,5.03,3.77,3.89,3.23,3.46,3.23,3.62,1.62,0.0,2.13,2.06,1.42,1.8,1.4,1.92,1.96,1.29,1.25,1.23,1.08,1.16,1.0,0.0,0.58,0.52,0.79,0.65,0.6,0.65,0.44,0.64,0.38,0.29,0.21,0.17,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,100.02
12/02/2021,8.23,7.1,7.03,7.67,6.12,4.38,4.05,4.93,3.77,3.89,3.31,3.56,3.35,3.57,1.66,0.0,2.17,2.07,1.45,1.79,1.44,1.9,1.96,1.25,1.23,1.22,1.06,1.14,0.98,0.0,0.57,0.51,0.78,0.65,0.58,0.64,0.44,0.64,0.37,0.3,0.21,0.18,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,99.99000000000004
12/06/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/07/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/08/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/09/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/10/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/13/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/14/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.01
12/15/2021,8.33,7.22,7.03,7.62,6.0,4.33,3.93,5.03,3.88,3.9,3.31,3.5,3.25,3.64,1.59,0.0,2.17,2.11,1.43,1.72,1.37,1.89,1.98,1.24,1.22,1.26,1.08,1.19,0.92,0.0,0.59,0.5,0.78,0.68,0.57,0.66,0.44,0.64,0.36,0.36,0.21,0.17,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,100.00999999999999
