,UNH,GS,HD,MSFT,CRM,AMGN,V,BA,MCD,HON,CAT,MMM,DIS,AXP,JNJ,NKE,JPM,TRV,AAPL,WMT,IBM,PG,CVX,MRK,DOW,VZ,INTC,KO,CSCO,WBA,U.S. Dollar,AN22.L,OGN,n/a,KD WI,KD,SUM
11/11/2021,8.37,7.38,6.67,6.09,5.61,3.82,3.99,4.03,4.58,4.08,3.87,3.28,3.2,3.26,2.95,3.11,3.06,2.87,2.72,2.7,2.25,2.62,2.08,1.5,1.06,0.95,0.93,1.02,1.03,0.9,0.0,0.0,0.0,0.03,0.0,0.0,100.01
11/12/2021,8.42,7.35,6.72,6.09,5.62,3.84,3.87,4.01,4.58,4.13,3.81,3.29,3.18,3.26,2.95,3.15,3.04,2.86,2.74,2.72,2.19,2.64,2.1,1.5,1.07,0.95,0.93,1.02,1.04,0.89,0.0,0.0,0.0,0.03,0.0,0.0,99.99
11/15/2021,8.39,7.38,6.74,6.1,5.56,3.88,3.86,4.02,4.59,4.05,3.82,3.31,2.97,3.33,2.99,3.06,3.07,2.89,2.71,2.72,2.21,2.69,2.09,1.54,1.09,0.96,0.93,1.04,1.04,0.92,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/16/2021,8.39,7.38,6.74,6.1,5.56,3.88,3.86,4.02,4.59,4.05,3.82,3.31,2.97,3.33,2.99,3.06,3.07,2.89,2.71,2.72,2.21,2.69,2.09,1.54,1.09,0.96,0.93,1.04,1.04,0.92,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/17/2021,8.39,7.38,6.74,6.1,5.56,3.88,3.86,4.02,4.59,4.05,3.82,3.31,2.97,3.33,2.99,3.06,3.07,2.89,2.71,2.72,2.21,2.69,2.09,1.54,1.09,0.96,0.93,1.04,1.04,0.92,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/18/2021,8.23,7.39,6.77,6.14,5.58,3.79,3.88,4.26,4.62,4.06,3.79,3.35,2.89,3.34,2.99,3.08,3.04,2.89,2.74,2.68,2.17,2.69,2.13,1.53,1.09,0.96,0.92,1.03,1.05,0.9,0.0,0.0,0.0,0.03,0.0,0.0,100.01
11/19/2021,8.2,7.35,7.15,6.19,5.6,3.74,3.92,4.12,4.6,4.04,3.74,3.34,2.9,3.3,2.97,3.13,3.01,2.9,2.75,2.61,2.16,2.68,2.14,1.53,1.07,0.95,0.92,1.02,1.04,0.89,0.0,0.0,0.0,0.03,0.0,0.0,99.99
11/22/2021,8.23,7.18,7.24,6.22,5.65,3.77,3.76,4.16,4.63,4.04,3.72,3.36,2.88,3.29,2.99,3.15,3.02,2.87,2.81,2.6,2.16,2.7,2.12,1.51,1.07,0.95,0.92,1.03,1.04,0.88,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/23/2021,8.23,7.18,7.24,6.22,5.65,3.77,3.76,4.16,4.63,4.04,3.72,3.36,2.88,3.29,2.99,3.15,3.02,2.87,2.81,2.6,2.16,2.7,2.12,1.51,1.07,0.95,0.92,1.03,1.04,0.88,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/24/2021,8.23,7.18,7.24,6.22,5.65,3.77,3.76,4.16,4.63,4.04,3.72,3.36,2.88,3.29,2.99,3.15,3.02,2.87,2.81,2.6,2.16,2.7,2.12,1.51,1.07,0.95,0.92,1.03,1.04,0.88,0.0,0.0,0.0,0.04,0.0,0.0,99.99
11/25/2021,8.09,7.33,7.56,6.29,5.49,3.75,3.62,3.88,4.69,4.03,3.74,3.32,2.85,3.16,2.95,3.22,3.04,2.9,2.98,2.68,2.15,2.73,2.11,1.51,1.09,0.95,0.92,1.03,1.01,0.88,0.0,0.0,0.0,0.03,0.0,0.0,99.98
11/26/2021,8.22,7.47,7.51,6.21,5.36,3.76,3.65,3.84,4.7,3.97,3.77,3.3,2.78,3.14,2.95,3.16,3.09,2.95,2.97,2.68,2.15,2.75,2.14,1.52,1.09,0.95,0.9,1.03,1.02,0.87,0.0,0.0,0.0,0.12,0.0,0.0,100.02
11/29/2021,8.28,7.34,7.58,6.21,5.32,3.75,3.74,3.87,4.73,3.9,3.81,3.27,2.78,3.15,2.95,3.16,3.07,2.92,2.98,2.69,2.15,2.73,2.15,1.51,1.08,0.95,0.91,1.02,1.02,0.86,0.0,0.0,0.0,0.12,0.0,0.0,100.0
11/30/2021,8.3,7.34,7.6,6.22,5.36,3.79,3.73,3.76,4.72,3.93,3.75,3.31,2.79,2.96,3.0,3.17,3.05,2.9,2.96,2.73,2.18,2.78,2.16,1.49,1.09,0.98,0.92,1.01,1.03,0.87,0.0,0.0,0.0,0.13,0.0,0.0,100.01
12/01/2021,8.3,7.34,7.6,6.22,5.36,3.79,3.73,3.76,4.72,3.93,3.75,3.31,2.79,2.96,3.0,3.17,3.05,2.9,2.96,2.73,2.18,2.78,2.16,1.49,1.09,0.98,0.92,1.01,1.03,0.87,0.0,0.0,0.0,0.13,0.0,0.0,100.01
12/02/2021,8.47,7.24,7.62,6.31,5.56,3.81,3.68,3.72,4.69,3.89,3.67,3.3,2.77,2.96,2.99,3.18,3.02,2.85,3.0,2.67,2.22,2.79,2.15,1.4,1.07,0.97,0.94,1.02,1.04,0.86,0.0,0.0,0.0,0.13,0.0,0.0,99.99
12/06/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/07/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/08/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/09/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/10/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/13/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/14/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/15/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/16/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/17/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/20/2021,8.47,7.36,7.75,6.26,4.96,3.82,3.77,3.85,4.73,3.88,3.74,3.23,2.8,2.98,2.98,3.23,3.06,2.85,3.11,2.57,2.22,2.8,2.19,1.4,1.01,0.96,0.94,1.01,1.07,0.85,0.0,0.0,0.0,0.13,0.0,0.0,99.98
12/21/2021,9.06,7.1,7.21,6.02,4.7,4.14,3.94,3.58,4.87,3.82,3.74,3.25,2.77,2.98,3.13,3.0,2.92,2.94,3.18,2.58,2.37,2.93,2.11,1.41,1.01,0.99,0.94,1.07,1.12,0.91,0.0,0.0,0.0,0.21,0.0,0.0,100.0
12/22/2021,9.06,7.1,7.21,6.02,4.7,4.14,3.94,3.58,4.87,3.82,3.74,3.25,2.77,2.98,3.13,3.0,2.92,2.94,3.18,2.58,2.37,2.93,2.11,1.41,1.01,0.99,0.94,1.07,1.12,0.91,0.0,0.0,0.0,0.21,0.0,0.0,100.0
12/23/2021,9.11,7.0,7.33,6.02,4.65,4.14,3.93,3.55,4.93,3.76,3.68,3.25,2.76,2.93,3.16,2.96,2.9,2.89,3.2,2.62,2.39,2.97,2.14,1.44,1.01,1.0,0.93,1.08,1.14,0.92,0.0,0.0,0.0,0.21,0.0,0.0,100.0
12/24/2021,9.03,7.05,7.24,6.06,4.68,4.09,3.99,3.7,4.9,3.74,3.67,3.2,2.8,2.98,3.1,3.09,2.89,2.88,3.21,2.59,2.39,2.92,2.14,1.4,1.0,0.98,0.94,1.07,1.13,0.93,0.0,0.0,0.0,0.21,0.0,0.0,100.0
12/27/2021,9.06,7.04,7.26,6.12,4.63,4.09,3.96,3.74,4.87,3.75,3.77,3.2,2.81,3.0,3.08,3.03,2.88,2.83,3.23,2.55,2.39,2.93,2.13,1.39,1.01,0.96,0.94,1.07,1.14,0.92,0.0,0.0,0.0,0.19,0.0,0.0,99.97
12/28/2021,9.06,7.04,7.26,6.12,4.63,4.09,3.96,3.74,4.87,3.75,3.77,3.2,2.81,3.0,3.08,3.03,2.88,2.83,3.23,2.55,2.39,2.93,2.13,1.39,1.01,0.96,0.94,1.07,1.14,0.92,0.0,0.0,0.0,0.19,0.0,0.0,99.97
12/29/2021,9.06,7.04,7.26,6.12,4.63,4.09,3.96,3.74,4.87,3.75,3.77,3.2,2.81,3.0,3.08,3.03,2.88,2.83,3.23,2.55,2.39,2.93,2.13,1.39,1.01,0.96,0.94,1.07,1.14,0.92,0.0,0.0,0.0,0.19,0.0,0.0,99.97
12/30/2021,9.05,7.03,7.32,6.2,4.68,4.08,3.94,3.68,4.86,3.74,3.74,3.2,2.77,2.98,3.07,3.04,2.87,2.83,3.27,2.55,2.38,2.93,2.15,1.39,1.01,0.95,0.94,1.06,1.15,0.92,0.0,0.0,0.0,0.19,0.0,0.0,99.97
12/31/2021,9.1,7.02,7.35,6.18,4.62,4.09,3.95,3.73,4.85,3.75,3.74,3.22,2.81,2.98,3.08,3.01,2.87,2.84,3.25,2.58,2.4,2.95,2.15,1.39,1.03,0.95,0.94,1.07,1.15,0.93,0.0,0.0,0.0,0.03,0.0,0.0,100.01
01/03/2022,9.12,6.97,7.41,6.13,4.61,4.09,3.94,3.66,4.83,3.74,3.72,3.21,2.82,2.97,3.11,3.03,2.86,2.83,3.22,2.59,2.42,2.94,2.12,1.39,1.03,0.94,0.93,1.06,1.15,0.94,0.0,0.0,0.0,0.2,0.0,0.0,99.98
01/03/2022,9.12,6.97,7.41,6.13,4.61,4.09,3.94,3.66,4.83,3.74,3.72,3.21,2.82,2.97,3.11,3.03,2.86,2.83,3.22,2.59,2.42,2.94,2.12,1.39,1.03,0.94,0.93,1.06,1.15,0.94,0.0,0.0,0.0,0.2,0.0,0.0,99.98
01/03/2022,9.12,6.97,7.41,6.13,4.61,4.09,3.94,3.66,4.83,3.74,3.72,3.21,2.82,2.97,3.11,3.03,2.86,2.83,3.22,2.59,2.42,2.94,2.12,1.39,1.03,0.94,0.93,1.06,1.15,0.94,0.0,0.0,0.0,0.2,0.0,0.0,99.98
01/04/2022,9.12,6.97,7.41,6.13,4.61,4.09,3.94,3.66,4.83,3.74,3.72,3.21,2.82,2.97,3.11,3.03,2.86,2.83,3.22,2.59,2.42,2.94,2.12,1.39,1.03,0.94,0.93,1.06,1.15,0.94,0.0,0.0,0.0,0.2,0.0,0.0,99.98
01/05/2022,9.1,6.94,7.52,6.1,4.61,4.08,3.93,3.65,4.86,3.78,3.75,3.22,2.81,2.97,3.1,3.02,2.87,2.84,3.22,2.62,2.42,2.97,2.13,1.39,1.03,0.94,0.93,1.07,1.15,0.95,0.0,0.0,0.0,0.04,0.0,0.0,100.01000000000002
01/06/2022,9.04,7.12,7.36,6.03,4.6,4.08,3.99,3.74,4.84,3.72,3.73,3.2,2.82,3.03,3.09,2.97,2.91,2.8,3.28,2.6,2.45,2.93,2.15,1.38,1.02,0.94,0.96,1.07,1.14,0.96,0.0,0.0,0.0,0.04,0.0,0.0,99.99
01/07/2022,8.79,7.3,7.4,5.89,4.45,4.08,3.99,3.83,4.81,3.74,3.91,3.23,2.79,3.11,3.06,2.98,3.01,2.85,3.22,2.54,2.47,2.93,2.18,1.38,1.05,0.96,0.95,1.08,1.1,0.96,0.0,0.0,0.0,-0.03,0.0,0.0,100.00999999999998
01/10/2022,8.84,7.2,7.35,5.71,4.11,4.07,3.97,3.85,4.82,3.81,3.97,3.24,2.8,3.1,3.11,2.93,2.96,2.88,3.16,2.6,2.5,2.96,2.21,1.42,1.05,0.98,0.97,1.1,1.09,0.98,0.0,0.0,0.0,0.26,0.0,0.0,100.0
01/11/2022,8.32,7.21,7.14,5.7,4.14,4.12,3.94,3.91,4.84,3.91,4.07,3.26,2.86,3.16,3.16,2.85,3.03,3.02,3.12,2.63,2.45,2.95,2.27,1.46,1.07,0.98,0.97,1.09,1.11,0.98,0.0,0.0,0.0,0.27,0.0,0.0,99.99
01/12/2022,8.32,7.21,7.14,5.7,4.14,4.12,3.94,3.91,4.84,3.91,4.07,3.26,2.86,3.16,3.16,2.85,3.03,3.02,3.12,2.63,2.45,2.95,2.27,1.46,1.07,0.98,0.97,1.09,1.11,0.98,0.0,0.0,0.0,0.27,0.0,0.0,99.99
01/13/2022,8.49,7.29,7.08,5.74,4.19,4.21,3.87,3.82,4.83,3.9,4.05,3.24,2.86,3.17,3.16,2.75,3.06,3.0,3.15,2.64,2.47,2.93,2.29,1.5,1.07,0.98,1.01,1.1,1.13,0.98,0.0,0.0,0.0,0.04,0.0,0.0,100.0
01/14/2022,8.5,7.31,7.01,5.71,4.26,4.21,3.89,3.92,4.75,3.92,3.99,3.25,2.86,3.18,3.1,2.73,3.04,2.96,3.17,2.61,2.41,2.88,2.32,1.48,1.07,0.97,1.01,1.1,1.13,0.99,0.0,0.0,0.0,0.27,0.0,0.0,100.0
01/17/2022,8.51,7.11,7.04,5.55,4.16,4.2,3.91,4.08,4.76,3.99,4.13,3.29,2.83,3.15,3.07,2.72,3.06,2.97,3.13,2.65,2.45,2.88,2.31,1.48,1.09,0.97,1.0,1.11,1.12,0.99,0.0,0.0,0.0,0.27,0.0,0.0,99.98
01/18/2022,8.58,6.97,6.81,5.68,4.23,4.31,3.93,4.14,4.72,3.98,4.19,3.27,2.78,3.08,3.07,2.71,2.89,2.99,3.17,2.65,2.46,2.92,2.36,1.49,1.11,0.98,1.02,1.12,1.12,0.99,0.0,0.0,0.0,0.27,0.0,0.0,99.99
01/19/2022,8.58,6.97,6.81,5.68,4.23,4.31,3.93,4.14,4.72,3.98,4.19,3.27,2.78,3.08,3.07,2.71,2.89,2.99,3.17,2.65,2.46,2.92,2.36,1.49,1.11,0.98,1.02,1.12,1.12,0.99,0.0,0.0,0.0,0.27,0.0,0.0,99.99
01/20/2022,8.58,6.97,6.81,5.68,4.23,4.31,3.93,4.14,4.72,3.98,4.19,3.27,2.78,3.08,3.07,2.71,2.89,2.99,3.17,2.65,2.46,2.92,2.36,1.49,1.11,0.98,1.02,1.12,1.12,0.99,0.0,0.0,0.0,0.27,0.0,0.0,99.99
01/21/2022,8.59,6.6,6.83,5.64,4.21,4.36,4.02,4.19,4.78,3.98,4.28,3.32,2.84,3.1,3.11,2.74,2.82,3.05,3.16,2.65,2.48,2.92,2.41,1.52,1.12,1.0,1.02,1.13,1.11,1.0,0.0,0.0,0.0,0.04,0.0,0.0,100.02
01/24/2022,8.78,6.6,6.63,5.72,4.23,4.34,4.07,4.06,4.8,3.96,4.11,3.29,2.8,3.05,3.13,2.71,2.8,3.13,3.12,2.68,2.48,3.07,2.44,1.53,1.1,1.01,0.99,1.15,1.1,1.01,0.0,0.0,0.0,0.1,0.0,0.0,99.99
01/25/2022,8.86,6.61,6.71,5.69,4.2,4.38,3.96,3.95,4.89,3.94,4.11,3.32,2.64,3.05,3.17,2.75,2.79,3.12,3.12,2.69,2.49,3.12,2.44,1.54,1.09,1.02,1.0,1.16,1.09,1.01,0.0,0.0,0.0,0.1,0.0,0.0,100.01
01/26/2022,8.86,6.61,6.71,5.69,4.2,4.38,3.96,3.95,4.89,3.94,4.11,3.32,2.64,3.05,3.17,2.75,2.79,3.12,3.12,2.69,2.49,3.12,2.44,1.54,1.09,1.02,1.0,1.16,1.09,1.01,0.0,0.0,0.0,0.1,0.0,0.0,100.01
02/01/2022,8.84,6.58,6.95,5.84,4.21,4.34,4.32,3.61,4.86,3.83,3.81,3.09,2.63,3.36,3.26,2.77,2.78,3.16,3.23,2.61,2.55,3.04,2.48,1.53,1.14,1.0,0.9,1.15,1.05,0.96,0.0,0.0,0.0,0.11,0.0,0.0,99.99
02/02/2022,8.84,6.58,6.95,5.84,4.21,4.34,4.32,3.61,4.86,3.83,3.81,3.09,2.63,3.36,3.26,2.77,2.78,3.16,3.23,2.61,2.55,3.04,2.48,1.53,1.14,1.0,0.9,1.15,1.05,0.96,0.0,0.0,0.0,0.11,0.0,0.0,99.99
02/03/2022,8.86,6.65,6.88,5.83,4.36,4.26,4.24,3.75,4.87,3.83,3.78,3.11,2.68,3.37,3.23,2.78,2.79,3.12,3.28,2.62,2.5,3.01,2.46,1.53,1.12,1.0,0.92,1.14,1.04,0.93,0.0,0.0,0.0,0.04,0.0,0.0,99.98000000000002
02/04/2022,8.72,6.77,6.86,5.75,4.32,4.26,4.32,3.88,4.82,3.82,3.82,3.12,2.69,3.42,3.18,2.76,2.81,3.13,3.25,2.62,2.52,2.97,2.51,1.52,1.15,0.99,0.91,1.13,1.03,0.93,0.0,0.0,0.0,0.03,0.0,0.0,100.01
02/07/2022,9.17,6.73,6.85,5.65,3.99,4.2,4.34,3.87,4.89,3.6,3.76,3.08,2.63,3.45,3.24,2.73,2.79,3.23,3.24,2.65,2.59,3.08,2.52,1.48,1.15,1.01,0.91,1.16,1.04,0.93,0.0,0.0,0.0,0.04,0.0,0.0,100.0
02/08/2022,9.06,6.9,6.75,5.74,4.11,4.17,4.28,3.87,4.88,3.59,3.72,3.02,2.66,3.49,3.22,2.73,2.86,3.22,3.23,2.61,2.57,3.03,2.55,1.47,1.14,1.0,0.9,1.14,1.03,0.91,0.0,0.0,0.0,0.13,0.0,0.0,99.98
02/09/2022,9.06,6.9,6.75,5.74,4.11,4.17,4.28,3.87,4.88,3.59,3.72,3.02,2.66,3.49,3.22,2.73,2.86,3.22,3.23,2.61,2.57,3.03,2.55,1.47,1.14,1.0,0.9,1.14,1.03,0.91,0.0,0.0,0.0,0.13,0.0,0.0,99.98
02/10/2022,9.07,6.91,6.7,5.65,4.07,4.19,4.26,3.98,4.87,3.61,3.75,3.02,2.67,3.52,3.21,2.72,2.87,3.21,3.22,2.59,2.57,3.01,2.6,1.46,1.12,0.99,0.9,1.16,1.03,0.92,0.0,0.0,0.0,0.13,0.0,0.0,99.98000000000002
02/11/2022,9.16,6.87,6.71,5.65,4.04,4.47,4.23,3.96,4.83,3.61,3.74,3.01,2.64,3.6,3.18,2.66,2.89,3.2,3.25,2.56,2.54,2.97,2.53,1.43,1.13,0.98,0.91,1.15,1.03,0.92,0.0,0.0,0.0,0.13,0.0,0.0,99.98
