,EQNR.OL,DNB.OL,TEL.OL,MOWI.OL,YAR.OL,NHY.OL,ORK.OL,TOM.OL,ADE.OL,GJF.OL,BAKKA.OL,SCHB NO,STB.OL,NOD.OL,SCHA.OL,SALM.OL,NEL.OL,SCATC.OL,ENTRA.OL,LSG.OL,KOG.OL,SRBNK.OL,SUBC.OL,BRG.OL,AKER.OL,MING.OL,ATEA.OL,TGS.OL,NOFI.OL,VEI.OL,GOGLO QX,AUSS.OL,EPR.OL,SBANK.OL,NONG.OL,ELK.OL,FRO.OL,KAHOT.OL,PROT.OL,CRAYN.OL,BONHR.OL,PEXIP.OL,FKRFT.OL,SPOL.OL,DNO.OL,GSF.OL,HEX.OL,BWLPG.OL,FLNG.OL,SNI.OL,WAWI.OL,BWO.OL,XXL.OL,SBO.OL,VACC.OL,NRS.OL,ACC.OL,HAFNI.OL,AKSO.OL,ASA.OL,HPUR.OL,OCY.OL,RECSI.OL,AKH.OL,BWE.OL,VOLUE.OL,CASH,QFUEL.OL,AKBM.OL,MWTR.OL,LINK NO,LINK.OL,MWTR NO,AKBM NO,BANO,BANO.OL,n/a,ASA NO,SUM
09/08/2021,11.68,10.87,6.61,6.33,4.54,4.75,3.73,3.7,2.56,2.59,2.42,2.56,2.34,2.99,2.19,2.09,1.32,1.37,1.69,1.45,1.38,1.33,0.96,1.39,1.07,1.05,0.9,0.72,0.0,0.76,0.81,0.65,0.66,0.51,0.54,0.64,0.42,0.72,0.44,0.52,0.44,0.33,0.34,0.32,0.25,0.28,0.26,0.24,0.25,0.18,0.24,0.16,0.17,0.16,0.37,0.15,0.14,0.11,0.11,0.06,0.1,0.12,0.11,0.12,0.1,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.86,0.31,0.0,100.00999999999998
09/09/2021,11.68,10.87,6.61,6.33,4.54,4.75,3.73,3.7,2.56,2.59,2.42,2.56,2.34,2.99,2.19,2.09,1.32,1.37,1.69,1.45,1.38,1.33,0.96,1.39,1.07,1.05,0.9,0.72,0.0,0.76,0.81,0.65,0.66,0.51,0.54,0.64,0.42,0.72,0.44,0.52,0.44,0.33,0.34,0.32,0.25,0.28,0.26,0.24,0.25,0.18,0.24,0.16,0.17,0.16,0.37,0.15,0.14,0.11,0.11,0.06,0.1,0.12,0.11,0.12,0.1,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.86,0.31,0.0,100.00999999999998
09/10/2021,12.01,10.89,6.57,6.27,4.48,4.86,3.7,3.65,2.62,2.56,2.36,2.54,2.33,3.03,2.17,2.08,1.35,1.31,1.67,1.42,1.36,1.31,0.93,1.34,1.06,1.04,0.87,0.7,0.0,0.75,0.85,0.64,0.66,0.51,0.54,0.64,0.44,0.75,0.44,0.52,0.44,0.35,0.34,0.32,0.25,0.27,0.25,0.23,0.26,0.18,0.24,0.15,0.17,0.16,0.38,0.15,0.15,0.12,0.11,0.06,0.11,0.12,0.1,0.12,0.1,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.87,0.3,0.0,100.0
09/13/2021,11.8,10.95,6.57,6.39,4.47,4.95,3.69,3.66,2.63,2.55,2.36,2.54,2.32,3.04,2.17,2.06,1.28,1.32,1.63,1.43,1.37,1.33,0.9,1.34,1.04,1.05,0.87,0.67,0.0,0.77,0.81,0.63,0.66,0.51,0.54,0.63,0.45,0.82,0.44,0.52,0.47,0.37,0.34,0.32,0.25,0.27,0.24,0.22,0.26,0.19,0.25,0.15,0.16,0.16,0.38,0.15,0.15,0.11,0.11,0.06,0.1,0.12,0.1,0.13,0.09,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.34,0.0,100.01
09/14/2021,11.8,10.95,6.57,6.39,4.47,4.95,3.69,3.66,2.63,2.55,2.36,2.54,2.32,3.04,2.17,2.06,1.28,1.32,1.63,1.43,1.37,1.33,0.9,1.34,1.04,1.05,0.87,0.67,0.0,0.77,0.81,0.63,0.66,0.51,0.54,0.63,0.45,0.82,0.44,0.52,0.47,0.37,0.34,0.32,0.25,0.27,0.24,0.22,0.26,0.19,0.25,0.15,0.16,0.16,0.38,0.15,0.15,0.11,0.11,0.06,0.1,0.12,0.1,0.13,0.09,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.34,0.0,100.01
09/15/2021,11.98,10.91,6.52,6.38,4.45,5.13,3.66,3.65,2.6,2.54,2.35,2.57,2.3,3.1,2.18,2.05,1.25,1.31,1.61,1.41,1.37,1.31,0.9,1.36,1.03,1.03,0.84,0.65,0.0,0.77,0.82,0.63,0.66,0.51,0.54,0.62,0.44,0.8,0.44,0.52,0.46,0.37,0.33,0.32,0.25,0.27,0.24,0.22,0.26,0.18,0.24,0.15,0.16,0.16,0.37,0.15,0.16,0.11,0.11,0.06,0.1,0.13,0.1,0.13,0.09,0.1,0.0,0.08,0.05,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.34,0.0,100.0
09/16/2021,12.23,10.95,6.48,6.47,4.46,5.05,3.69,3.6,2.47,2.54,2.41,2.5,2.32,3.01,2.12,2.06,1.21,1.31,1.59,1.42,1.37,1.31,0.92,1.37,1.07,1.04,0.83,0.67,0.0,0.77,0.83,0.63,0.65,0.51,0.54,0.6,0.43,0.75,0.44,0.51,0.46,0.38,0.33,0.33,0.26,0.27,0.23,0.22,0.27,0.18,0.25,0.15,0.16,0.16,0.36,0.15,0.15,0.11,0.11,0.06,0.09,0.16,0.1,0.13,0.1,0.1,0.0,0.07,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.33,0.0,99.98
09/17/2021,12.29,10.9,6.44,6.44,4.53,5.06,3.73,3.47,2.46,2.55,2.4,2.45,2.37,3.03,2.08,2.06,1.27,1.33,1.59,1.41,1.39,1.31,0.93,1.36,1.11,1.04,0.84,0.67,0.0,0.76,0.81,0.63,0.65,0.51,0.54,0.6,0.43,0.72,0.44,0.51,0.44,0.38,0.33,0.32,0.27,0.27,0.24,0.23,0.27,0.19,0.25,0.15,0.16,0.16,0.36,0.15,0.16,0.12,0.12,0.06,0.1,0.16,0.11,0.13,0.1,0.1,0.0,0.07,0.06,0.08,0.0,0.15,0.0,0.0,0.0,0.89,0.34,0.0,100.03
09/20/2021,12.47,10.86,6.44,6.45,4.63,5.16,3.75,3.47,2.47,2.56,2.41,2.39,2.36,2.95,2.04,2.11,1.19,1.24,1.59,1.4,1.37,1.31,0.9,1.32,1.14,1.05,0.81,0.65,0.0,0.77,0.84,0.62,0.67,0.51,0.55,0.62,0.44,0.76,0.42,0.5,0.42,0.4,0.31,0.32,0.27,0.27,0.23,0.23,0.28,0.18,0.25,0.15,0.16,0.15,0.34,0.15,0.16,0.12,0.12,0.05,0.09,0.16,0.09,0.13,0.1,0.11,0.0,0.07,0.05,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.35,0.0,100.01999999999998
09/21/2021,12.47,10.86,6.44,6.45,4.63,5.16,3.75,3.47,2.47,2.56,2.41,2.39,2.36,2.95,2.04,2.11,1.19,1.24,1.59,1.4,1.37,1.31,0.9,1.32,1.14,1.05,0.81,0.65,0.0,0.77,0.84,0.62,0.67,0.51,0.55,0.62,0.44,0.76,0.42,0.5,0.42,0.4,0.31,0.32,0.27,0.27,0.23,0.23,0.28,0.18,0.25,0.15,0.16,0.15,0.34,0.15,0.16,0.12,0.12,0.05,0.09,0.16,0.09,0.13,0.1,0.11,0.0,0.07,0.05,0.09,0.0,0.15,0.0,0.0,0.0,0.88,0.35,0.0,100.01999999999998
09/22/2021,12.4,10.87,6.49,6.51,4.49,5.15,3.8,3.46,2.44,2.56,2.43,2.48,2.39,2.96,2.1,2.15,1.16,1.24,1.57,1.41,1.38,1.33,0.91,1.29,1.13,1.06,0.84,0.63,0.0,0.77,0.83,0.62,0.67,0.51,0.55,0.62,0.45,0.79,0.43,0.53,0.42,0.39,0.31,0.33,0.27,0.26,0.22,0.23,0.29,0.18,0.24,0.15,0.15,0.15,0.35,0.14,0.16,0.11,0.12,0.05,0.09,0.16,0.09,0.13,0.1,0.11,0.0,0.07,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.89,0.13,0.0,99.99
09/23/2021,12.6,10.88,6.59,6.53,4.54,5.04,3.84,3.5,2.41,2.57,2.41,2.44,2.37,2.91,2.06,2.14,1.22,1.3,1.59,1.41,1.36,1.33,0.91,1.31,1.1,1.06,0.83,0.63,0.0,0.79,0.73,0.63,0.66,0.52,0.56,0.6,0.43,0.68,0.42,0.5,0.42,0.37,0.31,0.33,0.27,0.27,0.22,0.23,0.29,0.18,0.24,0.15,0.16,0.15,0.34,0.14,0.15,0.12,0.12,0.05,0.09,0.16,0.09,0.13,0.1,0.11,0.0,0.07,0.06,0.09,0.0,0.14,0.0,0.0,0.0,0.91,0.13,0.0,99.99
09/24/2021,12.58,10.91,6.61,6.62,4.57,5.01,3.85,3.47,2.42,2.57,2.42,2.41,2.37,2.89,2.05,2.16,1.17,1.33,1.6,1.42,1.39,1.31,0.92,1.38,1.08,1.05,0.83,0.63,0.0,0.79,0.71,0.63,0.65,0.52,0.55,0.6,0.44,0.69,0.42,0.5,0.41,0.36,0.3,0.33,0.27,0.27,0.22,0.23,0.29,0.18,0.23,0.15,0.15,0.15,0.34,0.14,0.15,0.11,0.12,0.05,0.08,0.16,0.09,0.13,0.1,0.11,0.0,0.07,0.06,0.08,0.0,0.14,0.0,0.0,0.0,0.9,0.13,0.0,100.02
