,CDXS,OPRX,MDB,ATEC,SQ,APPS,TWTR,VYGR.CN,TWLO,OMER,Z,SI,MNTV,PI,AERI,APLS,TLS,DKNG,PRCH,n/a,ARCT,FB,GOOG,HRTX,DMTK,GLXY.TO,AMRS,CDNA,KRYS,NET,TWST,CRSP,CEVA,SDGR,FATE,BABA,TCEHY,TRHC,FGXXX,MAPS,IDYA,VOYG.TO,DOCS,UCD.,VYGVF,BRPHF,CVT,ROVR,BEAM,SUM
11/24/2021,8.56,6.24,6.27,5.01,3.75,5.6,4.22,0.0,3.48,1.57,1.99,7.33,1.84,4.87,2.32,2.26,1.57,1.92,2.96,0.0,1.37,1.45,1.62,2.2,0.88,1.48,1.54,0.87,1.56,1.14,1.41,0.98,0.94,1.0,0.0,0.4,0.52,0.0,0.24,1.17,1.02,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/25/2021,8.56,6.24,6.27,5.01,3.75,5.6,4.22,0.0,3.48,1.57,1.99,7.33,1.84,4.87,2.32,2.26,1.57,1.92,2.96,0.0,1.37,1.45,1.62,2.2,0.88,1.48,1.54,0.87,1.56,1.14,1.41,0.98,0.94,1.0,0.0,0.4,0.52,0.0,0.24,1.17,1.02,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/26/2021,8.56,6.24,6.27,5.01,3.75,5.6,4.22,0.0,3.48,1.57,1.99,7.33,1.84,4.87,2.32,2.26,1.57,1.92,2.96,0.0,1.37,1.45,1.62,2.2,0.88,1.48,1.54,0.87,1.56,1.14,1.41,0.98,0.94,1.0,0.0,0.4,0.52,0.0,0.24,1.17,1.02,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/29/2021,8.87,6.21,5.8,5.2,3.91,5.45,4.35,0.0,3.55,1.62,2.03,7.1,1.8,4.78,2.35,2.38,1.48,1.97,2.91,0.0,1.41,1.49,1.67,2.25,0.87,1.53,1.49,0.89,1.12,1.06,1.31,1.01,0.94,1.0,0.0,0.4,0.53,0.0,0.04,1.19,1.12,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
11/30/2021,8.7,6.23,5.78,5.18,4.13,5.38,4.29,0.0,3.58,1.61,2.07,7.39,1.81,4.75,2.43,2.4,1.42,1.95,2.81,0.0,1.41,1.48,1.64,2.19,0.85,1.46,1.53,0.92,1.09,1.11,1.27,1.0,0.93,1.0,0.0,0.4,0.51,0.0,0.27,1.19,1.09,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/01/2021,8.7,6.23,5.78,5.18,4.13,5.38,4.29,0.0,3.58,1.61,2.07,7.39,1.81,4.75,2.43,2.4,1.42,1.95,2.81,0.0,1.41,1.48,1.64,2.19,0.85,1.46,1.53,0.92,1.09,1.11,1.27,1.0,0.93,1.0,0.0,0.4,0.51,0.0,0.27,1.19,1.09,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/02/2021,8.92,6.31,6.04,4.98,4.16,5.36,4.35,0.0,3.75,1.57,2.09,7.13,1.84,4.69,2.4,2.37,1.42,2.03,2.78,0.0,1.59,1.48,1.63,2.16,0.84,1.44,1.53,0.9,1.04,1.15,1.29,0.99,0.91,1.03,0.0,0.4,0.52,0.0,0.06,1.18,1.11,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
12/06/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/07/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/08/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/09/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/10/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/13/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/14/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/15/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/16/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/17/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/20/2021,8.74,6.01,5.88,5.45,3.95,5.19,4.13,0.0,3.62,0.53,2.13,7.19,1.85,5.0,2.66,2.49,1.47,1.84,2.57,0.0,1.58,1.44,1.72,2.25,0.84,1.26,1.41,0.97,2.91,1.0,1.29,1.01,0.96,1.04,0.0,0.38,0.55,0.0,0.02,1.14,1.1,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/21/2021,8.42,5.6,5.6,5.76,3.72,5.74,4.45,0.0,3.84,0.4,3.46,5.67,0.0,5.55,2.25,2.64,1.49,1.76,2.34,0.0,1.12,1.65,1.83,2.26,0.8,1.33,1.33,1.55,3.34,0.87,1.32,1.08,1.01,1.05,0.0,0.4,0.55,0.0,0.17,1.01,1.12,5.95,1.55,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
12/22/2021,8.05,5.62,5.53,5.84,3.7,5.73,4.54,0.0,3.99,0.4,3.49,5.79,0.0,5.27,2.27,2.8,1.54,1.73,2.32,0.0,1.41,1.69,1.7,2.53,0.79,1.31,1.28,1.54,3.35,0.86,1.19,1.1,1.0,1.04,0.0,0.41,0.57,0.0,0.04,1.06,1.11,5.99,1.43,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/23/2021,7.98,5.85,5.63,5.95,3.49,6.15,4.47,0.0,4.18,0.43,3.65,5.27,0.0,4.89,2.24,2.84,1.47,1.76,2.31,0.0,1.11,1.62,1.65,2.73,0.84,1.27,1.29,1.57,3.32,0.85,1.24,1.15,0.98,1.08,0.0,0.39,0.54,0.0,0.06,1.09,1.15,5.78,1.73,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/24/2021,7.98,5.82,5.83,5.95,3.58,6.26,4.4,0.0,4.11,0.39,3.64,5.46,0.0,5.04,2.11,2.81,1.5,1.83,2.32,0.0,1.05,1.59,1.6,2.57,0.81,1.27,1.38,1.56,3.23,0.89,1.25,1.08,0.97,1.03,0.0,0.4,0.55,0.0,0.05,1.07,1.14,5.83,1.66,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/27/2021,8.27,5.82,5.93,6.07,3.49,6.38,4.32,0.0,3.96,0.3,3.61,5.56,0.0,4.37,2.16,2.77,1.5,1.77,2.3,0.0,0.95,1.56,1.62,2.59,1.01,1.36,1.31,1.53,3.21,0.84,1.24,1.09,0.97,1.24,0.0,0.38,0.53,0.0,0.05,1.05,1.15,5.86,1.9,0.0,0.0,0.0,0.0,0.0,0.0,100.02
12/28/2021,8.27,5.82,5.93,6.07,3.49,6.38,4.32,0.0,3.96,0.3,3.61,5.56,0.0,4.37,2.16,2.77,1.5,1.77,2.3,0.0,0.95,1.56,1.62,2.59,1.01,1.36,1.31,1.53,3.21,0.84,1.24,1.09,0.97,1.24,0.0,0.38,0.53,0.0,0.05,1.05,1.15,5.86,1.9,0.0,0.0,0.0,0.0,0.0,0.0,100.02
12/29/2021,8.42,5.77,5.43,6.04,3.4,6.29,4.23,0.0,3.83,0.29,3.6,5.7,0.0,4.32,2.16,2.77,1.47,1.71,2.37,0.0,0.86,1.54,1.57,2.61,0.99,1.41,1.3,1.49,3.16,0.82,1.18,1.07,0.95,1.22,0.0,0.37,0.55,0.0,0.11,1.16,1.13,6.74,1.95,0.0,0.0,0.0,0.0,0.0,0.0,99.98
12/30/2021,8.51,5.99,5.46,6.03,3.39,6.36,4.2,0.0,3.73,0.28,3.49,5.9,0.0,4.39,1.84,2.67,1.46,1.63,2.44,0.0,0.86,1.57,1.57,2.61,0.89,1.43,1.24,1.45,3.03,0.82,1.11,0.99,0.96,1.18,0.0,0.36,0.54,0.0,0.35,1.39,1.11,6.81,1.97,0.0,0.0,0.0,0.0,0.0,0.0,100.01
12/31/2021,8.51,5.99,5.46,6.03,3.39,6.36,4.2,0.0,3.73,0.28,3.49,5.9,0.0,4.39,1.84,2.67,1.46,1.63,2.44,0.0,0.86,1.57,1.57,2.61,0.89,1.43,1.24,1.45,3.03,0.82,1.11,0.99,0.96,1.18,0.0,0.36,0.54,0.0,0.35,1.39,1.11,6.81,1.97,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/03/2022,8.29,5.93,5.54,6.1,3.43,6.47,4.28,0.0,3.86,0.27,3.6,5.69,0.0,4.5,1.9,2.79,1.47,1.62,2.38,0.0,0.87,1.56,1.55,2.54,0.91,1.36,1.27,1.52,3.23,0.83,1.1,1.05,0.98,1.19,0.0,0.36,0.54,0.0,0.07,1.4,1.17,6.39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
01/03/2022,8.23,6.03,5.42,5.86,3.47,6.57,4.4,0.0,3.93,0.26,3.67,5.74,0.0,4.44,1.88,2.8,1.47,1.71,2.41,0.0,0.87,1.55,1.53,2.47,0.96,1.31,1.31,1.55,3.18,0.82,1.14,1.06,0.96,1.21,0.0,0.39,0.56,0.0,0.07,1.41,1.17,6.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/03/2022,8.23,6.03,5.42,5.86,3.47,6.57,4.4,0.0,3.93,0.26,3.67,5.74,0.0,4.44,1.88,2.8,1.47,1.71,2.41,0.0,0.87,1.55,1.53,2.47,0.96,1.31,1.31,1.55,3.18,0.82,1.14,1.06,0.96,1.21,0.0,0.39,0.56,0.0,0.07,1.41,1.17,6.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/04/2022,8.23,6.03,5.42,5.86,3.47,6.57,4.4,0.0,3.93,0.26,3.67,5.74,0.0,4.44,1.88,2.8,1.47,1.71,2.41,0.0,0.87,1.55,1.53,2.47,0.96,1.31,1.31,1.55,3.18,0.82,1.14,1.06,0.96,1.21,0.0,0.39,0.56,0.0,0.07,1.41,1.17,6.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/05/2022,8.23,6.03,5.42,5.86,3.47,6.57,4.4,0.0,3.93,0.26,3.67,5.74,0.0,4.44,1.88,2.8,1.47,1.71,2.41,0.0,0.87,1.55,1.53,2.47,0.96,1.31,1.31,1.55,3.18,0.82,1.14,1.06,0.96,1.21,0.0,0.39,0.56,0.0,0.07,1.41,1.17,6.18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/06/2022,8.29,6.23,5.49,5.86,3.45,6.49,4.35,0.0,3.97,0.26,3.79,5.7,0.0,4.47,1.87,2.8,1.48,1.68,2.32,0.0,0.84,1.54,1.63,2.46,0.92,1.28,1.33,1.58,3.21,0.82,1.14,1.04,0.97,1.25,0.0,0.39,0.56,0.0,0.07,1.39,1.2,0.0,2.0,5.87,0.0,0.0,0.0,0.0,0.0,99.98999999999998
01/07/2022,7.8,6.0,4.96,6.37,3.59,6.62,4.23,0.0,3.89,0.29,3.8,5.95,0.0,4.57,1.96,2.9,1.51,1.67,2.3,0.0,0.9,1.43,1.44,2.71,0.97,1.36,1.32,1.65,3.3,0.74,1.17,1.03,1.03,1.25,0.0,0.4,0.56,0.0,0.18,1.4,1.16,0.0,2.1,5.48,0.0,0.0,0.0,0.0,0.0,99.99000000000002
01/10/2022,7.87,6.13,4.9,6.58,3.77,6.53,4.54,0.0,4.12,0.0,4.02,5.78,0.0,3.69,2.25,2.95,1.52,1.66,2.28,0.0,0.87,1.48,1.48,2.66,0.97,1.35,1.28,1.58,3.32,0.73,1.17,1.04,1.01,1.27,0.0,0.44,0.58,0.0,0.02,1.38,1.13,0.0,2.16,5.46,0.0,0.0,0.0,0.0,0.0,99.97
01/11/2022,7.82,6.17,4.91,6.63,3.8,6.41,4.56,0.0,4.19,0.0,3.96,5.62,0.0,3.8,2.32,2.98,1.47,1.74,2.26,0.0,0.87,1.52,1.48,2.64,0.97,1.36,1.23,1.54,3.34,0.72,1.18,1.02,1.01,1.24,0.0,0.46,0.59,0.0,0.18,1.33,1.11,0.0,2.06,5.5,0.0,0.0,0.0,0.0,0.0,99.99
01/12/2022,7.62,6.0,5.0,6.5,3.78,6.26,4.65,0.0,4.11,0.0,3.98,5.55,0.0,3.77,2.55,2.93,1.48,1.87,2.28,0.0,0.87,1.54,1.5,2.74,0.98,1.41,1.26,1.53,3.31,0.75,1.1,1.04,0.98,1.29,0.0,0.48,0.61,0.0,0.1,1.37,1.02,0.0,2.13,5.62,0.0,0.0,0.0,0.0,0.0,99.96
01/13/2022,7.53,5.98,5.04,7.3,3.84,6.31,4.66,0.0,4.04,0.0,3.95,5.3,0.0,3.63,2.72,2.95,1.45,1.79,2.3,0.0,0.87,1.19,1.22,2.68,0.97,1.33,1.23,2.36,3.28,0.77,1.09,1.06,0.99,1.29,0.0,0.47,0.62,0.0,0.0,1.36,0.98,0.0,2.13,5.29,0.0,0.0,0.0,0.0,0.0,99.97
01/14/2022,7.53,6.06,5.0,7.15,3.84,6.19,4.61,0.0,4.04,0.0,3.96,5.39,0.0,3.91,2.73,2.65,1.52,1.79,2.41,0.0,0.82,1.18,1.2,2.69,0.97,1.41,1.27,2.21,3.13,0.77,1.07,1.08,0.99,1.28,0.0,0.47,0.63,0.0,0.12,1.42,0.98,0.0,2.06,5.44,0.0,0.0,0.0,0.0,0.0,99.96999999999998
01/17/2022,7.31,5.91,4.64,7.12,3.73,6.08,4.8,0.0,3.95,0.0,4.05,6.01,0.0,3.86,2.52,2.77,1.55,1.7,2.37,0.0,0.81,1.22,1.26,2.66,0.93,1.57,1.4,2.13,3.17,0.71,1.0,1.04,1.04,1.22,0.0,0.49,0.65,0.0,0.13,1.42,1.0,5.6,2.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/18/2022,7.31,5.91,4.64,7.12,3.73,6.08,4.8,0.0,3.95,0.0,4.05,6.01,0.0,3.86,2.52,2.77,1.55,1.7,2.37,0.0,0.81,1.22,1.26,2.66,0.93,1.57,1.4,2.13,3.17,0.71,1.0,1.04,1.04,1.22,0.0,0.49,0.65,0.0,0.13,1.42,1.0,5.6,2.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/19/2022,7.31,5.91,4.64,7.12,3.73,6.08,4.8,0.0,3.95,0.0,4.05,6.01,0.0,3.86,2.52,2.77,1.55,1.7,2.37,0.0,0.81,1.22,1.26,2.66,0.93,1.57,1.4,2.13,3.17,0.71,1.0,1.04,1.04,1.22,0.0,0.49,0.65,0.0,0.13,1.42,1.0,5.6,2.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/20/2022,7.31,5.91,4.64,7.12,3.73,6.08,4.8,0.0,3.95,0.0,4.05,6.01,0.0,3.86,2.52,2.77,1.55,1.7,2.37,0.0,0.81,1.22,1.26,2.66,0.93,1.57,1.4,2.13,3.17,0.71,1.0,1.04,1.04,1.22,0.0,0.49,0.65,0.0,0.13,1.42,1.0,5.6,2.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/21/2022,7.15,5.72,4.72,7.19,3.64,6.08,4.78,0.0,3.93,0.0,3.98,6.1,0.0,3.93,2.56,2.75,1.5,1.63,2.18,0.0,0.87,1.24,1.27,2.8,0.96,1.6,1.41,2.18,3.28,0.72,1.01,1.07,1.05,1.26,0.0,0.5,0.67,0.0,0.17,1.42,1.04,5.52,2.11,0.0,0.0,0.0,0.0,0.0,0.0,99.99
01/24/2022,7.09,5.72,4.96,7.17,3.79,5.78,5.03,0.0,4.03,0.0,4.22,5.23,0.0,3.95,2.66,2.78,1.63,1.63,2.14,0.0,0.75,1.29,1.33,2.92,0.94,1.49,1.44,2.13,3.33,0.73,1.01,1.09,1.05,1.24,0.0,0.52,0.69,0.0,0.19,1.47,1.03,5.4,2.15,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/25/2022,6.95,5.54,5.09,6.86,3.83,5.71,5.09,0.0,4.04,0.0,4.25,5.3,0.0,4.02,2.65,2.81,1.58,1.59,2.1,0.0,0.72,1.3,1.33,3.01,0.96,1.55,1.39,2.18,3.25,0.74,1.0,1.11,1.04,1.24,0.0,0.54,0.73,0.0,0.18,1.47,0.99,5.63,2.23,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/26/2022,7.02,5.62,5.21,7.01,3.76,5.64,5.04,0.0,4.08,0.0,4.27,4.86,0.0,4.04,2.65,2.81,1.63,1.59,2.06,0.0,0.74,1.33,1.45,3.14,0.93,1.36,1.37,2.26,3.39,0.74,1.04,1.15,1.1,1.3,0.0,0.54,0.76,0.0,0.2,1.45,1.03,5.12,2.31,0.0,0.0,0.0,0.0,0.0,0.0,100.0
01/27/2022,8.56,6.07,5.88,5.29,4.14,5.25,4.12,0.0,3.74,1.54,2.06,7.32,1.83,4.79,2.51,2.32,1.4,1.97,2.73,0.0,1.61,1.46,1.65,2.2,0.87,0.0,1.57,0.93,2.13,1.09,1.31,1.02,0.92,1.03,0.0,0.39,0.52,0.0,0.06,1.15,1.04,0.0,0.0,0.0,6.24,1.33,0.0,0.0,0.0,100.04
01/28/2022,8.56,6.07,5.88,5.29,4.14,5.25,4.12,0.0,3.74,1.54,2.06,7.32,1.83,4.79,2.51,2.32,1.4,1.97,2.73,0.0,1.61,1.46,1.65,2.2,0.87,0.0,1.57,0.93,2.13,1.09,1.31,1.02,0.92,1.03,0.0,0.39,0.52,0.0,0.06,1.15,1.04,0.0,0.0,0.0,6.24,1.33,0.0,0.0,0.0,100.04
01/31/2022,6.78,5.55,5.2,6.9,3.58,5.62,5.22,0.0,4.01,0.0,4.17,5.11,0.0,3.86,2.89,2.74,1.44,1.69,1.92,0.0,0.69,1.38,1.54,3.24,0.89,1.29,1.37,2.4,3.4,0.72,1.08,1.15,1.08,1.3,0.0,0.53,0.81,0.0,0.0,1.47,1.1,4.78,2.3,0.0,0.0,0.0,0.81,0.0,0.0,100.01
02/01/2022,6.78,5.55,5.2,6.9,3.58,5.62,5.22,0.0,4.01,0.0,4.17,5.11,0.0,3.86,2.89,2.74,1.44,1.69,1.92,0.0,0.69,1.38,1.54,3.24,0.89,1.29,1.37,2.4,3.4,0.72,1.08,1.15,1.08,1.3,0.0,0.53,0.81,0.0,0.0,1.47,1.1,4.78,2.3,0.0,0.0,0.0,0.81,0.0,0.0,100.01
02/02/2022,6.78,5.55,5.2,6.9,3.58,5.62,5.22,0.0,4.01,0.0,4.17,5.11,0.0,3.86,2.89,2.74,1.44,1.69,1.92,0.0,0.69,1.38,1.54,3.24,0.89,1.29,1.37,2.4,3.4,0.72,1.08,1.15,1.08,1.3,0.0,0.53,0.81,0.0,0.0,1.47,1.1,4.78,2.3,0.0,0.0,0.0,0.81,0.0,0.0,100.01
02/03/2022,6.83,5.58,5.31,6.76,3.6,5.84,5.24,0.0,4.1,0.0,4.07,5.07,0.0,3.68,2.8,2.74,1.38,1.73,1.98,0.0,0.69,1.36,1.53,3.13,0.89,1.36,1.37,2.41,3.38,0.72,1.05,1.11,1.08,1.29,0.0,0.52,0.77,0.0,0.0,1.44,1.08,4.76,2.28,0.0,0.0,0.0,1.05,0.0,0.0,99.97999999999998
02/04/2022,6.88,5.71,5.33,6.71,3.69,5.95,5.15,0.0,4.15,0.0,4.0,5.25,0.0,3.35,2.75,2.64,1.42,1.71,2.07,0.0,0.75,0.98,1.16,3.09,0.94,1.34,1.42,2.42,3.43,0.76,1.11,1.11,1.07,1.29,0.0,0.53,0.76,0.0,0.0,1.5,1.06,4.77,2.3,0.0,0.0,0.0,1.16,0.3,0.0,100.01
02/07/2022,6.78,5.72,5.33,6.68,3.5,6.01,5.11,0.0,4.05,0.0,3.96,5.21,0.0,3.39,2.74,2.7,1.33,1.72,1.98,0.0,0.73,0.84,0.92,2.96,0.94,1.34,1.43,2.44,3.32,0.8,1.17,1.1,1.09,1.3,0.0,0.52,0.77,0.0,0.23,1.52,1.06,5.0,2.4,0.0,0.0,0.0,1.52,0.4,0.0,100.01
02/08/2022,6.71,5.74,5.38,6.78,3.28,5.89,5.07,0.0,3.89,0.0,4.03,5.33,0.0,3.19,2.71,2.83,1.31,1.71,1.93,0.0,0.72,0.65,0.93,3.05,0.95,1.31,1.33,2.48,3.45,0.82,1.22,1.12,1.08,1.29,0.0,0.55,0.8,0.0,0.12,1.47,1.07,5.08,2.53,0.0,0.0,0.0,1.78,0.39,0.0,99.97
02/09/2022,6.51,5.6,5.45,6.64,3.38,6.1,5.21,0.0,3.98,0.0,3.99,5.6,0.0,3.18,2.71,2.78,1.31,1.74,1.95,0.0,0.72,0.62,0.9,3.12,0.96,1.41,1.3,2.4,3.4,0.84,1.14,1.11,1.07,1.23,0.0,0.53,0.77,0.0,0.04,1.49,1.03,5.27,2.43,0.0,0.0,0.0,1.73,0.39,0.0,100.03000000000002
02/10/2022,6.56,5.6,5.41,6.48,3.13,6.09,4.99,0.0,3.98,0.0,3.87,5.75,0.0,3.18,2.73,2.93,1.29,1.68,1.86,0.0,0.72,0.58,0.86,3.18,0.98,1.47,1.24,2.5,3.47,0.85,1.14,1.09,1.05,1.23,0.0,0.49,0.74,0.0,0.04,1.58,1.03,5.68,2.53,0.0,0.0,0.0,1.68,0.36,0.0,100.02
02/11/2022,6.56,5.6,5.41,6.48,3.13,6.09,4.99,0.0,3.98,0.0,3.87,5.75,0.0,3.18,2.73,2.93,1.29,1.68,1.86,0.0,0.72,0.58,0.86,3.18,0.98,1.47,1.24,2.5,3.47,0.85,1.14,1.09,1.05,1.23,0.0,0.49,0.74,0.0,0.04,1.58,1.03,5.68,2.53,0.0,0.0,0.0,1.68,0.36,0.0,100.02
02/14/2022,6.41,5.52,5.55,6.34,3.24,6.36,4.76,0.0,4.08,0.0,3.81,5.65,0.0,2.77,2.52,1.94,1.24,1.74,1.8,0.0,0.72,0.57,0.79,3.14,0.98,1.45,1.32,2.52,3.73,0.9,1.13,1.06,1.04,1.24,0.0,0.51,0.73,0.0,0.23,1.78,1.0,5.08,3.07,0.0,0.0,0.0,1.94,0.35,1.02,100.03
02/15/2022,6.41,5.52,5.55,6.34,3.24,6.36,4.76,0.0,4.08,0.0,3.81,5.65,0.0,2.77,2.52,1.94,1.24,1.74,1.8,0.0,0.72,0.57,0.79,3.14,0.98,1.45,1.32,2.52,3.73,0.9,1.13,1.06,1.04,1.24,0.0,0.51,0.73,0.0,0.23,1.78,1.0,5.08,3.07,0.0,0.0,0.0,1.94,0.35,1.02,100.03
02/16/2022,6.37,5.52,5.44,6.4,3.31,6.41,4.76,0.0,3.91,0.0,4.47,5.53,0.0,2.82,2.5,1.83,1.27,1.84,1.73,0.0,0.73,0.57,0.79,3.17,0.98,1.38,1.34,2.55,3.85,0.85,1.06,1.05,1.06,1.28,0.0,0.52,0.74,0.0,0.09,1.72,0.99,4.8,2.96,0.0,0.0,0.0,2.01,0.36,1.03,99.99
02/17/2022,6.37,5.52,5.44,6.4,3.31,6.41,4.76,0.0,3.91,0.0,4.47,5.53,0.0,2.82,2.5,1.83,1.27,1.84,1.73,0.0,0.73,0.57,0.79,3.17,0.98,1.38,1.34,2.55,3.85,0.85,1.06,1.05,1.06,1.28,0.0,0.52,0.74,0.0,0.09,1.72,0.99,4.8,2.96,0.0,0.0,0.0,2.01,0.36,1.03,99.99
