,CRWD,ZS,TWLO,NVDA,VRNS,DDOG,RBLX,ESTC,GH,OKTA,U,PLAN,SDGR,RLAY,XLNX,NOW,PATH,BLI,AMZN,CRM,S,AbCellera Biologics Inc Ordinary Shares,AMD,FXFXX,ABCL,First American Treasury Obligs X,SentinelOne Inc Class A,n/a,IOT,SUM
12/09/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/10/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/13/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/14/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/15/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/16/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/17/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/20/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/21/2021,6.86,9.85,4.04,8.02,4.24,7.9,4.76,3.67,3.06,3.47,4.82,3.49,1.67,2.53,5.83,3.89,2.54,1.14,2.88,2.89,3.9,0.0,1.08,6.3,1.19,0.0,0.0,0.0,0.0,100.02
12/22/2021,6.81,9.88,4.21,7.81,4.06,7.91,4.84,3.7,3.24,3.45,4.78,3.35,1.65,2.56,5.59,3.82,2.5,1.14,2.93,0.0,3.85,0.0,1.06,6.59,1.31,0.0,0.0,0.0,2.95,99.99
12/23/2021,6.92,10.11,4.28,7.52,4.04,7.82,4.95,3.69,3.26,3.51,4.84,3.32,1.71,2.7,5.41,3.75,2.57,1.21,2.87,0.0,3.94,0.0,1.03,6.16,1.37,0.0,0.0,0.0,2.98,99.96
12/24/2021,6.81,10.18,4.26,7.61,4.05,8.15,4.96,3.78,3.19,3.54,4.96,3.32,1.65,2.69,5.5,3.77,2.6,1.26,2.83,0.0,3.89,0.0,1.05,5.48,1.43,0.0,0.0,0.0,3.07,100.03
12/27/2021,6.66,10.17,4.1,7.63,4.07,8.18,4.93,3.73,3.11,3.51,4.89,3.29,1.58,2.71,5.68,3.82,2.62,1.23,2.82,0.0,3.96,0.0,1.04,5.66,1.39,0.0,0.0,0.0,3.24,100.02
12/28/2021,6.66,10.17,4.1,7.63,4.07,8.18,4.93,3.73,3.11,3.51,4.89,3.29,1.58,2.71,5.68,3.82,2.62,1.23,2.82,0.0,3.96,0.0,1.04,5.66,1.39,0.0,0.0,0.0,3.24,100.02
12/29/2021,6.66,10.17,4.1,7.63,4.07,8.18,4.93,3.73,3.11,3.51,4.89,3.29,1.58,2.71,5.68,3.82,2.62,1.23,2.82,0.0,3.96,0.0,1.04,5.66,1.39,0.0,0.0,0.0,3.24,100.02
12/30/2021,6.63,10.27,3.94,7.91,4.07,8.23,4.96,3.74,2.95,3.47,4.92,3.26,1.54,2.72,5.8,3.88,2.59,1.12,2.76,0.0,4.02,0.0,1.1,5.34,1.31,0.0,0.0,0.0,3.47,100.0
