,COF,GOOG,BRK.B,AMZN,WFC,FB,D05.SI,BABA,AXP,USB,JPM,EDU,AMAT,MKL,BK,INTC,DGX,1299.HK,BAC,VTRS,DANSKE.CO,NPN.JO,RTX,VRM,CI,2318.HK,n/a,PRX.AS,300888.SZ,JD,TECK,OC,SUM
11/29/2021,11.14,10.73,8.12,7.01,6.83,4.87,4.86,2.51,1.98,4.96,3.61,0.0,3.22,3.01,3.17,4.18,2.52,1.84,2.32,2.72,1.1,0.31,0.0,0.4,2.81,1.96,0.0,0.65,0.0,2.25,0.91,0.0,99.99
11/30/2021,10.99,10.77,8.25,7.07,6.65,4.91,4.87,2.53,1.86,4.91,3.61,0.0,3.19,3.03,3.15,4.23,2.69,1.82,2.29,2.74,1.1,0.31,0.0,0.41,2.78,1.94,0.05,0.65,0.0,2.3,0.91,0.0,100.01
12/01/2021,10.99,10.77,8.25,7.07,6.65,4.91,4.87,2.53,1.86,4.91,3.61,0.0,3.19,3.03,3.15,4.23,2.69,1.82,2.29,2.74,1.1,0.31,0.0,0.41,2.78,1.94,0.05,0.65,0.0,2.3,0.91,0.0,100.01
12/02/2021,10.8,10.98,8.19,7.16,6.72,4.96,4.74,2.49,1.87,4.88,3.58,0.0,3.35,3.01,3.16,4.32,2.71,1.8,2.28,2.68,1.09,0.3,0.0,0.39,2.74,1.94,0.0,0.64,0.0,2.28,0.92,0.0,99.98
12/06/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/07/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/08/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/09/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/10/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/13/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/14/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/15/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/16/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/17/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/20/2021,10.73,11.01,8.26,7.04,6.82,4.64,4.97,2.35,1.89,4.91,3.65,0.0,3.31,3.02,3.17,4.36,2.72,1.83,2.29,2.66,1.14,0.32,0.0,0.36,2.77,0.0,1.98,0.67,0.0,2.23,0.94,0.0,100.04
12/21/2021,10.87,10.88,8.71,6.79,6.85,4.91,4.98,2.27,1.93,4.88,3.55,0.0,3.25,2.98,3.23,4.39,2.43,1.72,2.25,2.78,1.12,0.31,0.0,0.28,3.0,0.0,2.0,0.63,0.0,1.88,1.14,0.0,100.01
12/22/2021,10.87,10.88,8.71,6.79,6.85,4.91,4.98,2.27,1.93,4.88,3.55,0.0,3.25,2.98,3.23,4.39,2.43,1.72,2.25,2.78,1.12,0.31,0.0,0.28,3.0,0.0,2.0,0.63,0.0,1.88,1.14,0.0,100.01
12/23/2021,10.87,10.88,8.71,6.79,6.85,4.91,4.98,2.27,1.93,4.88,3.55,0.0,3.25,2.98,3.23,4.39,2.43,1.72,2.25,2.78,1.12,0.31,0.0,0.28,3.0,0.0,2.0,0.63,0.0,1.88,1.14,0.0,100.01
12/24/2021,10.52,11.07,8.7,6.95,6.6,4.94,5.14,2.25,1.91,4.83,3.53,0.0,3.33,2.99,3.24,4.43,2.3,1.76,2.23,2.83,1.1,0.31,0.0,0.28,3.08,0.0,2.05,0.64,0.0,1.83,1.15,0.0,99.99
12/27/2021,10.67,10.97,8.62,6.94,6.59,4.96,5.06,2.35,1.93,4.81,3.5,0.0,3.4,2.91,3.24,4.44,2.2,1.71,2.24,2.84,1.1,0.3,0.0,0.3,3.06,0.0,2.04,0.63,0.0,1.92,1.29,0.0,100.01999999999998
12/28/2021,10.69,11.09,8.57,6.9,6.61,4.94,5.04,2.25,1.95,4.8,3.49,0.0,3.46,2.94,3.23,4.44,2.18,1.7,2.23,2.93,1.12,0.31,0.0,0.29,3.11,0.0,1.98,0.67,0.0,1.78,1.32,0.0,100.02
12/29/2021,10.69,11.09,8.57,6.9,6.61,4.94,5.04,2.25,1.95,4.8,3.49,0.0,3.46,2.94,3.23,4.44,2.18,1.7,2.23,2.93,1.12,0.31,0.0,0.29,3.11,0.0,1.98,0.67,0.0,1.78,1.32,0.0,100.02
12/30/2021,10.69,11.09,8.57,6.9,6.61,4.94,5.04,2.25,1.95,4.8,3.49,0.0,3.46,2.94,3.23,4.44,2.18,1.7,2.23,2.93,1.12,0.31,0.0,0.29,3.11,0.0,1.98,0.67,0.0,1.78,1.32,0.0,100.02
12/31/2021,10.69,11.09,8.57,6.9,6.61,4.94,5.04,2.25,1.95,4.8,3.49,0.0,3.46,2.94,3.23,4.44,2.18,1.7,2.23,2.93,1.12,0.31,0.0,0.29,3.11,0.0,1.98,0.67,0.0,1.78,1.32,0.0,100.02
01/03/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/03/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/03/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/04/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/05/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/06/2022,10.66,10.94,8.69,6.76,6.53,5.04,5.06,2.32,1.94,4.76,3.5,0.0,3.5,2.97,3.2,4.46,2.22,1.7,2.22,2.89,1.13,0.3,0.0,0.29,3.16,0.0,1.97,0.66,0.0,1.82,1.32,0.0,100.01
01/07/2022,10.75,10.76,8.62,6.76,6.82,4.9,5.02,2.25,1.96,4.81,3.53,0.0,3.5,2.92,3.2,4.54,2.11,1.68,2.28,3.0,1.13,0.31,0.0,0.29,3.17,0.0,1.93,0.66,0.0,1.75,1.34,0.0,99.99
01/10/2022,10.79,10.24,8.91,6.54,7.05,4.71,5.06,2.27,2.01,4.93,3.59,0.0,3.38,2.96,3.3,4.61,2.02,1.68,2.34,3.06,1.19,0.3,0.0,0.25,3.22,0.0,1.98,0.64,0.0,1.62,1.35,0.0,100.0
01/11/2022,10.85,10.13,8.91,6.43,7.13,4.76,5.09,2.35,2.01,4.98,3.59,0.0,3.4,2.94,3.33,4.57,2.01,1.69,2.36,3.04,1.17,0.3,0.0,0.25,3.06,0.0,2.0,0.63,0.0,1.7,1.33,0.0,100.01
01/12/2022,10.85,10.13,8.91,6.43,7.13,4.76,5.09,2.35,2.01,4.98,3.59,0.0,3.4,2.94,3.33,4.57,2.01,1.69,2.36,3.04,1.17,0.3,0.0,0.25,3.06,0.0,2.0,0.63,0.0,1.7,1.33,0.0,100.01
01/13/2022,10.85,10.13,8.91,6.43,7.13,4.76,5.09,2.35,2.01,4.98,3.59,0.0,3.4,2.94,3.33,4.57,2.01,1.69,2.36,3.04,1.17,0.3,0.0,0.25,3.06,0.0,2.0,0.63,0.0,1.7,1.33,0.0,100.01
01/14/2022,11.06,9.99,8.82,6.32,7.22,4.64,5.21,2.37,1.97,5.0,3.52,0.0,3.21,2.89,3.32,4.59,1.95,1.61,2.34,3.11,1.17,0.3,0.0,0.24,3.13,0.0,2.03,0.65,0.0,1.89,1.44,0.0,99.99
01/17/2022,11.02,10.05,8.79,6.28,7.22,4.6,5.22,2.45,1.95,5.0,3.52,0.0,3.34,2.89,3.32,4.55,1.8,1.66,2.31,3.07,1.21,0.33,0.0,0.23,3.1,0.0,2.03,0.68,0.0,1.87,1.51,0.0,100.0
01/18/2022,11.14,9.92,8.89,6.15,7.43,4.58,5.26,2.35,1.88,5.06,3.3,0.0,3.5,2.92,3.32,4.54,1.74,1.73,2.26,3.08,1.24,0.32,0.0,0.2,3.14,0.0,2.04,0.67,0.0,1.8,1.55,0.0,100.01
01/19/2022,11.14,9.92,8.89,6.15,7.43,4.58,5.26,2.35,1.88,5.06,3.3,0.0,3.5,2.92,3.32,4.54,1.74,1.73,2.26,3.08,1.24,0.32,0.0,0.2,3.14,0.0,2.04,0.67,0.0,1.8,1.55,0.0,100.01
01/20/2022,11.14,9.92,8.89,6.15,7.43,4.58,5.26,2.35,1.88,5.06,3.3,0.0,3.5,2.92,3.32,4.54,1.74,1.73,2.26,3.08,1.24,0.32,0.0,0.2,3.14,0.0,2.04,0.67,0.0,1.8,1.55,0.0,100.01
01/21/2022,11.14,9.92,8.89,6.15,7.43,4.58,5.26,2.35,1.88,5.06,3.3,0.0,3.5,2.92,3.32,4.54,1.74,1.73,2.26,3.08,1.24,0.32,0.0,0.2,3.14,0.0,2.04,0.67,0.0,1.8,1.55,0.0,100.01
01/24/2022,10.96,10.03,8.99,6.18,7.41,4.59,5.49,2.37,1.88,4.78,3.24,0.0,3.12,2.95,3.23,4.56,1.78,1.78,2.28,3.1,1.27,0.32,0.0,0.19,3.23,0.0,2.13,0.66,0.0,1.84,1.64,0.0,100.0
01/25/2022,10.92,9.92,8.93,6.03,7.38,4.58,5.51,2.45,1.88,4.77,3.23,0.0,3.05,2.96,3.28,4.45,1.76,1.9,2.26,3.1,1.26,0.34,0.0,0.2,3.27,0.0,2.29,0.69,0.0,1.97,1.59,0.0,99.97
01/26/2022,10.92,9.92,8.93,6.03,7.38,4.58,5.51,2.45,1.88,4.77,3.23,0.0,3.05,2.96,3.28,4.45,1.76,1.9,2.26,3.1,1.26,0.34,0.0,0.2,3.27,0.0,2.29,0.69,0.0,1.97,1.59,0.0,99.97
01/27/2022,10.92,9.92,8.99,5.82,7.38,4.49,5.56,2.36,1.91,4.74,3.26,0.0,3.04,2.99,3.21,4.56,1.81,1.93,2.28,3.16,1.27,0.34,0.0,0.19,3.29,0.0,2.33,0.7,0.0,1.93,1.6,0.0,99.98
01/28/2022,11.33,9.65,9.04,5.71,7.37,4.45,5.58,2.28,2.08,4.93,3.29,0.0,2.99,2.92,3.31,4.47,1.81,1.89,2.3,3.19,1.28,0.32,0.0,0.21,3.27,0.0,2.23,0.65,0.0,1.9,1.59,0.0,100.04
01/31/2022,10.83,9.88,9.13,5.68,7.47,4.38,5.57,2.18,2.11,4.96,3.33,0.0,3.06,2.93,3.32,4.54,1.79,1.89,2.33,3.18,1.28,0.32,0.0,0.19,3.27,0.0,2.26,0.65,0.0,1.87,1.61,0.0,100.01
02/01/2022,10.73,10.01,9.21,5.79,7.52,4.44,5.62,2.18,2.1,5.02,3.32,0.0,2.98,2.96,3.33,4.28,1.81,1.88,2.34,3.22,1.3,0.31,0.0,0.18,3.22,0.0,2.22,0.65,0.0,1.78,1.59,0.0,99.99
02/02/2022,10.73,10.01,9.21,5.79,7.52,4.44,5.62,2.18,2.1,5.02,3.32,0.0,2.98,2.96,3.33,4.28,1.81,1.88,2.34,3.22,1.3,0.31,0.0,0.18,3.22,0.0,2.22,0.65,0.0,1.78,1.59,0.0,99.99
02/03/2022,10.68,10.21,9.26,5.9,7.49,4.49,5.52,2.22,2.14,5.01,3.31,0.0,2.99,2.99,3.3,4.2,1.78,1.78,2.34,3.19,1.27,0.31,0.0,0.19,3.27,0.0,2.18,0.65,0.0,1.83,1.51,0.0,100.01
02/04/2022,10.68,10.21,9.26,5.9,7.49,4.49,5.52,2.22,2.14,5.01,3.31,0.0,2.99,2.99,3.3,4.2,1.78,1.78,2.34,3.19,1.27,0.31,0.0,0.19,3.27,0.0,2.18,0.65,0.0,1.83,1.51,0.0,100.01
02/07/2022,10.72,10.14,9.03,5.98,7.25,4.61,5.46,2.4,2.14,4.9,3.28,0.0,3.09,3.01,3.31,4.25,1.77,1.77,2.32,3.23,1.28,0.32,0.0,0.21,3.19,0.0,2.19,0.67,0.0,1.96,1.51,0.0,99.98999999999998
02/08/2022,10.9,10.73,9.16,5.59,7.49,3.52,5.53,2.37,2.21,5.01,3.31,0.0,3.07,3.1,3.41,4.23,1.8,1.77,2.35,3.28,1.28,0.32,0.0,0.19,3.03,0.0,2.2,0.66,0.0,1.89,1.6,0.0,100.0
02/09/2022,10.9,10.73,9.16,5.59,7.49,3.52,5.53,2.37,2.21,5.01,3.31,0.0,3.07,3.1,3.41,4.23,1.8,1.77,2.35,3.28,1.28,0.32,0.0,0.19,3.03,0.0,2.2,0.66,0.0,1.89,1.6,0.0,100.0
02/10/2022,10.87,10.58,9.0,6.24,7.52,3.46,5.5,2.31,2.2,4.98,3.34,0.0,3.0,3.05,3.42,4.14,1.74,1.83,2.41,3.23,1.24,0.32,0.0,0.19,3.03,0.0,2.24,0.65,0.0,1.91,1.6,0.0,100.0
02/11/2022,11.05,10.32,9.09,6.28,7.69,3.9,5.62,2.18,2.01,4.99,2.82,0.0,3.03,3.07,3.45,4.17,1.72,1.84,2.14,3.27,1.29,0.32,0.0,0.18,3.09,0.0,2.25,0.66,0.0,1.9,1.66,0.0,99.99
02/14/2022,11.17,10.17,8.96,6.2,7.66,4.27,5.55,2.32,2.04,4.84,2.8,0.0,3.1,2.96,3.42,4.18,1.72,1.84,2.1,3.2,1.3,0.32,0.0,0.2,3.1,0.0,2.26,0.66,0.0,1.97,1.69,0.0,100.0
02/15/2022,11.21,10.09,9.0,6.19,7.72,4.25,5.49,2.3,2.05,4.84,2.81,0.0,3.05,2.98,3.45,4.15,1.71,1.83,2.12,3.23,1.31,0.31,0.0,0.19,3.11,0.0,2.3,0.64,0.0,1.94,1.72,0.0,99.99
02/16/2022,11.21,10.09,9.0,6.19,7.72,4.25,5.49,2.3,2.05,4.84,2.81,0.0,3.05,2.98,3.45,4.15,1.71,1.83,2.12,3.23,1.31,0.31,0.0,0.19,3.11,0.0,2.3,0.64,0.0,1.94,1.72,0.0,99.99
02/17/2022,11.21,10.09,9.0,6.19,7.72,4.25,5.49,2.3,2.05,4.84,2.81,0.0,3.05,2.98,3.45,4.15,1.71,1.83,2.12,3.23,1.31,0.31,0.0,0.19,3.11,0.0,2.3,0.64,0.0,1.94,1.72,0.0,99.99
02/18/2022,11.28,10.06,9.03,6.17,7.73,4.14,5.69,2.31,2.06,4.83,2.8,0.0,2.93,3.0,3.41,4.12,1.7,1.89,2.09,3.23,1.31,0.3,0.0,0.18,3.1,0.0,2.35,0.62,0.0,1.93,1.74,0.0,100.0
02/21/2022,11.38,10.08,8.94,6.2,7.66,4.06,5.57,2.35,2.1,4.82,2.81,0.0,3.09,3.05,3.42,4.12,1.69,1.88,2.07,3.23,1.29,0.3,0.0,0.18,3.11,0.0,2.31,0.61,0.0,1.93,1.73,0.0,99.98
06/06/2022,10.38,9.7,10.25,5.53,6.77,4.1,5.26,2.01,1.49,4.91,2.71,0.0,2.91,3.8,2.9,4.37,2.06,1.98,1.85,3.63,1.21,0.24,0.0,0.0,4.17,0.0,1.92,0.46,0.0,2.2,2.34,0.85,99.99999999999999
