,JEPI,EMLC,SMLF,VCLT,NFRA,DGRO,SCHP,SPHY,TLH,BCI,MXI,VSS,JQUA,DFAI,DFAE,BAR,VO,LDEM,GQRE,EMQQ,VNQ,VNQI,RYT,AMZN,F,GOOG,ORCL,BA,CRM,MSFT,NEM,SPGI,BLK,n/a,GBTC,ETHE,TDV,VFQY,IGLB,ACWV,XLU,VTV,GM,CHRW,IGIB,SUM
01/20/2022,8.13,6.59,6.1,5.76,0.0,0.0,4.96,0.0,0.0,3.64,4.06,6.14,0.0,2.51,2.48,1.31,0.0,1.9,0.0,1.55,2.01,3.8,0.0,1.32,0.99,1.14,0.97,1.02,0.85,1.01,1.05,0.88,0.69,1.0,0.07,0.0,4.77,5.68,4.55,3.35,2.32,5.69,0.92,0.75,0.0,99.96
01/21/2022,8.15,6.61,6.03,5.76,0.0,0.0,5.01,0.0,0.0,3.7,4.06,6.14,0.0,2.51,2.48,1.33,0.0,1.89,0.0,1.53,2.02,3.8,0.0,1.32,0.97,1.13,0.96,1.03,0.84,1.0,1.07,0.88,0.69,1.02,0.07,0.0,4.76,5.63,4.56,3.38,2.33,5.69,0.9,0.77,0.0,100.02
01/24/2022,8.12,6.77,5.87,0.0,0.0,0.0,5.05,0.0,0.0,3.77,4.1,6.17,0.0,2.52,2.53,1.36,0.0,1.93,0.0,1.6,1.99,3.83,0.0,1.27,0.87,1.12,0.93,0.99,0.84,1.01,1.12,0.87,0.69,1.02,0.07,0.0,4.66,5.51,4.61,3.39,2.37,5.65,0.85,0.75,5.83,100.03
01/25/2022,8.12,6.85,5.82,0.0,0.0,0.0,5.13,0.0,0.0,3.81,4.04,6.12,0.0,2.51,2.51,1.37,0.0,1.92,0.0,1.56,2.0,3.87,0.0,1.21,0.84,1.1,0.94,0.95,0.83,1.0,1.12,0.88,0.68,1.03,0.06,0.0,4.63,5.48,4.7,3.4,2.38,5.64,0.83,0.75,5.91,99.99
01/26/2022,8.12,6.85,5.82,0.0,0.0,0.0,5.13,0.0,0.0,3.81,4.04,6.12,0.0,2.51,2.51,1.37,0.0,1.92,0.0,1.56,2.0,3.87,0.0,1.21,0.84,1.1,0.94,0.95,0.83,1.0,1.12,0.88,0.68,1.03,0.06,0.0,4.63,5.48,4.7,3.4,2.38,5.64,0.83,0.75,5.91,99.99
01/27/2022,12.93,6.81,5.95,0.0,0.0,0.0,5.15,0.0,0.0,3.8,3.99,6.03,0.0,2.48,2.47,1.37,0.0,1.89,0.0,1.52,2.0,3.86,0.0,1.22,0.83,1.1,0.94,0.95,0.85,1.0,1.12,0.88,0.66,1.03,0.0,0.0,0.0,5.58,4.67,3.38,2.36,5.64,0.82,0.77,5.91,99.96
01/28/2022,12.88,6.87,5.94,0.0,0.0,0.0,5.17,0.0,0.0,3.86,4.01,6.04,0.0,2.49,2.49,1.39,0.0,1.9,0.0,1.52,2.01,3.86,0.0,1.19,0.82,1.08,0.93,0.96,0.82,0.98,1.13,0.85,0.68,0.96,0.0,0.0,0.0,5.54,4.68,3.38,2.34,5.68,0.82,0.76,5.94,99.97
01/31/2022,12.96,6.89,5.85,0.0,0.0,0.0,5.22,0.0,0.0,3.93,4.03,6.01,0.0,2.5,2.47,1.36,0.0,1.87,0.0,1.46,1.97,3.87,0.0,1.2,0.81,1.11,0.93,0.9,0.82,1.03,1.1,0.85,0.68,0.97,0.0,0.0,0.0,5.47,4.72,3.38,2.37,5.71,0.82,0.75,5.99,100.0
02/01/2022,13.07,6.83,5.89,0.0,0.0,0.0,5.19,0.0,0.0,3.93,3.99,5.99,0.0,2.48,2.46,1.35,0.0,1.87,0.0,1.47,2.01,3.85,0.0,1.23,0.8,1.14,0.93,0.89,0.85,1.05,1.07,0.87,0.69,0.96,0.0,0.0,0.0,5.51,4.68,3.39,2.38,5.72,0.79,0.75,5.93,100.01
02/02/2022,13.07,6.83,5.89,0.0,0.0,0.0,5.19,0.0,0.0,3.93,3.99,5.99,0.0,2.48,2.46,1.35,0.0,1.87,0.0,1.47,2.01,3.85,0.0,1.23,0.8,1.14,0.93,0.89,0.85,1.05,1.07,0.87,0.69,0.96,0.0,0.0,0.0,5.51,4.68,3.39,2.38,5.72,0.79,0.75,5.93,100.01
02/03/2022,13.07,6.83,5.89,0.0,0.0,0.0,5.19,0.0,0.0,3.93,3.99,5.99,0.0,2.48,2.46,1.35,0.0,1.87,0.0,1.47,2.01,3.85,0.0,1.23,0.8,1.14,0.93,0.89,0.85,1.05,1.07,0.87,0.69,0.96,0.0,0.0,0.0,5.51,4.68,3.39,2.38,5.72,0.79,0.75,5.93,100.01
02/04/2022,12.92,6.76,5.99,0.0,0.0,0.0,5.06,0.0,0.0,3.91,4.02,6.07,0.0,2.5,2.5,1.33,0.0,1.9,0.0,1.56,1.99,3.84,0.0,1.27,0.83,1.15,0.92,0.96,0.87,1.03,1.08,0.87,0.69,0.95,0.0,0.0,0.0,5.61,4.59,3.38,2.34,5.7,0.84,0.74,5.82,99.99
02/07/2022,13.05,6.84,5.93,0.0,0.0,0.0,5.07,0.0,0.0,3.95,4.02,6.07,0.0,2.51,2.49,1.34,0.0,1.9,0.0,1.5,2.01,3.86,0.0,1.17,0.81,1.2,0.93,0.96,0.81,1.02,1.09,0.87,0.68,0.95,0.0,0.0,0.0,5.54,4.57,3.4,2.39,5.75,0.83,0.64,5.84,99.99
02/08/2022,12.99,6.83,5.94,0.0,0.0,0.0,5.05,0.0,0.0,3.97,4.0,6.08,0.0,2.51,2.5,1.35,0.0,1.91,0.0,1.52,1.99,3.85,0.0,1.33,0.73,1.21,0.93,0.96,0.83,1.03,1.08,0.87,0.68,1.04,0.0,0.0,0.0,5.56,4.51,3.4,2.37,5.74,0.8,0.64,5.8,100.0
02/09/2022,12.99,6.83,5.94,0.0,0.0,0.0,5.05,0.0,0.0,3.97,4.0,6.08,0.0,2.51,2.5,1.35,0.0,1.91,0.0,1.52,1.99,3.85,0.0,1.33,0.73,1.21,0.93,0.96,0.83,1.03,1.08,0.87,0.68,1.04,0.0,0.0,0.0,5.56,4.51,3.4,2.37,5.74,0.8,0.64,5.8,100.0
02/10/2022,12.97,6.85,5.95,0.0,0.0,0.0,5.06,0.0,0.0,3.96,4.02,6.1,0.0,2.52,2.5,1.36,0.0,1.91,0.0,1.51,2.0,3.85,0.0,1.34,0.73,1.17,0.92,0.99,0.83,1.02,1.13,0.86,0.69,0.89,0.0,0.0,0.0,5.56,4.53,3.4,2.37,5.77,0.79,0.64,5.82,100.00999999999999
