,AMZN,TSLA,HD,NKE,MCD,LOW,SBUX,TGT,BKNG,TJX,GM,F,DG,ROST,EBAY,CMG,APTV,ORLY,MAR,HLT,YUM,AZO,DHI,LEN,VFC,ETSY,BBY,EXPE,DLTR,GRMN,KMX,TSCO,CZR,CCL,DRI,ULTA,POOL,DPZ,GPC,RCL,NVR,LB,LVS,MGM,PHM,LKQ,AAP,WHR,WYNN,HAS,TPR,BWA,MHK,PENN,NCLH,NWL,PVH,LEG,GPS,HBI,RL,UAA,Under Armour Inc. Class C,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,UA,4282.T,SINA,BBWI WI,Victoria's Secret & Company,VSCO WI,LBEUR,GVMXX,SSIXX,n/a,SUM
10/13/2021,21.79,15.8,8.81,4.19,4.65,3.66,3.3,2.85,2.55,1.96,2.14,1.49,1.25,0.97,1.23,1.28,1.12,1.06,1.08,0.99,0.92,0.91,0.68,0.65,0.56,0.67,0.61,0.62,0.58,0.59,0.53,0.56,0.61,0.48,0.51,0.52,0.45,0.44,0.45,0.49,0.41,0.0,0.33,0.45,0.31,0.36,0.35,0.31,0.23,0.29,0.26,0.28,0.25,0.29,0.25,0.21,0.19,0.15,0.13,0.14,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.05,99.99
10/19/2021,21.82,16.38,8.92,4.2,4.39,3.76,3.19,2.95,2.53,1.89,2.04,1.5,1.22,0.94,1.18,1.25,1.11,1.05,1.06,0.98,0.9,0.91,0.69,0.65,0.58,0.68,0.62,0.61,0.56,0.58,0.54,0.55,0.57,0.46,0.47,0.54,0.44,0.41,0.44,0.47,0.41,0.0,0.33,0.47,0.31,0.36,0.34,0.31,0.23,0.29,0.27,0.27,0.25,0.3,0.24,0.21,0.19,0.15,0.12,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.04,100.0
10/20/2021,21.82,16.38,8.92,4.2,4.39,3.76,3.19,2.95,2.53,1.89,2.04,1.5,1.22,0.94,1.18,1.25,1.11,1.05,1.06,0.98,0.9,0.91,0.69,0.65,0.58,0.68,0.62,0.61,0.56,0.58,0.54,0.55,0.57,0.46,0.47,0.54,0.44,0.41,0.44,0.47,0.41,0.0,0.33,0.47,0.31,0.36,0.34,0.31,0.23,0.29,0.27,0.27,0.25,0.3,0.24,0.21,0.19,0.15,0.12,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.04,100.0
10/22/2021,21.85,16.64,9.03,4.15,4.36,3.79,3.22,3.0,2.43,1.86,1.99,1.46,1.22,0.93,1.17,1.25,1.08,1.06,1.02,0.95,0.89,0.92,0.69,0.66,0.58,0.69,0.62,0.58,0.56,0.58,0.54,0.56,0.59,0.43,0.46,0.48,0.45,0.41,0.44,0.46,0.41,0.0,0.33,0.46,0.31,0.36,0.35,0.31,0.23,0.29,0.26,0.26,0.25,0.33,0.23,0.21,0.19,0.15,0.12,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.04,100.02
10/26/2021,21.49,16.97,9.07,4.21,4.28,3.82,3.2,2.98,2.35,1.85,2.01,1.54,1.23,0.94,1.18,1.23,1.09,1.09,1.01,0.94,0.89,0.92,0.69,0.66,0.57,0.71,0.63,0.56,0.56,0.59,0.55,0.57,0.57,0.42,0.45,0.48,0.48,0.41,0.46,0.45,0.39,0.0,0.32,0.46,0.31,0.36,0.36,0.31,0.23,0.28,0.26,0.26,0.25,0.3,0.22,0.21,0.19,0.15,0.12,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.02,99.99
11/02/2021,20.29,20.35,8.9,4.18,4.19,3.77,2.85,2.93,2.27,1.8,1.8,1.53,1.19,0.92,1.14,1.14,1.07,0.98,1.0,0.92,0.84,0.88,0.66,0.63,0.54,0.72,0.63,0.55,0.57,0.5,0.51,0.57,0.53,0.4,0.43,0.46,0.47,0.41,0.43,0.43,0.38,0.0,0.3,0.43,0.28,0.34,0.34,0.3,0.22,0.28,0.25,0.25,0.23,0.27,0.22,0.2,0.18,0.14,0.11,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,100.0
11/03/2021,20.29,20.35,8.9,4.18,4.19,3.77,2.85,2.93,2.27,1.8,1.8,1.53,1.19,0.92,1.14,1.14,1.07,0.98,1.0,0.92,0.84,0.88,0.66,0.63,0.54,0.72,0.63,0.55,0.57,0.5,0.51,0.57,0.53,0.4,0.43,0.46,0.47,0.41,0.43,0.43,0.38,0.0,0.3,0.43,0.28,0.34,0.34,0.3,0.22,0.28,0.25,0.25,0.23,0.27,0.22,0.2,0.18,0.14,0.11,0.14,0.14,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.02,100.0
11/05/2021,19.7,21.16,8.69,4.14,4.2,3.72,2.97,2.91,2.27,1.83,1.82,1.59,1.18,0.92,1.1,1.14,1.07,0.97,0.99,0.89,0.83,0.87,0.65,0.62,0.53,0.69,0.63,0.52,0.58,0.49,0.53,0.56,0.54,0.41,0.42,0.46,0.47,0.4,0.43,0.44,0.37,0.0,0.32,0.43,0.28,0.34,0.33,0.3,0.22,0.27,0.25,0.25,0.22,0.27,0.22,0.2,0.18,0.13,0.11,0.14,0.13,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.02,99.95
11/09/2021,20.15,21.24,8.39,4.22,4.13,3.62,2.99,2.73,2.34,1.87,1.85,1.64,1.16,0.93,1.07,1.1,1.03,0.96,1.0,0.92,0.81,0.85,0.65,0.62,0.52,0.72,0.63,0.57,0.55,0.47,0.55,0.55,0.49,0.43,0.44,0.47,0.45,0.4,0.42,0.47,0.37,0.0,0.32,0.44,0.28,0.34,0.33,0.3,0.22,0.27,0.26,0.24,0.22,0.22,0.23,0.2,0.19,0.13,0.12,0.14,0.13,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,100.01
11/10/2021,20.15,21.24,8.39,4.22,4.13,3.62,2.99,2.73,2.34,1.87,1.85,1.64,1.16,0.93,1.07,1.1,1.03,0.96,1.0,0.92,0.81,0.85,0.65,0.62,0.52,0.72,0.63,0.57,0.55,0.47,0.55,0.55,0.49,0.43,0.44,0.47,0.45,0.4,0.42,0.47,0.37,0.0,0.32,0.44,0.28,0.34,0.33,0.3,0.22,0.27,0.26,0.24,0.22,0.22,0.23,0.2,0.19,0.13,0.12,0.14,0.13,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,100.01
11/24/2021,21.05,19.76,9.31,4.15,4.09,3.83,2.84,2.69,2.09,1.86,1.95,1.65,1.15,0.87,1.05,1.07,1.03,0.95,0.92,0.87,0.82,0.87,0.72,0.66,0.54,0.81,0.67,0.55,0.68,0.47,0.52,0.57,0.44,0.36,0.41,0.48,0.5,0.43,0.42,0.39,0.38,0.0,0.29,0.38,0.29,0.34,0.33,0.31,0.21,0.28,0.28,0.24,0.22,0.19,0.19,0.19,0.18,0.12,0.11,0.13,0.13,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.03,99.96
11/25/2021,20.5,20.15,9.33,4.15,4.12,3.88,2.86,2.63,2.05,1.84,2.02,1.75,1.16,0.86,1.04,1.05,1.03,0.96,0.93,0.87,0.81,0.87,0.71,0.66,0.54,0.77,0.68,0.55,0.67,0.47,0.52,0.57,0.44,0.35,0.42,0.49,0.49,0.43,0.43,0.39,0.38,0.0,0.3,0.39,0.3,0.35,0.33,0.31,0.22,0.28,0.28,0.25,0.22,0.19,0.19,0.19,0.19,0.12,0.11,0.13,0.13,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,99.96
11/26/2021,20.7,19.46,9.39,4.13,4.19,3.91,2.94,2.7,2.11,1.88,2.01,1.74,1.17,0.9,1.02,1.05,1.01,0.98,0.94,0.89,0.82,0.89,0.73,0.67,0.55,0.78,0.6,0.57,0.74,0.48,0.52,0.56,0.44,0.35,0.42,0.49,0.49,0.43,0.43,0.39,0.39,0.0,0.3,0.37,0.3,0.35,0.34,0.32,0.21,0.28,0.28,0.25,0.22,0.19,0.18,0.19,0.19,0.13,0.11,0.13,0.13,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.03,100.0
11/29/2021,20.66,19.55,9.46,4.12,4.2,3.91,2.94,2.69,2.09,1.89,1.98,1.74,1.16,0.9,1.03,1.05,1.0,0.98,0.94,0.89,0.82,0.88,0.72,0.66,0.54,0.82,0.58,0.56,0.74,0.48,0.53,0.57,0.44,0.35,0.42,0.49,0.5,0.43,0.43,0.38,0.39,0.0,0.3,0.38,0.3,0.35,0.33,0.32,0.21,0.28,0.27,0.25,0.22,0.19,0.18,0.19,0.18,0.12,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,99.98
11/30/2021,22.14,15.86,8.8,4.06,4.6,3.67,3.33,2.89,2.49,2.04,1.96,1.42,1.28,0.99,1.16,1.31,1.03,1.08,1.04,0.94,0.92,0.94,0.7,0.66,0.56,0.67,0.61,0.61,0.57,0.6,0.53,0.59,0.61,0.51,0.5,0.51,0.45,0.45,0.44,0.51,0.41,0.0,0.32,0.44,0.3,0.35,0.35,0.33,0.23,0.3,0.26,0.26,0.25,0.29,0.25,0.21,0.19,0.15,0.12,0.15,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.43,0.0,0.0,0.0,0.45,0.03,0.0,100.43
12/01/2021,22.14,15.86,8.8,4.06,4.6,3.67,3.33,2.89,2.49,2.04,1.96,1.42,1.28,0.99,1.16,1.31,1.03,1.08,1.04,0.94,0.92,0.94,0.7,0.66,0.56,0.67,0.61,0.61,0.57,0.6,0.53,0.59,0.61,0.51,0.5,0.51,0.45,0.45,0.44,0.51,0.41,0.0,0.32,0.44,0.3,0.35,0.35,0.33,0.23,0.3,0.26,0.26,0.25,0.29,0.25,0.21,0.19,0.15,0.12,0.15,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.43,0.0,0.0,0.0,0.45,0.03,0.0,100.43
12/02/2021,22.14,15.86,8.8,4.06,4.6,3.67,3.33,2.89,2.49,2.04,1.96,1.42,1.28,0.99,1.16,1.31,1.03,1.08,1.04,0.94,0.92,0.94,0.7,0.66,0.56,0.67,0.61,0.61,0.57,0.6,0.53,0.59,0.61,0.51,0.5,0.51,0.45,0.45,0.44,0.51,0.41,0.0,0.32,0.44,0.3,0.35,0.35,0.33,0.23,0.3,0.26,0.26,0.25,0.29,0.25,0.21,0.19,0.15,0.12,0.15,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.43,0.0,0.0,0.0,0.45,0.03,0.0,100.43
12/06/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/07/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/08/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/09/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/10/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/13/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/14/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/15/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/16/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/17/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/20/2021,20.46,19.59,9.65,4.2,4.19,4.0,2.97,2.74,2.01,1.91,2.0,1.76,1.15,0.89,0.99,1.02,1.01,1.02,0.93,0.88,0.84,0.91,0.76,0.7,0.54,0.71,0.53,0.53,0.71,0.46,0.53,0.59,0.43,0.32,0.42,0.47,0.5,0.44,0.42,0.35,0.42,0.0,0.28,0.37,0.31,0.35,0.34,0.31,0.2,0.29,0.26,0.24,0.22,0.19,0.16,0.18,0.16,0.13,0.08,0.13,0.13,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.06,99.98
12/23/2021,23.73,16.79,4.49,4.6,4.98,4.33,3.25,2.72,2.31,2.22,2.0,1.94,1.31,0.95,1.02,1.2,1.06,1.15,1.04,1.0,0.98,1.06,0.84,0.73,0.57,0.71,0.55,0.6,0.78,0.5,0.54,0.64,0.47,0.39,0.45,0.51,0.55,0.49,0.47,0.41,0.47,0.0,0.3,0.42,0.34,0.38,0.37,0.34,0.21,0.31,0.28,0.25,0.23,0.2,0.19,0.2,0.17,0.0,0.09,0.0,0.13,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.15,99.99000000000002
