,XOM,CVX,ENB.TO,COP,FCX,NEM,EOG,TRP.TO,SLB,CNQ.TO,ABX.TO,MPC,PXD,PSX,KMI,SU.TO,WMB,VLO,FNV.TO,BLL,OXY,OKE,IP,HES,VMC,MLM,LNG,WPM.TO,HAL,AMCR,PPL.TO,AVY,DVN,FANG,BKR,AEM.TO,CCK,WRK,PKG,TPL,CVE.TO,KL.TO,MRO,TECK,TRGP,ATR,SEE,BERY,K.TO,OVV,APA,RGLD,CCO.TO,XEC,AA,COG,SON,PAAS.TO,EXP,EQT,LPX,NOV,WFG.TO,GPK,HFC,PDCE,CHX,BTO.TO,YRI.TO,RRC,HL,AR,MTDR,FTI,DEN,SSRM,ETRN,SWN,HP,SLGN,MUR,ARNC,AGI.TO,FR.TO,AM,REGI,CNX,UFS,OI,MP,CLR,CDE,XTSLA,CMP,NG,INT,NFE,EQX,TRQ.TO,GEF,LBRT,CAD,PTVE,CVI,SGAFT,RTYU1,IXPU1,USD,RTYZ1,IXPZ1,CTRA,SLVM,IXDZ1,SUM
08/25/2021,9.79,10.13,4.64,4.31,2.91,2.73,2.28,2.71,2.24,2.21,2.07,2.11,1.98,1.75,1.88,1.6,1.77,1.49,1.63,1.88,1.12,1.36,1.39,1.07,1.47,1.42,1.17,1.16,0.98,1.19,1.0,1.1,0.93,0.75,0.9,0.83,0.89,0.8,0.85,0.63,0.56,0.61,0.51,0.56,0.58,0.53,0.55,0.52,0.44,0.37,0.37,0.43,0.39,0.36,0.43,0.35,0.39,0.31,0.39,0.27,0.36,0.29,0.29,0.33,0.26,0.22,0.24,0.23,0.25,0.2,0.18,0.2,0.17,0.16,0.19,0.2,0.2,0.16,0.16,0.2,0.17,0.21,0.17,0.14,0.15,0.14,0.14,0.17,0.14,0.12,0.13,0.1,0.08,0.13,0.1,0.11,0.08,0.1,0.08,0.1,0.05,0.07,0.03,0.02,0.06,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,9.88,10.07,4.6,4.34,2.94,2.72,2.32,2.68,2.26,2.24,2.1,2.12,1.98,1.77,1.86,1.62,1.75,1.51,1.63,1.83,1.16,1.36,1.34,1.08,1.44,1.39,1.16,1.17,1.0,1.15,1.0,1.06,0.95,0.77,0.92,0.83,0.86,0.78,0.82,0.62,0.58,0.62,0.52,0.57,0.58,0.51,0.53,0.51,0.44,0.37,0.38,0.43,0.39,0.36,0.45,0.34,0.38,0.31,0.38,0.27,0.36,0.29,0.3,0.33,0.27,0.23,0.25,0.24,0.25,0.19,0.18,0.2,0.17,0.16,0.2,0.21,0.2,0.15,0.16,0.19,0.17,0.2,0.18,0.14,0.15,0.14,0.14,0.16,0.13,0.12,0.13,0.1,0.08,0.13,0.1,0.11,0.08,0.1,0.08,0.1,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/27/2021,9.83,10.06,4.58,4.33,2.99,2.67,2.31,2.66,2.29,2.23,2.07,2.14,1.99,1.8,1.86,1.63,1.73,1.54,1.61,1.8,1.19,1.37,1.34,1.08,1.43,1.37,1.16,1.15,1.03,1.13,0.99,1.05,0.98,0.78,0.94,0.82,0.85,0.78,0.81,0.63,0.6,0.61,0.53,0.57,0.58,0.51,0.53,0.5,0.44,0.39,0.39,0.42,0.39,0.35,0.46,0.34,0.38,0.31,0.38,0.27,0.36,0.3,0.31,0.33,0.27,0.23,0.25,0.24,0.25,0.2,0.18,0.2,0.18,0.16,0.2,0.21,0.2,0.15,0.16,0.19,0.18,0.2,0.17,0.14,0.15,0.14,0.14,0.16,0.14,0.13,0.14,0.1,0.08,0.13,0.1,0.11,0.09,0.1,0.08,0.09,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,9.78,10.06,4.6,4.34,2.95,2.65,2.29,2.66,2.29,2.21,2.05,2.16,1.99,1.8,1.83,1.64,1.71,1.56,1.58,1.81,1.18,1.37,1.35,1.08,1.45,1.4,1.18,1.14,1.03,1.14,0.98,1.09,1.01,0.77,0.95,0.8,0.86,0.78,0.83,0.63,0.59,0.59,0.53,0.59,0.58,0.51,0.54,0.52,0.43,0.39,0.39,0.42,0.4,0.36,0.45,0.34,0.38,0.3,0.39,0.28,0.37,0.3,0.32,0.33,0.27,0.23,0.25,0.23,0.24,0.21,0.18,0.21,0.17,0.16,0.2,0.2,0.21,0.16,0.16,0.19,0.18,0.2,0.18,0.14,0.15,0.14,0.14,0.16,0.14,0.13,0.13,0.1,0.15,0.13,0.1,0.11,0.08,0.1,0.08,0.1,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,100.03
08/31/2021,9.7,9.93,4.53,4.35,3.04,2.65,2.31,2.63,2.31,2.26,2.04,2.17,2.0,1.8,1.83,1.64,1.7,1.56,1.58,1.76,1.22,1.36,1.34,1.09,1.42,1.36,1.17,1.15,1.04,1.12,0.97,1.07,1.03,0.79,0.95,0.81,0.84,0.79,0.82,0.62,0.59,0.6,0.54,0.6,0.59,0.5,0.53,0.51,0.43,0.4,0.4,0.42,0.4,0.37,0.47,0.35,0.37,0.31,0.38,0.3,0.38,0.3,0.32,0.33,0.28,0.24,0.26,0.23,0.25,0.22,0.18,0.22,0.18,0.16,0.2,0.21,0.21,0.17,0.17,0.19,0.18,0.2,0.18,0.14,0.16,0.14,0.14,0.16,0.14,0.13,0.14,0.1,0.14,0.13,0.1,0.12,0.09,0.1,0.08,0.09,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,100.02
09/01/2021,9.7,9.93,4.53,4.35,3.04,2.65,2.31,2.63,2.31,2.26,2.04,2.17,2.0,1.8,1.83,1.64,1.7,1.56,1.58,1.76,1.22,1.36,1.34,1.09,1.42,1.36,1.17,1.15,1.04,1.12,0.97,1.07,1.03,0.79,0.95,0.81,0.84,0.79,0.82,0.62,0.59,0.6,0.54,0.6,0.59,0.5,0.53,0.51,0.43,0.4,0.4,0.42,0.4,0.37,0.47,0.35,0.37,0.31,0.38,0.3,0.38,0.3,0.32,0.33,0.28,0.24,0.26,0.23,0.25,0.22,0.18,0.22,0.18,0.16,0.2,0.21,0.21,0.17,0.17,0.19,0.18,0.2,0.18,0.14,0.16,0.14,0.14,0.16,0.14,0.13,0.14,0.1,0.14,0.13,0.1,0.12,0.09,0.1,0.08,0.09,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,9.7,10.01,4.59,4.35,3.08,2.64,2.26,2.67,2.27,2.27,2.02,2.15,2.0,1.8,1.83,1.64,1.71,1.55,1.58,1.8,1.22,1.36,1.33,1.09,1.42,1.37,1.18,1.14,1.03,1.13,0.98,1.08,1.02,0.79,0.95,0.8,0.85,0.78,0.82,0.63,0.59,0.6,0.53,0.61,0.58,0.51,0.53,0.52,0.43,0.4,0.4,0.42,0.41,0.38,0.47,0.36,0.38,0.31,0.38,0.29,0.38,0.3,0.32,0.33,0.27,0.23,0.25,0.23,0.24,0.22,0.18,0.22,0.18,0.16,0.2,0.21,0.21,0.17,0.17,0.19,0.18,0.2,0.18,0.14,0.16,0.13,0.14,0.16,0.14,0.13,0.14,0.1,0.14,0.13,0.1,0.12,0.08,0.1,0.08,0.09,0.05,0.07,0.03,0.02,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,99.99
09/03/2021,9.61,9.88,4.58,4.31,3.07,2.67,2.27,2.67,2.26,2.26,2.05,2.17,2.0,1.79,1.82,1.62,1.73,1.56,1.6,1.81,1.24,1.35,1.35,1.09,1.42,1.37,1.16,1.17,1.02,1.14,0.96,1.08,1.01,0.8,0.95,0.81,0.85,0.8,0.83,0.61,0.6,0.61,0.53,0.6,0.58,0.51,0.53,0.52,0.44,0.41,0.42,0.42,0.42,0.38,0.48,0.36,0.38,0.31,0.38,0.29,0.37,0.3,0.32,0.34,0.28,0.24,0.25,0.24,0.25,0.22,0.19,0.22,0.18,0.16,0.2,0.21,0.2,0.17,0.17,0.19,0.18,0.19,0.18,0.15,0.16,0.13,0.14,0.16,0.14,0.13,0.14,0.1,0.15,0.13,0.1,0.12,0.08,0.11,0.08,0.1,0.05,0.07,0.03,0.02,0.04,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,9.59,9.85,4.58,4.34,3.02,2.67,2.27,2.68,2.27,2.35,2.01,2.1,1.97,1.74,1.82,1.62,1.73,1.51,1.58,1.82,1.27,1.35,1.34,1.11,1.38,1.34,1.18,1.15,1.03,1.12,0.97,1.07,0.99,0.79,0.96,0.8,0.86,0.79,0.83,0.59,0.63,0.62,0.52,0.63,0.59,0.5,0.53,0.53,0.43,0.42,0.43,0.41,0.47,0.4,0.5,0.39,0.38,0.31,0.38,0.31,0.37,0.3,0.32,0.34,0.27,0.25,0.25,0.23,0.23,0.25,0.19,0.24,0.18,0.16,0.21,0.21,0.22,0.18,0.17,0.19,0.18,0.19,0.18,0.14,0.16,0.13,0.15,0.16,0.14,0.13,0.14,0.1,0.04,0.13,0.1,0.12,0.09,0.11,0.09,0.1,0.05,0.08,0.03,0.02,0.04,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,9.56,9.83,4.61,4.31,3.01,2.72,2.25,2.69,2.23,2.36,2.05,2.11,1.97,1.73,1.81,1.6,1.72,1.5,1.6,1.82,1.24,1.35,1.33,1.09,1.36,1.33,1.18,1.19,1.02,1.11,0.97,1.06,0.99,0.78,0.96,0.82,0.86,0.8,0.82,0.57,0.62,0.64,0.52,0.65,0.59,0.5,0.53,0.52,0.44,0.42,0.42,0.42,0.49,0.42,0.5,0.4,0.38,0.32,0.37,0.33,0.37,0.29,0.33,0.33,0.26,0.24,0.25,0.24,0.24,0.25,0.2,0.26,0.18,0.16,0.21,0.21,0.22,0.19,0.16,0.19,0.17,0.19,0.18,0.15,0.16,0.13,0.15,0.16,0.14,0.13,0.14,0.11,0.12,0.13,0.1,0.12,0.08,0.11,0.09,0.1,0.05,0.02,0.03,0.02,0.05,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,9.56,9.83,4.61,4.31,3.01,2.72,2.25,2.69,2.23,2.36,2.05,2.11,1.97,1.73,1.81,1.6,1.72,1.5,1.6,1.82,1.24,1.35,1.33,1.09,1.36,1.33,1.18,1.19,1.02,1.11,0.97,1.06,0.99,0.78,0.96,0.82,0.86,0.8,0.82,0.57,0.62,0.64,0.52,0.65,0.59,0.5,0.53,0.52,0.44,0.42,0.42,0.42,0.49,0.42,0.5,0.4,0.38,0.32,0.37,0.33,0.37,0.29,0.33,0.33,0.26,0.24,0.25,0.24,0.24,0.25,0.2,0.26,0.18,0.16,0.21,0.21,0.22,0.19,0.16,0.19,0.17,0.19,0.18,0.15,0.16,0.13,0.15,0.16,0.14,0.13,0.14,0.11,0.12,0.13,0.1,0.12,0.08,0.11,0.09,0.1,0.05,0.02,0.03,0.02,0.05,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,9.6,9.87,4.63,4.33,3.02,2.73,2.26,2.7,2.24,2.37,2.06,2.12,1.98,1.74,1.82,1.61,1.73,1.51,1.61,1.82,1.24,1.35,1.34,1.09,1.36,1.33,1.18,1.2,1.02,1.12,0.98,1.07,0.99,0.78,0.96,0.82,0.86,0.8,0.83,0.57,0.63,0.64,0.52,0.65,0.59,0.51,0.53,0.53,0.45,0.42,0.42,0.42,0.49,0.42,0.5,0.41,0.38,0.32,0.37,0.33,0.37,0.29,0.33,0.34,0.26,0.24,0.25,0.24,0.24,0.26,0.2,0.26,0.18,0.16,0.21,0.21,0.22,0.19,0.17,0.19,0.17,0.19,0.18,0.15,0.17,0.13,0.15,0.16,0.14,0.13,0.14,0.11,0.12,0.13,0.1,0.12,0.09,0.11,0.09,0.1,0.05,0.02,0.03,0.02,0.05,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.42999999999998
09/10/2021,9.59,9.88,4.64,4.33,3.06,2.68,2.27,2.71,2.23,2.33,2.03,2.14,1.96,1.73,1.81,1.59,1.72,1.54,1.59,1.83,1.24,1.34,1.32,1.1,1.35,1.32,1.19,1.17,1.02,1.08,0.97,1.07,0.99,0.78,0.96,0.8,0.85,0.79,0.83,0.54,0.62,0.63,0.52,0.67,0.58,0.49,0.52,0.51,0.43,0.43,0.42,0.42,0.52,0.42,0.5,0.41,0.37,0.31,0.36,0.33,0.37,0.29,0.33,0.33,0.27,0.24,0.24,0.23,0.24,0.25,0.19,0.25,0.18,0.16,0.21,0.2,0.22,0.19,0.17,0.19,0.17,0.2,0.17,0.14,0.17,0.13,0.15,0.16,0.14,0.13,0.13,0.1,0.13,0.13,0.1,0.12,0.08,0.11,0.09,0.1,0.05,0.02,0.03,0.02,0.05,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,9.65,9.91,4.72,4.36,2.97,2.67,2.29,2.74,2.17,2.32,2.04,2.12,2.03,1.7,1.81,1.62,1.71,1.51,1.59,1.82,1.23,1.36,1.34,1.1,1.36,1.33,1.18,1.18,1.0,1.09,0.98,1.09,0.99,0.8,0.99,0.8,0.84,0.8,0.84,0.55,0.61,0.64,0.52,0.66,0.58,0.49,0.51,0.5,0.43,0.42,0.42,0.42,0.53,0.44,0.52,0.43,0.37,0.31,0.36,0.32,0.37,0.29,0.33,0.33,0.26,0.24,0.24,0.23,0.24,0.26,0.19,0.26,0.18,0.16,0.21,0.2,0.21,0.2,0.17,0.19,0.17,0.2,0.17,0.14,0.17,0.13,0.15,0.16,0.13,0.13,0.14,0.1,0.09,0.13,0.1,0.12,0.08,0.11,0.08,0.1,0.05,0.02,0.03,0.02,0.02,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,9.64,9.93,4.7,4.38,3.03,2.66,2.28,2.75,2.18,2.31,2.0,2.11,2.04,1.69,1.81,1.6,1.72,1.51,1.58,1.81,1.22,1.36,1.33,1.08,1.37,1.34,1.18,1.17,1.01,1.1,0.98,1.08,0.97,0.79,1.01,0.78,0.83,0.8,0.84,0.55,0.61,0.63,0.52,0.69,0.58,0.48,0.51,0.5,0.42,0.43,0.41,0.42,0.57,0.44,0.54,0.43,0.37,0.31,0.36,0.32,0.38,0.3,0.33,0.33,0.26,0.24,0.24,0.22,0.23,0.26,0.19,0.26,0.18,0.16,0.21,0.2,0.21,0.19,0.17,0.19,0.17,0.2,0.17,0.14,0.17,0.13,0.15,0.17,0.13,0.13,0.14,0.1,0.12,0.13,0.1,0.12,0.08,0.1,0.09,0.1,0.05,0.02,0.03,0.02,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,99.96
09/15/2021,9.64,9.93,4.7,4.38,3.03,2.66,2.28,2.75,2.18,2.31,2.0,2.11,2.04,1.69,1.81,1.6,1.72,1.51,1.58,1.81,1.22,1.36,1.33,1.08,1.37,1.34,1.18,1.17,1.01,1.1,0.98,1.08,0.97,0.79,1.01,0.78,0.83,0.8,0.84,0.55,0.61,0.63,0.52,0.69,0.58,0.48,0.51,0.5,0.42,0.43,0.41,0.42,0.57,0.44,0.54,0.43,0.37,0.31,0.36,0.32,0.38,0.3,0.33,0.33,0.26,0.24,0.24,0.22,0.23,0.26,0.19,0.26,0.18,0.16,0.21,0.2,0.21,0.19,0.17,0.19,0.17,0.2,0.17,0.14,0.17,0.13,0.15,0.17,0.13,0.13,0.14,0.1,0.12,0.13,0.1,0.12,0.08,0.1,0.09,0.1,0.05,0.02,0.03,0.02,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,99.96
09/16/2021,9.69,9.92,4.64,4.44,2.95,2.61,2.33,2.77,2.24,2.35,1.98,2.13,2.05,1.68,1.79,1.63,1.72,1.54,1.53,1.76,1.28,1.36,1.31,1.12,1.35,1.31,1.2,1.14,1.04,1.08,0.98,1.06,0.98,0.8,1.01,0.77,0.81,0.78,0.82,0.55,0.63,0.65,0.54,0.66,0.58,0.47,0.5,0.49,0.42,0.45,0.43,0.41,0.56,0.45,0.52,0.43,0.36,0.31,0.36,0.32,0.36,0.3,0.32,0.32,0.26,0.24,0.25,0.23,0.23,0.27,0.19,0.26,0.18,0.17,0.2,0.2,0.22,0.19,0.17,0.18,0.17,0.19,0.17,0.14,0.17,0.13,0.16,0.16,0.13,0.14,0.14,0.1,0.12,0.13,0.1,0.12,0.08,0.11,0.08,0.1,0.05,0.02,0.03,0.02,0.03,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,99.94
09/17/2021,9.67,9.87,4.66,4.44,2.95,2.65,2.35,2.77,2.24,2.33,2.0,2.12,2.05,1.65,1.8,1.62,1.74,1.53,1.56,1.76,1.28,1.37,1.31,1.09,1.35,1.3,1.18,1.16,1.03,1.1,0.99,1.06,0.97,0.79,1.02,0.79,0.82,0.78,0.81,0.55,0.62,0.66,0.53,0.7,0.58,0.47,0.51,0.49,0.43,0.43,0.42,0.41,0.56,0.44,0.52,0.43,0.36,0.32,0.35,0.32,0.36,0.31,0.32,0.32,0.26,0.24,0.24,0.23,0.24,0.28,0.19,0.26,0.18,0.17,0.19,0.21,0.22,0.19,0.17,0.18,0.17,0.19,0.18,0.15,0.17,0.13,0.15,0.16,0.13,0.13,0.14,0.11,0.12,0.13,0.1,0.12,0.08,0.11,0.09,0.1,0.05,0.02,0.03,0.02,0.03,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.0
09/20/2021,9.77,9.86,4.63,4.56,2.87,2.54,2.46,2.75,2.3,2.34,1.88,2.15,2.08,1.64,1.8,1.68,1.76,1.53,1.52,1.74,1.31,1.41,1.29,1.13,1.31,1.26,1.19,1.07,1.05,1.07,1.0,1.05,1.03,0.83,1.01,0.75,0.83,0.77,0.78,0.55,0.63,0.63,0.55,0.69,0.6,0.46,0.5,0.48,0.4,0.44,0.44,0.39,0.55,0.46,0.53,0.44,0.35,0.3,0.33,0.31,0.36,0.31,0.32,0.32,0.26,0.26,0.25,0.22,0.23,0.29,0.17,0.27,0.19,0.17,0.2,0.19,0.22,0.19,0.16,0.18,0.18,0.18,0.17,0.14,0.17,0.13,0.15,0.16,0.14,0.13,0.15,0.09,0.14,0.13,0.1,0.12,0.08,0.11,0.08,0.1,0.05,0.04,0.02,0.02,0.03,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,99.96
09/21/2021,10.11,9.99,4.41,4.54,2.79,2.54,2.5,2.77,2.28,2.28,1.88,2.16,2.05,1.66,1.79,1.66,1.77,1.54,1.5,1.74,1.38,1.42,1.27,1.13,1.3,1.23,1.18,1.07,1.04,1.05,0.99,1.02,1.08,0.81,1.14,0.75,0.8,0.76,0.77,0.46,0.63,0.63,0.54,0.66,0.59,0.46,0.49,0.48,0.4,0.44,0.44,0.4,0.51,0.46,0.53,0.45,0.34,0.3,0.32,0.3,0.33,0.3,0.44,0.31,0.26,0.25,0.25,0.22,0.23,0.28,0.17,0.27,0.2,0.17,0.21,0.19,0.23,0.19,0.16,0.19,0.18,0.2,0.17,0.15,0.19,0.14,0.15,0.16,0.13,0.15,0.14,0.09,0.17,0.12,0.09,0.12,0.07,0.11,0.09,0.09,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.95999999999998
09/22/2021,10.11,9.99,4.41,4.54,2.79,2.54,2.5,2.77,2.28,2.28,1.88,2.16,2.05,1.66,1.79,1.66,1.77,1.54,1.5,1.74,1.38,1.42,1.27,1.13,1.3,1.23,1.18,1.07,1.04,1.05,0.99,1.02,1.08,0.81,1.14,0.75,0.8,0.76,0.77,0.46,0.63,0.63,0.54,0.66,0.59,0.46,0.49,0.48,0.4,0.44,0.44,0.4,0.51,0.46,0.53,0.45,0.34,0.3,0.32,0.3,0.33,0.3,0.44,0.31,0.26,0.25,0.25,0.22,0.23,0.28,0.17,0.27,0.2,0.17,0.21,0.19,0.23,0.19,0.16,0.19,0.18,0.2,0.17,0.15,0.19,0.14,0.15,0.16,0.13,0.15,0.14,0.09,0.17,0.12,0.09,0.12,0.07,0.11,0.09,0.09,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.95999999999998
09/23/2021,10.08,10.03,4.43,4.51,2.7,2.55,2.46,2.76,2.25,2.25,1.96,2.15,2.0,1.66,1.8,1.65,1.79,1.52,1.54,1.79,1.33,1.39,1.29,1.1,1.33,1.26,1.19,1.09,1.03,1.07,1.0,1.04,1.05,0.79,1.12,0.76,0.82,0.77,0.78,0.45,0.63,0.65,0.53,0.66,0.6,0.47,0.5,0.48,0.4,0.43,0.42,0.4,0.5,0.47,0.53,0.46,0.35,0.3,0.33,0.31,0.33,0.3,0.45,0.32,0.26,0.25,0.25,0.22,0.23,0.29,0.17,0.28,0.19,0.17,0.21,0.19,0.22,0.19,0.16,0.2,0.17,0.21,0.17,0.15,0.19,0.14,0.15,0.16,0.13,0.14,0.14,0.09,0.18,0.12,0.1,0.12,0.06,0.11,0.08,0.1,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,99.97
09/24/2021,10.06,10.02,4.47,4.68,2.63,2.57,2.48,2.78,2.22,2.27,1.94,2.17,1.98,1.66,1.81,1.66,1.77,1.52,1.56,1.78,1.33,1.4,1.27,1.09,1.34,1.26,1.22,1.09,1.02,1.06,1.01,1.03,1.06,0.8,1.13,0.76,0.8,0.76,0.77,0.46,0.63,0.66,0.53,0.64,0.6,0.47,0.49,0.48,0.41,0.43,0.42,0.4,0.49,0.46,0.5,0.45,0.35,0.3,0.32,0.3,0.33,0.29,0.46,0.32,0.26,0.24,0.25,0.22,0.23,0.28,0.17,0.28,0.19,0.17,0.21,0.19,0.22,0.19,0.16,0.2,0.17,0.2,0.17,0.16,0.19,0.14,0.15,0.16,0.13,0.14,0.14,0.09,0.2,0.12,0.1,0.12,0.06,0.11,0.08,0.09,0.07,0.04,0.03,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,10.07,9.99,4.45,4.49,2.67,2.44,2.54,2.73,2.29,2.35,1.83,2.23,2.03,1.7,1.82,1.7,1.75,1.55,1.44,1.72,1.4,1.45,1.26,1.16,1.34,1.26,1.25,1.01,1.05,1.03,0.98,1.02,1.17,0.85,1.13,0.71,0.79,0.76,0.77,0.46,0.69,0.64,0.57,0.65,0.61,0.45,0.48,0.48,0.38,0.45,0.46,0.37,0.48,0.46,0.51,0.45,0.34,0.28,0.32,0.3,0.33,0.29,0.45,0.31,0.27,0.26,0.25,0.21,0.22,0.29,0.16,0.29,0.21,0.17,0.21,0.18,0.22,0.19,0.16,0.19,0.18,0.2,0.16,0.15,0.19,0.14,0.15,0.16,0.13,0.14,0.15,0.09,0.11,0.12,0.09,0.12,0.06,0.11,0.08,0.1,0.07,0.04,0.03,0.03,0.02,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,10.14,10.01,4.43,4.57,2.67,2.43,2.57,2.75,2.29,2.36,1.81,2.23,2.07,1.68,1.82,1.7,1.74,1.56,1.42,1.7,1.41,1.45,1.26,1.17,1.32,1.24,1.26,1.0,1.06,1.03,0.98,1.01,1.18,0.85,1.13,0.7,0.77,0.76,0.76,0.46,0.69,0.64,0.57,0.65,0.61,0.45,0.49,0.48,0.38,0.46,0.47,0.37,0.45,0.47,0.51,0.46,0.33,0.28,0.32,0.31,0.33,0.29,0.46,0.31,0.27,0.26,0.25,0.2,0.22,0.3,0.17,0.28,0.21,0.17,0.21,0.18,0.23,0.18,0.16,0.18,0.18,0.19,0.16,0.15,0.19,0.13,0.14,0.16,0.12,0.14,0.15,0.09,0.15,0.12,0.09,0.12,0.06,0.1,0.08,0.09,0.07,0.04,0.03,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,10.14,10.01,4.43,4.57,2.67,2.43,2.57,2.75,2.29,2.36,1.81,2.23,2.07,1.68,1.82,1.7,1.74,1.56,1.42,1.7,1.41,1.45,1.26,1.17,1.32,1.24,1.26,1.0,1.06,1.03,0.98,1.01,1.18,0.85,1.13,0.7,0.77,0.76,0.76,0.46,0.69,0.64,0.57,0.65,0.61,0.45,0.49,0.48,0.38,0.46,0.47,0.37,0.45,0.47,0.51,0.46,0.33,0.28,0.32,0.31,0.33,0.29,0.46,0.31,0.27,0.26,0.25,0.2,0.22,0.3,0.17,0.28,0.21,0.17,0.21,0.18,0.23,0.18,0.16,0.18,0.18,0.19,0.16,0.15,0.19,0.13,0.14,0.16,0.12,0.14,0.15,0.09,0.15,0.12,0.09,0.12,0.06,0.1,0.08,0.09,0.07,0.04,0.03,0.03,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.02
09/30/2021,10.16,9.98,4.35,4.56,2.73,2.37,2.62,2.71,2.32,2.35,1.75,2.21,2.09,1.71,1.82,1.72,1.74,1.59,1.37,1.63,1.47,1.44,1.23,1.2,1.3,1.22,1.24,0.96,1.08,1.01,0.97,0.99,1.21,0.89,1.13,0.68,0.74,0.76,0.75,0.47,0.69,0.64,0.59,0.65,0.62,0.44,0.47,0.46,0.37,0.47,0.48,0.36,0.46,0.5,0.53,0.48,0.33,0.27,0.32,0.34,0.33,0.29,0.46,0.31,0.27,0.27,0.26,0.2,0.21,0.32,0.16,0.3,0.22,0.18,0.21,0.17,0.23,0.22,0.17,0.18,0.19,0.19,0.15,0.14,0.19,0.14,0.15,0.15,0.12,0.14,0.15,0.09,0.14,0.12,0.09,0.12,0.06,0.1,0.08,0.09,0.07,0.04,0.03,0.03,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.97
10/01/2021,10.29,10.04,4.3,4.65,2.71,2.4,2.63,2.64,2.38,2.35,1.77,2.2,2.12,1.71,1.81,1.72,1.74,1.6,1.37,1.61,1.46,1.43,1.23,1.19,1.29,1.23,1.26,0.95,1.1,0.99,0.96,0.97,1.22,0.89,1.14,0.67,0.73,0.76,0.74,0.46,0.69,0.59,0.6,0.64,0.62,0.44,0.47,0.46,0.37,0.47,0.45,0.35,0.46,0.49,0.52,0.48,0.33,0.27,0.32,0.34,0.33,0.29,0.45,0.3,0.27,0.27,0.25,0.2,0.22,0.31,0.17,0.29,0.22,0.17,0.2,0.17,0.23,0.22,0.16,0.18,0.2,0.2,0.16,0.14,0.19,0.14,0.15,0.15,0.13,0.14,0.15,0.09,0.19,0.12,0.09,0.12,0.06,0.1,0.08,0.09,0.07,0.03,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
10/20/2021,9.59,9.89,4.43,4.41,2.91,2.34,2.69,2.7,2.44,2.58,1.75,2.19,2.22,1.83,1.85,1.8,1.84,1.65,1.38,1.53,1.44,1.49,1.07,1.28,1.21,1.17,1.34,0.95,1.19,0.95,0.97,0.89,1.3,0.95,1.14,0.72,0.7,0.64,0.65,0.39,0.76,0.63,0.66,0.7,0.65,0.43,0.44,0.44,0.4,0.53,0.51,0.33,0.51,0.0,0.54,0.0,0.31,0.27,0.3,0.31,0.32,0.3,0.46,0.29,0.28,0.26,0.27,0.21,0.22,0.31,0.15,0.29,0.23,0.17,0.19,0.18,0.23,0.18,0.18,0.18,0.21,0.18,0.16,0.14,0.19,0.14,0.15,0.14,0.12,0.13,0.16,0.08,0.12,0.13,0.1,0.11,0.07,0.11,0.07,0.09,0.08,0.04,0.03,0.03,0.01,0.0,0.0,0.02,0.0,0.0,0.85,0.05,0.0,99.99
