,EPD,ET,MMP,MPLX,PAA,GEL,DCP,PSXP,CQP,HEP,WES,BPMP,NS,CEQP,SHLX,OMP,ENLC,PBFX,DKL,HESM,CASH,Cash,n/a,RTLR,SUM
01/06/2022,10.12,8.65,7.75,6.94,5.69,4.38,4.51,4.74,4.85,4.85,5.23,5.88,4.89,4.68,4.55,2.81,1.99,2.31,2.85,2.27,0.0,0.0,0.05,0.0,99.99
01/07/2022,10.06,8.68,7.74,6.99,5.64,4.36,4.49,4.83,4.9,4.88,5.21,6.0,4.88,4.64,4.59,2.77,2.0,2.32,2.75,2.24,0.0,0.0,0.04,0.0,100.01
01/10/2022,10.12,8.76,7.68,6.98,5.67,4.33,4.47,4.9,4.93,4.9,5.22,6.02,4.84,4.58,4.53,2.75,1.94,2.41,2.69,2.24,0.0,0.0,0.04,0.0,100.0
01/11/2022,10.12,8.76,7.68,6.98,5.67,4.33,4.47,4.9,4.93,4.9,5.22,6.02,4.84,4.58,4.53,2.75,1.94,2.41,2.69,2.24,0.0,0.0,0.04,0.0,100.0
01/12/2022,10.06,8.82,7.59,6.94,5.62,4.4,4.47,4.93,4.92,4.93,5.18,6.13,4.75,4.59,4.59,2.74,2.0,2.4,2.67,2.23,0.0,0.0,0.04,0.0,100.0
01/13/2022,10.11,8.69,7.61,6.87,5.65,4.4,4.4,5.04,5.0,4.88,5.13,6.09,4.67,4.63,4.72,2.76,2.01,2.38,2.66,2.27,0.0,0.0,0.03,0.0,100.0
01/14/2022,10.03,8.68,7.54,6.85,5.65,4.44,4.38,5.07,5.13,4.92,5.04,6.15,4.73,4.66,4.66,2.77,2.01,2.37,2.65,2.25,0.0,0.0,0.03,0.0,100.01000000000002
01/17/2022,10.08,8.87,7.66,6.89,5.87,4.17,4.36,5.14,5.05,4.72,5.14,6.34,4.58,4.57,4.66,2.73,2.05,2.28,2.53,2.28,0.0,0.0,0.04,0.0,100.01
01/18/2022,10.08,8.86,7.66,6.88,5.87,4.17,4.36,5.14,5.05,4.72,5.14,6.34,4.58,4.57,4.66,2.73,2.05,2.28,2.53,2.28,0.0,0.0,0.04,0.0,99.99
01/19/2022,9.99,8.87,7.68,6.81,5.92,4.08,4.32,5.16,5.01,4.73,5.19,6.4,4.66,4.58,4.68,2.73,2.04,2.29,2.54,2.28,0.0,0.0,0.04,0.0,100.00000000000004
01/20/2022,9.99,8.87,7.68,6.81,5.92,4.08,4.32,5.16,5.01,4.73,5.19,6.4,4.66,4.58,4.68,2.73,2.04,2.29,2.54,2.28,0.0,0.0,0.04,0.0,100.00000000000004
01/21/2022,10.03,8.95,7.57,6.75,5.97,4.02,4.21,5.15,4.94,4.72,5.15,6.46,4.65,4.59,4.76,2.74,2.05,2.39,2.57,2.29,0.0,0.0,0.03,0.0,99.99
01/24/2022,10.16,8.94,7.53,6.94,5.76,4.07,4.4,5.08,4.86,4.66,5.2,6.37,4.62,4.6,4.74,2.75,2.06,2.39,2.66,2.21,0.0,0.0,0.03,0.0,100.03
01/25/2022,10.16,8.94,7.53,6.94,5.76,4.07,4.4,5.08,4.86,4.66,5.2,6.37,4.62,4.6,4.74,2.75,2.06,2.39,2.66,2.21,0.0,0.0,0.03,0.0,100.03
01/26/2022,10.27,8.79,7.61,6.98,5.7,4.02,4.3,5.06,4.95,4.77,5.18,6.37,4.69,4.51,4.71,2.7,2.06,2.38,2.69,2.23,0.0,0.0,0.03,0.0,100.0
01/27/2022,10.27,8.78,7.61,6.98,5.7,4.02,4.3,5.06,4.95,4.77,5.18,6.36,4.69,4.51,4.7,2.7,2.06,2.38,2.69,2.23,0.0,0.0,0.06,0.0,100.0
01/28/2022,10.19,8.69,7.64,6.91,5.73,4.0,4.16,5.08,5.08,4.77,5.16,6.35,4.71,4.61,4.67,2.75,2.1,2.37,2.74,2.26,0.0,0.0,0.03,0.0,100.0
01/31/2022,10.03,8.97,7.53,7.01,5.76,3.85,4.11,4.97,5.16,4.82,5.18,6.26,4.59,4.49,4.62,2.7,2.05,2.3,2.69,2.22,0.0,0.0,0.7,0.0,100.01
02/01/2022,9.93,8.85,7.59,7.04,5.82,3.99,4.27,4.87,5.14,4.77,5.1,6.15,4.66,4.42,4.55,2.48,2.05,2.3,2.68,2.23,0.0,0.0,1.04,0.09,100.01999999999998
02/02/2022,9.93,8.85,7.59,7.04,5.82,3.99,4.27,4.87,5.14,4.77,5.1,6.15,4.66,4.42,4.55,2.48,2.05,2.3,2.68,2.23,0.0,0.0,1.04,0.09,100.02
02/04/2022,9.92,9.07,7.72,7.32,6.12,4.21,4.47,5.04,5.38,5.0,5.37,6.24,4.9,5.33,4.63,0.0,2.13,2.41,2.68,2.22,0.0,0.0,-0.58,0.43,100.01
02/07/2022,9.88,9.41,7.52,7.14,6.3,4.22,4.45,4.97,5.34,4.79,5.45,6.29,4.87,4.48,4.56,0.0,2.11,2.4,2.62,2.15,0.0,0.0,0.64,0.41,100.0
02/08/2022,9.99,9.51,7.76,7.22,6.37,4.27,4.5,5.02,5.48,4.84,5.51,6.36,4.92,5.31,4.61,0.0,2.13,2.43,2.65,2.18,0.0,0.0,-1.48,0.42,100.0
02/09/2022,9.99,9.51,7.76,7.22,6.37,4.27,4.5,5.02,5.48,4.84,5.51,6.36,4.92,5.31,4.61,0.0,2.13,2.43,2.65,2.18,0.0,0.0,-1.48,0.42,100.0
02/10/2022,10.04,9.51,7.49,7.23,6.52,4.3,4.65,5.14,5.51,4.88,5.7,6.49,5.03,4.56,4.56,0.0,2.2,2.45,2.65,2.17,0.0,0.0,-1.52,0.43,99.99
02/11/2022,10.12,9.3,7.63,7.13,6.35,4.36,4.6,5.14,5.16,4.81,5.64,6.51,4.63,4.45,4.58,0.0,2.25,2.47,2.69,2.27,0.0,0.0,-0.5,0.42,100.01
02/14/2022,10.08,9.18,7.48,7.11,6.25,4.38,4.6,5.11,5.13,4.82,5.68,6.46,4.62,4.3,4.55,0.0,2.24,2.49,2.65,2.19,0.0,0.0,0.26,0.42,100.0
