,AMD,NVDA,SE,3690.HK,MRVL,QCOM,BILI,GOOG,2330.TW,MSFT,AMZN,FB,TWLO,ESTC,2454.TW,MDB,NOW,NXPI,NFLX,WDAY,PYPL,API,NET,DDOG,700.HK,PDD,SQ,ZS,SPLK,ADYEN.AS,BIDU,SNOW,ZM,COUP,2013.HK,REX,Us Dollars,8083.HK,688101.SS,XLNX,n/a,688617.SS,688001.SS,9618.HK,SUM
10/26/2021,5.03,8.44,8.97,4.86,5.88,4.54,2.76,3.96,3.58,3.84,3.51,2.65,2.59,3.03,2.25,2.94,2.51,1.86,2.3,2.15,1.3,1.04,2.55,2.23,1.23,0.97,1.07,1.43,1.17,1.14,0.68,0.93,0.4,0.29,0.0,0.0,0.0,0.0,0.0,5.48,0.47,0.0,0.0,0.0,100.03000000000002
10/27/2021,5.03,8.44,8.97,4.86,5.88,4.54,2.76,3.96,3.58,3.84,3.51,2.65,2.59,3.03,2.25,2.94,2.51,1.86,2.3,2.15,1.3,1.04,2.55,2.23,1.23,0.97,1.07,1.43,1.17,1.14,0.68,0.93,0.4,0.29,0.0,0.0,0.0,0.0,0.0,5.48,0.47,0.0,0.0,0.0,100.03000000000002
10/28/2021,5.11,8.55,8.73,4.78,5.96,4.52,2.7,3.94,3.52,3.8,3.48,2.67,2.57,3.08,2.27,3.01,2.5,1.85,2.31,2.14,1.33,1.02,2.64,2.2,1.21,0.97,1.11,1.43,1.17,1.13,0.67,0.93,0.4,0.29,0.0,0.0,0.0,0.0,0.0,5.53,0.46,0.0,0.0,0.0,99.98
10/29/2021,5.11,8.55,8.73,4.78,5.96,4.52,2.7,3.94,3.52,3.8,3.48,2.67,2.57,3.08,2.27,3.01,2.5,1.85,2.31,2.14,1.33,1.02,2.64,2.2,1.21,0.97,1.11,1.43,1.17,1.13,0.67,0.93,0.4,0.29,0.0,0.0,0.0,0.0,0.0,5.53,0.46,0.0,0.0,0.0,99.98
11/01/2021,5.05,9.2,8.84,4.54,6.03,4.58,2.55,4.14,3.53,4.0,3.6,2.57,2.05,3.06,2.27,2.92,2.5,1.85,2.32,2.18,1.27,0.91,2.57,2.19,1.17,0.89,1.1,1.45,1.14,1.12,0.64,0.94,0.39,0.27,0.0,0.0,0.0,0.0,0.0,5.7,0.47,0.0,0.0,0.0,100.0
11/02/2021,5.01,9.42,8.6,4.49,6.02,4.55,2.44,4.2,3.5,4.08,3.52,2.62,2.09,3.09,2.21,3.01,2.53,1.86,2.37,2.2,1.25,0.82,2.71,2.27,1.15,0.86,1.07,1.46,1.14,1.1,0.62,0.96,0.39,0.27,0.0,0.0,0.0,0.0,0.0,5.67,0.47,0.0,0.0,0.0,100.02
11/03/2021,5.01,9.42,8.6,4.49,6.02,4.55,2.44,4.2,3.5,4.08,3.52,2.62,2.09,3.09,2.21,3.01,2.53,1.86,2.37,2.2,1.25,0.82,2.71,2.27,1.15,0.86,1.07,1.46,1.14,1.1,0.62,0.96,0.39,0.27,0.0,0.0,0.0,0.0,0.0,5.67,0.47,0.0,0.0,0.0,100.02
11/04/2021,5.01,9.42,8.6,4.49,6.02,4.55,2.44,4.2,3.5,4.08,3.52,2.62,2.09,3.09,2.21,3.01,2.53,1.86,2.37,2.2,1.25,0.82,2.71,2.27,1.15,0.86,1.07,1.46,1.14,1.1,0.62,0.96,0.39,0.27,0.0,0.0,0.0,0.0,0.0,5.67,0.47,0.0,0.0,0.0,100.02
11/05/2021,5.33,9.75,9.04,4.52,6.16,4.63,2.6,4.14,3.52,4.11,3.47,2.66,2.16,3.05,2.25,3.0,2.5,1.91,2.33,2.21,1.24,0.0,2.69,2.25,1.12,0.89,1.05,1.5,1.15,1.09,0.0,0.98,0.0,0.27,0.0,0.0,0.0,0.0,0.0,5.96,0.47,0.0,0.0,0.0,100.0
11/08/2021,5.44,10.42,8.48,4.52,5.97,5.07,2.38,4.0,3.3,3.93,3.45,2.58,2.13,2.89,2.13,2.94,2.42,1.92,2.18,2.09,1.16,0.0,2.66,2.15,1.09,0.8,0.99,1.45,1.1,1.09,0.0,0.92,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5.92,2.18,0.0,0.0,0.0,100.01
11/09/2021,5.37,10.37,8.47,4.36,5.98,5.27,2.36,4.0,3.36,3.91,3.48,2.61,2.11,2.83,2.15,3.04,2.37,1.96,2.1,2.08,1.15,0.0,2.6,2.39,1.06,0.76,0.95,1.47,1.09,1.09,0.0,0.93,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5.91,2.17,0.0,0.0,0.0,100.01
11/10/2021,5.37,10.37,8.47,4.36,5.98,5.27,2.36,4.0,3.36,3.91,3.48,2.61,2.11,2.83,2.15,3.04,2.37,1.96,2.1,2.08,1.15,0.0,2.6,2.39,1.06,0.76,0.95,1.47,1.09,1.09,0.0,0.93,0.0,0.26,0.0,0.0,0.0,0.0,0.0,5.91,2.17,0.0,0.0,0.0,100.01
11/11/2021,5.82,10.56,8.02,4.2,5.98,5.28,2.4,3.94,3.32,3.86,3.39,2.55,2.09,2.84,2.21,3.07,2.34,1.92,2.08,2.07,1.15,0.0,2.72,2.42,1.03,0.75,0.93,1.5,1.09,1.06,0.0,0.93,0.0,0.25,0.0,0.0,0.0,0.0,0.0,6.1,2.14,0.0,0.0,0.0,100.01
11/12/2021,5.78,10.52,7.95,4.18,5.97,5.31,2.4,3.94,3.38,3.85,3.48,2.53,2.07,3.04,2.21,3.11,2.33,1.9,2.1,2.07,1.03,0.0,2.66,2.49,1.03,0.75,0.91,1.51,1.12,1.02,0.0,0.95,0.0,0.26,0.0,0.0,0.0,0.0,0.0,6.01,2.14,0.0,0.0,0.0,100.0
11/15/2021,5.72,10.53,7.84,4.41,6.07,5.28,2.65,3.91,3.38,3.85,3.41,2.5,2.01,2.92,2.17,2.98,2.32,1.9,2.12,2.1,1.02,0.0,2.57,2.43,1.08,0.84,0.9,1.48,1.07,1.01,0.0,0.94,0.0,0.24,0.0,0.0,0.0,0.0,0.0,6.18,2.16,0.0,0.0,0.0,99.99
11/16/2021,5.7,10.36,7.9,4.45,5.98,5.22,2.65,3.92,3.31,3.83,3.41,2.55,2.02,3.01,2.2,3.03,2.32,1.86,2.17,2.08,1.04,0.0,2.64,2.43,1.07,0.85,0.89,1.48,1.08,0.99,0.0,0.97,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.23,2.12,0.0,0.0,0.0,99.99
11/17/2021,5.7,10.36,7.9,4.45,5.98,5.22,2.65,3.92,3.31,3.83,3.41,2.55,2.02,3.01,2.2,3.03,2.32,1.86,2.17,2.08,1.04,0.0,2.64,2.43,1.07,0.85,0.89,1.48,1.08,0.99,0.0,0.97,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.23,2.12,0.0,0.0,0.0,99.99
11/18/2021,5.65,10.25,7.95,4.46,5.94,5.34,2.63,3.92,3.35,3.83,3.43,2.61,2.02,3.01,2.3,3.01,2.29,1.85,2.16,2.08,1.06,0.0,2.67,2.41,1.09,0.82,0.91,1.47,0.88,1.0,0.0,0.99,0.0,0.25,0.0,0.0,0.0,0.0,0.0,6.28,2.13,0.0,0.0,0.0,100.04
11/19/2021,5.8,10.16,7.54,4.51,5.93,5.67,2.7,3.85,3.31,3.81,3.38,2.54,2.03,3.03,2.29,3.09,2.29,1.85,2.16,2.07,1.06,0.0,2.7,2.4,1.1,0.83,0.92,1.48,0.89,0.98,0.0,0.99,0.0,0.25,0.0,0.0,0.0,0.0,0.0,6.29,2.11,0.0,0.0,0.0,100.01
11/22/2021,5.84,9.99,7.29,4.51,6.0,5.81,2.5,3.91,3.35,3.87,3.43,2.56,2.01,3.0,2.31,3.05,2.3,1.86,2.2,2.11,1.03,0.0,2.73,2.4,1.13,0.8,0.91,1.51,0.9,0.99,0.0,1.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,6.31,2.14,0.0,0.0,0.0,99.99
11/23/2021,5.84,9.99,7.29,4.51,6.0,5.81,2.5,3.91,3.35,3.87,3.43,2.56,2.01,3.0,2.31,3.05,2.3,1.86,2.2,2.11,1.03,0.0,2.73,2.4,1.13,0.8,0.91,1.51,0.9,0.99,0.0,1.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,6.31,2.14,0.0,0.0,0.0,99.99
11/24/2021,5.95,11.17,7.13,4.29,6.03,5.81,2.05,3.9,3.37,3.88,3.53,2.57,1.88,2.86,2.43,3.03,2.25,1.88,2.14,2.0,0.96,0.0,2.7,2.41,1.09,0.73,0.87,1.56,0.84,0.99,0.0,0.98,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.39,2.12,0.0,0.0,0.0,100.02
11/25/2021,6.02,11.15,7.09,4.31,6.06,5.87,2.17,3.94,3.46,3.96,3.53,2.62,1.9,2.7,2.48,2.82,2.25,1.94,2.14,1.97,0.96,0.0,2.46,2.33,1.12,0.73,0.84,1.5,0.84,0.95,0.0,0.91,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.57,2.19,0.0,0.0,0.0,100.01
11/26/2021,5.99,11.22,6.9,4.23,6.18,5.93,2.22,3.99,3.48,3.99,3.59,2.62,1.89,2.62,2.45,2.77,2.22,1.94,2.16,1.99,0.97,0.0,2.47,2.34,1.1,0.73,0.85,1.48,0.83,0.94,0.0,0.89,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.65,2.15,0.0,0.0,0.0,100.01
11/29/2021,6.21,8.15,6.85,4.29,6.14,5.84,2.28,3.93,6.64,3.93,3.53,2.61,1.92,2.64,2.38,2.77,2.23,1.93,2.14,1.99,0.96,0.0,2.6,2.32,1.07,0.74,0.86,1.49,0.82,0.91,0.0,0.91,0.0,0.22,0.0,0.0,0.0,0.0,0.0,6.85,1.87,0.0,0.0,0.0,100.02
11/30/2021,6.19,7.97,7.13,4.2,6.07,5.76,2.2,3.88,6.65,3.89,3.51,2.59,2.0,2.62,2.33,2.88,2.26,1.88,2.19,2.02,0.97,0.0,2.67,2.36,1.06,0.63,0.86,1.48,0.83,0.95,0.0,0.94,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.76,2.03,0.0,0.0,0.0,99.99
12/01/2021,6.19,7.97,7.13,4.2,6.07,5.76,2.2,3.88,6.65,3.89,3.51,2.59,2.0,2.62,2.33,2.88,2.26,1.88,2.19,2.02,0.97,0.0,2.67,2.36,1.06,0.63,0.86,1.48,0.83,0.95,0.0,0.94,0.0,0.23,0.0,0.0,0.0,0.0,0.0,6.76,2.03,0.0,0.0,0.0,99.99
12/02/2021,6.35,8.29,7.02,3.83,6.21,5.91,2.12,3.89,6.5,3.9,3.5,2.58,1.98,2.67,2.35,2.86,2.3,1.95,2.15,2.01,0.95,0.0,2.51,2.34,1.04,0.65,0.84,1.54,0.82,0.95,0.0,0.93,0.0,0.22,0.0,0.0,0.0,0.0,0.0,6.91,1.99,0.0,0.0,0.0,100.06
12/06/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/07/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/08/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/09/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/10/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/13/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/14/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/15/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/16/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/17/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/20/2021,6.43,8.59,6.79,4.21,6.46,6.22,2.16,4.15,7.25,4.21,3.73,2.61,1.93,2.56,2.68,2.74,2.25,2.13,2.2,2.05,1.0,0.0,2.37,2.32,1.16,0.62,0.85,1.51,0.8,1.04,0.0,0.87,0.0,0.22,0.0,0.0,0.0,0.0,0.0,7.15,-1.25,0.0,0.0,0.0,100.01
12/21/2021,5.94,7.6,5.51,3.88,7.65,6.26,1.72,4.19,7.33,4.13,3.68,2.8,2.03,2.17,2.7,2.98,2.31,2.09,2.09,2.15,1.04,0.0,1.94,2.4,1.08,0.58,0.73,1.45,0.8,0.92,0.0,0.93,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.53,2.22,0.0,0.0,0.0,100.02
12/22/2021,5.94,7.6,5.51,3.88,7.65,6.26,1.72,4.19,7.33,4.13,3.68,2.8,2.03,2.17,2.7,2.98,2.31,2.09,2.09,2.15,1.04,0.0,1.94,2.4,1.08,0.58,0.73,1.45,0.8,0.92,0.0,0.93,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.53,2.22,0.0,0.0,0.0,100.02
12/23/2021,5.95,7.69,5.41,3.82,7.78,6.35,1.54,4.24,7.31,4.14,3.67,2.77,2.02,2.16,2.68,3.01,2.31,2.11,2.14,2.15,1.03,0.0,1.93,2.35,1.08,0.56,0.7,1.48,0.8,0.92,0.0,0.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.49,2.25,0.0,0.0,0.0,99.97
12/24/2021,6.07,7.74,5.76,3.84,7.66,6.2,1.66,4.12,7.01,4.07,3.59,2.73,2.0,2.2,2.66,3.14,2.31,2.09,2.1,2.13,1.03,0.0,2.03,2.44,1.06,0.58,0.72,1.48,0.8,0.9,0.0,0.97,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.56,2.16,0.0,0.0,0.0,100.0
12/27/2021,6.09,7.82,5.56,3.76,7.71,6.24,1.53,4.17,7.06,4.12,3.57,2.71,1.92,2.2,2.65,3.18,2.35,2.1,2.11,2.11,1.03,0.0,1.91,2.45,1.1,0.56,0.71,1.48,0.8,0.92,0.0,0.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.8,2.14,0.0,0.0,0.0,99.99
12/28/2021,6.09,7.82,5.56,3.76,7.71,6.24,1.53,4.17,7.06,4.12,3.57,2.71,1.92,2.2,2.65,3.18,2.35,2.1,2.11,2.11,1.03,0.0,1.91,2.45,1.1,0.56,0.71,1.48,0.8,0.92,0.0,0.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.8,2.14,0.0,0.0,0.0,99.99
12/29/2021,6.09,7.82,5.56,3.76,7.71,6.24,1.53,4.17,7.06,4.12,3.57,2.71,1.92,2.2,2.65,3.18,2.35,2.1,2.11,2.11,1.03,0.0,1.91,2.45,1.1,0.56,0.71,1.48,0.8,0.92,0.0,0.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.8,2.14,0.0,0.0,0.0,99.99
12/30/2021,6.32,8.02,5.4,3.68,7.84,6.26,1.46,4.12,6.95,4.14,3.48,2.75,1.85,2.17,2.73,3.18,2.36,2.11,2.07,2.08,1.01,0.0,1.9,2.45,1.08,0.54,0.7,1.49,0.78,0.94,0.0,0.94,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.89,2.1,0.0,0.0,0.0,99.98
12/31/2021,6.34,7.95,5.39,3.68,7.68,6.27,1.47,4.12,7.14,4.17,3.54,2.79,1.85,2.16,2.84,3.11,2.36,2.12,2.08,2.08,1.01,0.0,1.84,2.4,1.07,0.54,0.68,1.48,0.78,0.95,0.0,0.91,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.89,2.13,0.0,0.0,0.0,100.01
01/03/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/03/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/03/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/04/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/05/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/06/2022,6.04,7.8,5.61,3.62,7.68,6.24,1.59,4.13,7.18,4.17,3.52,2.79,1.9,2.22,2.89,3.07,2.37,2.11,2.1,2.09,1.03,0.0,1.85,2.43,1.06,0.57,0.7,1.49,0.8,0.96,0.0,0.92,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.73,2.14,0.0,0.0,0.0,99.99
01/07/2022,6.17,7.92,5.07,3.74,7.96,6.56,1.38,4.19,7.89,4.15,3.59,2.79,1.84,2.12,2.92,2.76,2.24,2.2,2.08,1.97,1.05,0.0,1.64,2.2,1.1,0.49,0.68,1.33,0.82,0.95,0.0,0.88,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.94,2.18,0.0,0.0,0.0,99.99
01/10/2022,6.06,7.94,5.15,3.58,8.03,6.78,1.39,4.16,8.04,4.12,3.64,2.87,1.83,2.07,2.95,2.65,2.22,2.24,2.03,2.03,1.1,0.0,1.55,2.09,1.12,0.54,0.65,1.28,0.85,0.96,0.0,0.86,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.86,2.23,0.0,0.0,0.0,100.05
01/11/2022,5.98,7.81,5.09,3.68,7.94,6.7,1.39,4.22,8.05,4.2,3.69,2.92,1.79,2.09,2.91,2.7,2.23,2.22,2.02,2.06,1.1,0.0,1.62,2.12,1.15,0.59,0.65,1.31,0.87,0.96,0.0,0.88,0.0,0.17,0.0,0.0,0.0,0.0,0.0,6.61,2.27,0.0,0.0,0.0,99.99
01/12/2022,5.98,7.81,5.09,3.68,7.94,6.7,1.39,4.22,8.05,4.2,3.69,2.92,1.79,2.09,2.91,2.7,2.23,2.22,2.02,2.06,1.1,0.0,1.62,2.12,1.15,0.59,0.65,1.31,0.87,0.96,0.0,0.88,0.0,0.17,0.0,0.0,0.0,0.0,0.0,6.61,2.27,0.0,0.0,0.0,99.99
01/13/2022,5.95,7.82,5.07,3.71,7.82,6.64,1.47,4.24,8.14,4.18,3.65,2.87,1.76,2.16,2.88,2.72,2.24,2.22,2.01,2.07,1.06,0.0,1.67,2.15,1.17,0.6,0.66,1.37,0.89,0.87,0.0,0.89,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.59,2.26,0.0,0.0,0.0,99.99
01/14/2022,6.05,7.76,5.24,3.65,8.02,6.7,1.47,4.19,8.05,4.1,3.65,2.86,1.78,2.15,2.78,2.71,2.22,2.22,1.96,2.05,1.09,0.0,1.68,2.14,1.16,0.61,0.66,1.35,0.9,0.87,0.0,0.86,0.0,0.19,0.0,0.0,0.0,0.0,0.0,6.68,2.19,0.0,0.0,0.0,99.99
01/17/2022,6.09,7.72,4.97,4.14,7.61,6.92,1.36,4.34,8.52,4.13,3.71,2.91,1.71,1.92,2.95,2.49,2.08,2.26,1.96,2.08,1.07,0.0,1.52,2.02,1.25,0.61,0.64,1.27,0.92,0.88,0.0,0.87,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.63,2.28,0.0,0.0,0.0,100.01000000000002
01/24/2022,5.82,7.31,4.88,4.54,7.44,6.53,1.5,4.34,8.74,4.26,3.63,2.94,1.66,1.76,3.05,2.58,2.14,2.12,2.0,2.19,1.07,0.0,1.49,2.03,1.3,0.73,0.62,1.32,0.94,0.89,0.0,0.87,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.7,2.4,0.0,0.0,0.04,100.01000000000002
01/25/2022,5.9,7.36,4.61,4.71,7.61,6.72,1.43,4.4,8.95,4.34,3.55,2.93,1.64,1.74,3.12,2.59,2.19,2.2,1.63,2.22,1.05,0.0,1.47,2.04,1.36,0.72,0.59,1.32,0.95,0.9,0.0,0.86,0.0,0.18,0.0,0.0,0.0,0.0,0.0,7.05,1.62,0.0,0.0,0.04,99.99
01/26/2022,5.9,7.36,4.61,4.71,7.61,6.72,1.43,4.4,8.95,4.34,3.55,2.93,1.64,1.74,3.12,2.59,2.19,2.2,1.63,2.22,1.05,0.0,1.47,2.04,1.36,0.72,0.59,1.32,0.95,0.9,0.0,0.86,0.0,0.18,0.0,0.0,0.0,0.0,0.0,7.05,1.62,0.0,0.0,0.04,99.99
01/27/2022,5.76,7.32,4.43,4.58,7.52,6.9,1.39,4.39,9.07,4.33,3.58,2.97,1.68,1.86,3.16,2.65,2.26,2.22,1.58,2.23,1.03,0.0,1.54,2.19,1.33,0.69,0.59,1.32,1.0,0.81,0.0,0.89,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.93,1.58,0.0,0.0,0.04,100.0
01/28/2022,5.67,7.22,4.44,4.59,7.22,6.93,1.39,4.4,9.19,4.35,3.58,2.98,1.63,1.8,3.24,2.59,2.2,2.2,1.54,2.19,1.04,0.0,1.45,2.08,1.37,0.7,0.59,1.29,0.99,0.83,0.0,0.87,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.68,2.52,0.0,0.0,0.04,99.98000000000002
01/31/2022,5.36,7.27,4.03,4.36,7.16,6.92,1.26,4.6,9.31,4.63,3.65,3.0,1.59,1.82,3.28,2.55,2.4,2.18,1.67,2.15,1.07,0.0,1.41,2.19,1.39,0.62,0.56,1.29,0.95,0.88,0.0,0.83,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.85,2.56,0.0,0.0,0.04,100.01000000000002
02/01/2022,5.35,7.36,4.17,4.21,7.12,6.96,1.24,4.61,9.05,4.63,3.66,2.98,1.65,1.88,3.19,2.63,2.48,2.14,1.61,2.2,1.07,0.0,1.43,2.27,1.34,0.63,0.57,1.34,0.96,0.85,0.0,0.84,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.84,2.49,0.0,0.0,0.04,99.96999999999998
02/02/2022,5.35,7.36,4.17,4.21,7.12,6.96,1.24,4.61,9.05,4.63,3.66,2.98,1.65,1.88,3.19,2.63,2.48,2.14,1.61,2.2,1.07,0.0,1.43,2.27,1.34,0.63,0.57,1.34,0.96,0.85,0.0,0.84,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.84,2.49,0.0,0.0,0.04,99.97
02/03/2022,5.35,7.36,4.17,4.21,7.12,6.96,1.24,4.61,9.05,4.63,3.66,2.98,1.65,1.88,3.19,2.63,2.48,2.14,1.61,2.2,1.07,0.0,1.43,2.27,1.34,0.63,0.57,1.34,0.96,0.85,0.0,0.84,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.84,2.49,0.0,0.0,0.04,99.97
02/04/2022,5.49,7.46,4.34,4.2,7.25,6.93,1.36,4.44,8.56,4.42,3.6,2.93,1.71,1.91,3.02,2.7,2.45,2.19,1.69,2.21,1.07,0.0,1.55,2.29,1.3,0.67,0.59,1.36,0.99,0.84,0.0,0.86,0.0,0.18,0.0,0.0,0.0,0.0,0.0,7.03,2.36,0.0,0.0,0.04,99.99
02/07/2022,5.93,7.49,4.3,4.32,7.15,7.26,1.29,4.8,8.79,4.4,3.43,2.28,1.53,1.8,3.1,2.62,2.41,2.17,1.65,2.09,0.79,0.0,1.6,2.22,1.34,0.63,0.51,1.33,0.94,0.79,0.0,0.82,0.0,0.17,0.0,0.0,0.0,0.0,0.0,7.57,2.42,0.0,0.0,0.04,99.98
02/08/2022,5.93,7.4,4.47,4.34,7.21,7.07,1.29,4.68,8.55,4.34,3.79,2.21,1.59,1.83,3.01,2.69,2.41,2.11,1.63,2.07,0.78,0.0,1.66,2.35,1.32,0.62,0.53,1.37,0.94,0.79,0.0,0.86,0.0,0.17,0.0,0.0,0.0,0.0,0.0,7.59,2.36,0.0,0.0,0.04,100.0
