,ARCC,FSK,ORCC,MAIN,HTGC,PSEC,TSLX,GSBD,GBDC,NMFC,OCSL,AINV,TCPC,NEWT,BCSF,CGBD,SLRC,BBDC,CSWC,GAIN,PFLT,PNNT,TPVG,FDUS,SAP.JO,Gladstone Capital Corp,TriplePoint Venture Growth BDC Corp,SAR.AX,GLAD,n/a,601319.SS,GVMXX,SUM
11/24/2021,17.88,11.38,8.66,6.05,4.42,5.66,4.67,4.36,4.42,3.63,3.49,2.39,2.36,1.92,2.06,2.26,2.02,1.75,1.85,1.69,1.46,1.45,1.67,1.28,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,100.01
11/25/2021,17.82,11.45,8.66,6.04,4.39,5.65,4.68,4.37,4.39,3.63,3.49,2.38,2.36,1.94,2.09,2.25,2.03,1.76,1.83,1.68,1.45,1.45,1.67,1.29,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,99.97
11/26/2021,17.77,11.52,8.69,6.03,4.41,5.67,4.69,4.39,4.37,3.61,3.48,2.37,2.38,1.96,2.07,2.25,2.03,1.72,1.85,1.68,1.44,1.44,1.64,1.28,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,100.0
11/29/2021,17.84,11.58,8.73,6.01,4.4,5.54,4.68,4.41,4.37,3.62,3.48,2.39,2.37,1.95,2.05,2.25,2.05,1.71,1.83,1.7,1.44,1.44,1.64,1.27,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,100.0
11/30/2021,17.81,11.55,8.74,5.94,4.42,5.53,4.7,4.45,4.39,3.64,3.48,2.38,2.38,1.94,2.05,2.26,2.06,1.71,1.84,1.7,1.45,1.43,1.65,1.26,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,100.0
12/01/2021,17.81,11.55,8.74,5.94,4.42,5.53,4.7,4.45,4.39,3.64,3.48,2.38,2.38,1.94,2.05,2.26,2.06,1.71,1.84,1.7,1.45,1.43,1.65,1.26,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,100.0
12/02/2021,17.83,11.61,8.73,5.89,4.41,5.5,4.69,4.46,4.37,3.64,3.52,2.42,2.36,1.97,2.07,2.27,2.06,1.7,1.85,1.67,1.45,1.42,1.6,1.28,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,100.0
12/06/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/07/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/08/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/09/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/10/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/13/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/14/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/15/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/16/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/17/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/20/2021,17.84,11.52,8.79,5.83,4.39,5.41,4.66,4.47,4.51,3.67,3.57,2.43,2.39,1.96,2.11,2.28,2.06,1.75,1.81,1.68,1.45,1.42,1.56,1.24,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,100.02
12/21/2021,17.87,11.36,9.03,5.76,4.47,5.38,4.52,4.65,4.52,3.67,3.65,2.35,2.41,1.85,2.15,2.27,1.95,1.74,1.74,1.73,1.45,1.41,1.56,1.28,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,99.99
12/22/2021,17.87,11.36,9.03,5.76,4.47,5.38,4.52,4.65,4.52,3.67,3.65,2.35,2.41,1.85,2.15,2.27,1.95,1.74,1.74,1.73,1.45,1.41,1.56,1.28,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,99.99
12/23/2021,18.29,11.45,9.14,5.9,4.6,5.01,4.4,4.67,4.57,3.65,3.66,2.28,2.4,1.89,2.33,2.07,1.97,1.59,1.77,1.68,1.4,1.33,1.53,1.26,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,99.99
12/24/2021,18.38,11.47,9.19,5.93,4.57,5.04,4.4,4.65,4.53,3.62,3.65,2.32,2.37,1.9,2.3,2.05,1.94,1.58,1.78,1.68,1.4,1.32,1.52,1.24,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,100.0
12/27/2021,18.54,11.45,9.19,5.94,4.56,5.0,4.4,4.62,4.51,3.62,3.62,2.34,2.37,1.92,2.27,2.05,1.94,1.58,1.79,1.66,1.39,1.32,1.52,1.24,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,99.99
12/28/2021,18.53,11.42,9.15,5.96,4.53,5.0,4.39,4.6,4.53,3.62,3.64,2.38,2.36,1.93,2.28,2.06,1.95,1.58,1.79,1.66,1.4,1.32,1.54,1.24,0.0,0.0,0.0,0.0,1.16,-0.01,0.0,0.0,100.01
12/29/2021,18.53,11.42,9.15,5.96,4.53,5.0,4.39,4.6,4.53,3.62,3.64,2.38,2.36,1.93,2.28,2.06,1.95,1.58,1.79,1.66,1.4,1.32,1.54,1.24,0.0,0.0,0.0,0.0,1.16,-0.01,0.0,0.0,100.01
12/30/2021,18.54,11.46,9.14,5.99,4.53,5.06,4.39,4.6,4.51,3.63,3.64,2.36,2.36,1.9,2.28,2.05,1.94,1.57,1.76,1.67,1.39,1.32,1.52,1.24,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,100.01
12/31/2021,18.62,11.43,9.1,5.98,4.55,5.01,4.39,4.6,4.54,3.63,3.63,2.36,2.35,1.91,2.28,2.06,1.94,1.56,1.76,1.67,1.39,1.31,1.53,1.24,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,100.0
01/03/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/03/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/03/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/04/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/05/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/06/2022,18.59,11.43,8.86,5.97,4.49,4.91,4.38,4.48,4.51,3.6,3.58,2.33,2.32,1.87,2.22,1.97,1.95,1.55,1.73,1.68,1.39,1.31,1.54,1.23,0.0,0.0,0.0,0.0,1.17,0.91,0.0,0.0,99.96999999999998
01/07/2022,18.69,11.74,9.02,5.97,4.48,5.01,4.47,4.51,4.51,3.59,3.58,2.35,2.34,1.85,2.24,2.01,1.98,1.57,1.75,1.68,1.41,1.31,1.56,1.22,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,100.0
01/10/2022,18.59,11.8,9.01,5.97,4.5,5.0,4.47,4.52,4.55,3.59,3.6,2.35,2.34,1.83,2.27,2.0,1.99,1.57,1.73,1.67,1.42,1.31,1.53,1.23,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,100.0
01/11/2022,18.64,11.85,9.01,5.89,4.58,5.03,4.45,4.49,4.5,3.57,3.6,2.36,2.33,1.86,2.25,2.04,2.0,1.56,1.72,1.66,1.44,1.3,1.49,1.22,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,99.98
01/12/2022,18.64,11.85,9.01,5.89,4.58,5.03,4.45,4.49,4.5,3.57,3.6,2.36,2.33,1.86,2.25,2.04,2.0,1.56,1.72,1.66,1.44,1.3,1.49,1.22,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,99.98
01/13/2022,18.64,11.85,9.01,5.89,4.58,5.03,4.45,4.49,4.5,3.57,3.6,2.36,2.33,1.86,2.25,2.04,2.0,1.56,1.72,1.66,1.44,1.3,1.49,1.22,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,99.98
01/14/2022,18.56,11.83,9.02,5.86,4.58,5.1,4.45,4.52,4.5,3.55,3.63,2.37,2.33,1.89,2.25,2.04,2.0,1.56,1.71,1.64,1.44,1.31,1.49,1.23,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,100.0
01/17/2022,18.45,12.08,8.99,5.83,4.71,5.08,4.4,4.54,4.52,3.47,3.63,2.37,2.31,1.86,2.23,2.04,1.99,1.54,1.71,1.62,1.44,1.33,1.49,1.22,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,100.0
01/18/2022,18.72,12.08,8.98,5.81,4.71,5.06,4.44,4.56,4.49,3.46,3.61,2.36,2.32,1.87,2.24,2.03,1.97,1.53,1.7,1.59,1.41,1.32,1.45,1.2,0.0,0.0,0.0,0.0,1.14,-0.06,0.0,0.0,99.99
01/19/2022,18.72,12.08,8.98,5.81,4.71,5.06,4.44,4.56,4.49,3.46,3.61,2.36,2.32,1.87,2.24,2.03,1.97,1.53,1.7,1.59,1.41,1.32,1.45,1.2,0.0,0.0,0.0,0.0,1.14,-0.06,0.0,0.0,99.99
01/20/2022,18.72,12.08,8.98,5.81,4.71,5.06,4.44,4.56,4.49,3.46,3.61,2.36,2.32,1.87,2.24,2.03,1.97,1.53,1.7,1.59,1.41,1.32,1.45,1.2,0.0,0.0,0.0,0.0,1.14,-0.06,0.0,0.0,99.99
01/21/2022,18.72,12.08,8.98,5.81,4.71,5.06,4.44,4.56,4.49,3.46,3.61,2.36,2.32,1.87,2.24,2.03,1.97,1.53,1.7,1.59,1.41,1.32,1.45,1.2,0.0,0.0,0.0,0.0,1.14,-0.06,0.0,0.0,99.99
01/24/2022,18.68,11.98,8.96,5.88,4.66,5.13,4.45,4.59,4.53,3.44,3.6,2.37,2.33,1.82,2.26,2.03,1.97,1.51,1.69,1.6,1.41,1.31,1.48,1.21,0.0,0.0,0.0,0.0,1.14,-0.06,0.0,0.0,99.96999999999998
01/25/2022,18.87,11.94,9.08,5.75,4.68,5.05,4.45,4.61,4.59,3.47,3.61,2.37,2.32,1.82,2.25,2.02,1.97,1.53,1.67,1.56,1.39,1.31,1.43,1.22,0.0,0.0,0.0,0.0,1.11,-0.06,0.0,0.0,100.01
01/26/2022,18.87,11.94,9.08,5.75,4.68,5.05,4.45,4.61,4.59,3.47,3.61,2.37,2.32,1.82,2.25,2.02,1.97,1.53,1.67,1.56,1.39,1.31,1.43,1.22,0.0,0.0,0.0,0.0,1.11,-0.06,0.0,0.0,100.01
01/27/2022,18.87,11.94,9.08,5.75,4.68,5.05,4.45,4.61,4.59,3.47,3.61,2.37,2.32,1.82,2.25,2.02,1.97,1.53,1.67,1.56,1.39,1.31,1.43,1.22,0.0,0.0,0.0,0.0,1.11,-0.06,0.0,0.0,100.01
01/28/2022,19.02,11.92,9.11,5.65,4.62,4.92,4.44,4.67,4.63,3.5,3.63,2.37,2.32,1.84,2.27,2.05,1.99,1.54,1.69,1.49,1.37,1.3,1.41,1.2,0.0,0.0,0.0,0.0,1.08,-0.06,0.0,0.0,99.97
01/31/2022,19.47,11.91,9.05,5.74,4.7,4.85,4.41,4.61,4.57,3.46,3.56,2.35,2.3,1.79,2.27,2.03,1.93,1.53,1.68,1.52,1.38,1.31,1.39,1.2,0.0,0.0,0.0,0.0,1.08,-0.09,0.0,0.0,100.0
02/01/2022,19.19,11.97,9.12,5.76,4.6,4.86,4.42,4.65,4.57,3.48,3.56,2.34,2.32,1.8,2.3,2.03,1.94,1.53,1.7,1.53,1.38,1.31,1.4,1.2,0.0,0.0,0.0,0.0,1.09,-0.05,0.0,0.0,100.0
02/02/2022,19.19,11.97,9.12,5.76,4.6,4.86,4.42,4.65,4.57,3.48,3.56,2.34,2.32,1.8,2.3,2.03,1.94,1.53,1.7,1.53,1.38,1.31,1.4,1.2,0.0,0.0,0.0,0.0,1.09,-0.05,0.0,0.0,100.00000000000001
