,ROG.SW,NOVN.SW,ULVR.L,SIE.DE,SAN.PA,BHP.AX,ALV.DE,GSK.L,RIO.L,BATS.L,ENEL.MI,IBE.MC,7974.T,ZURN.SW,9433.T,WES.AX,BN.PA,NG.L,9434.T,RIO.AX,8001.T,9432.T,AD.AS,HOLN.SW,O39.SI,FMG.AX,8766.T,5108.T,TSCO.L,BA.L,U11.SI,2914.T,G.MI,UPM.HE,IMB.L,16.HK,Cash & Cash Equivalents,1925.T,2.HK,2503.T,III.L,SLHN.SW,11.HK,SCMN.SW,1113.HK,3407.T,8725.T,PSN.L,NN.AS,1928.T,2388.HK,8630.T,FORTUM.HE,SRG.MI,STJ.L,ASX.AX,ADEN.SW,TRN.MI,1997.HK,YAR.OL,TRYG.CO,MRW.L,ELISA.HE,SVT.L,6.HK,EN.PA,ADM.L,MNG.L,REE.MC,ELE.MC,HL.L,ORK.OL,BALN.SW,TEL2 B.ST,8795.T,LUNE.ST,EVK.DE,12.HK,S68.SI,CPU.AX,MPL.AX,ELUX B.ST,SPK.NZ,1801.T,G1A.DE,SDR.L,EVN.AX,1812.T,MFG.AX,ENG.MC,DLG.L,AZJ.AX,1802.T,83.HK,SECU B.ST,6823.HK,101.HK,ICA.ST,4042.T,ORNBV.HE,S63.SI,GJF.OL,7186.T,V03.SI,1038.HK,4732.T,4182.T,HOT.DE,MFSU1,IBE/D.MC,IBEDE.,1902025,n/a,VGU1,CFU1,Z U1,CFV1,Z Z1,VGZ1,MFSZ1,ELUXB.ST,ELUXILB.ST,SPK.AX,CFX1,ELUXB,SUM
09/02/2021,5.98,5.21,4.63,4.68,4.32,3.62,3.53,3.75,3.06,2.97,2.72,2.67,1.92,2.42,1.85,1.82,1.75,1.7,1.41,1.13,1.31,1.27,1.3,1.1,1.07,0.96,1.14,0.97,0.98,0.93,0.84,0.86,0.82,0.8,0.73,0.68,0.0,0.65,0.6,0.56,0.65,0.63,0.51,0.56,0.48,0.48,0.54,0.46,0.53,0.45,0.41,0.53,0.5,0.43,0.43,0.45,0.32,0.41,0.3,0.34,0.33,0.35,0.34,0.33,0.32,0.35,0.36,0.27,0.32,0.28,0.27,0.25,0.28,0.28,0.25,0.23,0.26,0.24,0.23,0.24,0.26,0.22,0.24,0.22,0.27,0.24,0.18,0.23,0.16,0.21,0.21,0.19,0.2,0.17,0.19,0.18,0.18,0.19,0.19,0.16,0.16,0.18,0.15,0.15,0.14,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/03/2021,6.03,5.29,4.63,4.68,4.32,3.61,3.56,3.73,3.06,3.01,2.73,2.7,1.97,2.43,1.82,1.83,1.76,1.7,1.41,1.12,1.32,1.27,1.29,1.09,1.05,0.96,1.13,0.97,1.0,0.93,0.83,0.86,0.83,0.8,0.74,0.68,0.0,0.64,0.6,0.55,0.66,0.61,0.5,0.56,0.48,0.48,0.53,0.47,0.52,0.45,0.41,0.51,0.5,0.44,0.44,0.46,0.32,0.41,0.3,0.32,0.33,0.35,0.34,0.35,0.32,0.35,0.35,0.27,0.32,0.28,0.27,0.25,0.27,0.28,0.24,0.22,0.26,0.24,0.22,0.24,0.26,0.21,0.24,0.22,0.26,0.24,0.19,0.22,0.16,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/06/2021,5.97,5.24,4.53,4.7,4.34,3.35,3.54,3.76,3.07,2.99,2.75,2.73,2.01,2.43,1.83,1.77,1.73,1.7,1.44,1.09,1.31,1.3,1.29,1.09,1.06,0.95,1.15,0.96,1.0,0.93,0.83,0.87,0.83,0.81,0.74,0.67,0.0,0.65,0.6,0.55,0.66,0.62,0.51,0.56,0.47,0.47,0.55,0.46,0.52,0.46,0.41,0.52,0.51,0.44,0.45,0.45,0.32,0.41,0.3,0.32,0.33,0.35,0.34,0.35,0.32,0.36,0.34,0.27,0.33,0.29,0.27,0.25,0.28,0.28,0.25,0.23,0.26,0.24,0.22,0.24,0.27,0.21,0.24,0.22,0.27,0.24,0.19,0.22,0.16,0.21,0.21,0.19,0.19,0.18,0.2,0.19,0.18,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,5.94,5.16,4.54,4.72,4.31,3.38,3.51,3.76,3.07,2.98,2.72,2.71,1.99,2.4,1.9,1.77,1.74,1.69,1.45,1.12,1.32,1.33,1.28,1.08,1.06,0.96,1.16,0.98,1.0,0.92,0.82,0.87,0.83,0.81,0.74,0.66,0.0,0.66,0.59,0.56,0.66,0.61,0.5,0.56,0.47,0.48,0.56,0.46,0.51,0.46,0.4,0.53,0.51,0.43,0.45,0.46,0.32,0.41,0.31,0.32,0.32,0.35,0.33,0.35,0.31,0.36,0.34,0.27,0.32,0.29,0.27,0.25,0.27,0.28,0.26,0.22,0.26,0.23,0.23,0.24,0.27,0.21,0.24,0.23,0.27,0.24,0.19,0.23,0.16,0.21,0.21,0.19,0.2,0.17,0.19,0.18,0.17,0.18,0.19,0.16,0.16,0.17,0.16,0.14,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
09/10/2021,5.9,5.11,4.55,4.84,4.28,3.35,3.53,3.74,3.04,2.99,2.68,2.67,2.04,2.39,2.0,1.76,1.71,1.67,1.49,1.09,1.35,1.39,1.28,1.01,1.07,0.82,1.18,1.01,1.01,0.91,0.83,0.88,0.84,0.82,0.74,0.66,0.0,0.68,0.59,0.57,0.65,0.61,0.5,0.56,0.45,0.49,0.56,0.46,0.52,0.47,0.41,0.54,0.51,0.43,0.45,0.45,0.32,0.4,0.31,0.3,0.32,0.35,0.34,0.35,0.31,0.36,0.34,0.26,0.32,0.28,0.27,0.25,0.27,0.29,0.26,0.23,0.26,0.23,0.23,0.24,0.27,0.21,0.24,0.23,0.28,0.24,0.19,0.23,0.16,0.2,0.21,0.19,0.2,0.17,0.2,0.18,0.17,0.18,0.19,0.16,0.16,0.17,0.16,0.14,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,5.74,5.01,4.61,4.81,4.15,3.3,3.51,3.69,2.98,2.98,2.69,2.67,2.05,2.43,2.04,1.75,1.72,1.73,1.54,1.07,1.38,1.41,1.29,1.01,1.08,0.83,1.19,1.02,1.01,0.92,0.84,0.89,0.86,0.81,0.74,0.68,0.0,0.71,0.6,0.58,0.65,0.62,0.5,0.56,0.46,0.51,0.57,0.45,0.53,0.47,0.42,0.54,0.52,0.44,0.45,0.44,0.32,0.41,0.33,0.3,0.33,0.36,0.34,0.36,0.31,0.37,0.34,0.27,0.33,0.28,0.26,0.25,0.27,0.29,0.26,0.23,0.26,0.23,0.23,0.25,0.27,0.21,0.24,0.23,0.28,0.24,0.19,0.23,0.16,0.21,0.21,0.19,0.2,0.17,0.19,0.19,0.17,0.19,0.2,0.16,0.16,0.17,0.16,0.14,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,5.74,5.01,4.61,4.81,4.15,3.3,3.51,3.69,2.98,2.98,2.69,2.67,2.05,2.43,2.04,1.75,1.72,1.73,1.54,1.07,1.38,1.41,1.29,1.01,1.08,0.83,1.19,1.02,1.01,0.92,0.84,0.89,0.86,0.81,0.74,0.68,0.0,0.71,0.6,0.58,0.65,0.62,0.5,0.56,0.46,0.51,0.57,0.45,0.53,0.47,0.42,0.54,0.52,0.44,0.45,0.44,0.32,0.41,0.33,0.3,0.33,0.36,0.34,0.36,0.31,0.37,0.34,0.27,0.33,0.28,0.26,0.25,0.27,0.29,0.26,0.23,0.26,0.23,0.23,0.25,0.27,0.21,0.24,0.23,0.28,0.24,0.19,0.23,0.16,0.21,0.21,0.19,0.2,0.17,0.19,0.19,0.17,0.19,0.2,0.16,0.16,0.17,0.16,0.14,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,5.61,4.9,4.63,4.9,4.04,3.34,3.51,3.65,3.05,2.97,2.67,2.66,2.08,2.43,2.03,1.77,1.71,1.75,1.56,1.07,1.41,1.41,1.28,1.01,1.08,0.85,1.22,1.03,1.01,0.92,0.84,0.89,0.85,0.79,0.75,0.68,0.0,0.73,0.59,0.58,0.65,0.61,0.51,0.56,0.47,0.53,0.58,0.46,0.53,0.49,0.43,0.55,0.52,0.44,0.45,0.44,0.31,0.41,0.31,0.3,0.33,0.36,0.34,0.36,0.31,0.36,0.35,0.27,0.32,0.29,0.27,0.25,0.27,0.28,0.27,0.24,0.26,0.23,0.23,0.25,0.27,0.2,0.24,0.24,0.28,0.25,0.19,0.23,0.15,0.2,0.21,0.19,0.21,0.17,0.19,0.19,0.17,0.18,0.2,0.16,0.16,0.17,0.17,0.14,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/20/2021,5.78,4.96,4.66,5.12,4.14,3.31,3.54,3.67,2.94,3.03,2.54,2.48,2.03,2.45,2.14,1.78,1.74,1.8,1.58,1.06,1.45,1.44,1.32,1.02,1.1,0.81,1.31,1.05,1.04,0.94,0.86,0.92,0.88,0.79,0.77,0.66,0.0,0.76,0.61,0.59,0.66,0.63,0.51,0.57,0.45,0.55,0.6,0.47,0.55,0.52,0.42,0.57,0.53,0.45,0.46,0.45,0.31,0.42,0.31,0.32,0.33,0.37,0.34,0.37,0.32,0.37,0.35,0.28,0.34,0.26,0.27,0.26,0.27,0.29,0.29,0.26,0.26,0.23,0.23,0.25,0.27,0.21,0.24,0.25,0.28,0.25,0.2,0.24,0.15,0.21,0.22,0.19,0.22,0.17,0.19,0.19,0.17,0.18,0.2,0.16,0.17,0.18,0.17,0.15,0.14,0.15,0.14,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,5.73,4.92,4.64,5.11,4.14,3.19,3.52,3.66,2.84,3.03,2.53,2.47,2.07,2.39,2.17,1.8,1.73,1.79,1.59,1.02,1.47,1.47,1.33,1.01,1.11,0.72,1.32,1.05,1.04,0.94,0.86,0.91,0.88,0.77,0.77,0.67,0.0,0.77,0.61,0.6,0.66,0.63,0.51,0.57,0.45,0.55,0.6,0.47,0.54,0.52,0.42,0.57,0.53,0.45,0.46,0.45,0.31,0.41,0.3,0.31,0.33,0.37,0.35,0.36,0.31,0.37,0.36,0.28,0.33,0.26,0.27,0.26,0.27,0.29,0.29,0.26,0.25,0.23,0.23,0.25,0.27,0.21,0.25,0.25,0.28,0.25,0.19,0.24,0.15,0.21,0.22,0.2,0.22,0.17,0.19,0.2,0.17,0.18,0.19,0.16,0.17,0.18,0.17,0.15,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/24/2021,5.78,4.99,4.76,5.04,4.21,3.09,3.49,3.75,2.77,3.05,2.53,2.49,2.11,2.38,2.15,1.81,1.75,1.78,1.58,0.99,1.45,1.46,1.35,0.98,1.11,0.7,1.33,1.06,1.05,0.94,0.86,0.91,0.89,0.76,0.77,0.62,0.0,0.76,0.61,0.6,0.67,0.62,0.5,0.58,0.43,0.55,0.61,0.47,0.53,0.51,0.41,0.56,0.52,0.45,0.45,0.45,0.31,0.42,0.3,0.31,0.33,0.37,0.35,0.37,0.32,0.37,0.35,0.27,0.35,0.27,0.27,0.26,0.27,0.29,0.29,0.25,0.26,0.21,0.23,0.25,0.27,0.2,0.25,0.24,0.28,0.24,0.19,0.23,0.14,0.22,0.21,0.2,0.21,0.16,0.19,0.2,0.17,0.19,0.19,0.17,0.17,0.18,0.17,0.15,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/27/2021,5.79,4.96,4.73,5.15,4.21,3.15,3.54,3.73,2.86,3.05,2.58,2.47,2.09,2.41,2.09,1.81,1.74,1.74,1.52,1.03,1.36,1.42,1.35,0.99,1.1,0.74,1.29,1.03,1.06,0.94,0.85,0.9,0.9,0.78,0.77,0.63,0.0,0.74,0.61,0.58,0.68,0.63,0.5,0.58,0.43,0.53,0.59,0.46,0.54,0.5,0.41,0.55,0.53,0.45,0.45,0.45,0.31,0.42,0.31,0.33,0.33,0.37,0.35,0.36,0.32,0.37,0.35,0.28,0.35,0.26,0.26,0.27,0.27,0.3,0.29,0.27,0.26,0.21,0.23,0.26,0.27,0.21,0.25,0.24,0.28,0.24,0.19,0.22,0.15,0.22,0.21,0.19,0.21,0.17,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.16,0.14,0.14,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/28/2021,5.79,4.96,4.73,5.15,4.21,3.15,3.54,3.73,2.86,3.05,2.58,2.47,2.09,2.41,2.09,1.81,1.74,1.74,1.52,1.03,1.36,1.42,1.35,0.99,1.1,0.74,1.29,1.03,1.06,0.94,0.85,0.9,0.9,0.78,0.77,0.63,0.0,0.74,0.61,0.58,0.68,0.63,0.5,0.58,0.43,0.53,0.59,0.46,0.54,0.5,0.41,0.55,0.53,0.45,0.45,0.45,0.31,0.42,0.31,0.33,0.33,0.37,0.35,0.36,0.32,0.37,0.35,0.28,0.35,0.26,0.26,0.27,0.27,0.3,0.29,0.27,0.26,0.21,0.23,0.26,0.27,0.21,0.25,0.24,0.28,0.24,0.19,0.22,0.15,0.22,0.21,0.19,0.21,0.17,0.19,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.16,0.14,0.14,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/30/2021,5.72,4.94,4.72,5.06,4.19,3.11,3.62,3.68,2.84,3.07,2.54,2.44,2.12,2.42,2.12,1.82,1.74,1.7,1.58,1.05,1.38,1.43,1.35,1.01,1.12,0.75,1.34,1.06,1.05,0.96,0.86,0.91,0.93,0.76,0.77,0.61,0.0,0.75,0.61,0.6,0.66,0.63,0.5,0.57,0.43,0.54,0.6,0.46,0.54,0.51,0.41,0.56,0.53,0.44,0.44,0.46,0.31,0.41,0.3,0.34,0.33,0.37,0.34,0.35,0.31,0.38,0.34,0.29,0.34,0.26,0.26,0.27,0.28,0.29,0.3,0.28,0.26,0.2,0.23,0.28,0.28,0.21,0.24,0.24,0.28,0.24,0.18,0.23,0.15,0.22,0.21,0.19,0.21,0.17,0.2,0.19,0.17,0.18,0.18,0.17,0.17,0.18,0.17,0.14,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,5.68,4.94,4.77,4.97,4.21,3.05,3.62,3.66,2.82,3.09,2.52,2.41,2.09,2.41,2.14,1.79,1.74,1.67,1.59,1.02,1.41,1.44,1.36,1.0,1.11,0.71,1.35,1.08,1.05,0.96,0.87,0.92,0.92,0.75,0.78,0.62,0.0,0.77,0.61,0.6,0.66,0.63,0.51,0.58,0.44,0.55,0.61,0.45,0.54,0.52,0.42,0.57,0.53,0.44,0.43,0.44,0.31,0.4,0.31,0.33,0.33,0.37,0.34,0.34,0.31,0.38,0.32,0.28,0.34,0.26,0.27,0.27,0.28,0.29,0.3,0.28,0.26,0.21,0.23,0.28,0.28,0.21,0.24,0.25,0.27,0.24,0.17,0.23,0.14,0.22,0.21,0.19,0.21,0.17,0.2,0.2,0.17,0.18,0.19,0.16,0.17,0.18,0.17,0.15,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/04/2021,5.84,4.99,4.76,4.91,4.26,3.12,3.63,3.72,2.9,2.98,2.44,2.32,2.09,2.41,2.09,1.78,1.74,1.65,1.52,1.05,1.37,1.39,1.36,0.99,1.12,0.72,1.32,1.06,1.04,0.96,0.88,0.92,0.93,0.75,0.78,0.64,0.0,0.74,0.62,0.6,0.66,0.64,0.51,0.59,0.45,0.53,0.59,0.45,0.53,0.51,0.43,0.55,0.53,0.44,0.43,0.44,0.31,0.39,0.33,0.34,0.32,0.37,0.35,0.34,0.32,0.38,0.32,0.28,0.34,0.25,0.27,0.28,0.28,0.3,0.29,0.29,0.26,0.21,0.23,0.28,0.28,0.21,0.25,0.24,0.28,0.24,0.18,0.23,0.14,0.22,0.21,0.2,0.21,0.17,0.2,0.2,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.15,0.14,0.15,0.12,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/07/2021,6.05,5.02,4.75,4.73,4.29,3.1,3.65,3.71,2.88,2.98,2.49,2.33,1.94,2.42,2.08,1.78,1.72,1.71,1.52,1.04,1.33,1.41,1.38,1.0,1.13,0.7,1.33,1.04,1.04,0.97,0.89,0.92,0.93,0.75,0.79,0.64,0.0,0.73,0.61,0.61,0.65,0.64,0.52,0.6,0.45,0.51,0.59,0.44,0.55,0.5,0.43,0.56,0.55,0.44,0.42,0.44,0.31,0.4,0.33,0.35,0.32,0.37,0.35,0.35,0.32,0.37,0.32,0.28,0.35,0.26,0.27,0.28,0.28,0.29,0.29,0.3,0.26,0.22,0.23,0.28,0.28,0.0,0.25,0.25,0.28,0.23,0.19,0.23,0.14,0.22,0.21,0.2,0.21,0.17,0.2,0.2,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.0,100.01
10/08/2021,5.98,4.98,4.73,4.8,4.31,3.07,3.7,3.73,2.88,2.97,2.51,2.36,1.9,2.42,2.05,1.77,1.71,1.73,1.5,1.04,1.32,1.41,1.41,0.99,1.12,0.69,1.31,1.03,1.05,0.97,0.89,0.92,0.95,0.75,0.79,0.64,0.0,0.72,0.62,0.61,0.66,0.65,0.52,0.6,0.45,0.51,0.58,0.44,0.56,0.49,0.44,0.55,0.56,0.44,0.43,0.44,0.31,0.4,0.34,0.34,0.32,0.37,0.35,0.35,0.32,0.37,0.33,0.28,0.35,0.26,0.27,0.28,0.28,0.29,0.3,0.3,0.26,0.22,0.22,0.28,0.28,0.0,0.24,0.25,0.28,0.23,0.19,0.23,0.13,0.22,0.21,0.21,0.21,0.17,0.2,0.2,0.17,0.19,0.18,0.17,0.17,0.18,0.17,0.14,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.0,99.96
10/11/2021,6.12,5.01,4.64,4.74,4.29,3.07,3.68,3.74,2.95,2.93,2.52,2.51,1.96,2.43,2.04,1.75,1.7,1.69,1.51,1.03,1.33,1.4,1.38,0.99,1.12,0.67,1.32,1.03,1.13,0.97,0.89,0.92,0.94,0.75,0.76,0.66,0.0,0.72,0.62,0.61,0.66,0.65,0.53,0.59,0.46,0.5,0.58,0.43,0.55,0.5,0.44,0.55,0.53,0.43,0.42,0.44,0.32,0.4,0.34,0.33,0.33,0.37,0.35,0.35,0.32,0.37,0.32,0.28,0.35,0.27,0.27,0.27,0.28,0.29,0.29,0.29,0.26,0.23,0.22,0.28,0.28,0.0,0.24,0.24,0.28,0.23,0.19,0.23,0.13,0.22,0.2,0.21,0.21,0.18,0.2,0.2,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.15,0.14,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,100.04
10/14/2021,6.2,4.99,4.61,4.68,4.31,3.2,3.68,3.7,3.02,2.92,2.46,2.46,1.96,2.43,2.04,1.76,1.66,1.66,1.5,1.09,1.35,1.38,1.36,0.97,1.13,0.73,1.32,1.03,1.11,0.99,0.89,0.91,0.94,0.75,0.77,0.66,0.0,0.73,0.61,0.59,0.66,0.64,0.55,0.59,0.45,0.51,0.58,0.43,0.55,0.5,0.45,0.55,0.53,0.43,0.41,0.44,0.32,0.39,0.35,0.34,0.32,0.36,0.35,0.35,0.31,0.36,0.31,0.28,0.35,0.26,0.28,0.27,0.28,0.28,0.29,0.3,0.26,0.23,0.22,0.28,0.28,0.0,0.24,0.24,0.28,0.23,0.19,0.22,0.13,0.22,0.2,0.21,0.21,0.18,0.2,0.19,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.15,0.14,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,100.01
10/18/2021,6.09,4.96,4.62,4.82,4.26,3.18,3.61,3.72,3.02,2.98,2.52,2.53,1.95,2.45,2.01,1.76,1.69,1.69,1.48,1.07,1.32,1.36,1.31,0.97,1.15,0.7,1.28,1.02,1.09,1.01,0.9,0.93,0.93,0.73,0.78,0.65,0.0,0.72,0.61,0.58,0.67,0.64,0.55,0.59,0.45,0.51,0.55,0.45,0.55,0.5,0.45,0.53,0.54,0.43,0.43,0.44,0.32,0.4,0.35,0.34,0.33,0.36,0.35,0.35,0.31,0.35,0.3,0.28,0.35,0.27,0.28,0.28,0.28,0.29,0.28,0.31,0.26,0.23,0.22,0.28,0.28,0.19,0.0,0.24,0.28,0.24,0.2,0.22,0.13,0.22,0.2,0.21,0.21,0.18,0.2,0.19,0.17,0.18,0.17,0.17,0.18,0.18,0.17,0.15,0.14,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,99.96999999999998
10/19/2021,6.11,4.96,4.59,4.8,4.23,3.25,3.64,3.71,2.98,2.98,2.5,2.48,1.93,2.45,2.03,1.76,1.67,1.68,1.48,1.06,1.33,1.36,1.3,0.97,1.14,0.71,1.3,1.02,1.1,1.02,0.9,0.94,0.93,0.73,0.79,0.65,0.0,0.73,0.6,0.58,0.68,0.65,0.56,0.59,0.46,0.52,0.56,0.46,0.55,0.5,0.45,0.54,0.53,0.43,0.43,0.44,0.32,0.4,0.35,0.34,0.33,0.36,0.35,0.34,0.31,0.35,0.31,0.27,0.34,0.27,0.28,0.27,0.28,0.29,0.28,0.31,0.26,0.23,0.22,0.28,0.28,0.19,0.0,0.24,0.28,0.24,0.2,0.22,0.13,0.22,0.2,0.21,0.21,0.18,0.21,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.17,0.16,0.14,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,100.01999999999998
10/29/2021,6.04,5.29,4.63,4.68,4.32,3.62,3.56,3.73,3.06,3.01,2.73,2.7,1.97,2.43,1.82,1.83,1.76,1.7,1.41,1.12,1.32,1.27,1.3,1.09,1.05,0.96,1.13,0.97,1.0,0.93,0.83,0.86,0.83,0.8,0.74,0.68,0.0,0.64,0.6,0.55,0.66,0.61,0.5,0.56,0.48,0.48,0.53,0.47,0.52,0.45,0.41,0.52,0.5,0.44,0.44,0.46,0.32,0.41,0.3,0.32,0.33,0.35,0.34,0.35,0.32,0.35,0.35,0.27,0.32,0.28,0.27,0.25,0.27,0.28,0.24,0.22,0.26,0.24,0.22,0.24,0.26,0.0,0.0,0.22,0.26,0.24,0.19,0.22,0.16,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.18,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.21,99.28
