,AAPL,FB,MTB,IBM,NVDA,DHR,SBUX,COST,MCO,DIS,APH,LRCX,AVY,ADBE,NFLX,AMT,SYK,ED,CRM,CL,PGR,PLD,XYL,INFO,IFF,CARR,KMB,ROST,ALXN,KLAC,KMX,RE,FLT,EXPD,IQV,IT,WLTW,WU,CDW,NLSN,A,EA,ALLE,PAYX,CTLT,PVH,VTR,AMD,HAS,LYV,MKC,NTAP,OMC,INCY,NLOK,WDC,HSIC,DISCA,UAA,HRL,Cash & Cash Equivalents,Cash,Discovery Inc Class A,Under Armour Inc A,n/a,KD WI,SUM
11/03/2021,4.97,4.21,5.39,4.59,3.21,3.08,3.07,3.69,3.21,2.9,4.1,1.81,2.84,4.36,1.79,1.99,2.12,2.2,2.82,1.87,1.94,2.27,2.0,2.1,2.43,1.77,1.16,1.63,0.0,1.64,0.98,1.3,1.1,0.95,1.44,1.14,1.16,0.76,0.89,0.46,0.53,0.43,0.43,0.6,0.17,0.64,0.46,0.69,0.24,0.42,0.0,0.58,0.75,0.55,0.3,0.49,0.17,0.41,0.29,0.04,0.0,0.0,0.0,0.0,0.47,0.0,100.0
11/04/2021,4.89,4.31,5.37,4.57,3.3,3.16,2.89,3.71,3.19,2.9,4.11,1.81,2.88,4.45,1.84,1.97,2.1,2.18,2.84,1.85,1.93,2.25,1.99,2.13,2.42,1.71,1.15,1.64,0.0,1.73,0.99,1.27,1.08,0.96,1.47,1.16,1.13,0.75,0.89,0.45,0.53,0.43,0.43,0.6,0.18,0.64,0.45,0.68,0.23,0.42,0.0,0.57,0.74,0.56,0.3,0.45,0.18,0.4,0.29,0.04,0.0,0.0,0.0,0.0,0.47,0.0,100.01000000000002
11/05/2021,4.84,4.38,5.55,4.59,3.32,3.12,2.97,3.69,3.1,2.9,4.1,1.83,2.89,4.35,1.8,1.96,2.11,2.19,2.86,1.84,1.91,2.24,1.96,2.06,2.35,1.7,1.15,1.64,0.0,1.75,1.0,1.29,1.09,0.98,1.45,1.14,1.1,0.77,0.89,0.47,0.53,0.44,0.43,0.59,0.18,0.66,0.46,0.71,0.23,0.43,0.0,0.58,0.75,0.57,0.3,0.46,0.18,0.41,0.29,0.04,0.0,0.0,0.0,0.0,0.43,0.0,100.0
11/08/2021,4.85,4.33,5.56,4.57,3.37,3.14,3.0,3.71,3.06,2.88,4.13,1.82,2.83,4.34,1.79,1.95,2.14,2.19,2.85,1.84,1.9,2.26,1.95,2.05,2.35,1.7,1.16,1.64,0.0,1.78,1.04,1.32,1.05,0.94,1.44,1.17,1.09,0.74,0.89,0.46,0.53,0.43,0.44,0.6,0.17,0.66,0.45,0.72,0.23,0.44,0.0,0.57,0.73,0.52,0.29,0.47,0.18,0.41,0.33,0.04,0.0,0.0,0.0,0.0,0.5,0.0,99.99
11/09/2021,4.82,4.38,5.5,4.32,3.76,3.03,2.98,3.8,3.01,2.85,4.14,1.88,2.82,4.5,1.74,1.9,2.09,2.15,2.86,1.84,1.88,2.25,1.94,2.02,2.28,1.69,1.14,1.66,0.0,1.85,1.07,1.28,1.03,1.0,1.4,1.13,1.05,0.72,0.86,0.46,0.52,0.43,0.43,0.59,0.16,0.69,0.43,0.76,0.23,0.44,0.0,0.57,0.72,0.55,0.29,0.46,0.18,0.42,0.33,0.04,0.0,0.0,0.0,0.0,0.5,0.19,100.01
11/10/2021,4.82,4.38,5.5,4.32,3.76,3.03,2.98,3.8,3.01,2.85,4.14,1.88,2.82,4.5,1.74,1.9,2.09,2.15,2.86,1.84,1.88,2.25,1.94,2.02,2.28,1.69,1.14,1.66,0.0,1.85,1.07,1.28,1.03,1.0,1.4,1.13,1.05,0.72,0.86,0.46,0.52,0.43,0.43,0.59,0.16,0.69,0.43,0.76,0.23,0.44,0.0,0.57,0.72,0.55,0.29,0.46,0.18,0.42,0.33,0.04,0.0,0.0,0.0,0.0,0.5,0.19,100.01
11/11/2021,4.81,4.42,5.51,4.4,3.73,2.88,3.1,3.78,2.98,2.93,4.24,1.91,2.92,4.42,1.69,1.89,2.11,2.19,2.84,1.85,1.88,2.22,1.94,2.01,2.3,1.67,1.14,1.67,0.0,1.89,1.08,1.29,1.05,0.95,1.36,1.12,1.06,0.72,0.86,0.46,0.51,0.42,0.43,0.59,0.15,0.7,0.44,0.75,0.23,0.5,0.0,0.57,0.72,0.55,0.28,0.46,0.18,0.43,0.32,0.04,0.0,0.0,0.0,0.0,0.49,0.0,100.03000000000002
11/12/2021,4.78,4.39,5.56,4.43,3.86,2.97,3.05,3.71,2.98,2.95,4.25,1.9,2.92,4.44,1.7,1.89,2.11,2.15,2.87,1.84,1.89,2.24,1.97,2.0,2.36,1.69,1.14,1.66,0.0,1.87,1.08,1.29,1.06,0.95,1.39,1.12,1.06,0.73,0.85,0.45,0.53,0.41,0.43,0.58,0.15,0.7,0.43,0.83,0.23,0.47,0.0,0.57,0.73,0.54,0.29,0.46,0.17,0.43,0.31,0.04,0.0,0.0,0.0,0.0,0.16,0.0,100.01
11/15/2021,4.79,4.34,5.49,4.29,3.84,2.94,3.02,3.74,3.01,2.92,4.28,1.94,2.93,4.45,1.71,1.9,2.1,2.17,2.86,1.85,1.87,2.24,1.97,2.01,2.45,1.73,1.14,1.67,0.0,1.89,1.08,1.28,1.05,0.95,1.39,1.14,1.06,0.72,0.86,0.46,0.52,0.42,0.43,0.58,0.15,0.7,0.43,0.82,0.23,0.47,0.0,0.57,0.73,0.54,0.28,0.46,0.17,0.44,0.31,0.04,0.0,0.0,0.0,0.0,0.16,0.0,99.98
11/16/2021,4.79,4.34,5.49,4.29,3.84,2.94,3.02,3.74,3.01,2.92,4.28,1.94,2.93,4.45,1.71,1.9,2.1,2.17,2.86,1.85,1.87,2.24,1.97,2.01,2.45,1.73,1.14,1.67,0.0,1.89,1.08,1.28,1.05,0.95,1.39,1.14,1.06,0.72,0.86,0.46,0.52,0.42,0.43,0.58,0.15,0.7,0.43,0.82,0.23,0.47,0.0,0.57,0.73,0.54,0.28,0.46,0.17,0.44,0.31,0.04,0.0,0.0,0.0,0.0,0.16,0.0,99.98
11/17/2021,4.79,4.34,5.49,4.29,3.84,2.94,3.02,3.74,3.01,2.92,4.28,1.94,2.93,4.45,1.71,1.9,2.1,2.17,2.86,1.85,1.87,2.24,1.97,2.01,2.45,1.73,1.14,1.67,0.0,1.89,1.08,1.28,1.05,0.95,1.39,1.14,1.06,0.72,0.86,0.46,0.52,0.42,0.43,0.58,0.15,0.7,0.43,0.82,0.23,0.47,0.0,0.57,0.73,0.54,0.28,0.46,0.17,0.44,0.31,0.04,0.0,0.0,0.0,0.0,0.16,0.0,99.98
11/18/2021,4.75,4.29,5.6,4.32,3.73,3.0,3.03,3.75,3.01,2.94,4.33,1.91,2.9,4.35,1.7,1.89,2.09,2.2,2.8,1.88,1.9,2.27,1.97,1.99,2.44,1.74,1.17,1.67,0.0,1.85,1.07,1.28,1.06,0.96,1.4,1.12,1.07,0.74,0.88,0.46,0.53,0.42,0.43,0.59,0.15,0.69,0.45,0.78,0.23,0.47,0.0,0.57,0.73,0.53,0.29,0.46,0.18,0.45,0.32,0.04,0.0,0.0,0.0,0.0,0.16,0.0,99.98
11/19/2021,4.78,4.51,5.7,4.23,3.77,2.95,2.97,3.83,3.01,2.65,4.43,1.97,2.9,4.4,1.78,1.77,2.01,2.2,2.83,1.86,1.85,2.28,1.92,2.04,2.44,1.76,1.16,1.62,0.0,1.88,1.05,1.3,1.04,0.98,1.39,1.13,1.05,0.71,0.88,0.47,0.52,0.42,0.44,0.59,0.16,0.69,0.44,0.81,0.23,0.47,0.0,0.55,0.73,0.53,0.29,0.49,0.17,0.46,0.33,0.04,0.0,0.0,0.0,0.0,0.19,0.0,100.05
11/22/2021,4.15,3.84,4.92,3.64,3.27,2.6,2.57,3.34,2.67,2.29,3.83,1.71,2.51,3.86,1.55,1.52,1.73,1.87,2.45,1.6,1.59,1.95,1.67,1.81,2.11,1.54,1.0,1.39,0.0,1.65,0.9,1.13,0.88,0.85,1.28,0.97,0.91,0.6,0.78,0.41,0.46,0.36,0.38,0.51,0.14,0.61,0.38,0.73,0.2,0.4,0.0,0.48,0.62,0.46,0.25,0.42,0.15,0.39,0.29,0.03,0.0,0.0,0.0,0.0,13.43,0.0,100.03
11/23/2021,4.15,3.84,4.92,3.64,3.27,2.6,2.57,3.34,2.67,2.29,3.83,1.71,2.51,3.86,1.55,1.52,1.73,1.87,2.45,1.6,1.59,1.95,1.67,1.81,2.11,1.54,1.0,1.39,0.0,1.65,0.9,1.13,0.88,0.85,1.28,0.97,0.91,0.6,0.78,0.41,0.46,0.36,0.38,0.51,0.14,0.61,0.38,0.73,0.2,0.4,0.0,0.48,0.62,0.46,0.25,0.42,0.15,0.39,0.29,0.03,0.0,0.0,0.0,0.0,13.43,0.0,100.03
11/24/2021,5.01,4.38,5.65,4.14,3.96,3.07,2.98,3.88,3.03,2.59,4.41,1.98,2.83,4.45,1.77,1.75,1.98,2.16,2.79,1.81,1.78,2.27,1.92,2.06,2.39,1.8,1.14,1.67,0.0,1.91,1.02,1.29,0.97,0.96,1.47,1.13,1.04,0.67,0.9,0.46,0.53,0.41,0.44,0.59,0.16,0.69,0.43,0.85,0.23,0.46,0.0,0.54,0.71,0.52,0.28,0.46,0.17,0.44,0.34,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.04
11/25/2021,5.08,4.46,5.57,4.11,4.12,3.08,2.92,3.9,2.97,2.56,4.42,2.0,2.81,4.56,1.76,1.76,2.01,2.17,2.77,1.82,1.77,2.26,1.9,2.04,2.39,1.8,1.15,1.57,0.0,1.9,1.03,1.25,0.97,0.97,1.47,1.12,1.06,0.66,0.9,0.45,0.53,0.39,0.43,0.59,0.16,0.66,0.41,0.85,0.23,0.45,0.0,0.53,0.7,0.52,0.28,0.46,0.17,0.41,0.34,0.04,0.0,0.0,0.0,0.0,0.28,0.0,99.94
11/26/2021,5.12,4.42,5.73,4.14,4.01,3.09,2.95,3.96,2.95,2.57,4.39,2.02,2.82,4.48,1.72,1.75,1.99,2.2,2.74,1.84,1.81,2.28,1.89,2.03,2.39,1.78,1.17,1.55,0.0,1.85,1.03,1.29,0.96,0.98,1.48,1.08,1.07,0.68,0.9,0.46,0.53,0.38,0.43,0.59,0.16,0.68,0.41,0.84,0.24,0.45,0.0,0.54,0.72,0.51,0.28,0.47,0.17,0.42,0.32,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.03
11/29/2021,5.12,4.36,5.74,4.15,3.98,3.08,3.0,4.0,2.97,2.52,4.41,2.06,2.85,4.42,1.7,1.78,1.95,2.21,2.69,1.84,1.85,2.3,1.87,2.03,2.36,1.73,1.17,1.61,0.0,1.86,1.02,1.31,0.97,0.97,1.46,1.09,1.07,0.67,0.9,0.46,0.5,0.38,0.43,0.59,0.16,0.68,0.41,0.82,0.23,0.46,0.0,0.54,0.73,0.51,0.28,0.5,0.17,0.42,0.31,0.04,0.0,0.0,0.0,0.0,0.28,0.0,99.97
11/30/2021,5.12,4.39,5.7,4.13,4.08,3.09,3.0,4.02,3.0,2.51,4.37,2.05,2.81,4.42,1.7,1.79,1.94,2.2,2.66,1.83,1.87,2.32,1.84,2.05,2.35,1.75,1.16,1.61,0.0,1.86,1.03,1.3,0.98,0.95,1.46,1.09,1.07,0.66,0.92,0.45,0.5,0.38,0.43,0.59,0.16,0.67,0.41,0.86,0.23,0.45,0.0,0.56,0.72,0.53,0.28,0.49,0.17,0.41,0.31,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.0
12/01/2021,5.12,4.39,5.7,4.13,4.08,3.09,3.0,4.02,3.0,2.51,4.37,2.05,2.81,4.42,1.7,1.79,1.94,2.2,2.66,1.83,1.87,2.32,1.84,2.05,2.35,1.75,1.16,1.61,0.0,1.86,1.03,1.3,0.98,0.95,1.46,1.09,1.07,0.66,0.92,0.45,0.5,0.38,0.43,0.59,0.16,0.67,0.41,0.86,0.23,0.45,0.0,0.56,0.72,0.53,0.28,0.49,0.17,0.41,0.31,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.0
12/02/2021,5.07,4.38,5.56,4.19,4.01,3.24,2.98,4.08,3.0,2.51,4.32,2.04,2.8,4.48,1.76,1.81,1.89,2.23,2.67,1.86,1.89,2.3,1.84,2.05,2.35,1.78,1.18,1.56,0.0,1.83,1.04,1.28,0.94,0.95,1.47,1.1,1.06,0.66,0.89,0.45,0.5,0.38,0.43,0.59,0.17,0.64,0.41,0.87,0.24,0.43,0.0,0.56,0.72,0.56,0.29,0.48,0.17,0.41,0.31,0.04,0.0,0.0,0.0,0.0,0.3,0.0,100.0
12/06/2021,5.44,4.18,5.31,4.32,4.1,3.27,2.99,4.04,3.04,2.47,4.33,2.25,2.72,4.54,1.67,1.83,1.9,2.26,2.41,1.86,1.9,2.38,1.82,2.07,2.35,1.76,1.18,1.52,0.0,1.94,1.02,1.26,0.9,0.97,1.49,1.07,1.08,0.67,0.88,0.43,0.5,0.37,0.41,0.58,0.16,0.62,0.38,0.85,0.24,0.43,0.0,0.58,0.73,0.54,0.28,0.49,0.16,0.38,0.3,0.04,0.0,0.0,0.0,0.0,0.31,0.0,99.97000000000001
