,LLY,MRK,GILD,ABBV,AMGN,ABT,PFE,JNJ,BIIB,REGN,EBS,LGND,INVA,PBH,ALXN,HTD.,TARO,JAZZ,PRGO,SUPN,HZNP,UTHR,BHC.TO,PCRX,ENDP,AGPXX,CORT,Endo International PLC,Securities Lending - Bnym,Cash/Receivables/Payables,Interest/Overdraft,AZN,Bausch Health Companies Inc,n/a,688008.SS,BHC,ENTA,TVTX,SUM
11/22/2021,5.9,6.52,5.57,5.86,5.51,6.28,6.17,5.58,2.8,3.59,2.44,5.22,0.0,4.01,0.0,0.0,2.94,3.79,3.93,5.09,3.71,3.69,3.47,3.65,0.0,0.14,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/23/2021,5.9,6.52,5.57,5.86,5.51,6.28,6.17,5.58,2.8,3.59,2.44,5.22,0.0,4.01,0.0,0.0,2.94,3.79,3.93,5.09,3.71,3.69,3.47,3.65,0.0,0.14,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/24/2021,6.06,6.34,5.81,5.93,5.61,6.17,6.41,5.67,2.79,3.69,2.42,5.3,0.0,3.85,0.0,0.0,2.96,3.56,3.8,5.04,3.74,3.7,3.44,3.61,0.0,0.01,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/25/2021,6.08,6.45,5.94,5.93,5.55,6.13,6.5,5.59,2.75,3.66,2.42,5.44,0.0,3.93,0.0,0.0,2.94,3.61,3.64,4.92,3.7,3.68,3.39,3.55,0.0,0.01,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/26/2021,6.1,6.52,5.98,6.08,5.58,6.07,6.46,5.61,2.76,3.68,2.58,5.26,0.0,3.88,0.0,0.0,2.99,3.6,3.63,4.84,3.66,3.71,3.45,3.53,0.0,0.01,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
11/29/2021,6.11,6.49,5.95,6.08,5.57,6.11,6.45,5.6,2.72,3.68,2.62,5.3,0.0,3.94,0.0,0.0,2.92,3.61,3.6,4.83,3.67,3.7,3.46,3.53,0.0,0.01,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/30/2021,6.17,6.34,6.05,6.06,5.58,6.25,6.95,5.65,2.68,3.71,2.72,5.23,0.0,3.8,0.0,0.0,2.95,3.51,3.56,4.7,3.71,3.63,3.4,3.41,0.0,0.01,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/01/2021,6.17,6.34,6.05,6.06,5.58,6.25,6.95,5.65,2.68,3.71,2.72,5.23,0.0,3.8,0.0,0.0,2.95,3.51,3.56,4.7,3.71,3.63,3.4,3.41,0.0,0.01,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
12/02/2021,6.1,6.06,6.15,6.14,5.7,6.41,6.81,5.73,2.63,3.81,2.62,5.23,0.0,3.8,0.0,0.0,3.01,3.5,3.56,4.72,3.66,3.67,3.39,3.41,0.0,0.01,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
12/06/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/07/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/08/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/09/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/10/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/13/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/14/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/15/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/16/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/17/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/20/2021,5.42,5.16,5.67,5.76,5.65,5.84,5.9,5.6,3.04,3.31,3.6,3.18,0.0,3.27,0.0,0.0,3.26,3.18,3.07,3.22,3.3,3.2,3.08,3.31,2.91,0.04,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,3.21,100.02
12/21/2021,5.7,5.15,5.73,6.21,6.09,6.07,6.45,5.85,3.08,3.15,3.7,2.89,0.0,3.27,0.0,0.0,3.05,3.17,3.14,2.89,3.22,3.22,3.18,3.46,2.03,0.11,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3.31,100.02
