,AOT-R.BK,TRNFP.ME,UGR.,G9N.,384.HK,ASR,KEP,916.HK,1193.HK,CCRO3.SA,ENIA,270.HK,2883.HK,135.HK,G7A.,144.HK,EBR,CIG,152.HK,HKD,836.HK,SAJA.,1816.HK,956.HK,177.HK,1199.HK,576.HK,694.HK,1138.HK,006120.KS,548,HBCFT,XTSLA,USD,KRW,BRL,CZK,TRY,PHP,MYR,MXN,IDR,RUB,MESU1,UGP,PAC,OMAB,SBS,956,1138,548.HK,MESZ1,SUM
11/04/2021,10.43,7.23,3.63,6.52,4.74,5.73,3.92,6.09,3.78,3.17,1.79,2.98,3.77,2.89,2.41,3.32,1.81,2.06,2.2,0.17,3.96,1.74,2.24,3.02,1.72,1.99,1.8,1.5,1.19,1.0,0.0,0.03,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,99.99
11/05/2021,10.69,7.16,3.58,6.56,4.82,5.72,4.02,6.06,3.73,3.21,1.78,3.02,3.73,2.81,2.43,3.26,1.81,2.02,2.15,0.17,3.94,1.73,2.24,2.94,1.73,1.96,1.78,1.51,1.16,1.05,0.0,0.03,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,99.97
11/08/2021,10.5,6.99,3.49,6.88,4.48,5.86,3.97,6.35,3.68,3.33,1.89,2.98,3.65,2.76,2.46,3.14,1.73,2.08,2.14,0.17,4.02,1.76,2.34,3.15,1.69,1.93,1.76,1.47,1.15,1.02,0.0,0.03,0.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,100.0
11/09/2021,10.67,7.0,3.58,7.01,4.5,6.01,4.09,6.13,3.62,3.45,1.91,2.92,3.52,2.71,2.49,3.08,1.83,2.15,2.1,0.17,3.8,1.82,2.27,2.97,1.7,1.96,1.76,1.45,1.09,1.01,0.0,0.03,0.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,100.0
11/10/2021,10.67,7.0,3.58,7.01,4.5,6.01,4.09,6.13,3.62,3.45,1.91,2.92,3.52,2.71,2.49,3.08,1.83,2.15,2.1,0.17,3.8,1.82,2.27,2.97,1.7,1.96,1.76,1.45,1.09,1.01,0.0,0.03,0.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,100.0
11/11/2021,11.08,7.07,3.57,6.96,4.62,5.98,4.11,5.73,3.63,3.36,1.9,3.0,3.66,2.76,2.53,3.03,1.81,2.12,2.11,0.17,3.69,1.78,2.21,2.77,1.71,1.95,1.77,1.57,1.11,1.02,0.0,0.03,0.13,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,99.97
11/12/2021,10.94,7.03,3.72,7.06,4.57,5.98,4.02,5.78,3.61,3.4,1.9,3.06,3.61,2.76,2.53,3.09,1.85,2.16,2.12,0.17,3.69,1.8,2.18,2.78,1.68,1.94,1.75,1.55,1.09,1.02,0.0,0.03,0.13,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,100.02
11/15/2021,10.91,7.04,3.91,6.89,4.5,5.96,4.0,5.45,3.45,3.58,1.93,3.08,3.59,2.81,2.62,3.06,1.95,2.32,2.2,0.17,3.53,1.89,2.14,2.62,1.76,1.98,1.79,1.56,1.12,1.01,0.0,0.03,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,100.02
11/16/2021,10.91,7.04,3.91,6.89,4.5,5.96,4.0,5.45,3.45,3.58,1.93,3.08,3.59,2.81,2.62,3.06,1.95,2.32,2.2,0.17,3.53,1.89,2.14,2.62,1.76,1.98,1.79,1.56,1.12,1.01,0.0,0.03,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,100.02
11/17/2021,10.98,6.86,3.93,6.84,4.43,5.95,4.04,5.62,3.43,3.55,1.91,3.08,3.59,2.77,2.62,3.12,1.92,2.28,2.21,0.17,3.55,1.82,2.2,2.71,1.77,1.99,1.78,1.52,1.13,1.03,0.0,0.0,0.06,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,100.0
