,VCSH,PULS,CMBS,VCLT,EMLC,VTV,SCHP,TLH,SPHY,NFRA,BCI,GQRE,ACWV,VCIT,BAR,VYMI,SMMV,MXI,VIGI,RYT,DVYE,LOW,SUSC,LDEM,HD,JEPI,SHW,ZG,SWK,CARR,n/a,TOL,LEN.B,WSM,MAS,OC,FND,WHR,TREX,PHM,GBTC,ETHE,VNQI,TDV,IGSB,SCHY,XLU,DHI,DGRO,CHRW,IGIB,SUM
01/10/2022,10.7,0.0,8.34,6.8,6.51,5.89,4.98,0.0,9.32,0.0,2.65,0.0,3.77,6.84,2.01,0.0,2.0,1.99,0.0,0.0,1.08,0.95,0.98,0.91,0.99,0.0,0.54,0.0,0.47,0.37,1.52,0.7,0.62,0.38,0.62,0.57,0.48,0.38,0.5,0.4,0.04,0.0,1.7,1.56,4.25,3.03,1.71,0.54,2.91,0.0,0.0,100.0
01/11/2022,10.72,0.0,8.35,6.77,6.56,8.87,4.98,0.0,9.33,0.0,2.67,0.0,3.78,6.84,2.03,0.0,2.0,2.01,0.0,0.0,1.09,0.92,0.98,0.92,0.97,0.0,0.53,0.0,0.46,0.36,1.52,0.67,0.59,0.37,0.6,0.55,0.47,0.37,0.48,0.39,0.04,0.0,1.71,1.54,4.26,3.07,1.73,0.51,0.0,0.0,0.0,100.01000000000002
01/12/2022,10.72,0.0,8.35,6.77,6.56,8.87,4.98,0.0,9.33,0.0,2.67,0.0,3.78,6.84,2.03,0.0,2.0,2.01,0.0,0.0,1.09,0.92,0.98,0.92,0.97,0.0,0.53,0.0,0.46,0.36,1.52,0.67,0.59,0.37,0.6,0.55,0.47,0.37,0.48,0.39,0.04,0.0,1.71,1.54,4.26,3.07,1.73,0.51,0.0,0.0,0.0,100.01000000000002
01/13/2022,10.72,0.0,8.37,6.78,6.55,8.87,4.99,0.0,9.35,0.0,2.66,0.0,3.77,6.84,2.04,0.0,2.01,1.99,0.0,0.0,1.09,0.91,0.98,0.92,0.95,0.0,0.53,0.0,0.46,0.36,1.52,0.67,0.6,0.37,0.6,0.56,0.46,0.36,0.47,0.39,0.04,0.0,1.7,1.54,4.26,3.06,1.72,0.51,0.0,0.0,0.0,99.96999999999998
01/14/2022,10.67,0.0,8.34,6.77,6.55,8.88,5.0,0.0,9.32,0.0,2.69,0.0,3.76,6.81,2.05,0.0,2.0,2.02,0.0,0.0,1.1,0.92,0.97,0.93,0.95,0.0,0.53,0.0,0.46,0.36,1.51,0.68,0.62,0.38,0.6,0.58,0.47,0.37,0.48,0.4,0.04,0.0,1.7,1.55,4.24,3.08,1.69,0.52,0.0,0.0,0.0,99.99
01/17/2022,10.67,0.0,8.35,6.79,6.58,8.86,4.97,0.0,9.31,0.0,2.69,0.0,3.75,6.83,2.05,0.0,1.98,2.04,0.0,0.0,1.1,0.92,0.97,0.95,0.95,0.0,0.52,0.0,0.48,0.36,0.94,0.68,0.63,0.36,0.61,0.58,0.45,0.37,0.45,0.42,0.04,0.0,1.7,1.53,4.24,3.1,1.71,0.53,0.0,0.57,0.0,100.03000000000002
01/18/2022,10.69,0.0,8.36,6.73,6.6,8.89,4.97,0.0,9.35,0.0,2.73,0.0,3.74,6.82,2.05,0.0,1.99,2.03,0.0,0.0,1.1,0.9,0.97,0.95,0.91,0.0,0.5,0.0,0.47,0.36,0.95,0.68,0.62,0.36,0.61,0.58,0.43,0.36,0.44,0.42,0.04,0.0,1.71,1.54,4.25,3.11,1.7,0.52,0.0,0.58,0.0,100.01
01/19/2022,10.69,0.0,8.36,6.73,6.6,8.89,4.97,0.0,9.35,0.0,2.73,0.0,3.74,6.82,2.05,0.0,1.99,2.03,0.0,0.0,1.1,0.9,0.97,0.95,0.91,0.0,0.5,0.0,0.47,0.36,0.95,0.68,0.62,0.36,0.61,0.58,0.43,0.36,0.44,0.42,0.04,0.0,1.71,1.54,4.25,3.11,1.7,0.52,0.0,0.58,0.0,100.01
01/20/2022,10.69,0.0,8.36,6.73,6.6,8.89,4.97,0.0,9.35,0.0,2.73,0.0,3.74,6.82,2.05,0.0,1.99,2.03,0.0,0.0,1.1,0.9,0.97,0.95,0.91,0.0,0.5,0.0,0.47,0.36,0.95,0.68,0.62,0.36,0.61,0.58,0.43,0.36,0.44,0.42,0.04,0.0,1.71,1.54,4.25,3.11,1.7,0.52,0.0,0.58,0.0,100.01
01/21/2022,10.77,0.0,8.4,6.7,6.59,8.85,4.99,0.0,9.39,0.0,2.77,0.0,3.75,6.83,2.07,0.0,1.97,2.02,0.0,0.0,1.09,0.89,0.97,0.94,0.91,0.0,0.51,0.0,0.47,0.35,0.96,0.65,0.59,0.36,0.6,0.58,0.43,0.35,0.42,0.41,0.04,0.0,1.7,1.53,4.27,3.12,1.7,0.5,0.0,0.59,0.0,100.03
01/24/2022,10.79,0.0,8.46,0.0,6.69,8.79,4.99,0.0,9.41,0.0,2.8,0.0,3.76,6.85,2.1,0.0,1.96,2.05,0.0,0.0,1.11,0.87,0.98,0.94,0.89,0.0,0.5,0.0,0.45,0.34,0.79,0.62,0.57,0.37,0.6,0.57,0.42,0.34,0.41,0.4,0.03,0.0,1.71,1.51,4.28,3.13,1.71,0.49,0.0,0.58,6.73,99.99000000000002
01/25/2022,10.87,0.0,8.52,0.0,6.75,8.66,5.06,0.0,9.45,0.0,2.82,0.0,3.73,6.93,2.1,0.0,1.93,1.99,0.0,0.0,1.11,0.84,0.99,0.95,0.87,0.0,0.49,0.0,0.44,0.34,0.79,0.6,0.57,0.36,0.59,0.56,0.4,0.34,0.39,0.39,0.03,0.0,1.71,1.47,4.32,3.11,1.72,0.48,0.0,0.57,6.8,100.04
01/26/2022,10.87,0.0,8.52,0.0,6.75,8.66,5.06,0.0,9.45,0.0,2.82,0.0,3.73,6.93,2.1,0.0,1.93,1.99,0.0,0.0,1.11,0.84,0.99,0.95,0.87,0.0,0.49,0.0,0.44,0.34,0.79,0.6,0.57,0.36,0.59,0.56,0.4,0.34,0.39,0.39,0.03,0.0,1.71,1.47,4.32,3.11,1.72,0.48,0.0,0.57,6.8,100.04
01/27/2022,10.86,0.0,8.49,0.0,6.71,8.66,5.07,0.0,9.4,0.0,2.8,0.0,3.72,6.91,2.11,0.0,1.96,1.97,0.0,0.0,1.09,0.87,0.98,0.93,0.91,1.5,0.5,0.0,0.45,0.34,0.79,0.62,0.59,0.39,0.59,0.58,0.44,0.34,0.4,0.4,0.0,0.0,1.7,0.0,4.31,3.09,1.7,0.49,0.0,0.58,6.78,100.02000000000002
01/28/2022,10.88,0.0,8.53,0.0,6.73,8.68,5.07,0.0,9.41,0.0,2.83,0.0,3.69,6.92,2.12,0.0,1.93,1.96,0.0,0.0,1.1,0.86,0.98,0.93,0.9,1.49,0.49,0.0,0.44,0.33,0.79,0.61,0.58,0.39,0.58,0.56,0.43,0.35,0.38,0.4,0.0,0.0,1.7,0.0,4.32,3.11,1.68,0.48,0.0,0.57,6.79,99.99
01/31/2022,10.94,0.0,8.54,0.0,6.73,8.7,5.1,0.0,9.42,0.0,2.88,0.0,3.69,6.95,2.08,0.0,1.9,1.97,0.0,0.0,1.1,0.86,0.99,0.92,0.9,1.5,0.48,0.0,0.43,0.33,0.8,0.58,0.55,0.37,0.57,0.55,0.42,0.34,0.36,0.38,0.0,0.0,1.69,0.0,4.34,3.12,1.69,0.46,0.0,0.56,6.82,100.01
02/01/2022,10.88,0.0,8.53,0.0,6.7,8.75,5.09,0.0,9.39,0.0,2.89,0.0,3.72,6.92,2.06,0.0,1.92,1.96,0.0,0.0,1.1,0.88,0.99,0.92,0.92,1.52,0.48,0.0,0.43,0.33,0.8,0.59,0.56,0.39,0.58,0.55,0.43,0.34,0.36,0.39,0.0,0.0,1.69,0.0,4.32,3.11,1.71,0.47,0.0,0.57,6.79,100.02999999999999
