,SPCE,AXON,KTOS,MAXR,TDY,TDG,HXL,MRCY,TXT,HEI,LHX,NOC,LMT,GD,AJRD,RTX,BA,HWM,CW,HII,SPR,BWXT,PSN,AVAV,TGI,AIR,MOG.A,KAMN,PAE,ATRO,DCO,Vectrus Inc,NPK,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,VEC,4970.T,LWB.WA,GVMXX,SSIXX,n/a,ASTR,SUM
12/13/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/14/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/15/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/16/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/17/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/20/2021,2.72,4.22,3.64,3.93,0.0,4.25,4.06,3.7,4.51,4.93,4.12,4.5,4.37,4.32,4.61,4.38,4.12,4.04,3.78,4.1,4.25,3.18,2.58,2.09,2.26,2.17,1.35,1.09,1.1,0.51,0.34,0.0,0.24,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.1,0.0,100.0
12/21/2021,2.55,3.57,3.44,4.08,0.0,4.31,3.86,3.76,4.65,4.84,3.98,4.72,4.41,4.44,4.82,4.39,4.06,4.25,3.89,4.11,4.63,3.09,2.35,1.64,2.4,2.34,1.46,1.14,1.06,0.54,0.35,0.0,0.23,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.18,0.0,100.02
12/22/2021,2.55,3.57,3.44,4.08,0.0,4.31,3.86,3.76,4.65,4.84,3.98,4.72,4.41,4.44,4.82,4.39,4.06,4.25,3.89,4.11,4.63,3.09,2.35,1.64,2.4,2.34,1.46,1.14,1.06,0.54,0.35,0.0,0.23,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.18,0.0,100.02
12/23/2021,2.55,3.57,3.44,4.08,0.0,4.31,3.86,3.76,4.65,4.84,3.98,4.72,4.41,4.44,4.82,4.39,4.06,4.25,3.89,4.11,4.63,3.09,2.35,1.64,2.4,2.34,1.46,1.14,1.06,0.54,0.35,0.0,0.23,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.18,0.0,100.02
12/27/2021,3.86,4.52,3.12,4.13,0.0,4.09,3.93,4.3,4.0,3.91,3.84,4.12,4.0,4.0,3.98,3.93,3.96,3.95,4.05,3.9,4.34,3.97,2.14,1.81,2.16,1.61,1.47,1.19,0.73,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.24,3.74,99.99
12/28/2021,3.79,4.5,3.11,4.15,0.0,4.12,3.94,4.68,4.0,3.9,3.81,4.08,3.99,3.96,3.93,3.91,3.95,4.0,4.03,3.89,4.33,3.97,2.12,1.82,2.18,1.61,1.47,1.19,0.72,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.14,3.69,99.98
12/29/2021,3.79,4.5,3.11,4.15,0.0,4.12,3.94,4.68,4.0,3.9,3.81,4.08,3.99,3.96,3.93,3.91,3.95,4.0,4.03,3.89,4.33,3.97,2.12,1.82,2.18,1.61,1.47,1.19,0.72,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.14,3.69,99.98
12/30/2021,3.67,4.52,3.08,4.06,0.0,4.11,3.98,4.64,4.05,3.94,3.85,4.11,4.03,4.01,3.95,3.92,3.93,4.03,4.08,3.93,4.3,3.98,2.15,1.8,2.16,1.62,1.48,1.2,0.72,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.17,3.57,100.04
12/31/2021,3.67,4.52,3.08,4.06,0.0,4.11,3.98,4.64,4.05,3.94,3.85,4.11,4.03,4.01,3.95,3.92,3.93,4.03,4.08,3.93,4.3,3.98,2.15,1.8,2.16,1.62,1.48,1.2,0.72,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.17,3.57,100.04
01/03/2022,3.43,4.38,3.05,3.87,0.0,4.17,4.03,4.7,4.12,4.01,3.92,4.16,4.12,4.06,4.05,3.99,3.98,4.11,4.16,4.0,4.28,4.04,2.18,1.78,2.13,1.65,1.52,1.21,0.73,0.0,0.31,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.17,2.98,100.0
01/03/2022,3.64,4.41,3.05,4.0,0.0,4.19,4.01,4.66,4.09,3.99,3.93,4.15,4.1,4.05,4.0,3.98,3.95,4.1,4.11,3.98,4.25,4.02,2.15,1.79,2.1,1.62,1.5,1.21,0.73,0.0,0.3,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.17,3.04,99.98
01/03/2022,3.64,4.41,3.05,4.0,0.0,4.19,4.01,4.66,4.09,3.99,3.93,4.15,4.1,4.05,4.0,3.98,3.95,4.1,4.11,3.98,4.25,4.02,2.15,1.79,2.1,1.62,1.5,1.21,0.73,0.0,0.3,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.17,3.04,99.98
01/04/2022,3.64,4.41,3.05,4.0,0.0,4.19,4.01,4.66,4.09,3.99,3.93,4.15,4.1,4.05,4.0,3.98,3.95,4.1,4.11,3.98,4.25,4.02,2.15,1.79,2.1,1.62,1.5,1.21,0.73,0.0,0.3,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.17,3.04,99.98
01/07/2022,3.38,4.17,3.07,4.09,0.0,4.14,4.15,4.73,4.01,3.97,3.84,4.16,4.08,4.03,3.9,4.07,4.05,4.23,4.09,3.96,4.52,4.0,2.15,1.77,2.3,1.7,1.51,1.23,0.71,0.0,0.31,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.06,2.91,99.99
01/10/2022,3.07,4.2,2.92,3.91,0.0,4.22,4.16,4.75,4.03,4.01,3.97,4.24,4.11,4.09,3.89,4.14,4.08,4.32,4.15,4.06,4.47,3.99,2.1,1.8,2.34,1.74,1.52,1.23,0.72,0.0,0.31,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.07,2.66,99.97
01/11/2022,3.22,4.04,2.88,3.92,0.0,4.25,4.15,4.69,4.08,4.07,3.99,4.24,4.11,4.07,3.77,4.13,4.13,4.33,4.08,4.08,4.6,4.03,2.07,1.77,2.34,1.73,1.49,1.23,0.71,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.07,2.71,99.98
01/12/2022,3.22,4.04,2.88,3.92,0.0,4.25,4.15,4.69,4.08,4.07,3.99,4.24,4.11,4.07,3.77,4.13,4.13,4.33,4.08,4.08,4.6,4.03,2.07,1.77,2.34,1.73,1.49,1.23,0.71,0.0,0.3,0.0,0.37,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.07,2.71,99.98
01/13/2022,3.11,4.13,2.85,3.89,0.0,4.21,4.26,4.64,4.03,4.06,4.08,4.29,4.17,4.07,3.93,4.12,4.04,4.36,4.05,4.17,4.54,4.0,2.11,1.77,2.32,1.73,1.49,1.21,0.72,0.0,0.3,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,2.6,100.03
01/17/2022,2.61,4.03,2.71,3.96,0.0,4.26,4.31,4.75,4.05,4.08,4.07,4.25,4.2,4.09,3.74,4.21,4.33,4.42,4.12,4.17,4.7,3.99,2.06,1.74,2.4,1.78,1.5,1.23,0.72,0.0,0.3,0.0,0.38,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,2.44,100.01
01/18/2022,2.62,3.81,2.62,3.9,0.0,4.19,4.33,4.97,4.0,4.14,4.13,4.27,4.25,4.09,3.65,4.21,4.33,4.47,4.09,4.18,4.81,3.97,2.06,1.72,2.4,1.77,1.51,1.24,0.72,0.0,0.29,0.0,0.39,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,2.45,99.99
01/19/2022,2.62,3.81,2.62,3.9,0.0,4.19,4.33,4.97,4.0,4.14,4.13,4.27,4.25,4.09,3.65,4.21,4.33,4.47,4.09,4.18,4.81,3.97,2.06,1.72,2.4,1.77,1.51,1.24,0.72,0.0,0.29,0.0,0.39,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,2.45,99.99
01/20/2022,2.62,3.81,2.62,3.9,0.0,4.19,4.33,4.97,4.0,4.14,4.13,4.27,4.25,4.09,3.65,4.21,4.33,4.47,4.09,4.18,4.81,3.97,2.06,1.72,2.4,1.77,1.51,1.24,0.72,0.0,0.29,0.0,0.39,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.07,2.45,99.99
01/24/2022,2.43,3.84,2.74,3.86,0.0,4.22,4.3,4.95,3.94,4.14,4.2,4.35,4.41,4.14,3.84,4.16,4.24,4.42,4.14,4.18,4.66,4.13,2.09,1.7,2.32,1.75,1.5,1.19,0.74,0.0,0.29,0.0,0.38,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.05,2.38,100.03
01/25/2022,2.31,3.89,2.78,3.73,0.0,4.22,4.2,5.06,3.93,4.17,4.22,4.45,4.46,4.18,3.84,4.19,4.15,4.38,4.25,4.26,4.58,4.19,2.07,1.71,2.22,1.74,1.5,1.21,0.76,0.0,0.29,0.0,0.39,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.05,2.26,99.99
01/26/2022,2.31,3.89,2.78,3.73,0.0,4.22,4.2,5.06,3.93,4.17,4.22,4.45,4.46,4.18,3.84,4.19,4.15,4.38,4.25,4.26,4.58,4.19,2.07,1.71,2.22,1.74,1.5,1.21,0.76,0.0,0.29,0.0,0.39,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.05,2.26,99.99
01/31/2022,2.27,3.98,2.78,3.58,0.0,4.26,4.14,5.01,3.84,4.06,4.34,4.38,4.9,4.43,3.57,4.5,4.02,4.32,4.27,4.4,4.43,4.02,2.08,1.69,2.16,1.82,1.49,1.22,0.8,0.0,0.3,0.0,0.4,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.05,2.12,99.99
02/01/2022,2.31,4.15,2.78,3.54,0.0,4.3,4.18,4.96,3.81,4.03,4.35,4.42,4.91,4.48,3.58,4.52,4.01,4.3,4.26,4.35,4.43,3.93,2.04,1.67,2.21,1.79,1.51,1.21,0.79,0.0,0.3,0.0,0.4,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.05,2.11,100.03999999999999
