,ENPH,006400.KS,968.HK,VWS.CO,SGRE.MC,FSLR,SEDG,PLUG,JMAT.L,009830.KS,VAR1.DE,BLDP,3800.HK,SPWR,DQ,QS,BE,ITM.L,257.HK,NEL.OL,SHLS,112610.KS,336260.KS,FCEL,CSIQ,CWR.L,JKS,NDX1.DE,6121 TT,LAND.SW,ALFEN.AS,S92.DE,ARRY,AMRC,TPIC,6865 HK,PCELL.ST,2208 HK,MAXN,1072 HK,CASH,NDXB GR,n/a,968 HK,VWS DC,006400 KS,SGRE SM,JMAT LN,009830 KS,VAR1 GR,3800 HK,257 HK,ITM LN,NDX1 GR,336260 KS,CWR LN,112610 KS,NEL NO,ALFEN NA,LAND SW,S92 GR,PCELL SS,NVX.AX,MBTN.SW,AERI3.SA,SUM
09/20/2021,6.79,7.33,8.29,7.55,5.24,5.87,4.92,3.71,3.86,3.69,3.06,2.41,2.26,1.99,2.25,1.97,1.46,1.6,2.54,1.19,1.64,1.45,1.53,1.06,1.17,1.5,1.13,1.49,1.1,1.07,1.4,0.81,1.24,1.06,0.69,1.11,0.56,0.9,0.33,0.57,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/21/2021,6.79,7.33,8.29,7.55,5.24,5.87,4.92,3.71,3.86,3.69,3.06,2.41,2.26,1.99,2.25,1.97,1.46,1.6,2.54,1.19,1.64,1.45,1.53,1.06,1.17,1.5,1.13,1.49,1.1,1.07,1.4,0.81,1.24,1.06,0.69,1.11,0.56,0.9,0.33,0.57,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/22/2021,5.94,5.74,5.78,5.81,5.65,4.7,4.56,6.25,4.05,3.79,3.13,2.6,2.31,2.14,2.51,3.67,1.57,1.64,2.58,1.18,1.89,1.47,1.55,1.16,1.22,1.69,1.26,1.54,1.14,1.09,1.42,0.85,1.37,1.22,0.75,1.14,0.0,0.96,0.0,0.28,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.78,0.75,99.98
09/23/2021,5.81,5.93,5.77,5.98,5.86,4.46,4.49,6.26,4.07,3.91,3.0,2.55,2.44,2.06,2.38,3.61,1.55,1.72,2.64,1.25,1.83,1.52,1.6,1.12,1.17,1.68,1.19,1.54,1.18,1.09,1.41,0.84,1.35,1.2,0.74,1.13,0.0,0.96,0.0,0.3,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.76,0.75,100.01
09/24/2021,5.81,5.85,5.8,6.0,5.81,4.38,4.45,6.27,4.08,3.86,3.07,2.53,2.46,2.05,2.43,4.14,1.52,1.69,2.6,1.19,1.87,1.5,1.58,1.09,1.17,1.64,1.22,1.56,1.16,1.08,1.43,0.84,1.37,1.17,0.73,1.14,0.0,0.94,0.0,0.31,0.0,0.0,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.74,0.63,100.01
09/27/2021,5.73,5.69,5.65,6.16,5.78,4.14,4.51,6.43,4.08,3.72,3.06,2.51,2.46,2.11,2.28,4.47,1.55,1.77,2.79,1.28,1.75,1.44,1.51,1.27,1.11,1.65,1.13,1.62,1.12,1.06,1.39,0.84,1.31,1.14,0.72,1.16,0.0,0.89,0.0,0.33,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.73,0.61,99.98
09/28/2021,5.73,5.69,5.65,6.16,5.78,4.14,4.51,6.43,4.08,3.72,3.06,2.51,2.46,2.11,2.28,4.47,1.55,1.77,2.79,1.28,1.75,1.44,1.51,1.27,1.11,1.65,1.13,1.62,1.12,1.06,1.39,0.84,1.31,1.14,0.72,1.16,0.0,0.89,0.0,0.33,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.73,0.61,99.98
09/29/2021,5.84,5.74,5.6,6.1,5.82,4.24,4.59,6.54,4.15,3.66,3.07,2.49,0.0,2.18,2.25,4.68,1.57,1.8,2.66,1.35,1.75,1.44,1.51,1.27,1.14,1.64,1.14,1.6,1.15,1.06,1.35,0.85,1.31,1.18,0.73,1.19,0.0,0.92,0.0,0.31,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.75,0.65,99.99
09/30/2021,5.82,5.9,5.46,6.22,5.93,4.39,4.62,6.81,4.14,3.82,3.13,2.53,0.0,2.28,2.23,4.59,1.64,1.89,2.72,1.34,1.76,1.49,1.63,1.38,1.16,1.67,1.18,1.64,1.16,1.05,1.34,0.87,1.36,1.2,0.74,1.14,0.0,0.91,0.0,0.3,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.74,0.62,100.02
10/01/2021,5.8,5.85,5.65,6.27,5.86,4.48,4.6,6.59,4.15,4.06,3.1,2.47,0.0,2.26,2.19,4.43,1.56,1.92,2.8,1.32,1.68,1.57,1.64,1.33,1.15,1.65,1.18,1.66,1.17,1.06,1.3,0.87,1.36,1.18,0.73,1.2,0.0,0.99,0.0,0.3,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.73,0.61,99.97
10/04/2021,5.82,5.93,5.67,6.27,5.84,4.53,4.52,6.33,4.18,4.2,3.18,2.43,0.0,2.27,2.43,4.35,1.58,1.85,2.69,1.27,1.68,1.6,1.66,1.25,1.2,1.6,1.27,1.58,1.15,1.08,1.33,0.86,1.44,1.13,0.73,1.23,0.0,0.94,0.0,0.31,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.7,0.65,99.98
10/05/2021,5.82,5.93,5.67,6.27,5.84,4.53,4.52,6.33,4.18,4.2,3.18,2.43,0.0,2.27,2.43,4.35,1.58,1.85,2.69,1.27,1.68,1.6,1.66,1.25,1.2,1.6,1.27,1.58,1.15,1.08,1.33,0.86,1.44,1.13,0.73,1.23,0.0,0.94,0.0,0.31,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.7,0.65,99.98
10/06/2021,6.07,5.86,5.71,6.09,5.61,4.62,4.67,6.39,4.17,4.04,3.17,2.44,0.0,2.51,2.49,4.37,1.57,1.78,2.71,1.28,1.69,1.46,1.6,1.21,1.2,1.6,1.32,1.53,1.12,1.08,1.32,0.86,1.42,1.2,0.74,1.24,0.0,0.95,0.0,0.32,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.69,0.65,99.99
10/07/2021,5.9,6.1,5.7,5.89,5.7,4.73,4.56,6.33,4.3,4.21,3.22,2.4,0.0,2.43,2.45,4.26,1.5,1.79,2.77,1.3,1.73,1.52,1.67,1.18,1.16,1.6,1.26,1.53,1.17,1.11,1.35,0.86,1.37,1.18,0.71,1.31,0.0,0.94,0.0,0.3,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.7,0.67,100.01
10/08/2021,6.0,5.87,5.55,5.88,5.74,4.76,4.62,6.34,4.29,4.3,3.26,2.39,0.0,2.38,2.56,4.2,1.63,1.76,2.79,1.3,1.75,1.47,1.61,1.18,1.16,1.57,1.3,1.52,1.18,1.09,1.36,0.88,1.38,1.2,0.72,1.27,0.0,0.98,0.0,0.31,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.71,0.68,99.99
10/11/2021,6.3,5.66,5.49,5.75,5.54,4.78,4.63,6.68,4.25,4.07,3.34,2.42,0.0,2.56,2.5,4.17,1.67,1.72,2.97,1.27,1.74,1.46,1.56,1.23,1.15,1.53,1.33,1.49,1.19,1.1,1.29,0.88,1.46,1.19,0.71,1.23,0.0,0.97,0.0,0.32,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.67,0.68,100.0
10/12/2021,6.3,5.66,5.49,5.75,5.54,4.78,4.63,6.68,4.25,4.07,3.34,2.42,0.0,2.56,2.5,4.17,1.67,1.72,2.97,1.27,1.74,1.46,1.56,1.23,1.15,1.53,1.33,1.49,1.19,1.1,1.29,0.88,1.46,1.19,0.71,1.23,0.0,0.97,0.0,0.32,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.67,0.68,100.0
10/13/2021,6.22,5.83,5.36,5.61,5.41,4.86,4.63,7.0,4.29,4.05,3.33,2.45,0.0,2.49,2.48,4.28,1.68,1.76,2.89,1.29,1.72,1.45,1.6,1.24,1.19,1.52,1.35,1.46,1.22,1.09,1.27,0.86,1.48,1.17,0.71,1.17,0.0,0.91,0.0,0.28,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.66,0.68,99.99
10/14/2021,6.36,5.71,5.45,5.53,5.33,4.94,4.79,6.97,4.23,3.97,3.32,2.41,0.0,2.66,2.66,4.18,1.7,1.71,2.73,1.31,1.75,1.42,1.57,1.27,1.2,1.51,1.41,1.46,1.19,1.05,1.23,0.87,1.51,1.13,0.74,1.19,0.0,0.88,0.0,0.26,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.69,0.67,99.98
10/15/2021,6.49,5.32,5.23,5.63,5.32,4.92,5.0,7.27,4.04,4.03,3.29,2.54,0.0,2.71,2.76,4.25,1.73,1.82,2.66,1.3,1.72,1.38,1.49,1.27,1.24,1.54,1.41,1.47,1.11,1.03,1.21,0.85,1.52,1.12,0.75,1.15,0.0,0.84,0.0,0.25,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.74,0.64,100.01
10/18/2021,6.45,5.45,5.08,5.67,5.23,4.82,4.97,7.54,4.16,3.96,3.29,2.59,0.0,2.63,2.59,4.17,1.76,1.98,2.58,1.36,1.68,1.43,1.6,1.29,1.2,1.6,1.33,1.47,1.03,1.05,1.24,0.85,1.49,1.16,0.74,1.12,0.0,0.82,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.74,0.64,100.01
10/19/2021,6.45,5.45,5.08,5.67,5.23,4.82,4.97,7.54,4.16,3.96,3.29,2.59,0.0,2.63,2.59,4.17,1.76,1.98,2.58,1.36,1.68,1.43,1.6,1.29,1.2,1.6,1.33,1.47,1.03,1.05,1.24,0.85,1.49,1.16,0.74,1.12,0.0,0.82,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.74,0.64,100.01
10/21/2021,6.6,5.49,5.41,5.73,5.02,4.7,4.92,7.64,4.03,3.87,3.32,2.59,0.0,2.6,2.74,4.13,1.7,1.92,2.52,1.23,1.57,1.37,1.53,1.54,1.21,1.53,1.39,1.52,1.06,1.04,1.2,0.89,1.43,1.18,0.69,1.26,0.0,0.84,0.0,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.71,0.65,99.98000000000002
10/22/2021,6.68,5.55,5.37,5.66,5.04,4.73,4.96,7.62,3.9,3.92,3.23,2.64,0.0,2.73,2.82,4.12,1.68,1.84,2.56,1.25,1.57,1.37,1.52,1.48,1.19,1.55,1.41,1.49,1.05,1.02,1.19,0.89,1.46,1.19,0.69,1.22,0.0,0.82,0.0,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.71,0.62,100.02000000000001
