,AMZN,HD,WMT,COST,LOW,TGT,TJX,JD,CVS,DG,ORLY,ROST,SYY,AZO,WBA,LULU,MCK,KR,BBY,DLTR,ABC,CAH,W,LB,Gap Inc,010950.KS,GPS,PTBL.TA,VSCO WI,BBWI WI,1379.T,SAR.AX,VSCO,LBEUR,n/a,SUM
11/15/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
11/16/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
11/17/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
11/18/2021,18.86,15.89,4.82,5.16,5.48,4.41,4.29,4.07,4.66,3.08,3.28,2.63,2.86,2.9,2.2,2.76,2.4,2.06,1.8,1.75,1.36,0.91,0.71,0.0,0.0,0.0,0.6,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.05,99.96999999999998
11/19/2021,18.89,15.76,4.68,5.24,5.4,4.54,4.2,4.38,4.58,3.12,3.3,2.53,2.68,3.0,2.14,2.7,2.38,2.07,1.81,2.02,1.32,0.92,0.73,0.0,0.0,0.0,0.6,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.05,100.0
11/22/2021,18.62,16.45,4.5,5.24,5.56,4.52,4.15,4.38,4.49,3.13,3.27,2.48,2.65,2.96,2.09,2.75,2.34,2.0,1.82,2.04,1.3,0.9,0.76,0.0,0.0,0.0,0.6,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.05,100.01
11/23/2021,18.62,16.45,4.5,5.24,5.56,4.52,4.15,4.38,4.49,3.13,3.27,2.48,2.65,2.96,2.09,2.75,2.34,2.0,1.82,2.04,1.3,0.9,0.76,0.0,0.0,0.0,0.6,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.05,100.01
11/24/2021,19.11,16.94,4.42,5.25,5.6,4.2,4.19,4.62,4.45,3.01,3.15,2.41,2.54,2.85,1.99,2.69,2.31,1.94,1.81,2.05,1.25,0.86,0.77,0.0,0.0,0.0,0.57,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.05,99.99
11/25/2021,18.69,17.06,4.53,5.34,5.7,4.13,4.15,4.45,4.48,3.05,3.2,2.39,2.6,2.88,2.02,2.64,2.34,2.05,1.85,2.03,1.26,0.86,0.73,0.0,0.0,0.0,0.57,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.05,100.0
11/26/2021,18.69,17.06,4.53,5.34,5.7,4.13,4.15,4.45,4.48,3.05,3.2,2.39,2.6,2.88,2.02,2.64,2.34,2.05,1.85,2.03,1.26,0.86,0.73,0.0,0.0,0.0,0.57,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.05,100.0
11/29/2021,18.64,17.11,4.56,5.42,5.68,4.17,4.23,4.51,4.44,3.0,3.21,2.47,2.62,2.84,1.98,2.61,2.37,2.02,1.56,2.23,1.28,0.86,0.79,0.0,0.0,0.0,0.42,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.04,100.0
11/30/2021,18.58,17.02,4.59,5.48,5.67,4.21,4.18,4.56,4.46,3.07,3.22,2.4,2.54,2.83,1.99,2.65,2.37,2.09,1.56,2.19,1.27,0.86,0.79,0.0,0.0,0.0,0.42,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.04,99.99
12/01/2021,18.58,17.02,4.59,5.48,5.67,4.21,4.18,4.56,4.46,3.07,3.22,2.4,2.54,2.83,1.99,2.65,2.37,2.09,1.56,2.19,1.27,0.86,0.79,0.0,0.0,0.0,0.42,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.04,99.99
12/02/2021,18.74,17.07,4.49,5.53,5.65,4.23,4.23,4.49,4.46,3.06,3.23,2.41,2.54,2.85,1.98,2.67,2.37,2.03,1.5,2.18,1.26,0.85,0.76,0.0,0.0,0.0,0.42,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.05,100.01000000000002
12/06/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/07/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/08/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/09/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/10/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/13/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/14/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/15/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/16/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.01
12/17/2021,18.46,17.47,4.35,5.34,5.81,4.25,4.29,4.4,4.45,2.99,3.37,2.44,2.48,2.96,1.96,2.65,2.38,2.19,1.43,2.12,1.24,0.86,0.69,0.0,0.0,0.0,0.4,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.07,100.00999999999999
