,MAPS,TLRY,WEED.TO,VFF.TO,39342L108 TRS 050322,GRWG,AFCG,HYFM,IIPR,23126M102 TRS 050322,89788C104 TRS 050322,22587M106 TRS 050322,CRON.TO,RIV.TO,VLNS.TO,Cash&Other,CWEB.TO,GNLN,JAZZ,CARA,CLVR,OGI.TO,NEPT.TO,05475P109 TRS 050322,YCBD,ZYNE,197309107 TRS 050322,PKI,LABS.TO,KERN,XLY.TO,IMCC.CN,ARNA,AH.TO,GTBIF,CURLF,TCNNF,CRLBF,AYRWF,CCHWF,92338D101 TRS 050322,CGC,VFF,VLNS CN,RIV CN,CRON,CWEB CN,OGI,NEPT,LABS CN,XLY CN,IMCC CN,AH CN,RIV.CN,SUM
10/01/2021,8.03,8.06,5.69,4.9,7.42,2.97,4.68,3.32,3.71,6.89,5.06,5.91,2.36,0.0,3.06,1.58,1.99,1.96,2.43,2.53,1.52,1.28,0.86,3.73,0.84,0.98,1.14,0.01,0.6,0.59,0.45,0.27,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,99.97
10/04/2021,8.11,7.94,5.63,4.96,7.56,2.89,4.72,3.31,3.74,6.99,4.97,5.87,2.39,0.0,2.89,1.58,1.99,1.91,2.41,2.58,1.52,1.25,0.85,3.9,0.92,0.94,1.15,0.01,0.58,0.6,0.49,0.28,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,99.97
10/05/2021,8.36,7.87,5.47,4.98,7.53,2.9,4.79,3.32,3.8,6.99,5.15,5.68,2.4,0.0,2.88,1.59,1.96,2.02,2.42,2.56,1.48,1.24,0.84,3.88,0.87,0.94,1.14,0.01,0.58,0.61,0.48,0.29,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,100.0
10/06/2021,8.36,7.87,5.47,4.98,7.53,2.9,4.79,3.32,3.8,6.99,5.15,5.68,2.4,0.0,2.88,1.59,1.96,2.02,2.42,2.56,1.48,1.24,0.84,3.88,0.87,0.94,1.14,0.01,0.58,0.61,0.48,0.29,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,100.0
10/07/2021,8.6,7.82,5.44,4.92,7.43,2.81,4.91,3.27,3.83,6.9,5.43,5.51,2.41,0.0,2.86,1.64,1.88,2.02,2.44,2.5,1.46,1.24,0.85,3.79,0.89,0.96,1.14,0.01,0.56,0.6,0.48,0.3,0.26,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,99.97
10/08/2021,7.86,8.05,5.61,4.97,7.46,2.83,4.97,3.39,3.82,6.77,5.63,5.44,2.39,0.0,2.95,1.63,1.89,1.98,2.45,2.44,1.44,1.29,0.85,3.84,0.9,0.93,1.17,0.01,0.56,0.61,0.46,0.28,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,100.0
10/11/2021,7.84,7.9,5.59,4.9,7.2,2.89,5.06,3.47,3.91,6.81,5.6,5.42,2.41,0.0,2.86,1.59,2.21,1.89,2.62,2.41,1.45,1.26,0.83,3.8,0.83,0.93,1.13,0.01,0.63,0.6,0.46,0.25,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,99.98
10/12/2021,7.96,7.66,5.57,4.9,7.14,2.86,5.11,3.49,3.91,6.86,5.67,5.37,2.41,0.0,2.85,1.64,2.05,1.87,2.62,2.46,1.46,1.27,0.84,3.77,0.81,0.93,1.12,0.01,0.72,0.6,0.46,0.27,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,100.01
10/13/2021,7.96,7.66,5.57,4.9,7.14,2.86,5.11,3.49,3.91,6.86,5.67,5.37,2.41,0.0,2.85,1.64,2.05,1.87,2.62,2.46,1.46,1.27,0.84,3.77,0.81,0.93,1.12,0.01,0.72,0.6,0.46,0.27,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,100.01
10/14/2021,7.91,7.47,5.54,4.85,7.2,2.83,5.22,3.38,3.91,6.91,5.67,5.53,2.38,0.0,2.87,1.64,2.06,1.86,2.65,2.44,1.42,1.26,0.85,3.77,0.79,0.94,1.13,0.01,0.72,0.66,0.46,0.27,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,100.0
10/15/2021,8.19,7.54,5.57,4.95,7.15,2.9,5.23,3.5,3.96,6.85,5.41,5.42,2.38,0.0,2.95,1.63,2.09,1.83,2.61,2.39,1.45,1.27,0.82,3.69,0.81,0.95,1.11,0.01,0.66,0.63,0.44,0.27,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,99.99
10/18/2021,8.38,7.65,5.83,5.05,6.91,2.7,5.44,3.29,4.12,6.56,5.25,5.5,2.45,0.0,2.75,1.61,2.03,2.04,2.66,2.33,1.42,1.31,0.81,3.5,0.81,0.96,1.09,0.01,0.66,0.67,0.46,0.28,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,100.0
10/19/2021,8.21,7.67,5.78,4.97,6.88,2.73,5.63,3.32,4.12,6.53,5.16,5.43,2.47,0.0,2.57,1.65,2.0,2.0,2.78,2.34,1.42,1.3,0.82,3.57,0.9,0.96,1.08,0.01,0.66,0.66,0.46,0.29,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,100.02
10/20/2021,8.21,7.67,5.78,4.97,6.88,2.73,5.63,3.32,4.12,6.53,5.16,5.43,2.47,0.0,2.57,1.65,2.0,2.0,2.78,2.34,1.42,1.3,0.82,3.57,0.9,0.96,1.08,0.01,0.66,0.66,0.46,0.29,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,100.02
10/21/2021,8.21,7.68,5.82,4.94,6.75,2.81,5.67,3.25,4.23,6.41,5.21,5.47,2.46,0.0,2.69,1.67,2.0,1.98,2.82,2.3,1.43,1.3,0.81,3.51,0.94,0.94,1.09,0.01,0.63,0.67,0.47,0.29,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,100.02
10/22/2021,7.97,8.46,6.01,4.86,6.77,2.77,5.37,3.29,4.12,6.46,5.13,5.51,2.54,0.0,2.76,1.59,2.1,1.86,2.76,2.21,1.48,1.33,0.76,3.47,0.91,0.92,1.07,0.01,0.66,0.68,0.49,0.27,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,100.01
10/25/2021,7.82,8.37,5.87,4.91,6.7,2.76,5.41,3.25,4.28,6.32,5.58,5.35,2.59,0.0,2.71,1.56,2.04,1.76,2.75,2.23,1.49,1.37,0.78,3.33,0.96,0.94,1.08,0.01,0.66,0.65,0.5,0.26,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,99.96000000000002
10/26/2021,7.72,8.3,5.79,4.95,6.75,2.75,5.58,3.25,4.48,6.31,5.45,5.41,2.55,0.0,2.79,1.62,1.99,1.61,2.86,2.26,1.43,1.36,0.78,3.36,0.99,0.91,1.06,0.01,0.64,0.65,0.49,0.26,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,100.04
10/27/2021,7.72,8.3,5.79,4.95,6.75,2.75,5.58,3.25,4.48,6.31,5.45,5.41,2.55,0.0,2.79,1.62,1.99,1.61,2.86,2.26,1.43,1.36,0.78,3.36,0.99,0.91,1.06,0.01,0.64,0.65,0.49,0.26,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,100.04
10/28/2021,7.46,8.27,5.89,5.01,6.59,2.83,5.56,3.29,4.59,6.36,5.23,5.36,2.52,0.0,2.78,1.63,1.98,1.61,2.83,2.36,1.49,1.35,0.89,3.45,0.97,0.91,1.02,0.01,0.66,0.65,0.5,0.25,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,100.0
10/29/2021,7.58,8.2,5.82,5.02,6.58,2.78,5.6,3.32,4.67,6.35,5.19,5.38,2.52,0.0,2.73,1.65,1.97,1.57,2.77,2.58,1.46,1.34,0.83,3.45,0.93,0.91,0.98,0.01,0.66,0.65,0.51,0.25,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,99.99
11/01/2021,7.62,8.17,5.84,5.01,6.04,2.76,5.72,3.29,4.69,6.2,5.26,5.25,2.47,0.0,2.72,1.66,1.91,1.56,2.75,3.13,1.47,1.37,0.82,3.42,0.91,0.93,1.03,0.01,0.66,0.65,0.51,0.25,0.27,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,99.99
11/02/2021,7.63,8.07,5.72,5.02,6.21,2.75,5.73,3.21,4.75,6.3,5.19,5.5,2.45,0.0,2.63,1.67,1.83,1.54,2.75,3.13,1.46,1.34,0.8,3.62,0.87,0.95,0.99,0.01,0.63,0.63,0.49,0.24,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,100.01
11/03/2021,7.63,8.07,5.72,5.02,6.21,2.75,5.73,3.21,4.75,6.3,5.19,5.5,2.45,0.0,2.63,1.67,1.83,1.54,2.75,3.13,1.46,1.34,0.8,3.62,0.87,0.95,0.99,0.01,0.63,0.63,0.49,0.24,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,100.01
11/04/2021,7.54,8.2,5.84,5.1,6.11,2.81,5.63,3.24,4.72,6.21,5.15,5.49,2.49,0.0,2.76,1.63,1.87,1.55,2.73,3.17,1.45,1.36,0.79,3.51,0.84,0.97,0.98,0.01,0.64,0.66,0.52,0.23,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,99.97
11/05/2021,7.53,8.13,5.89,5.08,6.0,2.85,5.68,3.26,4.78,6.09,5.16,5.67,2.52,0.0,2.66,1.66,1.79,1.56,2.78,3.23,1.45,1.37,0.84,3.37,0.86,0.96,1.03,0.01,0.68,0.65,0.52,0.21,0.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,100.0
11/08/2021,7.39,8.53,6.05,5.11,5.7,2.92,5.81,3.68,4.87,5.87,5.03,5.49,2.57,0.0,2.58,1.66,1.77,1.61,2.78,3.31,1.4,1.41,0.81,3.02,0.87,1.0,0.99,0.01,0.7,0.65,0.53,0.2,0.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,99.97000000000001
