,CNTY,RRR,BYD,VICI,GLPI,MCRI,WH,FLL,MAR,BVH,GDEN,PENN,ABNB,TH,NCLH,PLYA,CHH,RCL,DIS,CCL,MTN,BKNG,EXPE,HLT,HGV,TNL,FENER.IS,TRIP,VAC,n/a,H,LIND,002960.SZ,IHG,MGM,SUM
01/28/2022,4.9,2.6,2.2,4.69,5.38,4.82,5.04,3.88,2.21,7.95,6.36,2.64,3.92,3.58,2.66,3.61,6.33,1.17,0.0,1.75,1.87,1.99,2.11,1.94,6.34,1.64,0.0,0.0,1.13,0.44,1.37,0.0,0.0,5.46,0.0,99.98
01/31/2022,4.63,2.56,2.23,4.86,5.51,4.62,5.19,3.84,2.26,7.89,6.4,2.73,3.8,3.38,2.74,3.6,6.42,1.17,0.0,1.75,1.82,2.06,2.18,1.96,6.3,1.66,0.0,0.0,1.13,0.42,1.4,0.0,0.0,5.5,0.0,100.01
02/01/2022,4.61,2.54,2.22,4.86,5.54,4.59,5.17,3.99,2.29,7.81,6.48,2.78,3.82,3.45,2.63,3.57,6.4,1.12,0.0,1.7,1.82,2.06,2.17,2.0,6.31,1.65,0.0,0.0,1.11,0.41,1.42,0.0,0.0,5.5,0.0,100.02
02/02/2022,4.61,2.54,2.22,4.86,5.54,4.59,5.17,3.99,2.29,7.81,6.48,2.78,3.82,3.45,2.63,3.57,6.4,1.12,0.0,1.7,1.82,2.06,2.17,2.0,6.31,1.65,0.0,0.0,1.11,0.41,1.42,0.0,0.0,5.5,0.0,100.02
02/03/2022,4.61,2.54,2.22,4.86,5.54,4.59,5.17,3.99,2.29,7.81,6.48,2.78,3.82,3.45,2.63,3.57,6.4,1.12,0.0,1.7,1.82,2.06,2.17,2.0,6.31,1.65,0.0,0.0,1.11,0.41,1.42,0.0,0.0,5.5,0.0,100.02
02/04/2022,4.51,2.5,2.18,4.79,5.53,4.57,5.11,3.93,2.25,7.91,6.27,2.79,4.01,3.69,2.73,3.63,6.3,1.14,0.0,1.73,1.8,2.04,2.22,1.97,6.35,1.67,0.0,0.0,1.11,0.39,1.41,0.0,0.0,5.49,0.0,100.02
02/07/2022,4.59,2.62,2.22,4.82,5.5,4.66,5.17,3.66,2.3,7.69,6.25,2.82,3.96,3.49,2.73,3.69,6.35,1.18,0.0,1.8,1.81,2.06,2.26,1.99,6.2,1.65,0.0,0.0,1.12,0.4,1.45,0.0,0.0,5.56,0.0,100.00000000000004
02/08/2022,4.64,2.65,2.35,4.76,5.43,4.83,5.16,3.64,2.29,7.64,6.3,2.78,4.09,3.47,2.68,3.64,6.36,1.12,0.0,1.76,1.8,2.05,2.26,1.99,6.19,1.65,0.0,0.0,1.11,0.36,1.45,0.0,0.0,5.57,0.0,100.02
02/09/2022,4.64,2.65,2.35,4.76,5.43,4.83,5.16,3.64,2.29,7.64,6.3,2.78,4.09,3.47,2.68,3.64,6.36,1.12,0.0,1.76,1.8,2.05,2.26,1.99,6.19,1.65,0.0,0.0,1.11,0.36,1.45,0.0,0.0,5.57,0.0,100.02
02/10/2022,4.75,2.66,2.34,4.65,5.32,4.81,5.11,3.66,2.28,7.62,6.52,2.82,4.05,3.35,2.83,3.74,6.24,1.18,0.0,1.85,1.77,2.03,2.23,1.98,6.23,1.65,0.0,0.0,1.11,0.33,1.45,0.0,0.0,5.43,0.0,99.99
02/11/2022,4.84,2.67,2.3,4.52,5.15,4.95,5.18,3.69,2.29,7.55,6.51,2.82,4.05,3.24,2.85,3.83,6.25,1.21,0.0,1.88,1.72,2.02,2.25,1.99,6.22,1.67,0.0,0.0,1.1,0.32,1.45,0.0,0.0,5.45,0.0,99.96999999999998
02/14/2022,4.76,2.76,2.41,4.43,5.08,5.31,5.04,3.76,2.27,7.33,6.88,2.85,4.16,3.06,2.76,3.78,6.19,1.19,0.0,1.88,1.68,2.03,2.22,1.94,6.25,1.65,0.0,0.0,1.06,0.42,1.44,0.0,0.0,5.41,0.0,100.0
02/16/2022,4.76,2.73,2.42,4.5,5.11,5.38,5.03,3.77,2.25,7.27,7.03,2.83,4.11,3.16,2.67,3.77,6.19,1.16,0.0,1.82,1.67,2.0,2.2,1.91,6.27,1.64,0.0,0.0,1.06,0.43,1.43,0.0,0.0,5.43,0.0,100.0
02/18/2022,4.75,2.66,2.35,4.44,4.96,5.21,5.03,3.75,2.32,7.27,7.23,2.8,4.29,3.06,2.71,3.79,6.06,1.16,0.0,1.82,1.65,2.01,2.34,1.95,6.41,1.67,0.0,0.0,1.06,0.42,1.49,0.0,0.0,5.33,0.0,99.99
02/21/2022,4.72,2.67,2.36,4.36,5.06,5.18,4.95,3.74,2.32,7.39,7.4,2.81,4.45,3.16,2.66,3.75,5.93,1.16,0.0,1.82,1.6,2.03,2.35,1.92,6.31,1.64,0.0,0.0,1.04,0.43,1.46,0.0,0.0,5.32,0.0,99.99
03/11/2022,4.69,2.43,2.31,4.62,5.6,5.96,5.0,3.73,2.19,7.41,7.14,2.62,3.79,5.06,2.15,4.22,5.94,0.97,0.0,1.42,1.53,1.62,2.05,1.85,2.68,1.48,0.0,0.0,0.98,4.03,1.33,0.0,0.0,5.18,0.0,99.98000000000002
04/29/2022,3.52,2.45,4.5,4.84,4.5,5.13,5.18,3.96,3.64,6.91,6.63,2.19,3.87,7.8,2.53,2.54,6.03,1.11,0.0,0.97,1.58,1.73,2.08,1.98,1.55,1.53,0.0,0.0,0.97,6.62,1.42,0.0,0.0,2.26,0.0,100.02
06/08/2022,1.74,6.62,4.56,3.55,3.65,4.7,3.84,1.57,5.01,7.83,4.84,2.08,4.52,6.34,2.12,5.06,4.36,0.85,0.0,0.79,1.71,2.01,3.48,1.97,1.61,1.55,0.0,0.0,2.31,4.99,4.0,0.0,0.0,2.35,0.0,100.01
07/04/2022,1.63,6.57,4.52,3.93,4.17,4.63,4.49,3.58,4.61,8.02,4.67,2.3,4.44,6.09,1.83,4.77,4.39,0.63,0.0,0.61,1.73,1.81,2.95,1.83,1.48,1.41,0.0,0.0,2.16,6.49,1.92,0.0,0.0,2.34,0.0,100.0
07/06/2022,1.61,6.62,4.51,3.97,4.2,4.7,4.49,3.42,4.61,8.07,4.64,2.27,4.26,6.27,1.78,4.79,4.38,0.62,0.0,0.6,1.71,1.77,2.96,1.83,1.46,1.39,0.0,0.0,2.14,6.62,1.91,0.0,0.0,2.38,0.0,99.98
07/15/2022,1.52,6.18,4.35,4.04,4.21,4.32,4.29,3.58,4.53,7.59,4.35,2.14,0.68,10.48,1.79,4.35,4.21,0.57,0.0,0.61,1.59,1.69,0.67,1.77,1.46,1.38,0.0,0.0,2.1,7.15,1.85,0.0,0.0,2.33,4.23,100.01
08/25/2022,3.24,2.13,2.69,3.89,4.01,1.46,4.01,1.62,4.6,6.41,4.02,2.3,0.7,13.02,1.73,4.61,4.51,0.58,0.0,0.56,1.55,1.72,0.68,1.85,0.75,1.37,0.0,0.0,2.26,13.1,3.96,0.0,0.0,2.24,4.41,99.98000000000002
