,CRWD,ZS,FTNT,PANW,OKTA,NLOK,CHKP,VRNS,RPD,CYBR,AVST.L,FEYE,4704.T,SAIL,PFPT,MCFE,TENB,QLYS,MIME,TLS,PING,RDWR,2326.T,OSPN,ATEN,ABST.TO,053800.KQ,INTZ,ZIXI,TUFN,4493.T,VHC,CASH,n/a,MNDT,FEYECHF,B 0 09.07.21,DARK.L,SCWX,S,SUM
11/08/2021,7.01,9.3,7.68,6.86,5.12,4.21,4.52,4.73,5.72,5.81,4.26,0.0,4.21,3.37,0.0,2.62,4.41,4.08,3.89,1.3,1.78,1.2,0.94,0.64,1.0,0.42,0.45,0.09,0.37,0.27,0.19,0.22,0.0,0.04,3.3,0.0,0.0,0.0,0.0,0.0,100.01
11/09/2021,7.01,9.3,7.68,6.86,5.12,4.21,4.52,4.73,5.72,5.81,4.26,0.0,4.21,3.37,0.0,2.62,4.41,4.08,3.89,1.3,1.78,1.2,0.94,0.64,1.0,0.42,0.45,0.09,0.37,0.27,0.19,0.22,0.0,0.04,3.3,0.0,0.0,0.0,0.0,0.0,100.01
11/10/2021,6.82,9.44,7.71,6.82,5.08,4.16,4.53,4.61,5.77,5.75,4.23,0.0,4.23,3.35,0.0,3.13,4.45,4.0,3.84,1.32,1.69,1.17,0.96,0.64,0.97,0.43,0.47,0.09,0.37,0.27,0.19,0.22,0.0,0.04,3.25,0.0,0.0,0.0,0.0,0.0,100.0
11/11/2021,6.9,9.55,7.76,6.99,5.03,4.25,4.49,4.62,5.72,5.72,4.2,0.0,4.11,3.32,0.0,3.07,4.39,4.05,3.77,1.29,1.77,1.17,0.92,0.63,0.95,0.42,0.47,0.08,0.36,0.27,0.19,0.22,0.0,0.04,3.28,0.0,0.0,0.0,0.0,0.0,100.0
11/12/2021,7.14,9.6,7.7,6.91,5.22,4.12,4.49,4.68,5.64,5.75,4.16,0.0,4.1,3.28,0.0,3.06,4.35,4.05,3.78,1.25,1.7,1.17,0.91,0.62,0.94,0.41,0.47,0.08,0.36,0.28,0.18,0.21,0.0,0.03,3.35,0.0,0.0,0.0,0.0,0.0,99.99
11/15/2021,6.95,9.5,7.55,6.95,5.05,4.16,4.53,4.57,5.51,5.66,3.76,0.0,4.13,4.06,0.0,3.12,4.31,4.05,3.86,1.18,1.74,1.15,0.96,0.6,0.94,0.38,0.45,0.08,0.36,0.26,0.19,0.21,0.0,0.15,3.36,0.0,0.0,0.22,0.04,0.0,99.99
11/16/2021,6.95,9.5,7.55,6.95,5.05,4.16,4.53,4.57,5.51,5.66,3.76,0.0,4.13,4.06,0.0,3.12,4.31,4.05,3.86,1.18,1.74,1.15,0.96,0.6,0.94,0.38,0.45,0.08,0.36,0.26,0.19,0.21,0.0,0.15,3.36,0.0,0.0,0.22,0.04,0.0,99.99
11/17/2021,5.93,6.14,5.9,6.09,5.97,4.48,5.96,4.26,4.28,4.42,4.3,0.0,4.56,4.02,0.0,3.12,4.23,3.93,3.91,1.17,1.65,1.09,0.94,0.56,0.91,0.36,0.43,0.0,0.34,0.29,0.3,0.28,0.0,0.32,3.3,0.0,0.0,3.93,0.31,2.3,99.98
11/18/2021,5.39,6.18,5.87,6.22,6.03,4.48,5.99,4.23,4.32,4.49,4.69,0.0,4.6,4.03,0.0,3.19,4.26,3.9,4.03,0.86,1.65,1.08,0.96,0.57,0.9,0.35,0.45,0.0,0.35,0.29,0.3,0.27,0.0,0.31,3.32,0.0,0.0,3.91,0.32,2.19,99.98000000000002
11/19/2021,5.52,6.27,5.93,6.25,6.16,4.46,5.93,4.2,4.32,4.46,4.64,0.0,4.51,3.95,0.0,3.15,4.24,3.97,4.08,0.85,1.69,1.09,0.93,0.55,0.92,0.35,0.45,0.0,0.35,0.28,0.31,0.27,0.0,0.3,3.3,0.0,0.0,3.71,0.32,2.27,99.98
11/22/2021,5.71,6.34,5.97,6.15,6.16,4.43,5.87,4.18,4.31,4.46,4.67,0.0,4.55,3.95,0.0,3.17,4.19,3.94,4.11,0.9,1.69,1.09,0.93,0.55,0.92,0.35,0.45,0.0,0.35,0.28,0.31,0.26,0.0,0.3,3.09,0.0,0.0,3.78,0.32,2.25,99.98
11/23/2021,5.71,6.34,5.97,6.15,6.16,4.43,5.87,4.18,4.31,4.46,4.67,0.0,4.55,3.95,0.0,3.17,4.19,3.94,4.11,0.9,1.69,1.09,0.93,0.55,0.92,0.35,0.45,0.0,0.35,0.28,0.31,0.26,0.0,0.3,3.09,0.0,0.0,3.78,0.32,2.25,99.98
11/24/2021,5.51,6.65,6.06,6.42,5.63,4.49,5.95,3.97,4.35,4.5,4.72,0.0,4.65,3.92,0.0,3.2,4.35,3.97,4.09,0.93,1.61,1.03,0.95,0.54,0.93,0.34,0.46,0.0,0.35,0.28,0.3,0.26,0.0,0.33,3.11,0.0,0.0,3.67,0.32,2.17,100.01
11/25/2021,5.31,6.42,6.05,6.77,5.48,4.6,6.03,4.02,4.31,4.34,4.87,0.0,4.84,3.87,0.0,3.31,4.4,3.94,3.99,0.92,1.58,1.05,0.99,0.55,0.93,0.34,0.46,0.0,0.36,0.27,0.32,0.22,0.0,0.33,3.16,0.0,0.0,3.65,0.3,2.04,100.02
11/26/2021,5.22,6.41,6.12,6.83,5.33,4.7,6.09,3.94,4.39,4.26,4.96,0.0,4.93,3.82,0.0,3.39,4.27,3.92,4.06,0.88,1.56,1.05,1.01,0.54,0.96,0.35,0.46,0.0,0.37,0.27,0.33,0.22,0.0,0.33,3.15,0.0,0.0,3.64,0.31,1.9,99.97
11/29/2021,5.17,6.47,6.17,6.97,5.38,4.74,6.03,3.92,4.4,4.21,4.93,0.0,4.79,3.8,0.0,3.36,4.28,4.04,4.2,0.85,1.55,1.07,0.96,0.55,0.97,0.34,0.46,0.0,0.37,0.26,0.31,0.2,0.0,0.33,3.18,0.0,0.0,3.53,0.3,1.89,99.98000000000002
11/30/2021,5.17,6.47,6.17,6.97,5.38,4.74,6.03,3.92,4.4,4.21,4.93,0.0,4.79,3.8,0.0,3.36,4.28,4.04,4.2,0.85,1.55,1.07,0.96,0.55,0.97,0.34,0.46,0.0,0.37,0.26,0.31,0.2,0.0,0.33,3.18,0.0,0.0,3.53,0.3,1.89,99.98000000000002
12/01/2021,5.3,6.46,6.16,6.87,5.54,4.78,6.06,3.89,4.36,4.28,5.03,0.0,4.86,3.8,0.0,3.41,4.24,3.98,4.08,0.85,1.52,1.07,0.94,0.53,0.92,0.34,0.44,0.0,0.38,0.26,0.29,0.2,0.0,0.33,3.22,0.0,0.0,3.45,0.3,1.89,100.03
12/02/2021,5.05,6.75,6.38,7.02,5.5,4.79,6.03,3.89,4.41,4.28,4.98,0.0,4.74,3.8,0.0,3.36,4.23,4.08,4.27,0.84,1.51,1.05,0.91,0.52,0.93,0.33,0.43,0.0,0.37,0.25,0.26,0.2,0.0,0.13,3.2,0.0,0.0,3.33,0.3,1.88,100.0
12/06/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
12/07/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
12/08/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
12/09/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
12/10/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
12/13/2021,4.9,6.54,6.05,7.09,5.66,4.74,6.27,3.95,4.31,4.3,5.16,0.0,4.9,3.77,0.0,3.49,4.23,4.09,4.21,0.86,1.57,1.1,0.95,0.55,0.94,0.34,0.46,0.0,0.38,0.25,0.24,0.2,0.0,0.13,3.15,0.0,0.0,3.25,0.28,1.68,99.99
