,CCOI,AWR,AVA,SJI,CWT,SHEN,TTGT,CPK,MDP,SSP,AMCX,NWN,SCHL,QNST,UTL,CBB,GCI,CNSL,ATNI,MCS,SPOK,AGPXX,003000.KS,MSEX,Cash/Receivables/Payables,AP4.SI,n/a,CNK,LYLTV,THRY,CARS,TDS,LYLT,SUM
12/15/2021,8.86,9.96,7.76,7.57,9.4,3.81,4.79,4.54,0.0,3.66,3.51,3.98,3.98,2.6,2.3,0.0,2.43,1.9,1.48,1.29,0.0,0.0,0.0,4.12,0.0,0.0,-0.2,4.1,2.02,2.34,3.82,0.0,0.0,100.02
12/16/2021,8.86,9.96,7.76,7.57,9.4,3.81,4.79,4.54,0.0,3.66,3.51,3.98,3.98,2.6,2.3,0.0,2.43,1.9,1.48,1.29,0.0,0.0,0.0,4.12,0.0,0.0,-0.2,4.1,2.02,2.34,3.82,0.0,0.0,100.02
12/17/2021,8.86,9.96,7.76,7.57,9.4,3.81,4.79,4.54,0.0,3.66,3.51,3.98,3.98,2.6,2.3,0.0,2.43,1.9,1.48,1.29,0.0,0.0,0.0,4.12,0.0,0.0,-0.2,4.1,2.02,2.34,3.82,0.0,0.0,100.02
12/20/2021,8.86,9.96,7.76,7.57,9.4,3.81,4.79,4.54,0.0,3.66,3.51,3.98,3.98,2.6,2.3,0.0,2.43,1.9,1.48,1.29,0.0,0.0,0.0,4.12,0.0,0.0,-0.2,4.1,2.02,2.34,3.82,0.0,0.0,100.02
12/21/2021,7.9,9.69,7.54,7.38,9.47,3.86,4.28,4.7,0.0,3.15,3.04,4.32,3.42,2.61,2.13,0.0,2.09,1.69,1.33,1.1,0.0,0.07,0.0,4.85,0.0,0.0,0.0,4.33,0.0,1.91,2.99,4.37,1.79,100.01
12/22/2021,8.25,10.12,7.76,7.7,9.69,3.83,4.52,4.71,0.0,3.6,3.31,4.16,3.9,2.94,2.42,0.0,2.39,1.93,1.52,1.26,0.0,0.07,0.0,4.17,0.0,0.0,0.0,4.13,0.0,2.17,3.41,0.0,2.04,100.0
12/23/2021,7.94,9.86,7.52,7.44,9.58,3.83,4.23,4.73,0.0,3.12,2.9,4.37,3.47,2.55,2.13,0.0,2.06,1.59,1.31,1.12,0.0,0.07,0.0,4.9,0.0,0.0,0.0,4.46,0.0,1.8,2.9,4.44,1.7,100.02
12/24/2021,8.03,9.38,7.22,7.2,9.31,3.79,4.33,4.55,0.0,3.15,2.94,4.22,3.4,2.57,2.05,0.0,2.11,1.61,1.29,1.11,0.0,1.38,0.0,4.83,0.0,0.0,0.0,4.48,0.0,1.8,2.94,4.6,1.72,100.01
12/27/2021,7.8,9.26,7.31,7.25,9.12,3.77,4.54,4.56,0.0,3.2,2.98,4.21,3.49,2.6,2.04,0.0,2.27,1.61,1.27,1.11,0.0,1.15,0.0,4.85,0.0,0.0,0.0,4.48,0.0,1.92,3.01,4.52,1.7,100.02
12/28/2021,7.8,9.26,7.31,7.25,9.12,3.77,4.54,4.55,0.0,3.2,2.98,4.21,3.49,2.6,2.04,0.0,2.27,1.61,1.27,1.11,0.0,1.15,0.0,4.85,0.0,0.0,0.0,4.48,0.0,1.92,3.0,4.52,1.7,100.0
12/29/2021,7.8,9.26,7.31,7.25,9.12,3.77,4.54,4.55,0.0,3.2,2.98,4.21,3.49,2.6,2.04,0.0,2.27,1.61,1.27,1.11,0.0,1.15,0.0,4.85,0.0,0.0,0.0,4.48,0.0,1.92,3.0,4.52,1.7,100.0
12/30/2021,7.77,9.32,7.31,7.27,9.2,3.7,4.51,4.59,0.0,3.2,2.92,4.21,3.53,2.63,2.06,0.0,2.21,1.6,1.25,1.11,0.0,1.15,0.0,4.9,0.0,0.0,0.0,4.31,0.0,2.01,3.09,4.47,1.69,100.01
12/31/2021,7.77,9.37,7.33,7.22,9.3,3.74,4.47,4.57,0.0,3.19,2.91,4.23,3.55,2.58,2.06,0.0,2.15,1.57,1.25,1.11,0.0,1.15,0.0,4.92,0.0,0.0,0.0,4.32,0.0,2.0,3.09,4.48,1.68,100.01
