,ENB.TO,TRP.TO,KMI,OKE,WMB,LNG,PPL.TO,EPD,TRGP,ET,IPL.TO,KEY.TO,MMP,MPLX,AM,ETRN,GEI.TO,MIC,PAGP,Plains All American Pipeline LP,CNX,WES,ENLC,NFE,DCP,PSXP,SHLX,CQP,CEQP,NS,PAA,SAR.AX,601319.SS,n/a,DTM,SUM
11/29/2021,7.91,8.01,7.19,6.82,7.51,7.27,5.03,4.49,5.76,4.31,0.0,3.86,3.97,4.15,2.65,3.0,2.2,0.2,1.69,0.0,1.68,1.44,1.34,0.0,0.98,0.92,0.62,0.71,0.61,0.44,1.78,0.0,0.0,-0.23,3.7,100.01
11/30/2021,7.9,8.1,7.24,6.72,7.59,7.3,5.02,4.54,5.66,4.31,0.0,3.81,4.03,4.16,2.66,2.95,2.19,0.2,1.68,0.0,1.68,1.44,1.32,0.0,0.97,0.89,0.61,0.72,0.61,0.43,1.77,0.0,0.0,-0.23,3.73,100.0
12/01/2021,7.9,8.1,7.24,6.72,7.59,7.3,5.02,4.54,5.66,4.31,0.0,3.81,4.03,4.16,2.66,2.95,2.19,0.2,1.68,0.0,1.68,1.44,1.32,0.0,0.97,0.89,0.61,0.72,0.61,0.43,1.77,0.0,0.0,-0.23,3.73,100.0
12/02/2021,7.83,8.15,7.21,6.79,7.62,7.36,5.04,4.52,5.67,4.25,0.0,3.88,4.01,4.14,2.64,2.91,2.23,0.2,1.67,0.0,1.7,1.4,1.29,0.0,0.95,0.9,0.6,0.72,0.59,0.42,1.75,0.0,0.0,-0.24,3.78,99.98
12/06/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/07/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/08/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/09/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/10/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/13/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/14/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/15/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/16/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/17/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/20/2021,7.87,8.04,7.27,6.78,7.61,7.44,5.09,4.57,5.66,4.22,0.0,3.82,4.07,4.15,2.6,2.89,2.17,0.21,1.67,0.0,1.64,1.41,1.31,0.0,0.92,0.94,0.62,0.73,0.6,0.43,1.74,0.0,0.0,-0.27,3.79,99.99000000000002
12/21/2021,7.92,8.11,7.35,6.59,7.34,7.26,5.14,4.6,5.48,4.31,0.0,3.91,4.02,4.15,2.63,3.01,2.18,0.21,1.62,0.0,1.74,1.49,1.21,0.0,0.92,0.97,0.61,0.71,0.59,0.44,1.71,0.0,0.0,-0.17,3.93,99.98
12/22/2021,7.92,8.11,7.35,6.59,7.34,7.26,5.14,4.6,5.48,4.31,0.0,3.91,4.02,4.15,2.63,3.01,2.18,0.21,1.62,0.0,1.74,1.49,1.21,0.0,0.92,0.97,0.61,0.71,0.59,0.44,1.71,0.0,0.0,-0.17,3.93,99.98
12/23/2021,8.09,8.25,6.93,5.26,6.29,6.07,5.13,4.66,4.38,4.6,0.0,4.51,3.86,3.93,3.42,3.84,2.89,0.29,2.12,0.0,2.21,1.46,1.62,0.0,0.88,0.94,0.61,0.69,0.53,0.42,1.68,0.0,0.0,-0.14,4.6,100.02
12/24/2021,8.04,8.18,6.98,5.28,6.24,6.21,5.08,4.62,4.43,4.47,0.0,4.48,3.78,3.93,3.43,3.83,2.88,0.28,2.14,0.0,2.2,1.48,1.65,0.0,0.91,0.96,0.6,0.7,0.54,0.42,1.69,0.0,0.0,0.0,4.58,100.01
12/27/2021,8.1,8.29,6.91,5.24,6.23,6.06,5.11,4.69,4.41,4.45,0.0,4.48,3.79,3.92,3.42,3.82,2.9,0.28,2.15,0.0,2.21,1.49,1.67,0.0,0.9,0.95,0.59,0.71,0.53,0.42,1.69,0.0,0.0,0.0,4.61,100.02
12/28/2021,8.1,8.29,6.91,5.24,6.23,6.06,5.11,4.69,4.41,4.45,0.0,4.48,3.79,3.92,3.42,3.82,2.9,0.28,2.15,0.0,2.21,1.49,1.67,0.0,0.9,0.95,0.59,0.71,0.53,0.42,1.69,0.0,0.0,0.0,4.61,100.02
12/29/2021,8.1,8.29,6.91,5.24,6.23,6.06,5.11,4.69,4.41,4.45,0.0,4.48,3.79,3.92,3.42,3.82,2.9,0.28,2.15,0.0,2.21,1.49,1.67,0.0,0.9,0.95,0.59,0.71,0.53,0.42,1.69,0.0,0.0,0.0,4.61,100.02
12/30/2021,8.07,8.25,6.88,5.29,6.23,5.94,5.11,4.64,4.49,4.42,0.0,4.45,3.8,3.92,3.45,3.84,2.89,0.28,2.15,0.0,2.24,1.49,1.7,0.0,0.94,0.94,0.6,0.71,0.55,0.42,1.7,0.0,0.0,0.0,4.59,99.98
12/31/2021,8.06,8.24,6.91,5.3,6.22,5.97,5.11,4.66,4.48,4.42,0.0,4.45,3.78,3.89,3.44,3.78,2.89,0.28,2.16,0.0,2.24,1.5,1.7,0.0,0.95,0.97,0.61,0.72,0.56,0.43,1.69,0.0,0.0,0.0,4.61,100.02
01/03/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/03/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/03/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/04/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/05/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/06/2022,8.2,8.09,6.94,5.26,6.22,5.88,5.07,4.72,4.45,4.39,0.0,4.51,3.83,3.94,3.4,3.78,2.86,0.28,2.18,0.0,2.2,1.52,1.73,0.0,0.93,0.95,0.61,0.72,0.57,0.44,1.72,0.0,0.0,0.0,4.61,100.0
01/07/2022,7.95,7.92,7.01,5.31,6.17,5.84,4.93,4.8,4.52,4.62,0.0,4.39,3.88,3.99,3.4,3.69,2.82,0.27,2.23,0.0,2.21,1.57,1.77,0.0,0.96,0.99,0.63,0.72,0.58,0.46,1.77,0.0,0.0,0.0,4.61,100.00999999999998
01/10/2022,8.07,7.94,7.09,5.27,6.22,5.9,4.92,4.81,4.52,4.59,0.0,4.36,3.89,3.96,3.41,3.67,2.83,0.27,2.23,0.0,2.14,1.59,1.72,0.0,0.96,1.0,0.62,0.72,0.57,0.46,1.76,0.0,0.0,-0.04,4.56,100.00999999999998
01/11/2022,8.08,8.02,7.12,5.27,6.3,5.91,4.95,4.77,4.53,4.67,0.0,4.34,3.79,3.95,3.39,3.63,2.81,0.26,2.21,0.0,2.15,1.55,1.77,0.0,0.95,1.01,0.63,0.71,0.57,0.45,1.75,0.0,0.0,-0.04,4.48,99.98
01/12/2022,8.08,8.02,7.12,5.27,6.3,5.91,4.95,4.77,4.53,4.67,0.0,4.34,3.79,3.95,3.39,3.63,2.81,0.26,2.21,0.0,2.15,1.55,1.77,0.0,0.95,1.01,0.63,0.71,0.57,0.45,1.75,0.0,0.0,-0.04,4.48,99.98
01/13/2022,8.12,8.1,7.2,5.13,6.29,5.88,4.91,4.81,4.43,4.61,0.0,4.34,3.81,3.92,3.37,3.68,2.74,0.26,2.22,0.0,2.22,1.54,1.79,0.0,0.94,1.04,0.65,0.73,0.57,0.44,1.77,0.0,0.0,-0.04,4.53,100.0
01/14/2022,8.08,8.07,7.13,5.18,6.38,5.94,4.92,4.79,4.49,4.63,0.0,4.27,3.79,3.92,3.37,3.65,2.77,0.26,2.24,0.0,2.19,1.52,1.79,0.0,0.94,1.05,0.64,0.75,0.58,0.45,1.77,0.0,0.0,-0.04,4.45,99.96999999999998
01/17/2022,8.05,8.09,7.06,5.12,6.38,6.04,4.95,4.77,4.48,4.72,0.0,4.23,3.76,3.92,3.39,3.63,2.75,0.26,2.24,0.0,2.27,1.56,1.82,0.0,0.93,1.03,0.65,0.75,0.58,0.45,1.77,0.0,0.0,-0.04,4.4,100.01000000000002
01/18/2022,8.01,7.94,7.13,5.11,6.37,5.94,4.93,4.73,4.53,4.68,0.0,4.18,3.82,3.86,3.43,3.78,2.79,0.26,2.3,0.0,2.24,1.55,1.8,0.0,0.92,1.06,0.64,0.73,0.56,0.44,1.84,0.0,0.0,-0.04,4.47,100.0
01/19/2022,8.01,7.94,7.13,5.11,6.37,5.94,4.93,4.73,4.53,4.68,0.0,4.18,3.82,3.86,3.43,3.78,2.79,0.26,2.3,0.0,2.24,1.55,1.8,0.0,0.92,1.06,0.64,0.73,0.56,0.44,1.84,0.0,0.0,-0.04,4.47,100.0
01/20/2022,8.01,7.94,7.13,5.11,6.37,5.94,4.93,4.73,4.53,4.68,0.0,4.18,3.82,3.86,3.43,3.78,2.79,0.26,2.3,0.0,2.24,1.55,1.8,0.0,0.92,1.06,0.64,0.73,0.56,0.44,1.84,0.0,0.0,-0.04,4.47,100.0
01/21/2022,8.09,8.01,7.04,5.0,6.42,5.9,4.96,4.75,4.49,4.73,0.0,4.29,3.77,3.83,3.37,3.68,2.79,0.25,2.34,0.0,2.27,1.54,1.81,0.0,0.9,1.05,0.65,0.71,0.56,0.44,1.85,0.0,0.0,0.0,4.52,100.01
01/24/2022,8.19,8.26,7.08,4.94,6.38,5.7,4.95,4.83,4.44,4.74,0.0,4.26,3.76,3.96,3.29,3.65,2.84,0.26,2.28,0.0,2.21,1.56,1.82,0.0,0.94,1.04,0.65,0.71,0.57,0.44,1.8,0.0,0.0,0.0,4.44,99.99
01/25/2022,8.15,8.26,7.18,4.95,6.49,5.71,4.93,4.87,4.51,4.65,0.0,4.15,3.79,3.97,3.31,3.64,2.85,0.26,2.26,0.0,2.16,1.55,1.82,0.0,0.92,1.04,0.64,0.72,0.55,0.44,1.77,0.0,0.0,0.0,4.46,100.0
01/26/2022,8.15,8.26,7.18,4.95,6.49,5.71,4.93,4.87,4.51,4.65,0.0,4.15,3.79,3.97,3.31,3.64,2.85,0.26,2.26,0.0,2.16,1.55,1.82,0.0,0.92,1.04,0.64,0.72,0.55,0.44,1.77,0.0,0.0,0.0,4.46,100.0
01/27/2022,8.15,8.26,7.18,4.95,6.49,5.71,4.93,4.87,4.51,4.65,0.0,4.15,3.79,3.97,3.31,3.64,2.85,0.26,2.26,0.0,2.16,1.55,1.82,0.0,0.92,1.04,0.64,0.72,0.55,0.44,1.77,0.0,0.0,0.0,4.46,100.0
01/28/2022,8.06,8.17,7.19,4.98,6.41,5.76,4.86,4.86,4.54,4.67,0.0,4.2,3.81,3.99,3.33,3.68,2.82,0.26,2.24,0.0,2.22,1.54,1.82,0.0,0.91,1.03,0.63,0.74,0.56,0.44,1.77,0.0,0.0,0.0,4.49,99.98
01/31/2022,8.14,8.24,7.16,5.01,6.52,5.95,4.87,4.95,4.61,4.85,0.0,4.19,3.83,4.01,3.15,2.88,2.89,0.26,2.31,0.0,2.11,1.57,1.87,0.0,0.88,1.04,0.64,0.76,0.57,0.44,1.83,0.0,0.0,0.0,4.45,99.98
02/01/2022,8.16,8.35,7.01,4.95,6.59,6.07,4.88,4.77,4.64,4.75,0.0,4.28,3.83,4.05,3.15,2.83,2.87,0.26,2.31,0.0,2.18,1.55,1.84,0.0,0.92,1.01,0.65,0.76,0.55,0.44,1.84,0.0,0.0,0.0,4.52,100.01
02/02/2022,8.16,8.35,7.01,4.95,6.59,6.07,4.88,4.77,4.64,4.75,0.0,4.28,3.83,4.05,3.15,2.83,2.87,0.26,2.31,0.0,2.18,1.55,1.84,0.0,0.92,1.01,0.65,0.76,0.55,0.44,1.84,0.0,0.0,0.0,4.52,100.01
02/03/2022,8.16,8.35,7.01,4.95,6.59,6.07,4.88,4.77,4.64,4.75,0.0,4.28,3.83,4.05,3.15,2.83,2.87,0.26,2.31,0.0,2.18,1.55,1.84,0.0,0.92,1.01,0.65,0.76,0.55,0.44,1.84,0.0,0.0,0.0,4.52,100.01
02/04/2022,8.23,8.31,7.0,5.01,6.59,5.96,4.92,4.72,4.69,4.73,0.0,4.38,3.81,4.07,3.24,2.79,2.88,0.26,2.29,0.0,2.13,1.56,1.86,0.0,0.91,1.01,0.63,0.77,0.53,0.45,1.83,0.0,0.0,-0.12,4.59,100.03
02/07/2022,8.18,8.05,6.85,5.06,6.59,6.08,4.93,4.66,4.74,4.8,0.0,4.35,3.78,4.09,3.29,2.59,2.84,0.25,2.4,0.0,2.2,1.63,1.88,0.0,0.97,1.02,0.62,0.79,0.54,0.45,1.92,0.0,0.0,-0.02,4.45,99.98000000000002
02/08/2022,8.19,7.98,6.87,5.09,6.61,5.96,4.9,4.7,4.75,4.97,0.0,4.36,3.69,4.06,3.31,2.47,2.8,0.26,2.48,0.0,2.14,1.69,1.92,0.0,0.98,1.04,0.62,0.79,0.52,0.47,2.01,0.0,0.0,-0.06,4.45,100.02
02/09/2022,8.19,7.98,6.87,5.09,6.61,5.96,4.9,4.7,4.75,4.97,0.0,4.36,3.69,4.06,3.31,2.47,2.8,0.26,2.48,0.0,2.14,1.69,1.92,0.0,0.98,1.04,0.62,0.79,0.52,0.47,2.01,0.0,0.0,-0.06,4.45,100.02
02/10/2022,8.19,7.98,6.87,5.09,6.61,5.96,4.9,4.7,4.75,4.97,0.0,4.36,3.69,4.06,3.31,2.47,2.8,0.26,2.48,0.0,2.14,1.69,1.92,0.0,0.98,1.04,0.62,0.79,0.52,0.47,2.01,0.0,0.0,-0.06,4.45,100.02
02/11/2022,8.19,8.12,6.87,5.1,6.59,6.02,4.91,4.74,4.8,4.85,0.0,4.33,3.75,3.99,3.27,2.43,2.75,0.26,2.44,0.0,2.1,1.67,1.96,0.0,0.97,1.04,0.62,0.74,0.54,0.43,1.95,0.0,0.0,0.0,4.59,100.02000000000001
