,MSFT,MA,IDXX,SPGI,CSGP,HEI.A,MCO,GOOG,ODFL,V,AMZN,VEEV,Casella Waste Systems Inc Class A,TWLO,OKTA,SHOP,COUP,TEAM,NOW,WDAY,MSCI,MKTX,CVNA,U,Us Dollars,CWST,n/a,ADYEY,HUBS,SUM
12/08/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/09/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/10/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/13/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/14/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/15/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/16/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/17/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/20/2021,9.84,8.06,5.51,9.08,6.24,6.2,4.77,4.6,4.87,3.38,3.67,3.04,0.0,2.42,2.64,2.58,2.2,3.0,2.35,2.5,2.09,0.0,1.14,1.83,0.0,4.74,0.19,3.06,0.0,100.0
12/21/2021,9.77,8.87,5.73,9.3,6.29,5.95,4.87,4.61,4.69,3.65,3.66,3.0,0.0,2.5,2.63,2.38,1.98,2.88,2.34,2.59,1.98,0.0,0.97,1.68,0.0,4.6,0.24,2.81,0.0,99.96999999999998
12/22/2021,9.77,8.87,5.73,9.3,6.29,5.95,4.87,4.61,4.69,3.65,3.66,3.0,0.0,2.5,2.63,2.38,1.98,2.88,2.34,2.59,1.98,0.0,0.97,1.68,0.0,4.6,0.24,2.81,0.0,99.96999999999998
12/23/2021,9.82,8.71,5.71,9.32,6.3,6.04,4.87,4.68,4.67,3.66,3.66,2.98,0.0,2.5,2.68,2.35,1.95,2.87,2.35,2.6,1.98,0.0,0.91,1.69,0.0,4.62,0.25,2.83,0.0,100.0
12/24/2021,9.74,8.79,5.72,9.24,6.18,6.13,4.77,4.6,4.61,3.66,3.62,3.04,0.0,2.5,2.71,2.43,1.99,3.08,2.37,2.61,1.97,0.0,0.97,1.74,0.0,4.47,0.24,2.81,0.0,99.99
12/27/2021,9.81,8.87,5.8,9.19,6.16,6.05,4.77,4.64,4.62,3.67,3.6,2.98,0.0,2.4,2.69,2.43,1.93,3.11,2.39,2.57,1.98,0.0,1.01,1.71,0.0,4.5,0.23,2.89,0.0,100.0
12/28/2021,8.85,8.89,5.81,8.94,6.2,6.12,4.77,4.61,4.65,3.17,3.57,2.96,0.0,2.9,2.67,2.51,1.94,3.09,2.4,2.55,1.99,0.0,1.01,1.71,0.0,4.49,0.23,3.97,0.0,100.0
12/29/2021,8.85,8.89,5.81,8.94,6.2,6.12,4.77,4.61,4.65,3.17,3.57,2.96,0.0,2.9,2.67,2.51,1.94,3.09,2.4,2.55,1.99,0.0,1.01,1.71,0.0,4.49,0.23,3.97,0.0,100.0
12/30/2021,8.99,8.82,5.86,8.95,6.16,6.09,4.76,4.61,4.71,3.16,3.52,2.96,0.0,2.82,2.66,2.43,1.95,3.12,2.43,2.55,2.0,0.0,0.97,1.73,0.0,4.49,0.17,4.08,0.0,99.99
12/31/2021,9.01,8.87,5.86,8.94,6.18,6.12,4.78,4.58,4.75,3.18,3.56,2.93,0.0,2.8,2.62,2.4,1.94,3.09,2.41,2.53,2.0,0.0,0.98,1.68,0.0,4.54,0.17,4.09,0.0,100.01
01/03/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/03/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/03/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/04/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/05/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/06/2022,8.96,8.88,5.95,8.86,6.21,6.13,4.68,4.57,4.75,3.18,3.52,2.94,0.0,2.87,2.62,2.43,1.97,3.06,2.41,2.53,1.99,0.0,0.98,1.71,0.0,4.56,0.16,4.08,0.0,100.0
01/07/2022,8.93,9.5,5.6,8.9,6.16,6.42,4.76,4.65,4.86,3.34,3.59,2.97,0.0,2.79,2.58,2.19,1.96,2.74,2.29,2.39,1.98,0.0,0.95,1.56,0.0,4.64,0.17,4.1,0.0,100.02
01/10/2022,8.84,9.71,5.53,9.07,6.09,6.58,4.79,4.59,4.86,3.42,3.63,2.92,0.0,2.75,2.52,2.17,1.84,2.66,2.26,2.45,1.95,0.0,0.86,1.5,0.0,4.76,0.17,4.09,0.0,100.01
01/11/2022,8.97,9.84,5.35,9.1,6.02,6.79,4.83,4.64,4.79,3.43,3.67,2.84,0.0,2.69,2.48,2.15,1.81,2.61,2.26,2.48,1.94,0.0,0.84,1.53,0.0,4.67,0.17,4.1,0.0,100.0
01/12/2022,8.97,9.84,5.35,9.1,6.02,6.79,4.83,4.64,4.79,3.43,3.67,2.84,0.0,2.69,2.48,2.15,1.81,2.61,2.26,2.48,1.94,0.0,0.84,1.53,0.0,4.67,0.17,4.1,0.0,100.0
01/13/2022,9.03,9.75,5.47,8.92,6.03,6.69,4.72,4.72,4.79,3.37,3.67,2.96,0.0,2.68,2.56,2.14,1.95,2.71,2.3,2.52,1.92,0.0,0.84,1.61,0.0,4.66,0.17,3.84,0.0,100.02
01/14/2022,8.95,9.7,5.37,8.94,6.28,6.58,4.74,4.72,4.67,3.37,3.71,2.93,0.0,2.73,2.61,2.17,2.0,2.7,2.3,2.52,1.94,0.0,0.84,1.64,0.0,4.56,0.16,3.89,0.0,100.02
01/17/2022,8.93,9.74,5.33,9.12,6.37,6.81,4.82,4.83,4.7,0.0,3.73,2.86,0.0,2.92,2.62,2.4,2.24,2.64,2.13,2.54,2.31,0.0,0.9,1.52,0.0,4.67,0.08,5.79,0.0,100.0
01/18/2022,9.12,9.84,5.3,9.06,6.43,6.87,4.72,4.87,4.69,0.0,3.76,2.82,0.0,2.9,2.65,2.49,2.2,2.63,2.18,2.6,2.28,0.0,0.87,1.54,0.0,4.56,0.12,5.49,0.0,99.98999999999998
01/19/2022,9.12,9.84,5.3,9.06,6.43,6.87,4.72,4.87,4.69,0.0,3.76,2.82,0.0,2.9,2.65,2.49,2.2,2.63,2.18,2.6,2.28,0.0,0.87,1.54,0.0,4.56,0.12,5.49,0.0,99.98999999999998
01/20/2022,9.12,9.84,5.3,9.06,6.43,6.87,4.72,4.87,4.69,0.0,3.76,2.82,0.0,2.9,2.65,2.49,2.2,2.63,2.18,2.6,2.28,0.0,0.87,1.54,0.0,4.56,0.12,5.49,0.0,99.98999999999998
01/21/2022,9.1,9.9,5.31,9.1,6.46,6.78,4.7,4.86,4.76,0.0,3.78,2.82,0.0,2.86,2.62,2.44,2.16,2.66,2.19,2.57,2.29,0.0,0.92,1.5,0.0,4.61,0.12,5.5,0.0,100.01
01/24/2022,9.13,9.9,5.27,9.02,6.42,6.77,4.74,4.79,4.69,0.0,3.63,2.89,0.0,2.79,2.68,2.38,2.16,2.65,2.18,2.65,2.3,0.0,0.9,1.53,0.0,4.61,0.14,5.79,0.0,100.01
01/25/2022,9.2,9.92,5.31,9.23,6.47,6.85,4.82,4.79,4.65,0.0,3.5,2.96,0.0,2.73,2.58,2.1,2.14,2.65,2.2,2.65,2.29,0.0,0.8,1.47,0.0,4.73,0.15,5.81,0.0,100.0
01/26/2022,9.2,9.92,5.31,9.23,6.47,6.85,4.82,4.79,4.65,0.0,3.5,2.96,0.0,2.73,2.58,2.1,2.14,2.65,2.2,2.65,2.29,0.0,0.8,1.47,0.0,4.73,0.15,5.81,0.0,100.0
01/27/2022,9.13,9.68,5.37,9.18,6.3,6.71,4.81,4.76,4.81,0.0,3.52,3.01,0.0,2.79,2.6,2.22,2.21,2.79,2.26,2.65,2.3,0.0,0.92,1.52,0.0,4.76,0.14,5.56,0.0,100.0
01/28/2022,9.27,9.79,5.24,9.15,6.32,6.78,4.74,4.83,4.87,0.0,3.55,3.05,0.0,2.74,2.52,2.2,2.14,2.77,2.22,2.63,2.33,0.0,0.89,1.49,0.0,4.75,0.14,5.59,0.0,100.0
01/31/2022,9.7,10.19,5.19,9.11,6.25,6.43,4.78,4.95,4.67,0.0,3.57,2.98,0.0,2.62,2.51,2.02,2.1,2.83,2.39,2.54,2.34,0.0,0.87,1.36,0.0,4.8,0.15,5.66,0.0,100.01
02/01/2022,9.6,10.71,5.19,9.03,6.16,6.16,4.75,4.92,4.61,0.0,3.54,3.0,0.0,2.68,2.53,2.08,2.09,2.99,2.44,2.57,2.33,0.0,0.86,1.31,0.0,4.72,0.14,5.57,0.0,99.98
02/02/2022,9.6,10.71,5.19,9.03,6.16,6.16,4.75,4.92,4.61,0.0,3.54,3.0,0.0,2.68,2.53,2.08,2.09,2.99,2.44,2.57,2.33,0.0,0.86,1.31,0.0,4.72,0.14,5.57,0.0,99.98
02/03/2022,9.6,10.71,5.19,9.03,6.16,6.16,4.75,4.92,4.61,0.0,3.54,3.0,0.0,2.68,2.53,2.08,2.09,2.99,2.44,2.57,2.33,0.0,0.86,1.31,0.0,4.72,0.14,5.57,0.0,99.98
02/04/2022,9.38,10.47,5.21,8.93,6.21,5.95,4.69,4.85,4.59,0.0,3.56,3.06,0.0,2.85,2.63,2.23,2.19,2.95,2.46,2.65,2.38,0.0,0.92,1.41,0.0,4.66,0.14,5.62,0.0,99.99
02/07/2022,9.28,10.8,5.66,9.07,6.17,6.15,4.76,5.21,5.09,0.0,3.38,3.03,0.0,2.54,2.49,1.91,2.04,2.82,2.41,2.49,2.45,0.0,0.86,1.27,0.0,4.81,0.15,5.17,0.0,100.01
02/08/2022,9.28,10.42,5.44,8.96,6.1,6.19,4.77,5.14,4.74,0.0,3.78,3.03,0.0,2.67,2.53,2.03,2.13,2.93,2.44,2.49,2.47,0.0,0.86,1.46,0.0,4.67,0.14,5.33,0.0,100.0
02/09/2022,9.28,10.42,5.44,8.96,6.1,6.19,4.77,5.14,4.74,0.0,3.78,3.03,0.0,2.67,2.53,2.03,2.13,2.93,2.44,2.49,2.47,0.0,0.86,1.46,0.0,4.67,0.14,5.33,0.0,100.0
02/10/2022,9.21,10.35,5.4,8.84,6.23,6.3,4.67,5.04,4.72,0.0,3.82,3.05,0.0,2.74,2.54,2.03,2.17,2.9,2.45,2.51,2.48,0.0,0.85,1.44,0.0,4.7,0.12,5.44,0.0,100.0
02/11/2022,9.28,10.25,5.41,8.68,6.17,6.28,4.68,5.03,4.77,0.0,3.88,3.03,0.0,2.77,2.56,2.05,2.18,2.92,2.51,2.52,2.45,0.0,0.88,1.46,0.0,4.71,0.12,5.41,0.0,100.0
02/14/2022,9.11,10.14,5.4,8.51,6.17,6.26,4.79,4.95,4.67,0.0,3.78,3.02,0.0,2.84,2.61,2.06,2.2,3.14,2.56,2.51,2.41,0.0,0.88,1.51,0.0,4.66,0.13,5.71,0.0,100.02
02/15/2022,9.15,10.31,5.44,8.57,6.01,6.38,4.68,4.93,4.63,0.0,3.76,3.04,0.0,2.71,2.63,2.03,2.19,3.01,2.53,2.51,2.44,0.0,0.83,1.53,0.0,4.7,0.13,5.9,0.0,100.04
02/16/2022,9.15,10.31,5.44,8.57,6.01,6.38,4.68,4.93,4.63,0.0,3.76,3.04,0.0,2.71,2.63,2.03,2.19,3.01,2.53,2.51,2.44,0.0,0.83,1.53,0.0,4.7,0.13,5.9,0.0,100.04
02/17/2022,9.15,10.31,5.44,8.57,6.01,6.38,4.68,4.93,4.63,0.0,3.76,3.04,0.0,2.71,2.63,2.03,2.19,3.01,2.53,2.51,2.44,0.0,0.83,1.53,0.0,4.7,0.13,5.9,0.0,100.04
02/18/2022,9.14,10.44,5.3,8.36,6.04,6.48,4.55,4.92,4.57,0.0,3.76,3.0,0.0,2.78,2.63,2.07,2.14,3.03,2.51,2.49,2.44,0.0,0.82,1.53,0.0,4.57,0.14,6.29,0.0,100.0
02/21/2022,9.2,10.64,5.32,8.61,6.1,6.76,4.64,4.97,4.63,0.0,3.87,2.98,0.0,2.47,2.42,1.6,2.05,2.9,2.5,2.38,2.47,0.0,0.81,1.44,0.0,4.8,0.14,6.3,0.0,100.0
05/03/2022,6.23,10.6,4.58,9.21,7.52,7.51,5.14,4.61,3.9,0.0,4.26,3.32,0.0,2.71,2.11,2.4,0.0,2.42,2.39,2.57,2.21,0.0,0.81,1.47,0.0,4.9,0.07,6.97,2.11,100.02
05/20/2022,6.6,9.22,5.17,9.15,7.57,7.88,0.0,4.14,4.17,0.0,5.12,3.29,0.0,2.81,2.76,3.69,0.0,2.9,2.86,2.9,2.36,0.0,0.0,1.48,0.0,4.64,0.16,7.74,3.39,100.0
07/14/2022,6.52,8.33,4.7,8.99,7.98,7.56,0.0,4.12,4.12,0.0,4.66,4.48,0.0,2.36,3.15,3.19,0.0,3.61,3.54,2.78,3.02,0.0,0.0,1.59,0.0,4.83,0.08,7.33,3.06,100.0
08/18/2022,6.17,7.9,4.25,8.54,8.36,7.97,0.0,3.71,4.07,0.0,5.1,4.26,0.0,2.05,2.87,3.36,0.0,4.22,3.11,2.93,3.03,0.0,0.0,1.78,0.0,4.8,0.05,8.01,3.47,100.00999999999999
