,JNJ,PFE,ZTS,MRK,CTLT,LLY,ELAN,BMY,JAZZ,VTRS,OGN,PRGO,RETA,RPRX,ITCI,PBH,ARVN,PCRX,FOLD,CORT,RVNC,IRWD,AXSM,VNDA,ENDP,ZGNX,MDGL,OMER,INVA,COLL,AMPH,AERI,TBPH,ATRS,CCXI,CARA,NUVB,PAHC,AMRX,SPPI,CPRX,NGM,RLMD,PHAT,TXMD,PRVB,XTSLA,AVIR,USD,SGAFT,IXCZ1,SUM
11/03/2021,21.9,18.91,4.78,5.4,4.48,4.62,4.49,4.16,2.87,4.24,3.28,2.13,0.92,4.72,1.12,1.06,1.32,0.82,0.89,0.66,0.32,0.73,0.4,0.34,0.36,0.27,0.33,0.14,0.38,0.25,0.24,0.18,0.14,0.22,0.6,0.25,0.37,0.16,0.19,0.11,0.2,0.24,0.13,0.13,0.1,0.11,0.1,0.22,0.01,0.01,0.0,100.0
11/04/2021,21.77,18.73,4.69,5.35,4.49,4.49,4.45,4.15,2.91,4.36,3.29,2.17,0.95,4.71,1.18,1.06,1.35,0.84,0.97,0.66,0.33,0.74,0.41,0.38,0.39,0.27,0.34,0.15,0.38,0.26,0.24,0.18,0.15,0.23,0.62,0.26,0.36,0.16,0.19,0.11,0.21,0.25,0.14,0.13,0.11,0.12,0.1,0.22,0.01,0.01,0.0,100.02
11/05/2021,21.9,19.32,4.61,5.37,4.36,4.58,4.26,4.11,2.87,4.32,3.21,2.15,0.93,4.48,1.2,1.05,1.38,0.83,0.99,0.65,0.33,0.72,0.41,0.4,0.41,0.27,0.35,0.15,0.39,0.25,0.25,0.19,0.14,0.22,0.63,0.25,0.37,0.15,0.2,0.12,0.21,0.25,0.14,0.13,0.1,0.11,0.13,0.22,-0.01,0.01,0.0,100.06
11/08/2021,21.71,18.59,4.72,5.45,4.11,4.82,4.4,4.14,2.82,4.26,3.18,2.13,0.96,4.64,1.18,1.07,1.44,0.86,1.03,0.72,0.32,0.71,0.42,0.35,0.4,0.27,0.39,0.16,0.38,0.24,0.25,0.2,0.15,0.22,0.65,0.26,0.38,0.15,0.17,0.14,0.21,0.26,0.14,0.13,0.11,0.11,0.22,0.22,0.14,0.01,0.0,99.99
11/09/2021,21.28,20.34,4.63,4.85,3.84,4.65,4.5,4.1,2.82,4.22,3.14,2.12,0.98,4.57,1.13,1.07,1.35,0.88,0.99,0.74,0.31,0.72,0.41,0.34,0.49,0.27,0.38,0.16,0.39,0.23,0.25,0.2,0.16,0.22,0.67,0.26,0.36,0.16,0.17,0.12,0.21,0.27,0.15,0.12,0.1,0.12,0.15,0.2,0.19,0.02,0.0,100.0
11/10/2021,21.28,20.34,4.63,4.85,3.84,4.65,4.5,4.1,2.82,4.22,3.14,2.12,0.98,4.57,1.13,1.07,1.35,0.88,0.99,0.74,0.31,0.72,0.41,0.34,0.49,0.27,0.38,0.16,0.39,0.23,0.25,0.2,0.16,0.22,0.67,0.26,0.36,0.16,0.17,0.12,0.21,0.27,0.15,0.12,0.1,0.12,0.15,0.2,0.19,0.02,0.0,100.0
11/11/2021,21.14,20.16,4.64,4.89,3.89,4.56,4.38,4.08,2.77,4.5,3.19,2.18,0.99,4.59,1.11,1.07,1.37,0.89,0.97,0.81,0.32,0.73,0.44,0.34,0.52,0.28,0.37,0.16,0.39,0.25,0.25,0.2,0.16,0.22,0.65,0.25,0.35,0.15,0.18,0.12,0.2,0.26,0.14,0.12,0.1,0.12,0.18,0.19,0.14,0.02,0.0,99.98
11/12/2021,21.22,19.85,4.72,4.93,3.94,4.62,4.38,4.11,2.76,4.49,3.18,2.17,1.04,4.59,1.12,1.07,1.36,0.89,0.93,0.82,0.31,0.71,0.41,0.35,0.53,0.28,0.38,0.15,0.4,0.25,0.26,0.2,0.16,0.23,0.64,0.26,0.35,0.15,0.18,0.12,0.2,0.27,0.14,0.12,0.1,0.12,0.18,0.2,0.15,0.02,0.0,100.00999999999998
11/15/2021,21.13,20.9,4.59,4.97,3.96,4.59,4.3,4.06,2.81,4.43,2.99,1.97,0.95,4.63,1.08,1.08,1.26,0.86,0.95,0.8,0.34,0.68,0.4,0.34,0.54,0.26,0.37,0.17,0.38,0.24,0.27,0.19,0.15,0.22,0.64,0.23,0.36,0.16,0.18,0.11,0.24,0.26,0.14,0.12,0.09,0.11,0.16,0.19,0.17,0.02,0.0,100.04
11/17/2021,21.35,20.68,4.61,4.96,4.0,4.53,4.33,4.07,2.89,4.31,2.9,1.96,0.95,4.82,1.03,1.06,1.24,0.86,0.92,0.81,0.34,0.69,0.39,0.33,0.53,0.26,0.37,0.17,0.38,0.23,0.27,0.19,0.15,0.21,0.66,0.23,0.37,0.16,0.17,0.11,0.24,0.25,0.13,0.12,0.09,0.11,0.17,0.2,0.18,0.02,0.0,100.0
11/18/2021,21.32,20.8,4.63,4.98,4.04,4.55,4.25,4.12,2.91,4.28,2.89,1.95,0.89,4.83,1.02,1.05,1.23,0.85,0.94,0.82,0.32,0.68,0.39,0.34,0.53,0.26,0.37,0.18,0.37,0.24,0.27,0.19,0.15,0.21,0.66,0.22,0.37,0.15,0.17,0.11,0.24,0.25,0.13,0.12,0.08,0.11,0.17,0.21,0.17,0.02,0.0,100.03
11/19/2021,21.2,20.77,4.71,5.0,4.14,4.53,4.27,4.08,2.88,4.27,2.9,1.96,0.88,4.86,1.03,1.05,1.18,0.87,0.98,0.83,0.33,0.68,0.36,0.33,0.53,0.25,0.37,0.18,0.37,0.24,0.27,0.19,0.14,0.21,0.64,0.22,0.37,0.15,0.17,0.11,0.24,0.25,0.12,0.11,0.08,0.12,0.17,0.21,0.17,0.02,0.0,99.99
