,Us Dollars,BRK.B,L,ENB.TO,DD,D,PFE,INGR,CTVA,ABX.TO,CSCO,AEM.TO,TRV,CERN,UL,EQC,CMCSA,JLL,Y,MDT,SBUX,KL.TO,GWRE,GHC,UNH,PAAS.TO,TJX,Viatris Inc,MWA,EXPD,VTRS,"Mueller Water Products, Inc. Class A",DGE$.L,n/a,EOG,VZ,MRK,SUM
12/09/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/10/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/13/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/14/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/15/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/16/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/17/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/20/2021,0.0,8.66,5.07,4.78,4.58,3.55,4.61,3.43,3.39,3.47,3.29,2.91,3.16,2.78,3.52,3.13,2.17,1.45,2.39,1.88,1.86,2.25,1.94,1.32,1.44,1.15,1.41,0.0,0.0,0.0,1.77,0.0,0.0,13.72,1.88,3.02,0.0,99.98
12/21/2021,0.0,8.84,5.07,4.59,4.52,3.68,5.02,3.37,3.29,3.41,3.44,2.98,3.23,3.36,3.5,3.05,2.0,1.45,2.65,2.74,1.76,2.29,1.81,1.26,0.0,0.0,1.44,0.0,0.0,0.0,1.84,0.0,0.0,13.46,1.77,4.19,0.0,100.01
12/22/2021,0.0,8.84,5.07,4.59,4.52,3.68,5.02,3.37,3.29,3.41,3.44,2.98,3.23,3.36,3.5,3.05,2.0,1.45,2.65,2.74,1.76,2.29,1.81,1.26,0.0,0.0,1.44,0.0,0.0,0.0,1.84,0.0,0.0,13.46,1.77,4.19,0.0,100.01
12/23/2021,0.0,8.77,5.0,4.61,4.47,3.76,5.18,3.33,3.21,3.42,3.46,3.06,3.15,3.41,3.5,3.06,1.99,1.4,2.57,2.73,1.77,2.35,1.78,1.25,0.0,0.0,1.42,0.0,0.0,0.0,1.81,0.0,0.0,13.57,1.77,4.21,0.0,100.01
12/24/2021,0.0,8.8,5.06,4.63,4.5,3.69,4.96,3.37,3.26,3.4,3.46,3.07,3.16,3.39,3.46,3.05,1.99,1.47,2.58,2.76,1.79,2.36,1.81,1.29,0.0,0.0,1.44,0.0,0.0,0.0,1.84,0.0,0.0,13.45,1.81,4.15,0.0,100.0
12/27/2021,0.0,8.78,5.04,4.67,4.59,3.67,4.91,3.32,3.28,3.41,3.51,3.02,3.12,3.41,3.47,3.05,2.03,1.53,2.6,2.77,1.81,2.33,1.81,1.29,0.0,0.0,1.42,0.0,0.0,0.0,1.9,0.0,0.0,13.34,1.82,4.11,0.0,100.01000000000002
12/28/2021,0.0,8.78,5.04,4.67,4.59,3.67,4.91,3.32,3.28,3.41,3.51,3.02,3.12,3.41,3.47,3.05,2.03,1.53,2.6,2.77,1.81,2.33,1.81,1.29,0.0,0.0,1.42,0.0,0.0,0.0,1.9,0.0,0.0,13.34,1.82,4.11,0.0,100.01000000000002
12/29/2021,0.0,8.78,5.04,4.67,4.59,3.67,4.91,3.32,3.28,3.41,3.51,3.02,3.12,3.41,3.47,3.05,2.03,1.53,2.6,2.77,1.81,2.33,1.81,1.29,0.0,0.0,1.42,0.0,0.0,0.0,1.9,0.0,0.0,13.34,1.82,4.11,0.0,100.01000000000002
12/30/2021,0.0,8.72,5.03,4.66,4.6,3.62,4.88,3.31,3.27,3.33,3.52,2.96,3.11,3.37,3.45,3.71,2.02,1.52,2.61,2.77,1.81,2.3,1.79,1.27,0.0,0.0,1.41,0.0,0.0,0.0,1.88,0.0,0.0,13.15,1.86,4.06,0.0,99.99
12/31/2021,0.0,8.81,5.1,4.67,4.66,3.67,4.8,3.38,3.32,3.34,3.55,2.97,3.15,3.42,3.48,3.71,2.03,1.53,2.63,2.79,1.84,2.3,1.79,1.28,0.0,0.0,1.43,0.0,0.0,0.0,1.88,0.0,0.0,12.53,1.86,4.08,0.0,100.0
01/03/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/03/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/03/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/04/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/05/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/06/2022,0.0,8.83,5.05,4.69,4.63,3.68,4.82,3.34,3.29,3.41,3.54,3.04,3.13,3.41,4.0,3.72,2.02,1.55,2.65,2.78,1.85,2.34,1.78,1.28,0.0,0.0,1.44,0.0,0.0,0.0,1.87,0.0,0.0,12.01,1.83,4.03,0.0,100.01
01/07/2022,0.0,9.02,5.15,4.7,4.73,3.64,4.47,3.36,3.31,3.37,3.39,3.02,3.15,3.37,3.98,3.7,1.99,1.55,2.61,2.81,1.8,2.33,1.77,1.4,0.0,0.0,1.45,0.0,0.0,0.0,1.96,0.0,0.0,11.94,1.95,4.09,0.0,100.01
01/10/2022,0.0,9.29,5.22,4.88,4.75,3.73,4.56,3.44,3.35,3.29,3.41,2.91,3.25,3.4,3.97,3.81,2.04,1.48,2.61,2.81,1.77,2.25,1.7,1.4,0.0,0.0,1.45,0.0,0.0,0.0,2.02,0.0,0.0,11.06,1.97,4.17,0.0,99.99000000000002
01/11/2022,0.0,9.77,5.51,5.11,4.98,3.9,0.0,3.57,3.5,3.4,3.53,3.0,3.44,3.51,4.16,3.94,2.08,1.52,2.76,2.9,1.77,2.31,1.74,1.42,0.0,0.0,1.47,0.0,0.0,0.0,2.11,0.0,0.0,12.16,2.09,4.34,0.0,99.99
01/12/2022,0.0,9.77,5.51,5.11,4.98,3.9,0.0,3.57,3.5,3.4,3.53,3.0,3.44,3.51,4.16,3.94,2.08,1.52,2.76,2.9,1.77,2.31,1.74,1.42,0.0,0.0,1.47,0.0,0.0,0.0,2.11,0.0,0.0,12.16,2.09,4.34,0.0,99.99
01/13/2022,0.0,9.04,5.11,4.76,4.55,3.6,0.0,3.32,3.18,3.25,3.31,2.87,3.15,3.25,3.89,3.65,1.95,1.38,2.57,2.71,1.62,2.2,1.62,1.31,0.0,0.0,1.33,0.0,0.0,0.0,1.99,0.0,0.0,15.46,1.94,4.0,2.99,100.0
01/14/2022,0.0,9.29,5.27,4.95,4.73,3.66,0.0,3.42,3.33,3.37,3.42,2.95,3.21,3.33,3.97,3.7,2.02,1.46,2.66,2.83,1.63,2.26,1.68,1.34,0.0,0.0,1.4,0.0,0.0,0.0,2.08,0.0,0.0,12.85,2.07,4.08,3.04,100.0
01/17/2022,0.0,9.33,5.3,5.0,4.78,3.69,0.0,3.43,3.36,3.36,3.38,2.95,3.21,3.33,3.95,3.7,2.02,1.46,2.66,2.85,1.6,2.26,1.61,1.33,0.0,0.0,1.37,0.0,0.0,0.0,2.04,0.0,0.0,12.85,2.07,4.07,3.03,99.98999999999998
01/24/2022,0.0,9.21,5.19,5.1,4.6,3.73,0.0,3.47,3.26,3.63,3.25,3.04,3.31,3.37,3.7,3.69,2.02,1.4,2.62,2.84,1.53,2.34,1.6,1.3,0.0,0.0,1.29,0.0,0.0,0.0,2.03,0.0,0.0,13.13,2.14,4.14,3.07,100.0
01/25/2022,0.0,9.16,5.18,5.05,4.56,3.79,0.0,3.45,3.23,3.57,3.22,3.0,3.31,3.43,3.75,3.72,2.03,1.43,2.62,2.87,1.56,2.3,1.59,1.32,0.0,0.0,1.31,0.0,0.0,0.0,2.04,0.0,0.0,13.15,2.11,4.18,3.08,100.01
01/26/2022,0.0,9.16,5.18,5.05,4.56,3.79,0.0,3.45,3.23,3.57,3.22,3.0,3.31,3.43,3.75,3.72,2.03,1.43,2.62,2.87,1.56,2.3,1.59,1.32,0.0,0.0,1.31,0.0,0.0,0.0,2.04,0.0,0.0,13.15,2.11,4.18,3.08,100.01
01/27/2022,0.0,9.07,5.22,4.95,4.51,3.73,0.0,3.38,3.26,3.56,3.21,2.94,3.41,3.41,4.05,3.71,2.03,1.44,2.63,2.81,1.58,2.27,1.59,1.33,0.0,0.0,1.34,0.0,0.0,0.0,2.01,0.0,0.0,13.28,2.13,4.14,3.02,100.01
01/28/2022,0.0,9.18,5.17,5.05,4.5,3.71,0.0,3.32,3.26,3.58,3.17,2.95,3.41,3.4,3.99,3.71,2.02,1.39,2.58,2.82,1.56,2.28,1.55,1.31,0.0,0.0,1.33,0.0,0.0,0.0,2.05,0.0,0.0,13.29,2.23,4.14,3.05,100.0
01/31/2022,0.0,9.29,5.22,5.13,4.53,3.76,0.0,3.36,3.35,3.48,3.12,2.77,3.39,3.43,3.92,3.68,1.97,1.39,2.6,2.82,1.55,2.13,1.52,1.27,0.0,0.0,1.36,0.0,0.0,0.0,2.06,0.0,0.0,13.42,2.32,4.05,3.12,100.01
02/01/2022,0.0,9.37,5.23,5.12,4.46,3.79,0.0,3.33,3.37,3.42,3.15,2.72,3.38,3.4,3.89,3.73,2.02,1.41,2.64,2.79,1.57,2.09,1.55,1.27,0.0,0.0,1.39,0.0,0.0,0.0,2.05,0.0,0.0,13.32,2.3,4.15,3.11,100.02
02/02/2022,0.0,9.37,5.23,5.12,4.46,3.79,0.0,3.33,3.37,3.42,3.15,2.72,3.38,3.4,3.89,3.73,2.02,1.41,2.64,2.79,1.57,2.09,1.55,1.27,0.0,0.0,1.39,0.0,0.0,0.0,2.05,0.0,0.0,13.32,2.3,4.15,3.11,100.02
02/03/2022,0.0,9.37,5.23,5.12,4.46,3.79,0.0,3.33,3.37,3.42,3.15,2.72,3.38,3.4,3.89,3.73,2.02,1.41,2.64,2.79,1.57,2.09,1.55,1.27,0.0,0.0,1.39,0.0,0.0,0.0,2.05,0.0,0.0,13.32,2.3,4.15,3.11,100.02
02/04/2022,0.0,9.28,5.25,5.17,4.45,3.81,0.0,3.3,3.38,3.49,3.12,2.78,3.34,3.37,3.86,3.73,2.02,1.44,2.64,2.78,1.57,2.14,1.6,1.3,0.0,0.0,1.38,0.0,0.0,0.0,2.08,0.0,0.0,13.19,2.31,4.13,3.1,100.00999999999998
02/07/2022,0.0,9.37,5.34,5.2,4.55,3.8,0.0,3.31,3.34,3.47,3.11,2.8,3.43,3.35,3.8,3.67,1.99,1.44,2.7,2.74,1.54,2.16,1.57,1.25,0.0,0.0,1.37,0.0,0.0,0.0,2.1,0.0,0.0,13.04,2.31,4.13,3.09,99.97
02/08/2022,0.0,9.34,5.39,5.24,4.42,3.78,0.0,2.97,3.53,3.5,3.09,2.8,3.45,3.37,3.86,3.74,1.99,1.44,2.73,2.76,1.52,2.17,1.54,1.26,0.0,0.0,1.33,0.0,0.0,0.0,2.1,0.0,0.0,13.19,2.36,4.14,2.99,100.0
02/09/2022,0.0,9.34,5.39,5.24,4.42,3.78,0.0,2.97,3.53,3.5,3.09,2.8,3.45,3.37,3.86,3.74,1.99,1.44,2.73,2.76,1.52,2.17,1.54,1.26,0.0,0.0,1.33,0.0,0.0,0.0,2.1,0.0,0.0,13.19,2.36,4.14,2.99,100.0
02/10/2022,0.0,9.37,5.35,5.29,4.37,3.78,0.0,2.97,3.48,3.57,3.09,2.86,3.44,3.38,3.92,3.72,1.97,1.44,2.7,2.73,1.52,2.21,1.53,1.26,0.0,0.0,1.33,0.0,0.0,0.0,2.11,0.0,0.0,13.18,2.37,4.11,2.95,100.0
