,KDP,NOC,GD,HRL,TSN,MO,NUE,VMC,CAG,MLM,CLX,CHD,CPB,SJM,WRK,FBHS,PKG,LII,STLD,SMG,HUBB,RS,POST,WMS,PII,HII,UTHR,LPX,LANC,FLO,EXP,UFPI,SPWR,SAFM,AJRD,LCII,ATKR,WOR,THS,SPXC,CENT,VSTO,WGO,MLI,CNR,VGR,KALU,HNI,LZB,WIRE,FRTA,AMWD,REVG,APOG,USCR,WNC,TMST,SPLP,SENEA,CLW,ZEUS,n/a,HSY,CLF,OSK,REYN,SAM,BWXT,SSD,SKY,EBS,ACA,SNBR,SUM
09/10/2021,5.08,4.95,5.4,4.45,5.16,5.17,5.52,4.35,3.65,4.06,3.52,3.47,3.1,2.88,2.44,2.37,2.55,2.12,2.36,1.59,1.88,1.59,1.55,1.54,1.26,1.33,1.55,1.25,1.03,1.12,1.06,0.83,0.56,0.74,0.57,0.63,0.76,0.52,0.5,0.48,0.37,0.41,0.44,0.43,0.36,0.38,0.35,0.28,0.26,0.3,0.27,0.21,0.22,0.19,0.0,0.14,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/13/2021,5.16,4.97,5.46,4.49,5.09,5.18,5.4,4.33,3.69,4.05,3.56,3.5,3.11,2.93,2.44,2.36,2.55,2.15,2.34,1.58,1.88,1.59,1.58,1.53,1.25,1.34,1.57,1.25,1.04,1.13,1.04,0.82,0.54,0.73,0.58,0.61,0.73,0.51,0.5,0.48,0.38,0.4,0.43,0.43,0.36,0.38,0.33,0.27,0.26,0.3,0.27,0.21,0.19,0.19,0.0,0.13,0.1,0.1,0.09,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
09/14/2021,5.13,4.92,5.42,4.49,5.03,5.19,5.44,4.4,3.67,4.09,3.58,3.44,3.14,2.93,2.48,2.38,2.57,2.12,2.36,1.56,1.84,1.6,1.55,1.56,1.31,1.34,1.58,1.25,1.03,1.12,1.05,0.81,0.54,0.71,0.57,0.62,0.74,0.51,0.49,0.47,0.37,0.43,0.44,0.42,0.34,0.37,0.34,0.27,0.26,0.3,0.27,0.2,0.21,0.18,0.0,0.12,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,5.13,4.92,5.42,4.49,5.03,5.19,5.44,4.4,3.67,4.09,3.58,3.44,3.14,2.93,2.48,2.38,2.57,2.12,2.36,1.56,1.84,1.6,1.55,1.56,1.31,1.34,1.58,1.25,1.03,1.12,1.05,0.81,0.54,0.71,0.57,0.62,0.74,0.51,0.49,0.47,0.37,0.43,0.44,0.42,0.34,0.37,0.34,0.27,0.26,0.3,0.27,0.2,0.21,0.18,0.0,0.12,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,5.13,4.92,5.42,4.49,5.03,5.19,5.44,4.4,3.67,4.09,3.58,3.44,3.14,2.93,2.48,2.38,2.57,2.12,2.36,1.56,1.84,1.6,1.55,1.56,1.31,1.34,1.58,1.25,1.03,1.12,1.05,0.81,0.54,0.71,0.57,0.62,0.74,0.51,0.49,0.47,0.37,0.43,0.44,0.42,0.34,0.37,0.34,0.27,0.26,0.3,0.27,0.2,0.21,0.18,0.0,0.12,0.1,0.1,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,5.17,4.91,5.35,4.52,5.14,5.13,5.28,4.4,3.69,4.07,3.61,3.46,3.18,2.97,2.46,2.41,2.56,2.11,2.28,1.58,1.83,1.61,1.56,1.53,1.32,1.35,1.57,1.23,1.01,1.11,1.06,0.82,0.57,0.71,0.56,0.62,0.76,0.52,0.5,0.47,0.38,0.43,0.44,0.43,0.34,0.33,0.33,0.27,0.26,0.3,0.27,0.2,0.22,0.19,0.0,0.13,0.11,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/20/2021,5.26,4.98,5.38,4.45,5.17,5.09,5.35,4.37,3.73,4.03,3.59,3.51,3.23,2.97,2.45,2.39,2.49,2.07,2.35,1.51,1.84,1.63,1.57,1.42,1.34,1.35,1.55,1.22,1.02,1.11,1.04,0.82,0.56,0.73,0.56,0.63,0.77,0.53,0.49,0.46,0.38,0.44,0.44,0.43,0.33,0.32,0.34,0.28,0.26,0.31,0.27,0.2,0.22,0.19,0.0,0.13,0.11,0.11,0.09,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,5.27,4.98,5.37,4.57,5.23,5.11,5.2,4.31,3.8,3.89,3.59,3.56,3.22,3.05,2.43,2.41,2.45,2.06,2.27,1.5,1.82,1.59,1.6,1.47,1.33,1.35,1.54,1.24,1.04,1.13,0.99,0.82,0.59,0.75,0.57,0.64,0.76,0.52,0.5,0.45,0.4,0.44,0.44,0.42,0.33,0.33,0.32,0.29,0.26,0.31,0.27,0.21,0.23,0.18,0.0,0.13,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
09/22/2021,5.27,4.98,5.37,4.57,5.23,5.11,5.2,4.31,3.8,3.89,3.59,3.56,3.22,3.05,2.43,2.41,2.45,2.06,2.27,1.5,1.82,1.59,1.6,1.47,1.33,1.35,1.54,1.24,1.04,1.13,0.99,0.82,0.59,0.75,0.57,0.64,0.76,0.52,0.5,0.45,0.4,0.44,0.44,0.42,0.33,0.33,0.32,0.29,0.26,0.31,0.27,0.21,0.23,0.18,0.0,0.13,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
09/23/2021,5.27,4.98,5.37,4.57,5.23,5.11,5.2,4.31,3.8,3.89,3.59,3.56,3.22,3.05,2.43,2.41,2.45,2.06,2.27,1.5,1.82,1.59,1.6,1.47,1.33,1.35,1.54,1.24,1.04,1.13,0.99,0.82,0.59,0.75,0.57,0.64,0.76,0.52,0.5,0.45,0.4,0.44,0.44,0.42,0.33,0.33,0.32,0.29,0.26,0.31,0.27,0.21,0.23,0.18,0.0,0.13,0.1,0.11,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999997
09/24/2021,5.12,5.07,4.92,3.64,3.5,4.98,4.44,3.62,2.46,3.36,0.0,3.16,2.0,2.15,2.04,2.07,2.07,1.9,1.97,1.39,1.68,1.5,1.22,1.29,1.27,1.34,1.51,1.09,0.91,0.95,1.06,0.85,0.0,0.87,0.0,0.7,0.85,0.67,0.54,0.6,0.34,0.58,0.54,0.57,0.47,0.48,0.0,0.48,0.0,0.51,0.46,0.4,0.43,0.37,0.0,0.35,0.0,0.35,0.29,0.34,0.27,0.0,3.8,1.61,1.28,1.09,1.03,0.98,0.9,0.74,0.67,0.59,0.57,100.02
09/27/2021,5.06,5.05,4.97,3.51,3.46,4.96,4.5,3.7,2.43,3.41,0.0,3.07,1.96,2.1,2.09,2.05,2.1,1.88,1.98,1.36,1.7,1.52,1.23,1.29,1.29,1.35,1.49,1.12,0.89,0.94,1.07,0.85,0.0,0.85,0.0,0.72,0.92,0.67,0.53,0.6,0.34,0.59,0.54,0.57,0.48,0.48,0.0,0.48,0.0,0.53,0.45,0.41,0.44,0.36,0.0,0.36,0.0,0.36,0.29,0.34,0.27,0.0,3.76,1.66,1.28,1.06,1.02,0.98,0.91,0.75,0.66,0.6,0.59,100.01
09/28/2021,5.02,5.14,5.0,3.54,3.47,4.94,4.58,3.66,2.45,3.37,0.0,3.02,1.98,2.09,2.1,2.02,2.09,1.89,2.01,1.36,1.69,1.51,1.23,1.28,1.29,1.36,1.46,1.12,0.9,0.95,1.08,0.85,0.0,0.85,0.0,0.72,0.94,0.67,0.54,0.59,0.33,0.59,0.54,0.57,0.48,0.48,0.0,0.48,0.0,0.55,0.45,0.4,0.44,0.36,0.0,0.36,0.0,0.34,0.3,0.34,0.28,0.0,3.79,1.64,1.29,1.04,1.0,0.97,0.92,0.74,0.64,0.58,0.57,100.0
09/29/2021,5.02,5.14,5.0,3.54,3.47,4.94,4.58,3.66,2.45,3.37,0.0,3.02,1.98,2.09,2.1,2.02,2.09,1.89,2.01,1.36,1.69,1.51,1.23,1.28,1.29,1.36,1.46,1.12,0.9,0.95,1.08,0.85,0.0,0.85,0.0,0.72,0.94,0.67,0.54,0.59,0.33,0.59,0.54,0.57,0.48,0.48,0.0,0.48,0.0,0.55,0.45,0.4,0.44,0.36,0.0,0.36,0.0,0.34,0.3,0.34,0.28,0.0,3.79,1.64,1.29,1.04,1.0,0.97,0.92,0.74,0.64,0.58,0.57,100.0
09/30/2021,5.02,5.14,5.0,3.54,3.47,4.94,4.58,3.66,2.45,3.37,0.0,3.02,1.98,2.09,2.1,2.02,2.09,1.89,2.01,1.36,1.69,1.51,1.23,1.28,1.29,1.36,1.46,1.12,0.9,0.95,1.08,0.85,0.0,0.85,0.0,0.72,0.94,0.67,0.54,0.59,0.33,0.59,0.54,0.57,0.48,0.48,0.0,0.48,0.0,0.55,0.45,0.4,0.44,0.36,0.0,0.36,0.0,0.34,0.3,0.34,0.28,0.0,3.79,1.64,1.29,1.04,1.0,0.97,0.92,0.74,0.64,0.58,0.57,100.0
10/01/2021,5.01,5.14,4.96,3.54,3.52,4.89,4.64,3.65,2.46,3.41,0.0,3.01,1.95,2.09,2.15,1.99,2.08,1.84,2.06,1.39,1.68,1.53,1.23,1.25,1.3,1.36,1.39,1.14,0.89,0.95,1.08,0.85,0.0,0.84,0.0,0.75,0.9,0.69,0.53,0.58,0.35,0.58,0.59,0.57,0.47,0.49,0.0,0.48,0.0,0.55,0.45,0.4,0.45,0.37,0.0,0.37,0.0,0.33,0.3,0.35,0.28,0.0,3.65,1.63,1.3,1.05,1.0,0.96,0.93,0.73,0.64,0.6,0.59,99.98
10/04/2021,5.08,5.19,4.97,3.57,3.63,4.92,4.48,3.57,2.52,3.36,0.0,3.03,1.97,2.12,2.14,2.0,2.06,1.82,1.98,1.38,1.68,1.51,1.26,1.28,1.31,1.36,1.37,1.15,0.9,0.96,1.07,0.86,0.0,0.83,0.0,0.75,0.88,0.67,0.55,0.59,0.35,0.58,0.59,0.58,0.47,0.49,0.0,0.49,0.0,0.56,0.45,0.4,0.45,0.36,0.0,0.37,0.0,0.33,0.3,0.36,0.28,0.0,3.7,1.58,1.26,1.06,0.99,0.95,0.92,0.73,0.62,0.61,0.6,100.0
10/05/2021,4.94,5.24,5.04,3.56,3.58,4.7,4.45,3.61,2.49,3.42,0.0,3.01,1.94,2.11,2.13,1.99,2.06,1.83,1.97,1.38,1.67,1.52,1.27,1.3,1.3,1.35,1.4,1.15,0.91,0.97,1.08,0.85,0.0,0.85,0.0,0.77,0.87,0.68,0.54,0.61,0.34,0.59,0.64,0.58,0.47,0.52,0.0,0.5,0.0,0.54,0.46,0.41,0.45,0.37,0.0,0.37,0.0,0.34,0.32,0.36,0.29,0.0,3.73,1.58,1.29,1.06,1.0,0.97,0.93,0.72,0.67,0.62,0.55,100.03
10/06/2021,4.94,5.24,5.04,3.56,3.58,4.7,4.45,3.61,2.49,3.42,0.0,3.01,1.94,2.11,2.13,1.99,2.06,1.83,1.97,1.38,1.67,1.52,1.27,1.3,1.3,1.35,1.4,1.15,0.91,0.97,1.08,0.85,0.0,0.85,0.0,0.77,0.87,0.68,0.54,0.61,0.34,0.59,0.64,0.58,0.47,0.52,0.0,0.5,0.0,0.54,0.46,0.41,0.45,0.37,0.0,0.37,0.0,0.34,0.32,0.36,0.29,0.0,3.73,1.58,1.29,1.06,1.0,0.97,0.93,0.72,0.67,0.62,0.55,100.03
10/07/2021,4.94,5.24,5.04,3.56,3.58,4.7,4.45,3.61,2.49,3.42,0.0,3.01,1.94,2.11,2.13,1.99,2.06,1.83,1.97,1.38,1.67,1.52,1.27,1.3,1.3,1.35,1.4,1.15,0.91,0.97,1.08,0.85,0.0,0.85,0.0,0.77,0.87,0.68,0.54,0.61,0.34,0.59,0.64,0.58,0.47,0.52,0.0,0.5,0.0,0.54,0.46,0.41,0.45,0.37,0.0,0.37,0.0,0.34,0.32,0.36,0.29,0.0,3.73,1.58,1.29,1.06,1.0,0.97,0.93,0.72,0.67,0.62,0.55,100.03
10/08/2021,4.87,5.3,5.02,3.59,3.57,4.76,4.41,3.58,2.51,3.37,0.0,2.99,1.97,2.13,2.15,2.02,2.06,1.82,1.97,1.38,1.67,1.51,1.27,1.29,1.31,1.36,1.39,1.12,0.92,0.98,1.08,0.85,0.0,0.84,0.0,0.77,0.86,0.69,0.55,0.61,0.35,0.58,0.64,0.59,0.45,0.52,0.0,0.5,0.0,0.54,0.46,0.41,0.45,0.36,0.0,0.38,0.0,0.34,0.32,0.37,0.29,0.0,3.75,1.59,1.29,1.05,0.99,0.99,0.93,0.72,0.66,0.6,0.54,100.01
10/11/2021,5.02,5.42,5.02,3.6,3.56,4.71,4.33,3.61,2.52,3.41,0.0,2.99,1.97,2.15,2.1,2.05,2.07,1.81,1.92,1.37,1.68,1.48,1.22,1.3,1.29,1.36,1.43,1.1,0.92,1.0,1.06,0.87,0.0,0.84,0.0,0.76,0.84,0.67,0.54,0.61,0.34,0.57,0.61,0.58,0.45,0.52,0.0,0.48,0.0,0.55,0.46,0.4,0.42,0.35,0.0,0.37,0.0,0.33,0.32,0.37,0.28,0.0,3.86,1.6,1.27,1.04,1.02,1.01,0.92,0.7,0.64,0.61,0.52,99.98
10/12/2021,5.12,5.56,5.05,3.57,3.53,4.7,4.39,3.6,2.45,3.39,0.0,2.99,1.94,2.11,2.07,2.06,2.02,1.78,1.96,1.36,1.64,1.47,1.18,1.29,1.35,1.41,1.44,1.11,0.91,0.99,1.08,0.88,0.0,0.84,0.0,0.76,0.84,0.64,0.53,0.63,0.35,0.58,0.61,0.59,0.43,0.53,0.0,0.49,0.0,0.57,0.45,0.4,0.41,0.37,0.0,0.38,0.0,0.33,0.33,0.36,0.28,0.0,3.82,1.63,1.21,1.03,1.03,1.0,0.95,0.71,0.63,0.61,0.5,99.99
10/13/2021,5.12,5.56,5.05,3.57,3.53,4.7,4.39,3.6,2.45,3.39,0.0,2.99,1.94,2.11,2.07,2.06,2.02,1.78,1.96,1.36,1.64,1.47,1.18,1.29,1.35,1.41,1.44,1.11,0.91,0.99,1.08,0.88,0.0,0.84,0.0,0.76,0.84,0.64,0.53,0.63,0.35,0.58,0.61,0.59,0.43,0.53,0.0,0.49,0.0,0.57,0.45,0.4,0.41,0.37,0.0,0.38,0.0,0.33,0.33,0.36,0.28,0.0,3.82,1.63,1.21,1.03,1.03,1.0,0.95,0.71,0.63,0.61,0.5,99.99
10/14/2021,5.12,5.56,5.05,3.57,3.53,4.7,4.39,3.6,2.45,3.39,0.0,2.99,1.94,2.11,2.07,2.06,2.02,1.78,1.96,1.36,1.64,1.47,1.18,1.29,1.35,1.41,1.44,1.11,0.91,0.99,1.08,0.88,0.0,0.84,0.0,0.76,0.84,0.64,0.53,0.63,0.35,0.58,0.61,0.59,0.43,0.53,0.0,0.49,0.0,0.57,0.45,0.4,0.41,0.37,0.0,0.38,0.0,0.33,0.33,0.36,0.28,0.0,3.82,1.63,1.21,1.03,1.03,1.0,0.95,0.71,0.63,0.61,0.5,99.99
10/15/2021,5.13,5.6,5.06,3.58,3.52,4.69,4.41,3.52,2.43,3.32,0.0,2.98,1.92,2.1,2.11,2.02,2.01,1.78,2.01,1.37,1.63,1.5,1.17,1.3,1.34,1.44,1.42,1.15,0.9,1.0,1.06,0.88,0.0,0.84,0.0,0.76,0.85,0.65,0.53,0.63,0.35,0.57,0.61,0.58,0.44,0.53,0.0,0.5,0.0,0.57,0.45,0.4,0.4,0.37,0.0,0.37,0.0,0.34,0.32,0.37,0.29,0.0,3.82,1.69,1.18,1.05,1.03,1.01,0.94,0.71,0.62,0.6,0.51,99.98999999999998
10/18/2021,5.23,5.52,5.07,3.61,3.56,4.81,4.48,3.48,2.4,3.3,0.0,2.98,1.9,2.09,2.05,1.99,1.99,1.81,2.02,1.35,1.65,1.5,1.19,1.29,1.32,1.42,1.37,1.2,0.9,1.01,1.08,0.9,0.0,0.84,0.0,0.77,0.82,0.63,0.53,0.62,0.34,0.57,0.61,0.58,0.44,0.52,0.0,0.49,0.0,0.58,0.45,0.4,0.38,0.37,0.0,0.37,0.0,0.35,0.32,0.36,0.29,0.0,3.86,1.69,1.17,1.07,1.01,0.97,0.94,0.7,0.62,0.61,0.47,99.99
10/19/2021,5.1,5.57,5.14,3.61,3.54,4.84,4.5,3.58,2.38,3.43,0.0,2.96,1.87,2.09,1.89,2.03,1.92,1.84,2.03,1.36,1.69,1.52,1.17,1.3,1.36,1.43,1.36,1.18,0.89,0.99,1.1,0.91,0.0,0.82,0.0,0.78,0.83,0.64,0.53,0.63,0.35,0.57,0.55,0.58,0.44,0.52,0.0,0.49,0.0,0.61,0.45,0.4,0.37,0.36,0.0,0.37,0.0,0.36,0.32,0.34,0.29,0.0,3.81,1.67,1.21,1.04,0.97,0.97,0.95,0.7,0.6,0.61,0.47,99.98
10/20/2021,5.1,5.57,5.14,3.61,3.54,4.84,4.5,3.58,2.38,3.43,0.0,2.96,1.87,2.09,1.89,2.03,1.92,1.84,2.03,1.36,1.69,1.52,1.17,1.3,1.36,1.43,1.36,1.18,0.89,0.99,1.1,0.91,0.0,0.82,0.0,0.78,0.83,0.64,0.53,0.63,0.35,0.57,0.55,0.58,0.44,0.52,0.0,0.49,0.0,0.61,0.45,0.4,0.37,0.36,0.0,0.37,0.0,0.36,0.32,0.34,0.29,0.0,3.81,1.67,1.21,1.04,0.97,0.97,0.95,0.7,0.6,0.61,0.47,99.98
10/21/2021,5.1,5.57,5.14,3.61,3.54,4.84,4.5,3.58,2.38,3.43,0.0,2.96,1.87,2.09,1.89,2.03,1.92,1.84,2.03,1.36,1.69,1.52,1.17,1.3,1.36,1.43,1.36,1.18,0.89,0.99,1.1,0.91,0.0,0.82,0.0,0.78,0.83,0.64,0.53,0.63,0.35,0.57,0.55,0.58,0.44,0.52,0.0,0.49,0.0,0.61,0.45,0.4,0.37,0.36,0.0,0.37,0.0,0.36,0.32,0.34,0.29,0.0,3.81,1.67,1.21,1.04,0.97,0.97,0.95,0.7,0.6,0.61,0.47,99.98
10/22/2021,5.01,5.62,5.2,3.52,3.56,4.76,4.57,3.64,2.38,3.47,0.0,2.99,1.85,2.07,1.96,2.07,1.91,1.84,2.08,1.36,1.7,1.52,1.16,1.27,1.37,1.42,1.36,1.14,0.88,0.98,1.09,0.9,0.0,0.82,0.0,0.76,0.85,0.64,0.51,0.64,0.34,0.58,0.57,0.62,0.43,0.51,0.0,0.49,0.0,0.61,0.45,0.4,0.37,0.36,0.0,0.37,0.0,0.34,0.32,0.33,0.28,0.0,3.81,1.64,1.22,1.04,0.97,0.97,0.94,0.71,0.61,0.61,0.48,100.04
10/25/2021,4.98,5.58,5.13,3.5,3.57,4.75,4.59,3.72,2.39,3.53,0.0,2.97,1.85,2.06,1.97,2.08,1.92,1.83,2.1,1.34,1.7,1.52,1.15,1.22,1.3,1.42,1.38,1.15,0.88,0.98,1.09,0.91,0.0,0.81,0.0,0.75,0.86,0.64,0.51,0.64,0.34,0.58,0.55,0.63,0.44,0.51,0.0,0.49,0.0,0.6,0.44,0.4,0.37,0.36,0.0,0.37,0.0,0.35,0.32,0.38,0.28,0.0,3.78,1.67,1.24,1.03,0.96,0.98,0.94,0.72,0.58,0.61,0.48,99.99
10/26/2021,4.92,5.62,5.14,3.49,3.58,4.75,4.48,3.7,2.37,3.55,0.0,2.98,1.83,2.07,1.96,2.04,1.92,1.84,2.05,1.34,1.7,1.51,1.16,1.23,1.32,1.42,1.38,1.15,0.88,0.98,1.1,0.98,0.0,0.82,0.0,0.76,0.84,0.64,0.51,0.64,0.34,0.6,0.54,0.64,0.45,0.51,0.0,0.5,0.0,0.6,0.44,0.41,0.37,0.37,0.0,0.37,0.0,0.35,0.32,0.4,0.28,0.0,3.79,1.64,1.24,1.03,0.97,0.99,0.94,0.72,0.6,0.61,0.5,100.0
10/27/2021,4.92,5.62,5.14,3.49,3.58,4.75,4.48,3.7,2.37,3.55,0.0,2.98,1.83,2.07,1.96,2.04,1.92,1.84,2.05,1.34,1.7,1.51,1.16,1.23,1.32,1.42,1.38,1.15,0.88,0.98,1.1,0.98,0.0,0.82,0.0,0.76,0.84,0.64,0.51,0.64,0.34,0.6,0.54,0.64,0.45,0.51,0.0,0.5,0.0,0.6,0.44,0.41,0.37,0.37,0.0,0.37,0.0,0.35,0.32,0.4,0.28,0.0,3.79,1.64,1.24,1.03,0.97,0.99,0.94,0.72,0.6,0.61,0.5,100.0
10/28/2021,4.92,5.62,5.14,3.49,3.58,4.75,4.48,3.7,2.37,3.55,0.0,2.98,1.83,2.07,1.96,2.04,1.92,1.84,2.05,1.34,1.7,1.51,1.16,1.23,1.32,1.42,1.38,1.15,0.88,0.98,1.1,0.98,0.0,0.82,0.0,0.76,0.84,0.64,0.51,0.64,0.34,0.6,0.54,0.64,0.45,0.51,0.0,0.5,0.0,0.6,0.44,0.41,0.37,0.37,0.0,0.37,0.0,0.35,0.32,0.4,0.28,0.0,3.79,1.64,1.24,1.03,0.97,0.99,0.94,0.72,0.6,0.61,0.5,100.0
