,WAT,DHR,ROP,AWK,ECL,ITRI,XYL,WMS,WTRG,TTC,AOS,IEX,PNR,TTEK,AQUA,VMI,RXN,WTS,BMI,AWR,FELE,CWT,MWA,SAJA.,ERII,MLI,LNN,MSEX,SJW,STN.TO,GRC,YORW,AGPXX,CWCO,NWPX,ARTNA,GWRS,Global Water Resources Inc,003000.KS,Cash/Receivables/Payables,AP4.SI,n/a,SBS,STN,ZWS,RBC,AWC.,SUM
11/16/2021,6.7,7.44,7.85,7.41,8.16,2.73,3.78,4.52,3.74,3.64,4.34,4.13,3.8,3.95,3.41,2.5,0.0,2.34,1.2,1.53,1.34,1.18,1.16,1.14,0.85,1.49,0.79,2.02,0.57,0.29,0.31,0.18,0.05,0.14,0.16,0.13,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100.01999999999998
11/17/2021,6.77,7.38,7.93,7.36,8.22,2.73,3.76,4.48,3.73,3.67,4.44,4.12,3.86,3.95,3.43,2.47,0.0,2.3,1.19,1.51,1.32,1.18,1.13,1.09,0.85,1.43,0.79,2.01,0.56,0.29,0.31,0.18,0.05,0.13,0.17,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,100.01
11/18/2021,6.6,7.31,7.95,7.49,8.26,2.74,3.76,4.5,3.78,3.66,4.45,4.14,3.9,3.97,3.25,2.46,0.0,2.3,1.18,1.53,1.32,1.2,1.13,1.11,0.83,1.43,0.8,2.02,0.56,0.29,0.31,0.18,0.07,0.14,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,0.0,0.0,100.00999999999998
11/19/2021,6.62,7.4,8.0,7.35,8.13,2.7,3.77,4.49,3.73,3.71,4.45,4.14,3.93,3.99,3.52,2.43,0.0,2.29,1.18,1.5,1.32,1.19,1.12,1.06,0.83,1.41,0.8,2.02,0.55,0.29,0.31,0.18,0.07,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,100.03
11/24/2021,6.56,7.52,8.01,7.38,8.09,2.49,3.68,4.44,3.79,3.69,4.4,4.06,3.99,4.11,3.63,2.46,0.0,2.26,1.16,1.55,1.32,1.24,1.11,1.02,0.89,1.4,0.78,2.08,0.55,0.29,0.31,0.17,0.07,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,100.00999999999998
11/25/2021,6.52,7.54,7.95,7.47,8.11,2.48,3.65,4.49,3.82,3.71,4.44,4.09,3.93,4.1,3.52,2.45,0.0,2.28,1.18,1.55,1.33,1.25,1.12,1.01,0.88,1.4,0.79,2.1,0.56,0.28,0.31,0.18,0.08,0.13,0.17,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,100.0
12/02/2021,6.54,7.99,7.91,7.55,8.0,2.46,3.6,4.43,3.87,3.73,4.41,4.15,3.95,4.19,3.59,2.4,0.0,2.21,1.15,1.56,1.3,1.22,1.09,1.02,0.82,1.35,0.76,2.03,0.55,0.28,0.3,0.17,0.08,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,100.03
12/06/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/07/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/08/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/09/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/10/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/13/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/14/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/15/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/16/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/17/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/20/2021,6.49,7.85,7.78,7.53,8.02,2.42,3.55,4.45,3.93,3.74,4.49,4.1,3.81,4.23,3.57,2.46,0.0,2.22,1.17,1.6,1.3,1.26,1.1,1.11,0.81,1.38,0.76,2.02,0.56,0.28,0.31,0.18,0.14,0.13,0.16,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,100.00999999999998
12/21/2021,8.34,7.65,8.04,8.53,7.99,2.56,3.75,4.07,4.28,3.73,4.02,4.0,3.74,3.09,3.36,2.04,0.0,2.3,1.11,1.57,1.18,1.51,1.64,1.78,0.83,1.2,0.8,0.97,0.65,0.5,0.2,0.22,0.12,0.06,0.14,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,100.01
12/23/2021,8.43,7.78,8.01,8.63,8.06,2.4,3.75,4.0,4.33,3.7,3.99,3.96,3.73,3.11,3.32,2.02,0.0,2.26,1.1,1.61,1.18,1.54,1.6,1.76,0.85,1.19,0.8,0.99,0.66,0.5,0.2,0.21,0.13,0.06,0.14,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,0.0,100.0
12/24/2021,8.35,7.66,7.98,8.44,7.99,2.52,3.76,4.09,4.31,3.79,4.01,3.99,3.74,3.07,3.41,2.07,0.0,2.29,1.1,1.56,1.19,1.53,1.64,1.75,0.84,1.2,0.8,0.99,0.64,0.51,0.2,0.21,0.12,0.06,0.15,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,0.0,100.05
12/27/2021,8.5,7.69,7.95,0.0,7.95,2.56,3.74,4.16,4.26,3.81,4.04,3.96,3.73,3.14,3.41,2.06,0.0,2.27,1.1,1.53,1.18,1.48,1.63,1.74,0.85,1.21,0.82,0.99,0.63,0.51,0.2,0.21,0.12,0.06,0.15,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,0.0,8.33,100.06000000000002
01/03/2022,8.57,7.72,7.96,0.0,7.98,2.55,3.72,4.11,4.27,3.74,4.08,3.96,3.71,3.1,3.39,2.05,0.0,2.27,1.08,1.54,1.19,1.5,1.63,1.75,0.84,1.2,0.8,1.03,0.64,0.5,0.19,0.21,0.12,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,8.43,100.05
01/03/2022,8.54,7.69,7.97,0.0,7.97,2.57,3.72,4.14,4.27,3.74,4.08,3.96,3.73,3.1,3.39,2.05,0.0,2.28,1.09,1.54,1.19,1.5,1.62,1.76,0.84,1.19,0.8,1.03,0.64,0.5,0.19,0.21,0.06,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,8.43,100.01
01/03/2022,8.54,7.69,7.97,0.0,7.97,2.57,3.72,4.14,4.27,3.74,4.08,3.96,3.73,3.1,3.39,2.05,0.0,2.28,1.09,1.54,1.19,1.5,1.62,1.76,0.84,1.19,0.8,1.03,0.64,0.5,0.19,0.21,0.06,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,8.43,100.01
01/04/2022,8.54,7.69,7.97,0.0,7.97,2.57,3.72,4.14,4.27,3.74,4.08,3.96,3.73,3.1,3.39,2.05,0.0,2.28,1.09,1.54,1.19,1.5,1.62,1.76,0.84,1.19,0.8,1.03,0.64,0.5,0.19,0.21,0.06,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,8.43,100.01
01/05/2022,8.54,7.69,7.97,0.0,7.97,2.57,3.72,4.14,4.27,3.74,4.08,3.96,3.73,3.1,3.39,2.05,0.0,2.28,1.09,1.54,1.19,1.5,1.62,1.76,0.84,1.19,0.8,1.03,0.64,0.5,0.19,0.21,0.06,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,8.43,100.01
01/06/2022,8.5,7.51,7.83,0.0,7.94,2.62,3.69,4.16,4.3,3.79,4.04,3.93,3.69,3.18,3.53,2.08,0.0,2.29,1.11,1.55,1.2,1.53,1.63,1.73,0.86,1.2,0.82,1.04,0.65,0.5,0.2,0.21,0.06,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,8.36,100.01
01/07/2022,8.34,7.33,7.78,0.0,8.1,2.64,3.74,4.23,4.29,3.88,4.13,4.03,3.74,3.21,3.44,2.11,0.0,2.32,1.06,1.52,1.22,1.49,1.63,1.68,0.87,1.22,0.84,1.04,0.63,0.5,0.2,0.21,0.05,0.06,0.15,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,8.17,100.01
01/10/2022,8.45,7.43,7.98,0.0,8.18,2.58,3.78,4.15,4.34,3.85,4.18,4.04,3.7,2.98,3.37,2.1,0.0,2.33,1.07,1.55,1.24,1.5,1.64,1.6,0.84,1.24,0.76,1.05,0.65,0.51,0.2,0.21,0.05,0.06,0.16,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,0.0,8.17,100.02999999999999
