,PZZA,CHUY,RICK,DPZ,FRGI,BLMN,SBUX,DIN,YUM,JACK,CBRL,CMG,DRI,WING,WEN,EAT,TACO,RUTH,LOCO,TXRH,CAKE,MCD,QSR,DASH,SHAK,YUMC,BJRI,FENER.IS,DENN,GRUB,TAST,PLAY,n/a,002960.SZ,STKS,SG,ARCO,BROS,BBQ,SUM
12/29/2021,5.69,2.86,6.62,5.46,4.19,3.98,0.87,2.02,3.31,3.57,0.79,3.63,4.02,4.83,3.62,0.0,5.41,3.12,2.33,0.9,2.07,2.53,1.8,1.41,1.22,1.01,1.09,0.0,3.55,0.61,0.54,5.09,6.0,0.0,4.75,1.1,0.0,0.0,0.0,99.99
12/30/2021,5.76,2.81,6.89,5.56,4.15,4.02,0.88,1.97,3.37,3.58,0.79,3.65,4.04,4.82,3.65,0.0,5.37,3.12,2.27,0.89,2.07,2.54,1.81,1.43,1.2,1.01,1.09,0.0,3.54,0.62,0.55,5.08,5.45,0.0,4.81,1.22,0.0,0.0,0.0,100.01
12/31/2021,5.77,2.8,6.88,5.6,4.18,4.06,0.9,1.95,3.38,3.64,0.8,3.65,4.04,4.83,3.68,0.0,5.41,3.16,2.27,0.91,2.04,2.55,1.83,1.41,1.18,1.01,1.08,0.0,3.52,0.61,0.53,5.02,5.47,0.0,4.77,1.08,0.0,0.0,0.0,100.01
01/03/2022,5.78,2.89,7.06,5.58,4.12,4.02,0.9,1.89,3.38,3.69,0.8,3.62,4.03,4.92,3.7,0.0,5.37,3.07,2.27,0.91,2.04,2.54,1.83,1.4,1.2,1.03,1.07,0.0,3.57,0.61,0.53,4.96,5.47,0.0,4.66,1.12,0.0,0.0,0.0,100.03
01/03/2022,5.78,2.89,7.06,5.58,4.12,4.02,0.9,1.89,3.38,3.69,0.8,3.62,4.03,4.92,3.7,0.0,5.37,3.07,2.27,0.91,2.04,2.54,1.83,1.4,1.2,1.03,1.07,0.0,3.57,0.61,0.53,4.96,5.47,0.0,4.66,1.12,0.0,0.0,0.0,100.03
01/03/2022,5.78,2.89,7.06,5.58,4.12,4.02,0.9,1.89,3.38,3.69,0.8,3.62,4.03,4.92,3.7,0.0,5.37,3.07,2.27,0.91,2.04,2.54,1.83,1.4,1.2,1.03,1.07,0.0,3.57,0.61,0.53,4.96,5.47,0.0,4.66,1.12,0.0,0.0,0.0,100.03
01/04/2022,5.78,2.89,7.06,5.58,4.12,4.02,0.9,1.89,3.38,3.69,0.8,3.62,4.03,4.92,3.7,0.0,5.37,3.07,2.27,0.91,2.04,2.54,1.83,1.4,1.2,1.03,1.07,0.0,3.57,0.61,0.53,4.96,5.47,0.0,4.66,1.12,0.0,0.0,0.0,100.03
01/05/2022,5.78,2.89,7.06,5.58,4.12,4.02,0.9,1.89,3.38,3.69,0.8,3.62,4.03,4.92,3.7,0.0,5.37,3.07,2.27,0.91,2.04,2.54,1.83,1.4,1.2,1.03,1.07,0.0,3.57,0.61,0.53,4.96,5.47,0.0,4.66,1.12,0.0,0.0,0.0,100.03
01/06/2022,5.74,2.9,7.11,5.66,4.12,3.99,0.91,1.87,3.4,3.69,0.8,3.63,4.08,4.83,3.71,0.0,5.39,3.08,2.29,0.9,2.02,2.55,1.84,1.37,1.19,1.05,1.05,0.0,3.6,0.61,0.54,4.96,5.32,0.0,4.68,1.12,0.0,0.0,0.0,100.0
01/07/2022,5.35,3.02,7.95,5.31,4.21,4.1,0.88,1.92,3.33,3.68,0.83,3.39,4.06,4.66,3.67,0.0,5.34,3.23,2.31,0.92,2.04,2.53,1.76,1.24,1.19,1.02,1.08,0.0,3.64,0.58,0.58,5.1,5.24,0.0,4.8,1.05,0.0,0.0,0.0,100.01
01/10/2022,5.41,2.89,8.33,5.26,4.09,4.11,0.86,1.92,3.35,3.78,0.84,3.37,3.98,4.78,3.74,0.0,5.39,3.15,2.25,0.92,2.01,2.57,1.78,1.26,1.16,1.02,1.05,0.0,3.64,0.56,0.55,4.94,5.33,0.0,4.76,0.94,0.0,0.0,0.0,99.99
01/11/2022,5.55,2.88,8.4,5.15,4.06,4.09,0.84,1.91,3.35,3.81,0.85,3.35,3.98,4.63,3.78,0.0,5.46,3.09,2.25,0.92,2.02,2.57,1.79,1.23,1.16,1.05,1.03,0.0,3.61,0.57,0.53,5.01,5.4,0.0,4.72,0.96,0.0,0.0,0.0,100.0
01/12/2022,5.55,2.88,8.4,5.15,4.06,4.09,0.84,1.91,3.35,3.81,0.85,3.35,3.98,4.63,3.78,0.0,5.46,3.09,2.25,0.92,2.02,2.57,1.79,1.23,1.16,1.05,1.03,0.0,3.61,0.57,0.53,5.01,5.4,0.0,4.72,0.96,0.0,0.0,0.0,100.0
01/13/2022,5.53,2.9,8.11,5.1,4.18,4.16,0.83,1.93,3.31,3.89,0.85,3.25,4.02,4.53,3.77,0.0,5.48,3.1,2.33,0.91,2.01,2.55,1.79,1.24,1.14,1.03,1.05,0.0,3.73,0.55,0.54,5.06,5.41,0.0,4.75,0.96,0.0,0.0,0.0,99.99
01/14/2022,5.35,2.86,8.23,4.95,4.0,4.1,0.82,1.87,3.25,3.9,0.84,3.34,3.98,4.64,3.77,0.0,5.48,3.15,2.28,0.9,1.99,2.53,1.83,1.34,1.29,1.04,1.02,0.0,3.71,0.56,0.53,5.07,5.43,0.0,4.98,0.97,0.0,0.0,0.0,100.0
01/17/2022,6.5,2.81,7.97,6.19,1.4,1.45,0.82,1.89,3.26,3.89,0.83,3.24,4.04,4.48,3.79,0.0,5.59,3.28,2.34,0.91,2.04,2.57,1.81,1.25,1.22,1.04,1.04,0.0,3.75,0.64,0.55,5.08,2.09,0.0,4.88,0.98,6.4,0.0,0.0,100.02
01/24/2022,6.64,2.63,7.58,6.19,1.37,1.41,0.82,1.75,3.33,3.96,0.82,3.25,4.04,4.3,3.79,0.0,5.94,3.18,2.29,0.91,2.03,2.65,1.87,1.28,1.17,1.05,0.99,0.0,3.7,0.67,0.53,4.92,2.16,0.0,4.94,0.96,6.89,0.0,0.0,100.01
01/25/2022,6.73,2.61,7.38,6.04,1.37,1.39,0.83,1.72,3.4,3.97,0.8,3.2,4.07,4.43,3.82,0.0,6.03,3.16,2.35,0.89,2.04,2.71,1.88,1.2,1.17,1.07,0.99,0.0,3.68,0.65,0.53,4.9,2.19,0.0,4.91,0.96,6.94,0.0,0.0,100.01000000000002
01/26/2022,6.73,2.61,7.38,6.04,1.37,1.39,0.83,1.72,3.4,3.97,0.8,3.2,4.07,4.43,3.82,0.0,6.03,3.16,2.35,0.89,2.04,2.71,1.88,1.2,1.17,1.07,0.99,0.0,3.68,0.65,0.53,4.9,2.19,0.0,4.91,0.96,6.94,0.0,0.0,100.01000000000002
01/27/2022,6.71,3.89,7.1,6.09,1.38,1.39,0.82,1.76,3.32,3.98,0.8,3.16,3.96,4.4,3.74,0.0,5.8,3.2,2.37,0.9,2.04,2.59,1.81,1.16,1.15,1.04,1.01,0.0,3.63,0.61,0.53,4.91,2.11,0.0,4.84,1.14,6.68,0.0,0.0,100.02
01/28/2022,6.71,3.89,7.1,6.09,1.38,1.39,0.82,1.76,3.32,3.98,0.8,3.16,3.96,4.4,3.74,0.0,5.8,3.2,2.37,0.9,2.04,2.59,1.81,1.16,1.15,1.04,1.01,0.0,3.63,0.61,0.53,4.91,2.11,0.0,4.84,1.14,6.68,0.0,0.0,100.02
01/31/2022,6.94,5.49,6.8,5.97,0.0,0.0,0.83,1.78,3.28,4.21,0.0,3.12,4.09,4.49,3.85,0.0,6.04,0.0,2.32,0.9,2.01,2.64,1.83,0.0,1.1,1.05,0.98,0.0,3.71,0.58,0.47,4.92,0.85,0.0,4.84,1.11,7.57,6.21,0.0,99.98
02/01/2022,7.06,5.47,6.66,5.99,0.0,0.0,0.82,1.78,3.27,4.15,0.0,3.2,4.09,4.59,3.84,0.0,5.91,0.0,2.32,0.92,1.96,2.66,1.82,0.0,1.13,1.06,1.01,0.0,3.76,0.57,0.47,4.97,0.85,0.0,4.88,1.11,7.68,6.01,0.0,100.01
02/02/2022,7.06,5.47,6.66,5.99,0.0,0.0,0.82,1.78,3.27,4.15,0.0,3.2,4.09,4.59,3.84,0.0,5.91,0.0,2.32,0.92,1.96,2.66,1.82,0.0,1.13,1.06,1.01,0.0,3.76,0.57,0.47,4.97,0.85,0.0,4.88,1.11,7.68,6.01,0.0,100.00999999999998
02/03/2022,7.06,5.47,6.66,5.99,0.0,0.0,0.82,1.78,3.27,4.15,0.0,3.2,4.09,4.59,3.84,0.0,5.91,0.0,2.32,0.92,1.96,2.66,1.82,0.0,1.13,1.06,1.01,0.0,3.76,0.57,0.47,4.97,0.85,0.0,4.88,1.11,7.68,6.01,0.0,100.00999999999998
02/04/2022,6.92,5.37,6.79,6.02,0.0,0.0,0.81,1.78,3.26,4.09,0.0,3.29,4.03,4.56,3.81,0.0,5.75,0.0,2.29,0.92,1.95,2.63,1.81,0.0,1.16,1.08,0.97,0.0,3.71,0.59,0.48,4.92,0.83,0.0,4.98,1.13,7.64,6.44,0.0,100.01
02/07/2022,6.94,5.24,6.8,5.93,0.0,0.0,0.8,1.85,3.23,4.01,0.0,3.25,4.01,4.52,3.75,0.0,5.69,0.0,2.25,0.93,1.99,2.63,1.82,0.0,1.13,1.06,0.98,0.0,3.66,0.58,0.5,4.87,0.86,0.0,4.8,1.03,8.0,6.88,0.0,99.99
02/08/2022,6.76,5.22,6.85,5.77,0.0,0.0,0.78,1.89,3.25,4.1,0.0,3.26,3.95,4.42,3.74,0.0,5.73,0.0,2.23,0.95,1.99,2.62,1.79,0.0,1.18,1.06,0.97,0.0,3.69,0.56,0.5,4.99,0.9,0.0,4.82,0.99,7.97,7.09,0.0,100.02
02/09/2022,6.76,5.22,6.85,5.77,0.0,0.0,0.78,1.89,3.25,4.1,0.0,3.26,3.95,4.42,3.74,0.0,5.73,0.0,2.23,0.95,1.99,2.62,1.79,0.0,1.18,1.06,0.97,0.0,3.69,0.56,0.5,4.99,0.9,0.0,4.82,0.99,7.97,7.09,0.0,100.02
02/10/2022,6.61,5.29,6.97,5.7,0.0,0.0,0.78,1.93,3.23,4.13,0.0,3.19,4.0,4.38,3.7,0.0,5.7,0.0,2.24,0.94,2.07,2.61,1.79,0.0,1.19,1.02,0.99,0.0,3.74,0.57,0.51,5.16,0.84,0.0,4.91,0.98,7.93,6.9,0.0,100.0
02/11/2022,6.56,5.33,7.14,5.66,0.0,0.0,0.76,1.94,3.18,4.13,0.0,3.15,3.96,4.32,3.68,0.0,5.62,0.0,2.24,0.94,2.09,2.57,1.78,0.0,1.23,1.02,1.01,0.0,3.77,0.58,0.51,5.24,0.82,0.0,4.81,1.05,7.89,7.04,0.0,100.02
02/14/2022,6.3,5.54,6.89,5.63,0.0,0.0,0.76,1.96,3.14,4.05,0.0,3.38,4.09,4.39,3.68,0.0,5.57,0.0,2.2,0.96,2.11,2.52,1.8,0.0,1.24,1.09,1.05,0.0,3.84,0.54,0.54,5.31,0.82,0.0,4.87,1.1,7.92,6.7,0.0,99.99
02/15/2022,6.38,5.83,6.36,5.61,0.0,0.0,0.76,1.97,3.13,4.14,0.0,3.39,4.08,4.49,3.73,0.0,5.65,0.0,2.26,0.96,2.14,2.54,1.82,0.0,1.27,1.12,1.09,0.0,3.88,0.5,0.54,5.37,0.83,0.0,4.82,1.0,8.06,6.28,0.0,100.0
02/16/2022,6.38,5.83,6.36,5.61,0.0,0.0,0.76,1.97,3.13,4.14,0.0,3.39,4.08,4.49,3.73,0.0,5.65,0.0,2.26,0.96,2.14,2.54,1.82,0.0,1.27,1.12,1.09,0.0,3.88,0.5,0.54,5.37,0.83,0.0,4.82,1.0,8.06,6.28,0.0,100.0
02/17/2022,6.38,5.83,6.36,5.61,0.0,0.0,0.76,1.97,3.13,4.14,0.0,3.39,4.08,4.49,3.73,0.0,5.65,0.0,2.26,0.96,2.14,2.54,1.82,0.0,1.27,1.12,1.09,0.0,3.88,0.5,0.54,5.37,0.83,0.0,4.82,1.0,8.06,6.28,0.0,100.0
02/18/2022,6.3,5.94,6.29,5.51,0.0,0.0,0.75,2.05,3.09,3.95,0.0,3.34,4.09,4.51,3.7,0.0,5.54,0.0,2.24,0.95,2.19,2.47,1.84,0.0,1.32,1.12,1.09,0.0,3.84,0.51,0.56,5.64,0.82,0.0,4.95,1.03,8.03,6.36,0.0,100.02
02/21/2022,6.32,6.25,6.03,5.62,0.0,0.0,0.76,2.08,3.17,4.02,0.0,3.29,4.05,4.55,3.7,0.0,5.67,0.0,2.26,0.93,2.21,2.51,1.81,0.0,1.3,1.14,1.04,0.0,3.64,0.51,0.54,5.74,0.84,0.0,4.89,0.95,8.09,6.08,0.0,99.99000000000004
04/28/2022,3.94,4.81,9.57,4.14,0.0,0.0,0.65,0.0,0.0,0.56,0.0,3.35,4.07,0.0,3.47,0.0,0.0,0.0,1.89,0.97,1.16,2.61,1.95,0.0,1.13,0.0,0.0,0.0,3.29,0.0,0.37,11.24,5.22,0.0,4.18,4.78,9.24,7.95,9.47,100.00999999999999
