,NEE,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,WEC,AWK,ES,DTE,ED,PPL,EIX,ETR,FE,AEE,CMS,AES,PCG,LNT,EVRG,CNP,ATO,WTRG,NI,UGI,PNW,NRG,VST,OGE,MDU,NEP,IDA,HE,NFG,POR,BKH,NJR,AGR,PNM,OGS,SWX,SR,ALE,NWE,AVA,ORA,AWR,CWT,MGEE,SJI,NOVA,CPK,OTTR,CWEN,SJW,NWN,MSEX,CWEN.A,UTL,YORW,SGU,Us Dollar,4338.SR,4340.SR,n/a,SUM
09/13/2021,14.28,7.56,6.31,5.64,4.27,4.09,3.71,3.43,2.94,2.78,2.89,2.77,2.13,2.36,2.04,1.93,1.93,1.95,1.86,1.67,1.47,1.22,1.37,1.38,1.31,1.18,1.07,0.91,0.9,0.88,0.94,0.79,0.63,0.59,0.55,0.5,0.44,0.42,0.41,0.4,0.35,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.28,0.29,0.3,0.3,0.26,0.24,0.29,0.2,0.2,0.2,0.17,0.15,0.17,0.09,0.07,0.06,0.0,0.0,0.0,0.0,0.01,99.99
09/14/2021,14.28,7.56,6.31,5.64,4.27,4.09,3.71,3.43,2.94,2.78,2.89,2.77,2.13,2.36,2.04,1.93,1.93,1.95,1.86,1.67,1.47,1.22,1.37,1.38,1.31,1.18,1.07,0.91,0.9,0.88,0.94,0.79,0.63,0.59,0.55,0.5,0.44,0.42,0.41,0.4,0.35,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.28,0.29,0.3,0.3,0.26,0.24,0.29,0.2,0.2,0.2,0.17,0.15,0.17,0.09,0.07,0.06,0.0,0.0,0.0,0.0,0.01,99.99
09/15/2021,14.28,7.56,6.31,5.64,4.27,4.09,3.71,3.43,2.94,2.78,2.89,2.77,2.13,2.36,2.04,1.93,1.93,1.95,1.86,1.67,1.47,1.22,1.37,1.38,1.31,1.18,1.07,0.91,0.9,0.88,0.94,0.79,0.63,0.59,0.55,0.5,0.44,0.42,0.41,0.4,0.35,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.28,0.29,0.3,0.3,0.26,0.24,0.29,0.2,0.2,0.2,0.17,0.15,0.17,0.09,0.07,0.06,0.0,0.0,0.0,0.0,0.01,99.99
09/16/2021,14.28,7.56,6.31,5.64,4.27,4.09,3.71,3.43,2.94,2.78,2.89,2.77,2.13,2.36,2.04,1.93,1.93,1.95,1.86,1.67,1.47,1.22,1.37,1.38,1.31,1.18,1.07,0.91,0.9,0.88,0.94,0.79,0.63,0.59,0.55,0.5,0.44,0.42,0.41,0.4,0.35,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.28,0.29,0.3,0.3,0.26,0.24,0.29,0.2,0.2,0.2,0.17,0.15,0.17,0.09,0.07,0.06,0.0,0.0,0.0,0.0,0.01,99.99
09/17/2021,14.28,7.56,6.31,5.64,4.27,4.09,3.71,3.43,2.94,2.78,2.89,2.77,2.13,2.36,2.04,1.93,1.93,1.95,1.86,1.67,1.47,1.22,1.37,1.38,1.31,1.18,1.07,0.91,0.9,0.88,0.94,0.79,0.63,0.59,0.55,0.5,0.44,0.42,0.41,0.4,0.35,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.28,0.29,0.3,0.3,0.26,0.24,0.29,0.2,0.2,0.2,0.17,0.15,0.17,0.09,0.07,0.06,0.0,0.0,0.0,0.0,0.01,99.99
09/20/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/21/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/22/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/23/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/24/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/27/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/28/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/29/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
09/30/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/01/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/04/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/05/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/06/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/07/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/08/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/11/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/12/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/13/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/14/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/15/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/18/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/19/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/20/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/21/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/22/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/25/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/26/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/27/2021,14.9,7.28,6.29,5.68,4.33,4.05,3.63,3.35,2.92,2.7,2.99,2.82,2.11,2.34,2.04,1.99,2.01,1.91,1.9,1.68,1.44,1.23,1.38,1.42,1.32,1.15,1.05,0.87,0.87,0.78,1.01,0.75,0.64,0.59,0.55,0.48,0.43,0.41,0.42,0.4,0.33,0.38,0.36,0.35,0.37,0.31,0.32,0.29,0.26,0.29,0.31,0.29,0.26,0.25,0.27,0.21,0.21,0.21,0.18,0.14,0.17,0.1,0.07,0.06,0.0,0.0,0.0,0.0,-0.1,100.0
10/28/2021,14.85,7.24,6.33,5.68,4.56,3.91,3.7,3.24,2.97,2.68,2.96,2.71,2.09,2.4,2.07,2.03,1.92,1.87,1.87,1.67,1.47,1.38,1.35,1.38,1.38,1.11,1.04,0.92,0.86,0.79,0.96,0.72,0.64,0.58,0.55,0.5,0.43,0.44,0.41,0.38,0.32,0.36,0.39,0.33,0.37,0.3,0.3,0.28,0.26,0.29,0.3,0.29,0.26,0.23,0.27,0.2,0.22,0.22,0.18,0.14,0.17,0.1,0.06,0.06,0.0,0.0,0.0,0.0,0.1,100.04
10/29/2021,14.85,7.24,6.33,5.68,4.56,3.91,3.7,3.24,2.97,2.68,2.96,2.71,2.09,2.4,2.07,2.03,1.92,1.87,1.87,1.67,1.47,1.38,1.35,1.38,1.38,1.11,1.04,0.92,0.86,0.79,0.96,0.72,0.64,0.58,0.55,0.5,0.43,0.44,0.41,0.38,0.32,0.36,0.39,0.33,0.37,0.3,0.3,0.28,0.26,0.29,0.3,0.29,0.26,0.23,0.27,0.2,0.22,0.22,0.18,0.14,0.17,0.1,0.06,0.06,0.0,0.0,0.0,0.0,0.1,100.04
11/01/2021,14.85,7.24,6.33,5.68,4.56,3.91,3.7,3.24,2.97,2.68,2.96,2.71,2.09,2.4,2.07,2.03,1.92,1.87,1.87,1.67,1.47,1.38,1.35,1.38,1.38,1.11,1.04,0.92,0.86,0.79,0.96,0.72,0.64,0.58,0.55,0.5,0.43,0.44,0.41,0.38,0.32,0.36,0.39,0.33,0.37,0.3,0.3,0.28,0.26,0.29,0.3,0.29,0.26,0.23,0.27,0.2,0.22,0.22,0.18,0.14,0.17,0.1,0.06,0.06,0.0,0.0,0.0,0.0,0.1,100.03999999999999
